topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79
0.0062074317	0.0062078442	0.0061670984	0.00618706	0.0063702255	0.0063292547	0.0062488234	0.006187546	0.00626874	0.006247836	0.5096139	0.0062075336	0.0061670984	0.006167037	0.006187088	0.0062273345	0.006187892	0.0062078172	0.0062069995	0.006188011	0.006146929	0.0061874753	0.0061877943	0.006227867	0.006207918	0.0061673275	0.0061669555	0.006187691	0.0062074843	0.006207977	0.0062472383	0.006167037	0.0061873305	0.006228329	0.0061874352	0.0062278584	0.006146929	0.0062275515	0.006207782	0.006146929	0.006187839	0.006187267	0.0062478264	0.006207914	0.0062278896	0.006207726	0.0061674155	0.0062279073	0.0062280465	0.0062888307	0.006207985	0.0062270924	0.0061873067	0.006207978	0.0062275794	0.0061872057	0.006227867	0.0061876294	0.006228092	0.006167188	0.006248232	0.006187249	0.006167147	0.0061875232	0.006227645	0.006146929	0.0062694177	0.0061670984	0.006329325	0.006167037	0.0062074186	0.006146929	0.006247783	0.0062074726	0.006248856	0.006167281	0.0061874413	0.006247683	0.006207686	0.006146929
0.004128798	0.004129072	0.0041019707	0.004115248	0.004237078	0.004209827	0.004156329	0.0041155713	0.0041695763	0.0041556726	0.0041019297	0.004128866	0.0041019707	0.0041019297	0.0041152663	0.004142036	0.0041158013	0.0041290545	0.0041285106	0.0041158805	0.0040885555	0.0041155242	0.0041157366	0.0041423906	0.0041291215	0.0041021234	0.0041018757	0.0041156677	0.004128833	0.0041291607	0.6738789	0.0041019297	0.004115428	0.004142698	0.0041154977	0.0041423845	0.0040885555	0.0041421806	0.0041290307	0.0040885555	0.004115766	0.004115386	0.004155666	0.0041291188	0.0041424055	0.004128994	0.0041021816	0.004142417	0.00414251	0.0041829394	0.004129166	0.004141875	0.004115412	0.004129161	0.004142199	0.004115345	0.0041423906	0.0041156267	0.00414254	0.0041020303	0.0041559357	0.004115374	0.0041020033	0.0041155564	0.004142243	0.0040885555	0.004170027	0.0041019707	0.0042098737	0.0041019297	0.004128789	0.0040885555	0.004155637	0.004128825	0.004156351	0.0041020922	0.0041155014	0.0041555706	0.004128967	0.0040885555
0.0024727436	0.002472908	0.0024566767	0.22862817	0.002537593	0.002521272	0.002489232	0.0024648223	0.002497166	0.002488839	0.0024566522	0.0024727844	0.0024566767	0.0024566522	0.0024646395	0.002480672	0.0024649599	0.002472897	0.0024725713	0.0024650074	0.0024486424	0.2915267	0.002464921	0.0024808843	0.0024729373	0.0024567682	0.0024566199	0.0024648798	0.0024727646	0.0024729609	0.0024886008	0.0024566522	0.0024647363	0.0024810683	0.002464778	0.0024808808	0.0024486424	0.0024807584	0.002472883	0.0024486424	0.002464939	0.0024647112	0.002488835	0.0024729357	0.2894524	0.002472861	0.002456803	0.0024809001	0.0024809556	0.002505169	0.002472964	0.0024805756	0.0024647268	0.0024729613	0.0024807695	0.0024646868	0.0024808843	0.0024648553	0.0024809737	0.0024567125	0.0024889966	0.0024647037	0.0024566962	0.0024648132	0.0024807958	0.0024486424	0.0024974358	0.0024566767	0.0025213	0.0024566522	0.0024727385	0.0024486424	0.0024888178	0.00247276	0.002489245	0.0024567496	0.0024647804	0.0024887777	0.002472845	0.0024486424
0.0024727427	0.002472907	0.0024566757	0.0024646276	0.0025375918	0.0025212711	0.002489231	0.0024648213	0.002497165	0.002488838	0.0024566513	0.0024727834	0.0024566757	0.0024566513	0.0024646386	0.002480671	0.002464959	0.0024728961	0.0024725704	0.0024650064	0.0024486415	0.0024647932	0.00246492	0.0024808834	0.0024729364	0.0024567673	0.002456619	0.0024648788	0.0024727636	0.00247296	0.0024885999	0.0024566513	0.0024647354	0.0024810673	0.002464777	0.00248088	0.0024486415	0.0024807574	0.0024728822	0.0024486415	0.002464938	0.0024647103	0.002488834	0.0024729348	0.002480892	0.00247286	0.4511591	0.0024808992	0.0024809546	0.002505168	0.0024729632	0.0024805747	0.35595945	0.0024729604	0.0024807686	0.0024646858	0.0024808834	0.0024648544	0.0024809728	0.0024567116	0.0024889957	0.0024647028	0.0024566953	0.0024648122	0.002480795	0.0024486415	0.0024974348	0.0024566757	0.002521299	0.0024566513	0.0024727373	0.0024486415	0.0024888169	0.002472759	0.002489244	0.0024567486	0.0024647794	0.0024887768	0.002472844	0.0024486415
0.00620743	0.0062078424	0.0061670966	0.006187058	0.0063702236	0.006329253	0.0062488215	0.006187544	0.0062687383	0.0062478343	0.006167035	0.006207532	0.0061670966	0.006167035	0.006187086	0.0062273326	0.00618789	0.0062078154	0.0062069977	0.006188009	0.0061469274	0.0061874734	0.0061877924	0.0062278653	0.006207916	0.0061673257	0.0061669536	0.006187689	0.0062074824	0.006207975	0.0062472364	0.006167035	0.0061873286	0.0062283273	0.0061874334	0.0062278565	0.0061469274	0.0062275496	0.00620778	0.0061469274	0.006187837	0.0061872653	0.0062478245	0.5096549	0.0062278877	0.006207724	0.0061674137	0.0062279054	0.0062280446	0.006288829	0.006207983	0.0062270905	0.006187305	0.006207976	0.0062275776	0.006187204	0.0062278653	0.0061876276	0.0062280903	0.006167186	0.00624823	0.006187247	0.006167145	0.0061875214	0.006227643	0.0061469274	0.006269416	0.0061670966	0.006329323	0.006167035	0.0062074168	0.0061469274	0.006247781	0.006207471	0.006248854	0.006167279	0.0061874394	0.006247681	0.006207684	0.0061469274
0.0030930538	0.0030932594	0.0030729566	0.003082903	0.0031741713	0.003153756	0.0031136787	0.0030831452	0.0031236028	0.0031131867	0.0030729258	0.0030931048	0.0030729566	0.0030729258	0.0030829168	0.003102971	0.0030833175	0.003093246	0.0030928385	0.003083377	0.0030629067	0.00308311	0.0030832689	0.0031032367	0.0030932962	0.0030730707	0.0030728853	0.0030832174	0.0030930801	0.0030933255	0.003112889	0.25393194	0.003083038	0.0031034667	0.00308309	0.0031032322	0.0030629067	0.0031030793	0.0030932284	0.0030629067	0.0030832912	0.0030830062	0.0031131818	0.0030932943	0.0031032476	0.0030932005	0.0030731147	0.0031032565	0.5048206	0.0031336136	0.0030933295	0.0031028504	0.003083026	0.003093326	0.0031030932	0.0030829757	0.0031032367	0.0030831867	0.0031033487	0.003073001	0.003113384	0.0030829972	0.0030729808	0.0030831338	0.0031031258	0.0030629067	0.0031239404	0.0030729566	0.0031537912	0.0030729258	0.0030930473	0.0030629067	0.0031131604	0.0030930743	0.003113695	0.0030730476	0.003083093	0.0031131103	0.0030931805	0.0030629067
0.004128802	0.004129077	0.004101975	0.0041152523	0.004237083	0.0042098314	0.0041563334	0.004115576	0.004169581	0.004155677	0.004101934	0.00412887	0.004101975	0.004101934	0.004115271	0.0041420404	0.0041158055	0.0041290587	0.004128515	0.0041158847	0.0040885597	0.0041155284	0.004115741	0.36962217	0.0041291257	0.0041021276	0.00410188	0.004115672	0.004128837	0.004129165	0.004155279	0.004101934	0.0041154325	0.004142702	0.004115502	0.004142389	0.0040885597	0.0041421847	0.0041290354	0.0040885597	0.0041157706	0.00411539	0.0041556703	0.004129123	0.0041424097	0.004128998	0.0041021863	0.0041424213	0.004142514	0.004182944	0.0041291704	0.0041418793	0.004115416	0.004129166	0.0041422034	0.004115349	0.0041423948	0.004115631	0.004142544	0.0041020345	0.00415594	0.004115378	0.30834556	0.0041155606	0.004142247	0.0040885597	0.0041700313	0.004101975	0.004209878	0.004101934	0.0041287937	0.0040885597	0.004155642	0.0041288296	0.0041563553	0.0041020964	0.004115506	0.004155575	0.004128971	0.0040885597
0.0030930522	0.0030932578	0.0030729547	0.0030829015	0.0031741695	0.0031537544	0.0031136768	0.0030831436	0.003123601	0.003113185	0.0030729242	0.0030931032	0.0030729547	0.0030729242	0.0030829152	0.0031029694	0.003083316	0.0030932443	0.0030928368	0.0030833753	0.003062905	0.0030831085	0.0030832672	0.003103235	0.0030932946	0.003073069	0.0030728835	0.0030832156	0.0030930783	0.003093324	0.0031128873	0.0030729242	0.0030830363	0.003103465	0.0030830884	0.0031032306	0.003062905	0.0031030776	0.0030932268	0.003062905	0.0030832896	0.0030830046	0.0031131802	0.7556697	0.003103246	0.0030931989	0.003073113	0.0031032548	0.0031033242	0.003133612	0.0030933279	0.0031028488	0.0030830244	0.0030933244	0.0031030916	0.003082974	0.003103235	0.003083185	0.003103347	0.0030729994	0.0031133823	0.0030829955	0.0030729792	0.0030831322	0.0031031242	0.003062905	0.0031239386	0.0030729547	0.0031537893	0.0030729242	0.0030930457	0.003062905	0.0031131587	0.0030930724	0.0031136933	0.003073046	0.0030830915	0.0031131087	0.0030931788	0.003062905
0.0017648642	0.0017649814	0.0017533968	0.0017590722	0.0018111488	0.0017995002	0.0017766324	0.0017592105	0.001782295	0.0017763517	0.0017533794	0.0017648932	0.0017533968	0.0017533794	0.0017590801	0.0017705228	0.0017593087	0.0017649737	0.0017647413	0.0017593425	0.0017476624	0.0017591903	0.0017592809	0.0017706744	0.0017650024	0.001753462	0.0017533561	0.0017592515	0.0017648791	0.0017650191	0.0017761817	0.0017533794	0.0017591491	0.0017708057	0.0017591788	0.0017706718	0.0017476624	0.0017705845	0.0017649637	0.0017476624	0.0017592936	0.0017591311	0.0017763489	0.69691044	0.0017706807	0.0017649479	0.001753487	0.0017706857	0.0017707252	0.0017880071	0.0017650215	0.001770454	0.16543634	0.0017650195	0.0017705925	0.0017591136	0.0017706744	0.001759234	0.0017707382	0.0017534222	0.0017764643	0.001759126	0.0017534107	0.001759204	0.0017706112	0.0017476624	0.0017824876	0.0017533968	0.0017995202	0.0017533794	0.0017648604	0.0017476624	0.0017763367	0.0017648757	0.0017766417	0.0017534487	0.0017591806	0.0017763082	0.0017649364	0.0017476624
0.0125010405	0.012501871	0.012419813	0.012460014	0.012828888	0.012746377	0.012584398	0.012460994	0.012624508	0.01258241	0.012419689	0.012501246	0.012419813	0.012419689	0.01246007	0.012541122	0.012461689	0.012501816	0.01250017	0.01246193	0.012379196	0.012460851	0.012461493	0.012542196	0.012502019	0.012420275	0.0124195255	0.012461284	0.012501146	0.0125021385	0.012581207	0.012419689	0.012460559	0.012543126	0.01246077	0.012542178	0.012379196	0.0125415595	0.0125017455	0.012379196	0.012461582	0.012460432	0.012582391	0.012502012	0.01254224	0.012501633	0.012420453	0.012542276	0.012542556	0.012664968	0.012502154	0.012540635	0.012460511	0.01250214	0.012541615	0.012460308	0.012542196	0.01246116	0.012542648	0.012419994	0.012583207	0.012460395	0.012419912	0.012460947	0.012541748	0.012379196	0.012625872	0.012419813	0.0127465185	0.012419689	0.012501013	0.012379196	0.012582304	0.012501122	0.012584464	0.012420182	0.012460782	0.012582102	0.012501552	0.012379196
