id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13214390	DATALAB	add header close window button popup	add header ssn monitor popup add close button ssn monitor popup ssn monitor png add close button library installation error popup	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	3	Closed	39	['error', 'popup', 'click', 'cluster', 'open', 'group', 'button', 'list', 'run', 'action']
13214691	DATALAB	generate key initial infrastructure creation popup appear click refresh button	precondition user log dlab steps reproduce click generate button click save button actual result initial infrastructure creation popup appear click refresh button expect result initial infrastructure creation popup appear	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat', 'pull-request-available']	3	1	Closed	34	['button', 'click', 'add', 'gcp', 'run', 'action', 'end', 'endpoint', 'list', 'case']
13268518	DATALAB	extra scrollbar login chrome browser	precondition environment create step reproduce link jenkins job login actual result vertical scrollbar right expect result vertical scrollbar right	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat', 'pull-request-available']	5	1	Closed	42	['environment', 'edge', 'ssn', 'list', 'button', 'action', 'absent', 'dlab', 'aws', 'open']
13328241	DATALAB	implement possibility turn billing datalab deployment	embed run billing service	['aws', 'azure', 'debian', 'devops', 'gcp', 'redhat']	3	3	Reopened	19	['billing', 'run', 'instance', 'action', 'end', 'endpoint', 'list', 'case', 'open', 'want']
13439430	DATALAB	bad gateway	precondition edge run status step reproduce create deeplearne notebook notebook actual result work code java bad gateway code expect result deeplearnig notebook work properly	['debian', 'devops', 'gcp', 'redhat', 'pull-request-available']	3	1	Closed	77	['spark', 'run', 'cluster', 'list', 'fail', 'value', 'dlab', 'case', 'action', 'gcp']
13247038	DATALAB	billing report edge grid line absent environment service charge column	precondition billing available step reproduce billing report page actual result grid line absent environment service charge column expect result grid line present column	['aws', 'debian', 'redhat']	4	1	Closed	60	['billing', 'report', 'environment', 'absent', 'available', 'edge', 'endpoint', 'list', 'case', 'open']
13493394	DATALAB	aws ssn creation fail error unable find image	step reproduce create ssn jenkins job actual result ssn creation fail code java unable find image ubuntu image hvm ssd ubuntu expect result ssn creation successful	['aws', 'debian', 'devops', 'redhat', 'pull-request-available']	2	1	Closed	28	['creation', 'fail', 'aws', 'successful', 'case', 'terminate', 'end', 'endpoint', 'list', 'value']
13416485	DATALAB	deeplearne creation fail error lock lib dpkg lock frontend	precondition project create gcp step reproduce create deeplearning actual result deeplearning creation fail expect result deeplearning creation successful	['azure', 'debian', 'devops', 'gcp']	4	1	Closed	64	['fail', 'creation', 'endpoint', 'successful', 'error', 'end', 'run', 'add', 'stop', 'environment']
13205528	DATALAB	java add swagger tool dlab	user want use swagger order api dlab instae dlab acceptance criterion apply swagger dlab user use link example official documentation	['aws', 'azure', 'back-end', 'debian', 'gcp', 'redhat']	4	2	Closed	71	['dlab', 'creation', 'fail', 'want', 'end', 'instance', 'case', 'successful', 'ssn', 'run']
13259922	DATALAB	project value absent grid environment management page	precondition environment cretae step reproduce environment management page actual result project value absent grid expect result project value present grid	['gcp']	3	1	Closed	30	['value', 'creation', 'environment', 'report', 'absent', 'fail', 'endpoint', 'successful', 'want', 'stop']
13285920	DATALAB	billing report page billing issue user administrative role	user admin button align right header overlapped user admin forbid view billing billing allow	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat', 'pull-request-available']	4	1	Closed	25	['billing', 'report', 'dlab', 'available', 'absent', 'environment', 'edge', 'click', 'aws', 'spark']
13287689	DATALAB	end available lib list request entity large	precondition ssn create gcp endpoint create aws notebook create aws step reproduce list resource page click action menu notebook choose manage library choose select resource drop list actual result available lib list successful expect result available lib list successful available lib list successful minute try bug reproduce especially rstudio	['aws', 'azure', 'back-end', 'debian', 'gcp', 'redhat']	3	1	Closed	7	['list', 'available', 'billing', 'click', 'absent', 'dlab', 'instance', 'endpoint', 'case', 'open']
13205518	DATALAB	persist restore reply self service provisioning service case self service unavailable	health check verify availability self service	['aws', 'azure', 'back-end', 'debian', 'gcp', 'redhat']	3	3	Closed	2	['group', 'case', 'report', 'billing', 'button', 'error', 'add', 'message', 'endpoint', 'end']
13196593	DATALAB	report header sticky present scroll	user want report header window scroll able title grid value acceptance criterion report header present window scroll	['azure', 'debian', 'front-end', 'redhat', 'pull-request-available']	4	4	Closed	30	['value', 'creation', 'environment', 'report', 'absent', 'fail', 'endpoint', 'successful', 'want', 'stop']
13264260	DATALAB	filter action row page	chrome version firefox біт reproduce zoom	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	4	3	Closed	35	['action', 'list', 'open', 'instance', 'value', 'end', 'endpoint', 'case', 'gcp', 'message']
13381511	DATALAB	endpoint creation fail command apt install docker ubuntu bionic	precondition ssn create step reproduce deploy endpoint azure gcp jenkins job actual result endpoint creation fail code java eade state information version ubuntu bionic docker find log error traceback recent file lib jenkin workspace dlab azure deploy endpoint infrastructure provisioning terraform bin deploy line file line sudo file lib jenkin workspace dlab azure deploy endpoint venv lib site package fabric line open return arg kwargs file lib jenkin workspace dlab azure deploy endpoint venv lib site package fabric line sudo return command kwargs file lib jenkin workspace dlab azure deploy endpoint venv lib site package invoke line sudo return watcher watcher kwargs file lib jenkin workspace dlab azure deploy endpoint venv lib site package invoke line run return kwargs file lib jenkin workspace dlab azure deploy endpoint venv lib site package invoke line raise unexpectedexit encounter bad command exit code command sudo sudo password apt install docker ubuntu expect result endpoint creation successfully	['azure', 'debian', 'devops', 'gcp', 'redhat', 'pull-request-available']	3	1	Closed	63	['endpoint', 'fail', 'dlab', 'error', 'run', 'terminate', 'gcp', 'add', 'instance', 'creation']
13284767	DATALAB	end add possibility recreate edge node edge termination fail	user want use instance case edge fail create previously terminate edge project endpoint allow create project new use previous terminate edge edge fail create new edge project endpoint github issue	['aws', 'azure', 'back-end', 'debian', 'gcp', 'redhat']	3	4	Closed	47	['edge', 'end', 'fail', 'case', 'want', 'endpoint', 'dlab', 'environment', 'terminate', 'add']
13256336	DATALAB	avert notebook creation user delete group	precondition assign step reproduce delete role page actual result allow create notebook expect result allow create notebook note case reproduce group ldap group admin delete group assign project error message appear group remove project error message appear group assign project delete delete status	['aws', 'pull-request-available']	3	3	Closed	4	['group', 'message', 'error', 'add', 'stop', 'terminate', 'popup', 'ssn', 'button', 'environment']
13311912	DATALAB	token configuration	extend token hour refresh token minute end	['aws', 'azure', 'debian', 'front-end', 'gcp', 'redhat']	3	3	Closed	48	['edge', 'end', 'billing', 'list', 'fail', 'terminate', 'endpoint', 'instance', 'want', 'add']
