topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.0052639465	0.005454555	0.005339196	0.0058463314	0.005577365	0.0052357134	0.005130845	0.0050565763	0.68904036	0.26805514
0.0052639106	0.005454436	0.005339106	0.0058461786	0.0055769016	0.0052356278	0.005130954	0.0050565456	0.0060392707	0.9510571
0.04497892	0.046604663	0.0456227	0.58884937	0.047653183	0.044736743	0.043841142	0.04320673	0.051595565	0.042910952
0.021646775	0.022430766	0.021958068	0.024040792	0.022933345	0.02153035	0.021099817	0.7988748	0.02483321	0.020652058
0.02922734	0.030288408	0.029645173	0.032463823	0.030964494	0.029070104	0.028489009	0.02807652	0.73389083	0.027884271
0.0070401067	0.007294431	0.9349691	0.007819155	0.007458317	0.007002045	0.006861907	0.0067626177	0.00807593	0.0067163096
0.0064922166	0.0067271967	0.0065850397	0.0072103823	0.44541588	0.006457369	0.0063283294	0.0062365187	0.50235313	0.0061938907
0.009424656	0.0097659025	0.009559545	0.010467071	0.009985691	0.009374064	0.9125649	0.009053552	0.0108131	0.00899162
0.8873649	0.01261493	0.012348374	0.013520679	0.0128983725	0.012109309	0.011866564	0.011694689	0.013967338	0.011614814
0.19810015	0.009765552	0.009559619	0.7251729	0.009984984	0.009374051	0.009186474	0.009053508	0.010811213	0.008991612
0.012174279	0.012614763	0.8875423	0.013520529	0.012897693	0.01210875	0.011866531	0.011694802	0.01396556	0.011614815
0.77739656	0.0039570495	0.00387346	0.0042413836	0.0040459717	0.0037983886	0.19099428	0.0036684184	0.004381214	0.003643326
0.04497768	0.046605557	0.58450854	0.049953736	0.047656395	0.044737652	0.043842506	0.04320787	0.051598743	0.042911302
0.014253855	0.014768496	0.8683314	0.015834557	0.015101007	0.014176721	0.013893011	0.013691934	0.016350543	0.0135985
0.044977423	0.046604417	0.045620535	0.04995362	0.047651183	0.04473697	0.58274204	0.043206796	0.051595684	0.042911343
0.0031078707	0.003220357	0.0031522538	0.0034517448	0.0032927415	0.0030911835	0.9711681	0.0029853864	0.003565366	0.0029649823
0.0042034816	0.004355465	0.0042635864	0.5406785	0.0044535445	0.0041809496	0.004097293	0.004037933	0.42571893	0.004010296
0.0064921286	0.006727126	0.0065850904	0.0072101085	0.940322	0.0064573223	0.0063281837	0.006236529	0.0074475985	0.0061939196
0.0449792	0.046603862	0.04562326	0.049954437	0.5865404	0.044736933	0.04384123	0.043206412	0.051602636	0.042911604
0.0026200966	0.9758537	0.0026575061	0.0029101754	0.0027759215	0.0026059828	0.0025538763	0.0025168792	0.0030062394	0.0024996332
0.0070398133	0.0072944527	0.0071404763	0.007818468	0.9352868	0.007002029	0.0068621486	0.006762553	0.008076942	0.0067163077
0.00768866	0.5932757	0.0077983574	0.3444087	0.0081458315	0.007647245	0.007494178	0.007385815	0.008820375	0.0073351325
0.007039909	0.4341336	0.00714061	0.007818826	0.007458503	0.007002228	0.006862268	0.0067627	0.008076049	0.5077053
0.010624597	0.011008615	0.9018545	0.0118012205	0.011256377	0.0105676465	0.010356257	0.010206074	0.012188434	0.010136275
0.008468726	0.008774809	0.008589457	0.009406092	0.008972131	0.25428504	0.008254641	0.008135084	0.6770345	0.008079503
0.021646447	0.022429472	0.021956006	0.024040777	0.022933457	0.021530597	0.79918396	0.020794192	0.024833051	0.020652018
0.008468416	0.008774569	0.0085895425	0.92258906	0.008972003	0.008423011	0.008254534	0.008134854	0.009714805	0.008079265
0.021647194	0.022430226	0.021956194	0.024043074	0.022938993	0.7996023	0.021099841	0.020794207	0.024835782	0.020652179
0.008468497	0.008774687	0.008589511	0.52132523	0.008971894	0.008423078	0.00825454	0.40939802	0.009715203	0.008079377
0.029226916	0.030286333	0.029645897	0.0324601	0.3616408	0.029070972	0.39817938	0.028076202	0.033528015	0.027885359
0.0044263317	0.0045865723	0.0044896696	0.0049159448	0.0046897773	0.004402584	0.0043145013	0.9588738	0.005077821	0.004222946
0.0020941528	0.002169877	0.0021240753	0.07397945	0.002218755	0.90896034	0.0020412388	0.0020116474	0.0024025727	0.0019978657
0.044977836	0.046611566	0.04562045	0.049951322	0.04765116	0.04473614	0.04384132	0.043206606	0.5904923	0.04291129
0.009425122	0.009765817	0.44633693	0.010467307	0.47658643	0.009374419	0.009186719	0.009053618	0.010812006	0.008991612
0.09754526	0.10107265	0.098940015	0.10833119	0.103343785	0.09702178	0.09508116	0.09370439	0.111895986	0.093063794
0.8409747	0.017810145	0.017436428	0.019089555	0.01821029	0.017096544	0.016754216	0.016512088	0.019717248	0.016398756
0.0142533565	0.58581	0.014457212	0.015829938	0.015100947	0.014176915	0.013893581	0.0136919785	0.016352171	0.29643387
0.014253264	0.86864495	0.014457026	0.015829591	0.0151007725	0.014176858	0.013893591	0.01369191	0.01635375	0.0135982875
0.01062431	0.011008585	0.010776223	0.0117996	0.011256238	0.010567341	0.9014356	0.010205964	0.012189965	0.010136195
0.005263803	0.0054543116	0.0053390292	0.005845918	0.0055768173	0.005235522	0.0051309145	0.005056515	0.9520751	0.005022003
0.012174289	0.012614439	0.012348165	0.58639914	0.31521314	0.01210876	0.0118665	0.011694648	0.01396617	0.011614725
0.009424669	0.009765725	0.009559424	0.01046728	0.00998534	0.009374407	0.009186481	0.7570666	0.16617852	0.008991609
0.0070397877	0.0072946837	0.0071406835	0.007820178	0.93528426	0.007002404	0.0068623475	0.0067626154	0.008076667	0.0067163664
0.006492187	0.006727237	0.0065849503	0.0072102533	0.006878196	0.006457309	0.006328176	0.006236597	0.9408911	0.0061939973
0.009424905	0.009766264	0.009559441	0.010467083	0.009985099	0.60976255	0.009186558	0.0090534985	0.31380293	0.008991685
0.007039957	0.007294659	0.0071405508	0.00781855	0.0074588805	0.0070022303	0.00686192	0.0067626433	0.008075662	0.9345449
0.01425414	0.014769611	0.0144583015	0.015836539	0.015102024	0.014177258	0.013893472	0.013692085	0.8702182	0.013598315
0.75278467	0.005454413	0.0053392844	0.0058464855	0.00557744	0.20374775	0.005131079	0.0050566313	0.0060401666	0.0050220625
0.24955016	0.007966639	0.007798347	0.008539027	0.008145812	0.0076472396	0.0074941996	0.007385719	0.6881377	0.0073351897
0.012174357	0.8878061	0.01234828	0.013520765	0.012898269	0.012108853	0.01186694	0.011694817	0.013966814	0.011614804
0.48485884	0.022431849	0.021956844	0.024041917	0.022934502	0.021531437	0.021099977	0.020794272	0.33969805	0.020652318
0.029227726	0.030284518	0.029644737	0.032460023	0.73132527	0.029070057	0.028489124	0.028076028	0.033536904	0.02788565
0.008468464	0.008775246	0.008589653	0.009406243	0.62092686	0.008423357	0.24866106	0.008134905	0.070534796	0.008079383
0.009424826	0.009765717	0.009559453	0.010466951	0.9133655	0.00937412	0.009186505	0.009053667	0.010811577	0.008991713
0.0049515287	0.005130845	0.0050222725	0.0054990696	0.005245911	0.0049249027	0.00482644	0.0047565303	0.9549184	0.004724098
0.014253148	0.014768675	0.014456977	0.0158301	0.015100536	0.8680561	0.013893285	0.013691932	0.016350653	0.013598562
0.79972506	0.022429712	0.021956973	0.024041904	0.022935688	0.02153094	0.021099754	0.020794217	0.024833426	0.020652369
0.28280562	0.008774847	0.008589505	0.0094055245	0.008972081	0.008423121	0.0082546	0.008135339	0.64856005	0.008079336
0.04497923	0.04660467	0.045623846	0.5888479	0.04765321	0.044736747	0.043841142	0.04320673	0.051595572	0.042910952
0.48984647	0.017810615	0.017434642	0.019089794	0.018210985	0.01709647	0.36788005	0.016511671	0.019720495	0.016398817
0.0046743513	0.0048434944	0.00474108	0.005191493	0.004952195	0.004649218	0.0045562396	0.35067233	0.0053627645	0.6103568
0.09754526	0.10107265	0.098940015	0.10833119	0.103343785	0.09702178	0.09508116	0.09370439	0.111895986	0.093063794
0.017189106	0.017810598	0.017434593	0.8428709	0.018211965	0.01709657	0.01675564	0.016511632	0.019720066	0.016398884
0.004001956	0.18401706	0.004059108	0.00444448	0.004239863	0.0039804233	0.003900798	0.0038442926	0.7836939	0.0038180372
0.012174901	0.012615168	0.012349199	0.8887085	0.012899353	0.012109473	0.01186679	0.01169504	0.013966692	0.011614922
0.02164731	0.022429826	0.021955997	0.024042375	0.022935629	0.021530585	0.02110096	0.7988637	0.02484118	0.020652378
0.008468369	0.008774573	0.008589449	0.92258847	0.00897204	0.00842313	0.008254516	0.008135005	0.009715016	0.00807943
0.0076884865	0.29513842	0.007798388	0.008538654	0.6421546	0.007647152	0.0074941004	0.00738555	0.008819668	0.0073350375
0.010624615	0.0110092675	0.010776489	0.01180084	0.011256199	0.010567436	0.010355967	0.9012843	0.012188632	0.010136254
0.007688425	0.007966524	0.007798501	0.008539516	0.008145925	0.9288248	0.0074944147	0.00738572	0.0088210795	0.007335141
0.021646654	0.022429623	0.021956168	0.024040932	0.022933355	0.021530794	0.021099605	0.020794325	0.024831899	0.79873663
0.49200207	0.0058213132	0.46171823	0.006240351	0.005952166	0.0055880146	0.00547617	0.0053969664	0.0064447396	0.0053600078
