topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139
0.00044498607	0.0004421445	0.00044355626	0.00044640055	0.00044924635	0.00044641335	0.00044213503	0.00044356933	0.00044498438	0.00044213788	0.00044214274	0.00044071407	0.00044642802	0.00044213884	0.0004421379	0.016019177	0.00044355518	0.00044214397	0.0004421421	0.00044071407	0.00044355792	0.00044355178	0.0004421445	0.00044214504	0.000446406	0.00044497388	0.00044071407	0.00044213884	0.00044355556	0.0004421288	0.00044497816	0.00044071407	0.00044213788	0.00044213983	0.00044355897	0.0004464099	0.00044213788	0.0004435617	0.00044071407	0.00044071407	0.00044213983	0.0004435625	0.00044640468	0.00044356112	0.00044213884	0.00044640448	0.00044356126	0.0004442536	0.00044071407	0.0004421324	0.0004435682	0.0004449798	0.00044071407	0.00044213675	0.00044212767	0.00044785088	0.0004421421	0.0004421341	0.00045351204	0.00044213553	0.00044355358	0.00044357375	0.00044080056	0.0004407145	0.0004435617	0.00044071407	0.00044071407	0.00044355245	0.00044071407	0.00044213416	0.00044213983	0.00044071407	0.00044071407	0.0004435671	0.12824343	0.00044071407	0.00044213788	0.00044213896	0.00044355026	0.00044214207	0.00044071407	0.00044499993	0.00044356906	0.00044213675	0.00044356607	0.00044214405	0.00044071407	0.00044637854	0.00044214207	0.00044214138	0.00044213553	0.00044071412	0.00044213884	0.00044071407	0.00044212054	0.00044071407	0.0004421269	0.00044783033	0.00044213675	0.79507	0.00044213675	0.00044071407	0.000443557	0.00044214274	0.00044355556	0.00044213675	0.00044071407	0.00044071407	0.00044071407	0.00044355128	0.00044071407	0.00044214507	0.00044071407	0.0004421283	0.00044214138	0.00044214274	0.00044214274	0.00044213046	0.00044356083	0.00044348897	0.00044498502	0.00044214338	0.0004421389	0.0004464131	0.00044497466	0.00044213768	0.00044214385	0.00044213553	0.00044071407	0.00044213884	0.00044355338	0.00044071407	0.00044213884	0.00044356775	0.0004435488	0.00044213553	0.00044212982	0.00044782468	0.00044071407	0.00044071407
0.0004449858	0.00044214423	0.000443556	0.00044640028	0.0004492461	0.0004464131	0.00044213477	0.00044356904	0.2494847	0.0004421376	0.00044214248	0.0004407138	0.00044642773	0.00044213855	0.00044213762	0.0004435595	0.00044355492	0.0004421437	0.00044214184	0.0004407138	0.00044355766	0.00044355151	0.00044214423	0.00044214478	0.00044640573	0.00044497362	0.0004407138	0.00044213855	0.0004435553	0.00044212854	0.0004449779	0.0004407138	0.0004421376	0.00044213957	0.40042913	0.00044640963	0.0004421376	0.00044356144	0.0004407138	0.0004407138	0.00044213957	0.00044356222	0.00044640442	0.00044356086	0.00044213855	0.0004464042	0.000443561	0.00044425332	0.0004407138	0.00044213215	0.0004435679	0.00044497955	0.0004407138	0.00044213646	0.0004421274	0.00044785062	0.00044214184	0.00044213384	0.00045351178	0.17365643	0.00044355332	0.0004435735	0.0004408003	0.00044071424	0.00044356144	0.0004407138	0.0004407138	0.00044355218	0.0004407138	0.0004421339	0.00044213957	0.0004407138	0.0004407138	0.00044356682	0.00044497708	0.0004407138	0.0004421376	0.0004421387	0.00044355	0.0004421418	0.0004407138	0.00044499963	0.00044356877	0.00044213646	0.00044356578	0.0004421438	0.0004407138	0.00044637828	0.0004421418	0.0004421411	0.00044213526	0.00044071386	0.00044213855	0.0004407138	0.00044212028	0.0004407138	0.00044212665	0.00044783007	0.00044213646	0.00044926783	0.00044213646	0.0004407138	0.11619877	0.00044214248	0.0004435553	0.00044213646	0.0004407138	0.0004407138	0.0004407138	0.00044355102	0.0004407138	0.0004421448	0.0004407138	0.00044212805	0.0004421411	0.00044214248	0.00044214248	0.0004421302	0.00044356057	0.0004434887	0.00044498476	0.00044214312	0.00044213864	0.00044641283	0.0004449744	0.0004421374	0.0004421436	0.00044213526	0.0004407138	0.00044213855	0.00044355312	0.0004407138	0.00044213855	0.00044356746	0.00044354855	0.00044213526	0.00044212956	0.00044782442	0.0004407138	0.0004407138
0.0035730863	0.0035502692	0.0035616055	0.003584444	0.0036072948	0.003584547	0.0035501935	0.0035617102	0.0035730728	0.003550216	0.0035502552	0.0035387834	0.0035846645	0.0035502238	0.0035502163	0.0035616334	0.0035615969	0.003550265	0.00355025	0.0035387834	0.0035616187	0.0035615694	0.0035502692	0.0035502736	0.0035844878	0.0035729883	0.0035387834	0.0035502238	0.0035615999	0.0035501434	0.0035730228	0.0035387834	0.003550216	0.003550232	0.0035616271	0.003584519	0.003550216	0.0035616492	0.0035387834	0.0035387834	0.003550232	0.0035616555	0.0035844771	0.0035616443	0.0035502238	0.0035844755	0.0035616455	0.0035672046	0.0035387834	0.0035501723	0.003561701	0.003573036	0.0035387834	0.003550207	0.0035501344	0.0035960898	0.00355025	0.003550186	0.003641547	0.0035501975	0.0035615838	0.0035617456	0.0035394782	0.003538787	0.0035616492	0.0035387834	0.0035387834	0.0035615747	0.0035387834	0.0035501865	0.003550232	0.0035387834	0.0035387834	0.0035616923	0.0035730163	0.0035387834	0.003550216	0.0035502247	0.0035615573	0.0035502499	0.0035387834	0.0035731974	0.0035617081	0.003550207	0.003561684	0.0035502657	0.0035387834	0.0035842673	0.0035502499	0.0035502443	0.0035501975	0.0035387839	0.0035502238	0.0035387834	0.003550077	0.0035387834	0.0035501283	0.0035959247	0.003550207	0.0036074694	0.003550207	0.0035387834	0.0035616113	0.0035502552	0.0035615999	0.003550207	0.0035387834	0.0035387834	0.0035387834	0.0035615654	0.0035387834	0.0035502738	0.0035387834	0.0035501395	0.0035502443	0.0035502552	0.50566924	0.0035501567	0.003561642	0.003561065	0.003573078	0.0035502603	0.0035502242	0.0035845449	0.0035729946	0.0035502145	0.003550264	0.0035501975	0.0035387834	0.0035502238	0.0035615822	0.0035387834	0.0035502238	0.0035616974	0.0035615456	0.0035501975	0.0035501516	0.0035958793	0.0035387834	0.0035387834
0.0017827655	0.001771381	0.0017770372	0.0017884322	0.0017998335	0.0017884836	0.0017713433	0.0017770894	0.0017827587	0.0017713546	0.001771374	0.0017656502	0.0017885423	0.0017713584	0.0017713547	0.0017770511	0.5028346	0.0017713789	0.0017713715	0.0017656502	0.0017770438	0.0017770191	0.001771381	0.0017713832	0.0017884541	0.0017827166	0.0017656502	0.0017713584	0.0017770344	0.0017713183	0.0017827337	0.0017656502	0.0017713546	0.0017713624	0.001777048	0.0017884697	0.0017713546	0.0017770589	0.0017656502	0.0017656502	0.0017713624	0.0017770621	0.0017884489	0.0017770566	0.25229964	0.0017884481	0.0017770572	0.0017798308	0.0017656502	0.0017713327	0.0017770849	0.0017827403	0.0017656502	0.00177135	0.0017713137	0.0017942429	0.0017713715	0.0017713394	0.0018169234	0.0017713453	0.0017770265	0.0017771071	0.0017659969	0.001765652	0.0017770589	0.0017656502	0.0017656502	0.0017770219	0.0017656502	0.0017713398	0.0017713624	0.0017656502	0.0017656502	0.0017770806	0.0017827305	0.0017656502	0.0017713546	0.0017713589	0.0017770131	0.0017713713	0.0017656502	0.0017828209	0.0017770884	0.00177135	0.0017770764	0.0017713793	0.0017656502	0.0017883441	0.0017713713	0.0017713686	0.0017713453	0.0017656505	0.0017713584	0.0017656502	0.0017712852	0.0017656502	0.0017713107	0.0017941605	0.00177135	0.0017999207	0.00177135	0.0017656502	0.0017770401	0.001771374	0.0017770344	0.00177135	0.0017656502	0.0017656502	0.0017656502	0.0017770171	0.0017656502	0.0017713833	0.0017656502	0.0017713163	0.0017713686	0.001771374	0.001771374	0.0017713249	0.0017770554	0.0017767675	0.0017827613	0.0017713766	0.0017713587	0.0017884825	0.0017827197	0.0017713538	0.0017713784	0.0017713453	0.0017656502	0.0017713587	0.0017770256	0.0017656502	0.0017713584	0.0017770831	0.0017770072	0.0017713453	0.0017713223	0.0017941379	0.0017656502	0.0017656502
0.0023786977	0.0023635079	0.0023710546	0.002386259	0.0024014714	0.0023863274	0.0023634576	0.0023711245	0.002378689	0.0023634725	0.0023634986	0.0023558615	0.0023864058	0.0023634776	0.0023634727	0.0023710735	0.002371049	0.002363505	0.002363495	0.0023558615	0.0023710635	0.0023710306	0.3366372	0.002363511	0.002386288	0.0023786325	0.0023558615	0.0023634776	0.0023710509	0.002363424	0.0023786556	0.0023558615	0.0023634725	0.002363483	0.0023710693	0.002386309	0.0023634725	0.0023710837	0.0023558615	0.0023558615	0.002363483	0.002371088	0.002386281	0.0023710807	0.0023634776	0.0023862799	0.0023710814	0.0023747822	0.0023558615	0.0023634434	0.0023711184	0.0023786644	0.0023558615	0.0023634664	0.002363418	0.002394012	0.002363495	0.0023634525	0.0024242739	0.0023634601	0.0023710404	0.002371148	0.0023563239	0.0023558638	0.0023710837	0.0023558615	0.0023558615	0.0023710344	0.0023558615	0.0023634527	0.002363483	0.0023558615	0.0023558615	0.0023711126	0.0023786512	0.0023558615	0.0023634725	0.0023634783	0.0023710227	0.002363495	0.0023558615	0.0023787718	0.002371123	0.0023634664	0.002371107	0.0023635055	0.0023558615	0.0023861413	0.002363495	0.0023634913	0.0023634601	0.0023558617	0.0023634776	0.0023558615	0.00236338	0.0023558615	0.002363414	0.002393902	0.0023634664	0.0024015876	0.0023634664	0.0023558615	0.0023710586	0.0023634986	0.0023710509	0.0023634664	0.0023558615	0.0023558615	0.0023558615	0.002371028	0.0023558615	0.002363511	0.0023558615	0.0023634215	0.0023634913	0.0023634986	0.0023634986	0.0023634331	0.002371079	0.002370695	0.0023786922	0.002363502	0.002363478	0.002386326	0.0023786367	0.0023634715	0.0023635044	0.0023634601	0.0023558615	0.33663726	0.0023710392	0.0023558615	0.0023634776	0.002371116	0.0023710148	0.0023634601	0.0023634296	0.0023938718	0.0023558615	0.0023558615
0.0005934186	0.00058962917	0.0005915119	0.0005953049	0.00059909996	0.000595322	0.0005896166	0.00059152924	0.0005934164	0.0005896203	0.00058962684	0.0005877216	0.00059534155	0.0005896216	0.0005896204	0.00059151655	0.00059151044	0.0005896285	0.00058962597	0.0005877216	0.0005915141	0.0005915059	0.00058962917	0.00058962987	0.00059531216	0.00059340236	0.0005877216	0.0005896216	0.00059151097	0.0005896083	0.00059340807	0.0005877216	0.0005896203	0.00058962294	0.0005915155	0.0005953174	0.0005896203	0.0005915191	0.0005877216	0.0005877216	0.00058962294	0.00059152016	0.0005953104	0.00059151836	0.0005896216	0.0005953101	0.00059151853	0.00059244176	0.0005877216	0.0005896131	0.0005915277	0.0005934103	0.0005877216	0.0005896188	0.00058960676	0.000597239	0.00058962597	0.0005896153	0.0006047886	0.00058961724	0.0005915083	0.0005915352	0.00058783696	0.00058772217	0.0005915191	0.0005877216	0.0005877216	0.0005915068	0.0005877216	0.00058961543	0.00058962294	0.0005877216	0.0005877216	0.00059152633	0.00059340696	0.0005877216	0.0005896203	0.0005896218	0.00059150386	0.0005896259	0.0005877216	0.00059343706	0.0005915289	0.0005896188	0.00059152493	0.0005896286	0.0005877216	0.00059527555	0.0005896259	0.000589625	0.00058961724	0.00058772165	0.0005896216	0.0005877216	0.0005895972	0.0005877216	0.0005896057	0.0005972116	0.0005896188	0.00059912895	0.0005896188	0.0005877216	0.0005915128	0.00058962684	0.00059151097	0.0005896188	0.0005877216	0.0005877216	0.0005877216	0.0005915052	0.0005877216	0.0005896299	0.0005877216	0.0005896076	0.000589625	0.00058962684	0.00058962684	0.0005896105	0.00059151795	0.00059142214	0.0005934172	0.00058962766	0.91790146	0.00059532165	0.0005934034	0.0005896201	0.0005896283	0.00058961724	0.0005877216	0.0005896216	0.000591508	0.0005877216	0.0005896216	0.00059152715	0.00059150194	0.00058961724	0.0005896096	0.0005972041	0.0005877216	0.0005877216
0.000547742	0.00054424425	0.00054598204	0.0005494831	0.00055298605	0.0005494989	0.0005442326	0.0005459981	0.00054773997	0.0005442361	0.0005442421	0.0005424835	0.00054951693	0.00054423726	0.00054423616	0.00054598635	0.0005459807	0.0005442436	0.0005442413	0.0005424835	0.0005459841	0.0005459765	0.00054424425	0.0005442449	0.0005494898	0.000547727	0.0005424835	0.00054423726	0.00054598117	0.0005442249	0.0005477323	0.0005424835	0.0005442361	0.0005442385	0.00054598536	0.00054949464	0.0005442361	0.00054598873	0.0005424835	0.0005424835	0.0005442385	0.0005459897	0.0005494882	0.00054598803	0.00054423726	0.00054948794	0.0005459882	0.00054684037	0.0005424835	0.0005442294	0.0005459967	0.0005477343	0.0005424835	0.0005442347	0.0005442235	0.00055126834	0.0005442413	0.0005442315	0.0005582368	0.00054423325	0.0005459787	0.0005460035	0.00054259	0.00054248405	0.00054598873	0.0005424835	0.0005424835	0.0005459773	0.0005424835	0.00054423156	0.0005442385	0.0005424835	0.0005424835	0.00054599537	0.45871264	0.0005424835	0.0005442361	0.00054423744	0.00054597465	0.0005442413	0.0005424835	0.00054775906	0.00054599775	0.0005442347	0.0005459941	0.0005442437	0.0005424835	0.000549456	0.0005442413	0.0005442404	0.00054423325	0.0005424836	0.00054423726	0.0005424835	0.0005442148	0.0005424835	0.0005442226	0.0005512431	0.0005442347	0.0005530128	0.0005442347	0.0005424835	0.0005459829	0.0005442421	0.4660576	0.0005442347	0.0005424835	0.0005424835	0.0005424835	0.0005459759	0.0005424835	0.00054424495	0.0005424835	0.00054422434	0.0005442404	0.0005442421	0.0005442421	0.000544227	0.0005459877	0.0005458992	0.0005477407	0.00054424285	0.0005442374	0.00054949854	0.000547728	0.00054423587	0.00054424343	0.00054423325	0.0005424835	0.00054423726	0.0005459785	0.0005424835	0.00054423726	0.0005459962	0.00054597284	0.00054423325	0.0005442262	0.0005512361	0.0005424835	0.0005424835
0.0007914109	0.00078635715	0.000788868	0.0007939266	0.00079898786	0.00079394935	0.00078634033	0.0007888912	0.00079140795	0.0007863454	0.000786354	0.0007838131	0.0007939754	0.0007863471	0.00078634545	0.0007888742	0.0007888661	0.0007863562	0.0007863529	0.0007838131	0.00078887097	0.00078886	0.00078635715	0.00078635814	0.00079393625	0.00079138926	0.0007838131	0.0007863471	0.77005625	0.00078632927	0.00079139683	0.0007838131	0.0007863454	0.0007863488	0.0007888728	0.0007939432	0.0007863454	0.0007888777	0.0007838131	0.0007838131	0.0007863488	0.0007888791	0.0007939339	0.00078887667	0.0007863471	0.0007939336	0.0007888769	0.00079010817	0.0007838131	0.0007863357	0.0007888892	0.0007913998	0.0007838131	0.00078634336	0.00078632723	0.000796506	0.0007863529	0.0007863387	0.0008065744	0.0007863412	0.0007888632	0.0007888991	0.00078396697	0.0007838139	0.0007888777	0.0007838131	0.0007838131	0.00078886125	0.0007838131	0.0007863388	0.0007863488	0.0007838131	0.0007838131	0.00078888726	0.00079139543	0.0007838131	0.0007863454	0.12124217	0.00078885735	0.00078635284	0.0007838131	0.00079143554	0.00078889076	0.00078634336	0.0007888854	0.00078635634	0.0007838131	0.0007938874	0.00078635284	0.00078635156	0.0007863412	0.0007838132	0.0007863471	0.0007838131	0.00078631454	0.0007838131	0.0007863259	0.00079646945	0.00078634336	0.0007990265	0.00078634336	0.0007838131	0.0007888693	0.000786354	0.0007888668	0.00078634336	0.0007838131	0.0007838131	0.0007838131	0.00078885915	0.0007838131	0.00078635814	0.0007838131	0.0007863284	0.00078635156	0.000786354	0.000786354	0.00078633224	0.00078887615	0.0007887483	0.00079140905	0.0007863552	0.0007863472	0.0007939489	0.00079139066	0.000786345	0.000786356	0.0007863412	0.0007838131	0.0007863471	0.0007888629	0.0007838131	0.0007863471	0.0007888884	0.0007888547	0.0007863412	0.0007863311	0.00079645944	0.0007838131	0.0007838131
0.0010178009	0.0010113014	0.0010145305	0.0010210362	0.0010275452	0.0010210654	0.0010112798	0.0010145603	0.001017797	0.0010112863	0.0010112973	0.0010080297	0.0010210989	0.0010112885	0.0010112863	0.0010145385	0.0010145281	0.0010113001	0.001011296	0.0010080297	0.0010145343	0.0010145203	0.0010113014	0.0010113027	0.0010210486	0.001017773	0.0010080297	0.0010112885	0.0010145289	0.0010112656	0.0010177827	0.0010080297	0.0010112863	0.0010112907	0.0010145367	0.0010210575	0.0010112863	0.001014543	0.0010080297	0.0010080297	0.0010112907	0.0010145447	0.0010210456	0.0010145416	0.0010112885	0.0010210451	0.001014542	0.0010161254	0.0010080297	0.0010112738	0.0010145578	0.0010177866	0.0010080297	0.0010112837	0.001011263	0.0010243534	0.8591889	0.0010112777	0.0010373021	0.0010112809	0.0010145244	0.0010145705	0.0010082275	0.0010080306	0.001014543	0.0010080297	0.0010080297	0.0010145218	0.0010080297	0.0010112778	0.0010112907	0.0010080297	0.0010080297	0.0010145553	0.0010177809	0.0010080297	0.0010112863	0.0010112887	0.0010145168	0.0010112958	0.0010080297	0.0010178325	0.0010145598	0.0010112837	0.0010145529	0.0010113004	0.0010080297	0.0010209858	0.0010112958	0.0010112942	0.0010112809	0.0010080298	0.0010112885	0.0010080297	0.0010112466	0.0010080297	0.0010112613	0.0010243064	0.0010112837	0.001027595	0.0010112837	0.0010080297	0.0010145322	0.0010112973	0.0010145289	0.0010112837	0.0010080297	0.0010080297	0.0010080297	0.0010145191	0.0010080297	0.0010113027	0.0010080297	0.0010112644	0.0010112942	0.0010112973	0.0010112973	0.0010112694	0.001014541	0.0010143766	0.0010177984	0.0010112989	0.0010112886	0.0010210648	0.0010177748	0.0010112858	0.0010112999	0.0010112809	0.0010080297	0.0010112885	0.0010145239	0.0010080297	0.0010112885	0.0010145567	0.0010145134	0.0010112809	0.0010112679	0.0010242935	0.0010080297	0.0010080297
0.00079141045	0.0007863566	0.00078886753	0.00079392607	0.00079898734	0.0007939489	0.00078633986	0.0007888907	0.0007914074	0.00078634487	0.00078635354	0.0007838126	0.0007939749	0.00078634656	0.0007863449	0.0007888737	0.0007888656	0.0007863557	0.0007863524	0.0007838126	0.00078887044	0.00078885956	0.0007863566	0.0007863576	0.00079393573	0.00079138874	0.0007838126	0.00078634656	0.00078886625	0.00078632875	0.00079139636	0.0007838126	0.00078634487	0.00078634836	0.0007888723	0.0007939427	0.00078634487	0.0007888772	0.0007838126	0.0007838126	0.00078634836	0.0007888786	0.0007939334	0.00078887615	0.00078634656	0.00079393305	0.00078887644	0.0007901077	0.0007838126	0.0007863352	0.00078888866	0.0007913993	0.0007838126	0.00078634283	0.00078632677	0.00079650554	0.0007863524	0.0007863382	0.00080657395	0.00078634074	0.00078886276	0.00078889856	0.00078396645	0.00078381336	0.0007888772	0.0007838126	0.0007838126	0.0007888607	0.0007838126	0.0007863383	0.00078634836	0.0007838126	0.0007838126	0.0007888868	0.0007913949	0.0007838126	0.00078634487	0.0007863468	0.89051217	0.0007863523	0.0007838126	0.000791435	0.00078889023	0.00078634283	0.0007888849	0.0007863559	0.0007838126	0.0007938869	0.0007863523	0.0007863511	0.00078634074	0.0007838127	0.00078634656	0.0007838126	0.0007863141	0.0007838126	0.0007863254	0.0007964689	0.00078634283	0.00079902605	0.00078634283	0.0007838126	0.0007888688	0.00078635354	0.00078886625	0.00078634283	0.0007838126	0.0007838126	0.0007838126	0.0007888586	0.0007838126	0.0007863577	0.0007838126	0.0007863279	0.0007863511	0.00078635354	0.0007863537	0.0007863317	0.0007888756	0.0007887478	0.0007914086	0.00078635465	0.0007863467	0.0007939484	0.00079139014	0.0007863445	0.00078635546	0.00078634074	0.0007838126	0.00078634656	0.00078886235	0.0007838126	0.00078634656	0.0007888879	0.00078885426	0.00078634074	0.0007863306	0.0007964589	0.0007838126	0.0007838126
