topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.003617693	0.0035523118	0.0036936493	0.0037492518	0.0036338985	0.0035857428	0.0035239805	0.0034993526	0.9466602	0.0034436549	0.0034270561	0.0034011777	0.003536508	0.0034857332	0.0036075509	0.0035821663
0.0036176895	0.40462846	0.0036936458	0.0037492479	0.0036338945	0.0035857393	0.0035239775	0.0034993493	0.0038847944	0.27525592	0.0034270526	0.0034011742	0.003536504	0.003485729	0.27349466	0.0035821628
0.030128302	0.029583793	0.030760868	0.55465573	0.03026325	0.029862208	0.029347852	0.029142754	0.03235274	0.028678896	0.028540665	0.028325142	0.029452179	0.029029323	0.030043826	0.029832428
0.014719235	0.014453219	0.015028289	0.015254502	0.014785167	0.014589238	0.01433795	0.78140944	0.015805991	0.014011128	0.013943596	0.013838302	0.014388917	0.014182329	0.014677969	0.01457469
0.019776594	0.019419184	0.020191822	0.02049578	0.019865183	0.019601936	0.019264307	0.019129675	0.021236757	0.018825192	0.018734457	0.018592985	0.019332789	0.019055218	0.019721152	0.706757
0.16470894	0.004745316	0.76861507	0.0050083986	0.0048543024	0.0047899745	0.004707471	0.004674572	0.0051894635	0.0046001677	0.0045779957	0.0045434255	0.0047242055	0.0046563777	0.004819107	0.0047851983
0.004458328	0.0043777535	0.0045519336	0.0046204557	0.0044782986	0.0044189533	0.00434284	0.0043124887	0.0047874986	0.0042438484	0.0042233933	0.93366987	0.0043582777	0.0042957044	0.0044458294	0.0044145463
0.006459715	0.0063429703	0.0065953415	0.0066946233	0.0064886506	0.006402665	0.0062923837	0.0062484075	0.0069366544	0.006148954	0.006119316	0.9038936	0.006314752	0.006224088	0.006441606	0.0063962797
0.008329278	0.008178746	0.008504159	0.008632174	0.00836659	0.008255719	0.008113517	0.008056814	0.008944269	0.007928576	0.007890361	0.007830778	0.008142359	0.008025456	0.8765537	0.008247484
0.24384601	0.006342973	0.006595345	0.6671288	0.006488653	0.006402667	0.0062923855	0.006248411	0.0069366544	0.0061489563	0.006119319	0.00607311	0.006314754	0.0062240907	0.006441607	0.006396282
0.008329257	0.008178726	0.87675226	0.008632152	0.008366566	0.008255696	0.008113497	0.0080568	0.008944227	0.007928557	0.007890342	0.0078307595	0.008142338	0.008025436	0.008305906	0.008247462
0.8354449	0.0025795433	0.0026821776	0.002722553	0.0026387882	0.00260382	0.12818694	0.0025410869	0.0028209817	0.0025006412	0.0024885882	0.0024697962	0.0025680673	0.0025311967	0.0026196558	0.0026012228
0.030128343	0.029583845	0.030760922	0.031223968	0.030263308	0.029862262	0.029347906	0.0291428	0.032352798	0.028678946	0.55197173	0.028325193	0.029452233	0.02902937	0.030043894	0.029832482
0.009738514	0.009562511	0.70458233	0.16140987	0.0097821355	0.009652505	0.009486247	0.009419951	0.010457531	0.009270016	0.009225335	0.009155672	0.009519968	0.009383286	0.009711211	0.0096428795
0.030128306	0.029583806	0.030760875	0.031223929	0.030263264	0.029862227	0.55277956	0.029142765	0.032352757	0.028678907	0.028540678	0.028325157	0.029452192	0.029029336	0.03004384	0.029832454
0.0021389122	0.0021002565	0.0021838204	0.0022166944	0.0021484932	0.0021200222	0.15127681	0.0020689452	0.002296834	0.0020360143	0.002026201	0.0020109005	0.0020909125	0.11248823	0.708679	0.0021179079
0.0028909012	0.002838655	0.0029515983	0.00299603	0.002903851	0.00286537	0.0028160159	0.0027963354	0.0031043459	0.002751827	0.0027385633	0.0027178836	0.2679212	0.0027854515	0.0028827968	0.69203913
0.004458327	0.004377753	0.004551933	0.0046204547	0.9339567	0.0044189524	0.004342839	0.0043124883	0.0047874968	0.004243848	0.004223393	0.0041915006	0.0043582777	0.004295703	0.0044458285	0.0044145454
0.030128354	0.029583855	0.5541917	0.031223979	0.030263362	0.029862275	0.029347913	0.02914281	0.03235283	0.028678956	0.028540721	0.028325202	0.029452242	0.02902938	0.030043893	0.02983249
0.0018037736	0.0017711743	0.001841645	0.0018693679	0.0018118529	0.0017878428	0.0017570484	0.0017447689	0.001936952	0.0017169979	0.001708722	0.0016958188	0.79910904	0.0017379776	0.001798716	0.17590833
0.004832652	0.004745313	0.0049341177	0.0050083925	0.0048542996	0.0047899717	0.0047074677	0.0046745683	0.0051894602	0.0046001654	0.0045779925	0.5570775	0.0047242017	0.3756796	0.004819105	0.0047851945
0.6488074	0.005180251	0.0053863605	0.0054674437	0.0052992254	0.0052290023	0.005138936	0.005103022	0.005665108	0.005021798	0.2780167	0.0049598548	0.0051572034	0.0050831605	0.0052608047	0.005223787
0.0048326585	0.32607335	0.0049341246	0.0050083995	0.004854306	0.004789978	0.60693663	0.004674575	0.005189468	0.004600171	0.004577998	0.0045434283	0.0047242087	0.0046563796	0.00481911	0.0047852006
0.00727633	0.007144827	0.8923324	0.0075409384	0.007308924	0.0072120694	0.0070878454	0.00703831	0.007813562	0.0069262832	0.0068929004	0.0068408484	0.0071130404	0.007010917	0.007255933	0.0072048763
0.005807915	0.005702949	0.0059298556	0.0060191215	0.0058339303	0.0057566226	0.0056574666	0.0056179287	0.00623673	0.0055285096	0.2905087	0.005460316	0.0056775776	0.005596062	0.005791632	0.6288747
