topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.003215224	0.0031939358	0.0032316507	0.0033890796	0.003292601	0.0032226974	0.0030955255	0.003136794	0.94558465	0.0031242808	0.003059696	0.0030249301	0.0032010684	0.0031848887	0.0033172988	0.0032205312	0.0031838545	0.0033213154
0.0032152224	0.0031939342	0.003231649	0.0033890777	0.003292599	0.0032226958	0.003095524	0.0031367925	0.0034597407	0.94524914	0.0030596943	0.0030249285	0.0032010663	0.0031848869	0.0033172974	0.0032205295	0.0031838526	0.0033213135
0.02664179	0.02646539	0.0267779	0.028082384	0.027282942	0.026703712	0.025649948	0.025991905	0.028667899	0.025888218	0.545792	0.025064984	0.026524488	0.026390422	0.02748759	0.026685763	0.026381854	0.027520873
0.013054089	0.012967658	0.0131207835	0.013759958	0.013368245	0.013084431	0.012568102	0.32047743	0.014046854	0.012684851	0.0124226315	0.012281478	0.012996614	0.012930924	0.013468521	0.013075637	0.47020698	0.013484829
0.01752245	0.017406434	0.017611973	0.01846994	0.01794414	0.01756318	0.016870113	0.01709502	0.018855035	0.017026825	0.016674848	0.016485378	0.017445302	0.017357128	0.018078739	0.70214134	0.017351491	0.018100632
0.39437637	0.0042655966	0.004315966	0.081635036	0.0043973667	0.0043040086	0.0041341665	0.0041892817	0.004620589	0.00417257	0.004086315	0.004039884	0.0042751217	0.0042535136	0.004430351	0.004301116	0.459767	0.0044357157
0.003961708	0.003935477	0.0039819484	0.0041759275	0.0040570498	0.0039709164	0.003814219	0.0038650688	0.0042629964	0.0038496503	0.0037700706	0.003727233	0.0039442657	0.93261224	0.0040874816	0.003968247	0.0039230553	0.0040924307
0.0057379655	0.005699974	0.0057672807	0.006048232	0.005876054	0.0057513025	0.0055243485	0.0055979975	0.0061743385	0.0055756657	0.005460406	0.45862713	0.005712703	0.005683828	0.44940606	0.0057474365	0.0056819823	0.005927298
0.007395997	0.007347028	0.0074337837	0.0077959173	0.007573988	0.0074131885	0.007120654	0.0072155837	0.007958465	0.0071868	0.0070382347	0.0069582625	0.007363434	0.007326216	0.8745004	0.007408205	0.0073238374	0.0076400395
0.32477117	0.005699972	0.005767279	0.58372974	0.005876052	0.0057513006	0.005524347	0.0055979956	0.006174336	0.0055756643	0.005460405	0.0053983605	0.0057127005	0.0056838263	0.005920128	0.005747435	0.0056819804	0.0059272964
0.0073959837	0.0073470147	0.00743377	0.0077959034	0.0075739734	0.0074131745	0.007120641	0.007215571	0.007958449	0.0071867867	0.007038222	0.0069582504	0.0073634204	0.007326203	0.007630786	0.007408192	0.8741936	0.0076400256
0.0023352052	0.0023197436	0.0023471357	0.0024614758	0.0023914035	0.79413235	0.0022482686	0.0022782416	0.0025127977	0.0022691533	0.0022222456	0.16837086	0.0023249236	0.0023131724	0.0024093415	0.0023390597	0.0023124213	0.0024122589
0.026641823	0.026465427	0.026777938	0.028082414	0.02728298	0.026703749	0.025649983	0.02599194	0.028667938	0.025888253	0.025353095	0.02506502	0.026524525	0.02639046	0.5479259	0.026685799	0.02638189	0.02752091
0.008645015	0.008587775	0.85307604	0.009112484	0.008853063	0.008665108	0.008323172	0.008434134	0.009302468	0.008400489	0.008226834	0.008133356	0.008606952	0.008563449	0.00891947	0.008659285	0.008560669	0.00893027
0.026641818	0.026465422	0.02677793	0.028082412	0.027282974	0.026703743	0.02564998	0.025991935	0.02866793	0.02588825	0.025353089	0.025065014	0.02652452	0.026390454	0.027487623	0.54712415	0.026381884	0.027520906
0.0019014959	0.0018889061	0.0019112106	0.0020043147	0.0019472567	0.0019059156	0.37012762	0.001855112	0.0020461048	0.0018477116	0.0018095159	0.0017889552	0.001893124	0.24916509	0.35215583	0.0019046345	0.0018829437	0.0019642387
0.0025696459	0.002552632	0.0025827743	0.0027085934	0.0026314864	0.0025756187	0.0024739814	0.0025069637	0.0027650679	0.002496963	0.002445346	0.0024175607	0.0025583322	0.0025454015	0.002651225	0.9563194	0.002544575	0.0026544353
0.0039617047	0.003935474	0.003981945	0.0041759238	0.93274504	0.003970913	0.0038142155	0.0038650653	0.0042629926	0.0038496468	0.0037700674	0.0037272298	0.003944262	0.003924326	0.004087478	0.003968244	0.0039230515	0.004092427
0.026641894	0.026465496	0.02677801	0.028082492	0.027283054	0.02670382	0.54608697	0.02599201	0.028668016	0.025888322	0.025353162	0.025065085	0.026524598	0.02639053	0.027487703	0.026685871	0.026381962	0.027520984
0.0016036573	0.0015930395	0.0016118503	0.0016903712	0.0016422506	0.0016073848	0.0015439553	0.13596565	0.0017256157	0.0015582974	0.0015260845	0.0015087443	0.5846174	0.0015885269	0.0016545691	0.25531805	0.001588011	0.0016565725
0.004294025	0.004265594	0.004315963	0.0045262137	0.004397364	0.0043040058	0.0041341637	0.0041892794	0.004620586	0.0041725673	0.0040863124	0.0040398818	0.004275119	0.9269596	0.0044303485	0.0043011126	0.0042521297	0.0044357125
0.004687202	0.004656168	0.004711149	0.0049406514	0.004800003	0.40738428	0.004512704	0.5175155	0.0050436645	0.0045546237	0.0044604708	0.0044097886	0.0046665655	0.004642979	0.004836008	0.004694939	0.004641471	0.0048418636
0.004294034	0.66595685	0.0043159723	0.0045262235	0.0043973736	0.004304015	0.004134173	0.26520398	0.0046205963	0.0041725766	0.004086321	0.00403989	0.0042751282	0.00425352	0.0044303583	0.0043011224	0.004252139	0.0044357223
0.0064623347	0.0064195474	0.8901712	0.0068117706	0.006617856	0.006477356	0.006221751	0.006304697	0.0069537964	0.0062795463	0.0061497362	0.0060798596	0.0064338823	0.0064013633	0.0066674966	0.006473002	0.006399286	0.00667557
0.0051596267	0.0051254644	0.0051859873	0.005438621	0.005283797	0.30459478	0.004967541	0.0050337664	0.0055520176	0.0050136857	0.0049100434	0.0048542526	0.00513691	0.005110946	0.0053234305	0.0051681437	0.0051092864	0.6130317
0.013054085	0.012967654	0.013120779	0.013759954	0.0133682415	0.013084427	0.0125680985	0.012735653	0.01404685	0.012684847	0.012422628	0.012281475	0.01299661	0.012930921	0.013468517	0.7780977	0.012926722	0.013484824
0.005159626	0.0051254635	0.0051859864	0.9125636	0.0052837958	0.005171619	0.0049675396	0.0050337655	0.0055520157	0.0050136847	0.0049100425	0.0048542516	0.005136909	0.005110945	0.0053234296	0.0051681423	0.0051092855	0.0053298753
0.0130540915	0.012967659	0.013120784	0.01375996	0.013368249	0.7781064	0.012568105	0.012735658	0.014046857	0.012684854	0.012422633	0.012281481	0.012996617	0.012930935	0.013468523	0.013075639	0.0129267275	0.013484831
0.0051596323	0.00512547	0.005185993	0.483897	0.0052838027	0.005171625	0.004967546	0.4337003	0.0055520227	0.005013691	0.0049100486	0.0048542577	0.0051369155	0.005110951	0.005323436	0.0051681492	0.0051092915	0.0053298827
0.017522454	0.7019963	0.017611977	0.018469939	0.01794415	0.017563183	0.016870117	0.017095024	0.018855039	0.017026829	0.016674852	0.016485384	0.017445307	0.017357131	0.018078744	0.017551377	0.017351495	0.018100634
0.0027054471	0.0026875343	0.0027192694	0.0028517374	0.002770556	0.0027117357	0.002604727	0.75200295	0.0029111968	0.002628923	0.0025745782	0.0025453244	0.20463108	0.0026799215	0.002791338	0.0027099128	0.0026790511	0.0027947177
0.001282294	0.0012738039	0.0012888453	0.001351631	0.0013131534	0.9373815	0.001234556	0.0012510146	0.0013798127	0.0012460242	0.0012202665	0.0012064012	0.0012766484	0.04209222	0.0013230033	0.0012844107	0.0012697832	0.0013246054
0.026641788	0.54690427	0.0267779	0.028082378	0.027282942	0.026703713	0.02564995	0.025991905	0.028667904	0.02588822	0.025353061	0.025064986	0.02652449	0.026390424	0.02748759	0.026685767	0.026381856	0.027520876
0.005737969	0.0056999777	0.0057672844	0.0060482356	0.005876058	0.005751306	0.0055243527	0.0055980007	0.0061743422	0.0055756695	0.00546041	0.0053983657	0.005712706	0.5461907	0.0059201345	0.0057474403	0.3618898	0.0059273024
0.055554517	0.05518669	0.055838346	0.05855849	0.05689148	0.055683646	0.0534863	0.054199357	0.059779443	0.05398315	0.05286721	0.05226651	0.05530992	0.055030365	0.05731822	0.05564622	0.055012494	0.057387624
0.82316935	0.010332724	0.010454735	0.010964034	0.010651915	0.010425771	0.010014356	0.010147864	0.011192636	0.010107382	0.009898444	0.009785972	0.010355798	0.0103034545	0.010731815	0.010418762	0.010300111	0.01074481
0.008645008	0.8529748	0.008689175	0.009112465	0.0088530565	0.0086651025	0.008323166	0.008434127	0.009302462	0.008400482	0.008226829	0.008133351	0.008606946	0.008563443	0.0089194635	0.008659278	0.008560662	0.008930264
0.008645004	0.85297483	0.008689172	0.0091124615	0.008853053	0.008665098	0.008323162	0.008434123	0.009302458	0.008400478	0.008226824	0.008133347	0.008606941	0.008563438	0.00891946	0.008659273	0.008560658	0.008930259
0.00646232	0.0064195325	0.006495336	0.006811755	0.0066178404	0.006477341	0.0062217363	0.0063046827	0.0069537805	0.006279532	0.0061497223	0.88975596	0.006433868	0.0064013484	0.0066674813	0.006472987	0.0063992697	0.0066755544
0.0032152212	0.003193933	0.003231648	0.0033890763	0.0032925978	0.0032226946	0.0030955228	0.0031367913	0.0034597395	0.003124278	0.0030596931	0.0030249273	0.0032010651	0.0031848857	0.0033172958	0.0032205284	0.0031838515	0.94544625
0.0073959846	0.0073470157	0.0074337707	0.4951885	0.0075739743	0.007413176	0.007120642	0.007215572	0.007958449	0.0071867877	0.007038223	0.0069582514	0.007363422	0.38680342	0.007630787	0.007408193	0.0073238253	0.0076400265
0.005737963	0.0056999717	0.0057672784	0.006048229	0.0058760513	0.0057513	0.005524346	0.005597995	0.35443553	0.0055756634	0.5539139	0.00539836	0.0057127	0.005683826	0.0059201275	0.005747434	0.00568198	0.0059272964
0.0042940225	0.0042655915	0.0043159607	0.0045262114	0.9271036	0.0043040034	0.004134162	0.0041892766	0.0046205833	0.004172565	0.00408631	0.0040398794	0.0042751166	0.0042535085	0.0044303457	0.0043011103	0.0042521274	0.00443571
0.0039617023	0.0039354716	0.003981943	0.004175922	0.0040570437	0.003970911	0.0038142137	0.0038650634	0.004262991	0.003849645	0.0037700655	0.003727228	0.00394426	0.003924324	0.0040874756	0.003968242	0.0039230497	0.93278044
0.005737968	0.3093784	0.005767283	0.0060482346	0.0058760564	0.59878755	0.0055243513	0.005598	0.006174342	0.005575668	0.0054604085	0.0053983647	0.0057127047	0.0056838305	0.005920133	0.0057474393	0.005681985	0.0059273015
