topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.0023804	0.0023371964	0.0023860892	0.0023894375	0.002455803	0.0023559176	0.0022947714	0.002287738	0.94345504	0.0023119217	0.0022945441	0.0022946894	0.0023807946	0.0022866917	0.0023536582	0.0023292322	0.0023199434	0.002348247	0.0024843812	0.0023530554	0.0024239076	0.0023965556	0.0023545225	0.0023121159	0.00241334
0.0023803997	0.5356637	0.002386089	0.0023894373	0.002455803	0.0023559176	0.0022947714	0.002287738	0.0024982628	0.0023119214	0.002294544	0.0022946892	0.0023807946	0.0022866915	0.002353658	0.0023292322	0.0023199432	0.002348247	0.41011462	0.0023530554	0.0024239074	0.0023965554	0.0023545225	0.0023121156	0.0024133397
0.01954774	0.019192953	0.019594459	0.019621955	0.020166947	0.019346692	0.018844562	0.018786805	0.020515624	0.018985398	0.018842693	0.018843887	0.019550981	0.01877821	0.019328136	0.019127551	0.019051272	0.0192837	0.020401629	0.019323187	0.019905021	0.53482014	0.019335235	0.018986993	0.01981824
0.009628103	0.009453356	0.009651114	0.0096646575	0.00993309	0.009529079	0.009281758	0.00925331	0.0101048285	0.009351126	0.009280838	0.009281427	0.0096297	0.009249077	0.009519939	0.009421143	0.009383571	0.009498053	0.01004868	0.77070296	0.00980408	0.009693449	0.009523436	0.009351912	0.009761337
0.012901612	0.012667451	0.012932447	0.012950595	0.013310293	0.01276892	0.012437511	0.01239939	0.013540422	0.012530464	0.012436278	0.012437066	0.012903751	0.012393719	0.012756674	0.012624286	0.012573941	0.012727345	0.013465183	0.012753407	0.013137421	0.6929788	0.012761358	0.012531517	0.013080144
0.003177772	0.0031200964	0.003185367	0.0031898369	0.0032784333	0.003145089	0.00306346	0.0030540708	0.003335116	0.0030863553	0.0030631565	0.0030633507	0.003178299	0.0030526738	0.0031420724	0.0031094644	0.0030970639	0.0031348488	0.003316584	0.9243201	0.0032358535	0.0031993394	0.0031432265	0.0030866144	0.003221746
0.002932219	0.002879	0.002939227	0.0029433516	0.0030251022	0.0029020614	0.0028267403	0.0028180764	0.0030774048	0.0028478662	0.0028264602	0.0028266392	0.23136452	0.0028167875	0.002899278	0.0028691897	0.0028577475	0.0028926125	0.701898	0.0028985357	0.0029858125	0.0029521198	0.002900343	0.0028481055	0.0029727952
0.004243991	0.0041669635	0.004254134	0.0042601037	0.0043784264	0.0042003416	0.0040913243	0.0040787845	0.0044541275	0.0041219015	0.004090919	0.8988236	0.0042446945	0.004076919	0.004196313	0.004152764	0.0041362033	0.0041866656	0.0044293776	0.0041952385	0.00432156	0.0042727944	0.004197854	0.0041222475	0.004302719
0.00546683	0.0053676083	0.0054798955	0.0054875854	0.005640001	0.0054106037	0.005270175	0.0052540223	0.0057375142	0.0053095627	0.005269653	0.005269987	0.0054677366	0.005251619	0.005405415	0.005349318	0.005327985	0.0053929877	0.005705633	0.0054040304	0.0055667497	0.005503933	0.8698087	0.005310009	0.00554248
0.004243994	0.004166967	0.0042541376	0.45416403	0.00437843	0.004200345	0.004091328	0.004078788	0.0044541312	0.0041219047	0.0040909224	0.004091182	0.004244698	0.0040769223	0.0041963165	0.004152768	0.0041362066	0.0041866694	0.0044293813	0.004195242	0.0043215635	0.44910127	0.004197858	0.004122251	0.004302723
