topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.0014892508	0.0015204701	0.0015201615	0.0015255245	0.0015513893	0.0015109912	0.0014944784	0.0014893931	0.9412326	0.0014948794	0.0014791589	0.001478274	0.0015309277	0.0015048551	0.0014937175	0.0015153774	0.001489036	0.0015364253	0.0015100858	0.0014997267	0.0015360387	0.0015150649	0.0015101662	0.0014997724	0.0015104287	0.0015309186	0.001483954	0.0014841963	0.0015098469	0.0014840622	0.0015305851	0.0015203436	0.0014995583	0.0015101188	0.0014888891	0.0015045052	0.0015207401	0.0015104291	0.001484026	0.001499624
0.0014892515	0.0015204708	0.0015201622	0.0015255252	0.0015513899	0.001510992	0.001494479	0.0014893938	0.0015974806	0.0014948801	0.0014791596	0.0014782746	0.0015309283	0.0015048558	0.0014937181	0.001515378	0.0014890367	0.001536426	0.0015100864	0.0014997274	0.0015360393	0.0015150654	0.0015101669	0.001499773	0.0015104294	0.0015309192	0.0014839546	0.0014841969	0.0015098475	0.0014840628	0.0015305858	0.65868217	0.0014995589	0.0015101195	0.2839622	0.0015045058	0.0015207407	0.0015104298	0.0014840267	0.0014996247
0.012107016	0.012360816	0.012358307	0.012401906	0.012612176	0.012283756	0.012149513	0.012108171	0.012986875	0.012152773	0.012024972	0.012017778	0.012445832	0.012233872	0.012143328	0.012319414	0.012105269	0.012490525	0.012276394	0.012192179	0.012487382	0.52157456	0.012277049	0.012192552	0.012279184	0.012445758	0.012063954	0.012065924	0.0122744525	0.012064833	0.012443047	0.012359787	0.012190811	0.012276664	0.0121040745	0.012231027	0.01236301	0.012279186	0.01206454	0.012191345
0.0059979823	0.006123719	0.0061224755	0.006144075	0.006248246	0.006085542	0.0060190363	0.005998555	0.0064338767	0.006020651	0.0059573366	0.005953773	0.0061658365	0.006060829	0.006015972	0.0061032074	0.005997117	0.006187978	0.006081895	0.006040174	0.006186421	0.0061019487	0.006082219	0.006040358	0.0060832766	0.7630453	0.005976649	0.0059776246	0.006080933	0.005977085	0.0061644567	0.006123209	0.0060394956	0.0060820286	0.0059965253	0.006059419	0.0061248057	0.006083278	0.005976939	0.0060397605
0.008021834	0.008189997	0.008188334	0.008217222	0.008356542	0.008138939	0.008049993	0.008022601	0.00860481	0.008052153	0.007967474	0.007962707	0.008246326	0.008105887	0.008045894	0.008162565	0.008020678	0.008275939	0.0081340615	0.68292356	0.008273857	0.008160881	0.008134495	0.008078509	0.008135909	0.008246277	0.007993303	0.007994608	0.008132774	0.007993885	0.008244481	0.008189315	0.008077355	0.008134239	0.008019886	0.008104001	0.0081914505	0.008135911	0.007993691	0.008077709
0.0019871758	0.0020288331	0.0020284213	0.0020355773	0.0020700898	0.002016185	0.0019941512	0.0019873655	0.0021315909	0.0019946862	0.0019737096	0.0019725289	0.0020427871	0.0020079974	0.0019931358	0.0020220375	0.0019868892	0.0020501227	0.0020149767	0.002001154	0.0020496068	0.411934	0.002015084	0.0020012152	0.0020154344	0.5115828	0.001980108	0.0019804311	0.002014658	0.0019802523	0.0020423299	0.002028664	0.0020009296	0.002015021	0.0019866931	0.00200753	0.0020291933	0.002015435	0.001980204	0.002001017
0.0018338878	0.0018723317	0.0018719516	0.0018785557	0.001910406	0.0018606592	0.001840325	0.0018340629	0.0019671628	0.0018408188	0.0018214603	0.0018203707	0.084452115	0.6440595	0.001839388	0.0018660604	0.0018336232	0.0018919791	0.0018595441	0.0018467879	0.001891503	0.0018656754	0.0018596433	0.0018468441	0.0018599665	0.001885198	0.0018273651	0.0018276634	0.00185925	0.20271994	0.0018847875	0.0018721758	0.0018465805	0.0018595849	0.0018334422	0.0018526721	0.0018726641	0.001859967	0.0018274537	0.0018466613
0.0026522558	0.0027078553	0.0027073056	0.0027168568	0.0027629202	0.002690974	0.0026615656	0.0026525091	0.0028450044	0.0026622799	0.0026342827	0.0026327067	0.117322154	0.002680046	0.7805588	0.0026987854	0.0026518733	0.0027362704	0.0026893613	0.0026709125	0.0027355817	0.0026982287	0.0026895045	0.002670994	0.002689972	0.0027264631	0.0026428225	0.002643254	0.002688936	0.002643015	0.0027258694	0.00270763	0.0026706127	0.0026894202	0.0026516116	0.0026794225	0.0027083359	0.0026899728	0.0026429507	0.0026707295
0.0034139997	0.0034855676	0.0034848603	0.0034971545	0.0035564476	0.003463838	0.0034259832	0.0034143256	0.003662107	0.0034269027	0.0033908645	0.003388836	0.0035095408	0.0034497713	0.003424239	0.0034738928	0.0034135072	0.0035221437	0.003461762	0.0034380148	0.0035212573	0.0034731764	0.0034619465	0.0034381195	0.0034625484	0.0035095199	0.003401857	0.0034024124	0.0034612145	0.003402105	0.0035087555	0.0034852775	0.0034376287	0.003461838	0.0034131703	0.003448969	0.8651041	0.0034625493	0.003402022	0.0034377794
0.002652252	0.0027078516	0.0027073019	0.002716853	0.0027629163	0.0026909702	0.0026615618	0.0026525054	0.0028450005	0.0026622762	0.002634279	0.0026327032	0.0027264757	0.0026800423	0.002660207	0.0026987817	0.0026518696	0.0027362665	0.0026893576	0.0026709088	0.002735578	0.89519256	0.0026895008	0.0026709903	0.0026899686	0.0027264594	0.0026428187	0.0026432502	0.0026889322	0.0026430115	0.0027258655	0.002707626	0.002670609	0.0026894165	0.0026516079	0.0026794188	0.0027083321	0.002689969	0.002642947	0.002670726
