topic_0	topic_1	topic_2	topic_3
0.011066605	0.27905965	0.6967188	0.013154912
0.011133612	0.69263715	0.2830076	0.013221629
0.099697284	0.104468435	0.11218857	0.6836457
0.0465376	0.050764337	0.84811074	0.054587286
0.06305044	0.7863812	0.07087324	0.07969514
0.20784166	0.015604937	0.6010674	0.175486
0.013635651	0.95488894	0.015286995	0.016188383
0.019900432	0.9341327	0.022322819	0.023644028
0.91246134	0.027566396	0.029719103	0.030253166
0.24180593	0.020911612	0.022392945	0.71488947
0.025745308	0.02713028	0.91697294	0.03015145
0.7779249	0.2034104	0.009071913	0.009592772
0.09907941	0.10543456	0.67771953	0.11776646
0.030416919	0.03176509	0.90074754	0.03707048
0.09892265	0.10631611	0.11324766	0.68151355
0.0065192846	0.64811224	0.0073291436	0.33803934
0.00882654	0.009359504	0.010065789	0.9717482
0.013639767	0.16508038	0.80510026	0.016179604
0.09943142	0.10463491	0.6793495	0.1165842
0.114337124	0.8728206	0.006229233	0.0066129905
0.0147803435	0.9509892	0.016648948	0.017581541
0.6432108	0.017334288	0.018327203	0.3211277
0.01487549	0.015812118	0.9518089	0.017503448
0.02253145	0.023794973	0.9261062	0.027567348
0.7613358	0.018961875	0.020474304	0.19922808
0.046263233	0.8451972	0.052626092	0.05591348
0.017827118	0.018820526	0.020154357	0.943198
0.046298657	0.049244083	0.053643458	0.8508138
0.017833762	0.018826805	0.020074802	0.94326466
0.06290105	0.067001484	0.7960701	0.07402735
0.00931576	0.13020074	0.010580757	0.84990275
0.00440596	0.0046418435	0.004943117	0.98600906
0.09973208	0.6736772	0.11100015	0.11559056
0.020052893	0.51299673	0.44309247	0.023857888
0.2299943	0.24289313	0.2581876	0.268925
0.8765652	0.038482238	0.041876767	0.043075774
0.030491201	0.8992963	0.03462574	0.035586834
0.030236585	0.90040916	0.033959404	0.035394814
0.02248143	0.9253363	0.025127256	0.027055005
0.011165963	0.96347886	0.012359643	0.012995499
0.025722707	0.027460964	0.028852025	0.9179643
0.019898076	0.02116722	0.023384977	0.93554974
0.014778891	0.015801083	0.95164317	0.017776841
0.5713733	0.39723665	0.015291544	0.016098544
0.019974107	0.44081026	0.5158263	0.023389377
0.014870377	0.015688652	0.9520833	0.01735765
0.030398842	0.62565935	0.034112614	0.30982918
0.7395609	0.011773387	0.23559003	0.01307568
0.6910645	0.017300792	0.27232936	0.019305341
0.02595521	0.91473085	0.029042315	0.030271601
0.84068626	0.049939796	0.054465286	0.054908656
0.064660266	0.7898902	0.07082303	0.074626476
0.017843695	0.6657241	0.29498336	0.02144889
0.020015886	0.021219874	0.9352106	0.023553716
0.50826025	0.46801525	0.011617054	0.012107387
0.030174982	0.031833865	0.9021655	0.035825692
0.046939664	0.04934472	0.8491411	0.054574497
0.9390506	0.019161072	0.020105857	0.021682441
0.09970509	0.10446853	0.1121915	0.6836349
0.8758187	0.03928509	0.041375678	0.0435205
0.50611204	0.010436432	0.0111589	0.47229263
0.2299943	0.24289313	0.2581876	0.268925
0.03661102	0.0386792	0.041163076	0.8835467
0.12374916	0.85701203	0.009413159	0.00982562
0.02596241	0.027441954	0.33374184	0.6128538
0.843024	0.049366307	0.051898133	0.055711538
0.017791566	0.018796278	0.02014253	0.94326967
0.016171573	0.9464738	0.018368393	0.01898631
0.02260489	0.26839125	0.025281586	0.68372226
0.016225256	0.01721713	0.018575706	0.94798195
0.04667447	0.04925732	0.84889776	0.055170428
0.7018334	0.012399881	0.27158386	0.01418284
0.011893833	0.96062684	0.013309049	0.014170273
0.06359663	0.0666646	0.7955031	0.074235715
0.012728241	0.01354374	0.9584071	0.015320932
0.03646322	0.038642567	0.88205284	0.04284137
0.95385313	0.014583264	0.015477133	0.016086472
0.022450304	0.023848256	0.5175595	0.43614194
0.030192588	0.9002549	0.034125105	0.035427388
0.011931753	0.012579207	0.9612143	0.014274726
0.017987246	0.019121973	0.020410703	0.94248
0.82009274	0.011089722	0.1563509	0.012466619
0.939913	0.018931275	0.020068714	0.02108703
0.022442676	0.023837514	0.927395	0.026324825
0.06337274	0.7881248	0.07385133	0.0746511
0.019988086	0.9341519	0.022502134	0.023357857
0.009325976	0.009919825	0.19716606	0.7835882
0.06365593	0.066786945	0.79205275	0.07750438
0.0105217155	0.0111188125	0.011818939	0.9665406
0.01785778	0.019024752	0.020180449	0.9429371
0.014906782	0.09185297	0.016962884	0.8762773
0.4876289	0.47768986	0.016879175	0.01780204
0.030192064	0.0321688	0.9022027	0.035436425
0.016173448	0.9461503	0.018140769	0.019535448
0.014984086	0.015743323	0.9517048	0.017567804
0.8963804	0.032401547	0.034465667	0.036752358
0.21402425	0.017251961	0.74960464	0.019119136
0.93247116	0.020920737	0.022766339	0.023841813
0.016263638	0.017244987	0.9473592	0.019132178
0.047816537	0.04973076	0.053279523	0.8491732
0.030409379	0.032177843	0.03466793	0.9027449
0.66780627	0.10450667	0.11157863	0.11610843
0.016286947	0.7753397	0.01844263	0.1899307
0.09942271	0.1046348	0.6793568	0.1165857
0.019956768	0.93422014	0.022510586	0.023312503
0.9684682	0.009850136	0.010471316	0.011210335
0.019832766	0.021222344	0.9330417	0.025903186
0.013772235	0.5540394	0.41582936	0.016359001
0.010409545	0.4014326	0.011694428	0.5764634
0.025741233	0.027541151	0.91633695	0.030380657
0.8842399	0.056166586	0.029174017	0.030419482
0.036543697	0.039040316	0.88162893	0.042787045
0.013619589	0.014463558	0.9555588	0.016358042
0.5072814	0.015731918	0.016869709	0.46011695
0.012757185	0.013378727	0.9589115	0.01495261
0.016154952	0.017053204	0.018206822	0.94858503
0.92269206	0.024016201	0.025942218	0.027349565
0.0056899595	0.006062274	0.006410215	0.9818375
0.099121444	0.10521813	0.67958814	0.11607226
0.063200854	0.79099566	0.071280845	0.0745226
0.017962486	0.018850418	0.020233218	0.9429538
0.037526958	0.038622614	0.04147244	0.882378
0.0224778	0.9255953	0.025154896	0.026772011
0.005526191	0.005872694	0.7827832	0.20581788
0.017825078	0.50935215	0.019967817	0.45285493
0.046416085	0.04959069	0.053853985	0.8501392
0.9686678	0.009827311	0.010504507	0.011000427
0.40608257	0.5595034	0.016916653	0.017497389
0.48539442	0.032247275	0.44693702	0.035421267
0.5971941	0.027404997	0.029032335	0.34636858
0.012669277	0.9580656	0.014429675	0.014835371
0.06284907	0.067029886	0.796543	0.07357803
0.09956086	0.67081004	0.1115971	0.118032016
0.78522664	0.066867255	0.07349532	0.07441079
0.2299943	0.24289313	0.2581876	0.268925
0.025800016	0.91543806	0.028784985	0.029976953
0.6667816	0.008949251	0.009494213	0.3147749
0.022571761	0.5644004	0.02559477	0.3874331
0.02605516	0.9145208	0.029282793	0.030141244
0.030321138	0.48545167	0.034354698	0.4498725
0.010397216	0.28831416	0.011917894	0.6893707
0.008826542	0.009359509	0.010068152	0.97174585
0.03665054	0.87856364	0.04130684	0.043478977
0.011883703	0.9607287	0.013502645	0.013884937
0.046588894	0.846349	0.052714977	0.05434713
0.009865453	0.010432851	0.7044253	0.27527648
0.025828814	0.027058385	0.9168547	0.030258123
0.017997386	0.018853476	0.9420538	0.021095376
0.011868547	0.012502078	0.01350881	0.96212053
0.046264984	0.048664268	0.8509571	0.05411363
0.06372791	0.06818166	0.7940083	0.07408219
0.099978395	0.6701887	0.11320567	0.11662718
0.026022673	0.027444053	0.029769866	0.9167634
0.93962586	0.018820846	0.02056754	0.020985778
0.030449955	0.032076877	0.0341396	0.90333354
0.20529713	0.015639028	0.7615551	0.017508771
0.063140154	0.06643629	0.07256446	0.7978591
0.06384058	0.06774522	0.7936461	0.074768156
0.01996631	0.5045212	0.02259327	0.45291921
0.1688006	0.027863024	0.77302337	0.030313028
0.017915081	0.94042206	0.020460205	0.021202678
0.030461986	0.8994133	0.034227904	0.03589686
0.09912106	0.10520809	0.6795991	0.11607178
0.010444082	0.22629754	0.750922	0.012336337
0.030392556	0.031896025	0.47646514	0.46124628
0.063743144	0.45428196	0.071564645	0.41041026
0.92353857	0.0239209	0.025801124	0.026739463
0.014910242	0.9502314	0.016778061	0.018080378
0.022501469	0.9255411	0.02510095	0.026856484
0.7904415	0.015744831	0.016810495	0.17700316
0.046516687	0.845347	0.0531496	0.054986775
0.54546773	0.4132272	0.020224284	0.021080717
0.04650428	0.22646275	0.052415952	0.674617
0.014783563	0.95121837	0.016672865	0.017325165
0.30754524	0.0093903085	0.67269987	0.010364552
0.03689143	0.038854577	0.88031405	0.043939978
0.025676858	0.02721602	0.02920175	0.9179054
0.046375312	0.04879189	0.052183643	0.85264915
0.013809498	0.0144171035	0.955616	0.016157368
0.28181228	0.021094713	0.022474598	0.6746184
0.01791095	0.018862834	0.24823174	0.7149945
0.21082346	0.023792522	0.025554048	0.73982996
0.011052331	0.72366685	0.25201407	0.013266719
0.26445618	0.0098939715	0.7145061	0.011143805
0.037165444	0.038664166	0.5449372	0.37923318
0.64315015	0.04967871	0.25210255	0.05506857
0.09968075	0.66832066	0.11300162	0.118996955
0.0127305295	0.013322315	0.95910853	0.014838639
0.019838851	0.02140572	0.022396458	0.9363589
0.3336887	0.62834865	0.018408509	0.019554118
0.06311438	0.06635006	0.79666954	0.07386608
0.06335963	0.789484	0.07171543	0.07544092
0.030143335	0.8998396	0.03465942	0.035357647
0.6912068	0.22490166	0.041097637	0.04279395
0.00982785	0.010374858	0.9681341	0.011663182
0.7858221	0.06654736	0.07145222	0.076178305
0.022477822	0.9255845	0.025154911	0.02678278
0.9496805	0.01588557	0.016929237	0.017504664
0.0462579	0.048929956	0.85013026	0.054681897
0.011917362	0.012557368	0.3845785	0.5909468
0.025811164	0.027484521	0.91647744	0.030226832
0.017949121	0.9409025	0.019987835	0.021160578
0.912349	0.027793473	0.029603705	0.030253826
0.7970725	0.021135008	0.022265984	0.15952648
0.019906688	0.78533787	0.022665717	0.17208968
0.030315619	0.03223586	0.034379605	0.9030689
0.06351915	0.06636903	0.31255016	0.5575617
0.04710134	0.050461717	0.052812036	0.8496249
0.06284906	0.067017846	0.79655504	0.073577985
0.2299943	0.24289313	0.2581876	0.268925
0.022470182	0.3390741	0.025880704	0.612575
0.8988673	0.031906206	0.033918817	0.035307657
0.022450304	0.023848565	0.5174704	0.43623075
0.022477185	0.9256626	0.02512418	0.026736049
0.0199082	0.021099813	0.935185	0.023806907
