topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49
0.0012070403	0.0012110815	0.0012028539	0.0012232563	0.0012437574	0.0012276387	0.0011986638	0.0011988886	0.94047034	0.0011988344	0.0012069093	0.0011987196	0.0012150966	0.001211121	0.0012192619	0.0012193951	0.0011988103	0.0012230066	0.0012230453	0.0012150262	0.0012480064	0.0012313175	0.0012111403	0.0012151435	0.0012359786	0.0012396702	0.0011987644	0.0011988552	0.0012151351	0.0012029195	0.0012355832	0.0011987297	0.0012233405	0.001223504	0.0012029689	0.0012028406	0.0012230003	0.0012189284	0.0011947169	0.0012234177	0.0012194561	0.0012110942	0.001202876	0.0012110143	0.0012108597	0.0012231662	0.0012110559	0.001219026	0.0011988402	0.0012359193
0.0012070397	0.0012110809	0.0012028533	0.0012232558	0.0012437569	0.0012276381	0.0011986633	0.001198888	0.0012441168	0.0011988338	0.0012069087	0.001198719	0.001215096	0.0012111204	0.0012192613	0.0012193945	0.0011988097	0.001223006	0.0012230447	0.0012150257	0.0012480057	0.001231317	0.0012111397	0.0012151429	0.001235978	0.0012396696	0.0011987638	0.0011988546	0.0012151345	0.0012029189	0.0012355826	0.0011987292	0.0012233399	0.0012235034	0.0012029683	0.00120284	0.0012229998	0.0012189278	0.0011947163	0.0012234171	0.0012194555	0.9404374	0.0012028754	0.0012110138	0.0012108592	0.0012231657	0.0012110553	0.0012190255	0.0011988397	0.0012359186
0.0097824065	0.009815158	0.009748478	0.009913829	0.01007998	0.009949345	0.00971452	0.009716342	0.010082897	0.009715903	0.009781345	0.009714971	0.009847699	0.009815478	0.009881456	0.009882536	0.009715707	0.009911805	0.009912118	0.009847129	0.010114415	0.51744056	0.009815635	0.009848079	0.010016936	0.010046855	0.009715335	0.009716071	0.009848011	0.00974901	0.010013732	0.009715054	0.009914511	0.009915836	0.00974941	0.00974837	0.009911755	0.009878754	0.009682532	0.009915137	0.00988303	0.009815262	0.009748657	0.009814614	0.009813362	0.009913099	0.009814951	0.009879545	0.00971595	0.010016455
0.004854976	0.004871231	0.0048381374	0.004920201	0.0050026607	0.004937827	0.004821284	0.0048221885	0.0050041084	0.0048219706	0.0048544495	0.0048215087	0.0048873806	0.0048713894	0.004904134	0.00490467	0.0048218733	0.0049191965	0.004919352	0.0048870975	0.0050197504	0.0049526244	0.0048714676	0.004887569	0.0049713724	0.004986221	0.0048216893	0.004822054	0.0048875352	0.0048384015	0.004969782	0.004821549	0.004920539	0.004921197	0.0048386003	0.004838084	0.7604739	0.0049027926	0.004805409	0.0049208496	0.0049049156	0.0048712823	0.004838227	0.004870961	0.0048703393	0.004919838	0.0048711277	0.0049031856	0.004821994	0.0049711335
0.006489331	0.0065110577	0.0064668236	0.0065765125	0.0066867312	0.0066000726	0.0064442973	0.006445506	0.0066886665	0.0064452146	0.006488627	0.0064445967	0.006532644	0.0065112696	0.0065550376	0.0065557538	0.0064450847	0.00657517	0.0065753777	0.006532266	0.006709574	0.006619851	0.0065113734	0.006532896	0.00664491	0.006664757	0.0064448384	0.006445326	0.0065328507	0.0064671766	0.0066427845	0.006444651	0.0065769646	0.006577844	0.006467442	0.0064667524	0.0065751364	0.0065532443	0.006423078	0.00657738	0.0065560816	0.0065111257	0.006466943	0.0065106964	0.0065098656	0.0065760277	0.6797768	0.0065537696	0.006445246	0.006644591
0.0016103742	0.0016157657	0.0016047888	0.0016320089	0.0016593605	0.0016378555	0.0015991987	0.0015994987	0.0016598407	0.0015994264	0.0016101995	0.0015992731	0.0016211226	0.0016158184	0.0016266797	0.0016268574	0.36504087	0.0016316758	0.0016317273	0.0016210288	0.0016650291	0.0016427636	0.0016158442	0.0016211851	0.0016489823	0.0016539074	0.001599333	0.0015994541	0.0016211739	0.0016048765	0.0016484548	0.0015992866	0.0016321212	0.0016323393	0.0016049423	0.0016047711	0.0016316674	0.0016262347	0.001593933	0.0016322241	0.0016269388	0.0016157827	0.0016048184	0.0016156762	0.00161547	0.0016318887	0.0016157315	0.0016263651	0.5570765	0.0016489031
0.0014862192	0.0014911952	0.0014810645	0.001506186	0.0015314288	0.0015115818	0.0014759053	0.0014761823	0.001531872	0.0014761154	0.001486058	0.001475974	0.0014961389	0.0014912437	0.0015012677	0.0015014317	0.0014760857	0.0015058785	0.001505926	0.0014960524	0.0015366604	0.0015161115	0.0014912675	0.0014961966	0.0015218508	0.0015263961	0.0014760293	0.9266459	0.0014961862	0.0014811454	0.001521364	0.0014759864	0.0015062895	0.0015064909	0.001481206	0.0014810482	0.0015058707	0.001500857	0.0014710455	0.0015063846	0.0015015068	0.0014912108	0.0014810918	0.0014911124	0.0014909222	0.001506075	0.0014911635	0.0015009773	0.0014761226	0.0015217777
0.0021489272	0.002156122	0.002141474	0.0021777973	0.0022142958	0.002185599	0.0021340144	0.0021344146	0.0022149365	0.002134318	0.002148694	0.25191924	0.00216327	0.002156192	0.0021706857	0.002170923	0.0021342752	0.0021773526	0.0021774212	0.0021631448	0.0022218602	0.0021921485	0.0021562264	0.0021633536	0.0022004468	0.0022070191	0.0021341934	0.64415205	0.0021633387	0.002141591	0.002199743	0.0021341315	0.002177947	0.002178238	0.0021416787	0.0021414503	0.0021773414	0.002170092	0.0021269876	0.0021780843	0.0021710314	0.0021561445	0.0021415134	0.0021560022	0.0021557272	0.0021776366	0.0021560763	0.002170266	0.0021343285	0.0022003413
0.0027654946	0.0027747536	0.002755903	0.0028026479	0.0028496187	0.0028126882	0.0027463029	0.0027468181	0.0028504434	0.0027466938	0.0027651945	0.0027464307	0.0027839527	0.002774844	0.002793496	0.0027938012	0.0027466386	0.0028020758	0.0028021643	0.0027837916	0.0028593533	0.002821117	0.0027748882	0.00278406	0.0028317964	0.0028402542	0.0027465336	0.0027467415	0.002784041	0.0027560533	0.0028308905	0.002746454	0.0028028407	0.0028032153	0.0027561665	0.8635148	0.0028020614	0.0027927319	0.0027372602	0.0028030174	0.002793941	0.0027747827	0.0027559537	0.0027745997	0.0027742456	0.0028024414	0.002774695	0.0027929558	0.0027467073	0.0028316602
0.002148925	0.0021561198	0.002141472	0.0021777952	0.0022142937	0.0021855969	0.0021340123	0.0021344125	0.0022149344	0.0021343161	0.002148692	0.0021341115	0.002163268	0.00215619	0.0021706836	0.0021709208	0.8939371	0.0021773505	0.0021774191	0.002163143	0.002221858	0.0021921464	0.0021562246	0.0021633515	0.0022004447	0.002207017	0.0021341913	0.002134353	0.0021633366	0.0021415888	0.0021997408	0.0021341296	0.0021779449	0.002178236	0.0021416766	0.0021414482	0.0021773393	0.0021700899	0.0021269855	0.0021780822	0.0021710293	0.0021561424	0.0021415113	0.0021560001	0.0021557251	0.0021776345	0.0021560742	0.0021702638	0.0021343264	0.002200339
0.0027655002	0.0027747592	0.0027559085	0.0028026537	0.0028496245	0.002812694	0.0027463087	0.0027468237	0.0028504492	0.0027466996	0.0027652	0.0027464363	0.0027839586	0.0027748495	0.0027935018	0.002793807	0.0027466442	0.0028020816	0.00280217	0.0027837974	0.0028593594	0.0028211228	0.002774894	0.002784066	0.002831802	0.8635989	0.0027465392	0.002746747	0.0027840466	0.002756059	0.0028308963	0.0027464596	0.0028028463	0.0028032209	0.002756172	0.002755878	0.0028020672	0.0027927377	0.0027372658	0.0028030232	0.0027939468	0.0027747885	0.0027559593	0.0027746053	0.0027742514	0.0028024472	0.0027747005	0.0027929614	0.0027467129	0.002831666
0.000877408	0.00088034564	0.00087436487	0.00088919565	0.00090409804	0.0008923811	0.061341636	0.00087148254	0.0009043597	0.00087144313	0.0008773128	0.1964639	0.00088326423	0.0008803743	0.000886292	0.0008863889	0.00087142555	0.0008890141	0.0008890422	0.0008832131	0.0009071866	0.00089505536	0.00088038837	0.0008832983	0.0008984435	0.000901127	0.00087139226	0.0008714582	0.00088329223	0.5251062	0.00089815614	0.000871367	0.0008892568	0.00088937563	0.17640279	0.0008743552	0.00088900956	0.0008860496	0.00086845004	0.0008893129	0.0008864332	0.00088035484	0.000874381	0.0008802968	0.00088018447	0.0008891301	0.00088032696	0.0008861206	0.0008714473	0.0008984004
0.009782409	0.009815162	0.009748481	0.009913833	0.010079983	0.009949348	0.009714522	0.009716345	0.0100829	0.5171771	0.0097813485	0.009714975	0.0098477015	0.0098154815	0.009881459	0.009882539	0.00971571	0.009911809	0.009912122	0.009847132	0.010114417	0.009979163	0.009815638	0.0098480815	0.01001694	0.010046857	0.009715338	0.009716074	0.0098480135	0.009749013	0.010013735	0.009715057	0.009914514	0.009915839	0.009749413	0.009748373	0.009911758	0.0098787565	0.009682535	0.0099151395	0.009883033	0.0098152645	0.009748661	0.009814617	0.009813365	0.009913102	0.009814953	0.009879548	0.009715953	0.010016458
0.0032286814	0.0032394913	0.0032174832	0.0032720575	0.0033268952	0.0032837794	0.0032062754	0.0032068768	0.003327858	0.0032067318	0.84066606	0.0032064244	0.003250231	0.0032395965	0.0032613727	0.0032617291	0.0032066673	0.0032713895	0.0032714927	0.003250043	0.0033382603	0.00329362	0.0032396484	0.0032503565	0.0033060878	0.0033159624	0.0032065446	0.0032067874	0.003250334	0.0032176587	0.0033050303	0.0032064517	0.0032722824	0.0032727197	0.0032177907	0.0032174475	0.0032713728	0.0032604805	0.003195718	0.003272489	0.0032618921	0.0032395252	0.0032175425	0.0032393115	0.003238898	0.0032718163	0.0032394226	0.003260742	0.0032067474	0.003305929
