topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59
0.0010087283	0.0010189466	0.0010188912	0.0010391317	0.0010291041	0.0010258675	0.0010019003	0.0010120871	0.0010290233	0.0010120395	0.0010052756	0.001012102	0.0010323671	0.10595406	0.001015377	0.0010224241	0.0010120436	0.0010186951	0.0010223386	0.0010188998	0.0010255083	0.0010392256	0.0010119977	0.0010187515	0.0010326512	0.0010392196	0.0010121303	0.0010120643	0.0010120864	0.0010019003	0.0010187575	0.0010052816	0.0010019003	0.001018354	0.83498025	0.0010053342	0.0010251042	0.0010153776	0.0010121025	0.0010155068	0.0010255954	0.0010120017	0.0010222393	0.0010187661	0.0010221984	0.0010323579	0.0010086736	0.0010153486	0.0010052816	0.00102578	0.0010154347	0.001039107	0.001012	0.001012123	0.0010086672	0.0010221921	0.0010189562	0.0010053216	0.0010598097	0.0010053216
0.0010087282	0.0010189465	0.001018891	0.0010391315	0.0010291039	0.0010258674	0.0010019001	0.001012087	0.0010290231	0.0010120393	0.0010052755	0.0010121018	0.001032367	0.0010086863	0.0010153768	0.0010224239	0.0010120433	0.001018695	0.0010223384	0.0010188996	0.001025508	0.0010392255	0.0010119976	0.0010187513	0.0010326509	0.0010392194	0.0010121301	0.0010120642	0.0010120863	0.0010019001	0.0010187572	0.0010052815	0.0010019001	0.0010183537	0.001025737	0.001005334	0.0010251041	0.0010153773	0.0010121022	0.0010155067	0.0010255951	0.0010120015	0.93992215	0.001018766	0.0010221982	0.0010323578	0.0010086733	0.0010153485	0.0010052815	0.0010257798	0.0010154346	0.0010391067	0.0010119999	0.0010121227	0.0010086669	0.0010221918	0.001018956	0.0010053214	0.0010598096	0.0010053214
0.008155069	0.0082376795	0.0082372315	0.008400866	0.008319797	0.0082936315	0.008099868	0.008182224	0.008319144	0.008181838	0.008127157	0.008182343	0.008346178	0.008154731	0.008208821	0.008265792	0.008181871	0.0082356455	0.008265102	0.0082373	0.008290727	0.5144376	0.008181501	0.008236102	0.008348473	0.008401576	0.008182572	0.0081820395	0.008182218	0.008099868	0.00823615	0.008127204	0.008099868	0.008232888	0.008292577	0.00812763	0.008287461	0.008208825	0.008182348	0.00820987	0.008291431	0.008181533	0.008264299	0.00823622	0.008263968	0.008346103	0.008154626	0.0082085915	0.008127204	0.008292924	0.008209288	0.008400666	0.00818152	0.0081825135	0.008154575	0.008263917	0.008237756	0.008127527	0.008568037	0.008127527
0.0040530707	0.004094128	0.004093905	0.0041752313	0.0041349404	0.004121936	0.0040256353	0.0040665665	0.004134616	0.0040663746	0.0040391977	0.004066626	0.0041480516	0.0040529026	0.0040797847	0.0041081	0.0040663914	0.004093117	0.004107757	0.00409394	0.0041204924	0.004175609	0.004066207	0.004093344	0.0041491925	0.7586754	0.0040667397	0.0040664747	0.0040665637	0.0040256353	0.0040933676	0.004039222	0.0040256353	0.004091746	0.0041214125	0.004039433	0.004118869	0.004079787	0.004066628	0.0040803067	0.004120842	0.004066223	0.0041073575	0.0040934025	0.004107193	0.0041480144	0.0040528504	0.004079671	0.004039222	0.0041215844	0.004080017	0.004175132	0.0040662163	0.0040667104	0.004052825	0.004107168	0.0040941657	0.0040393826	0.0042583155	0.0040393826
0.005414928	0.41567048	0.005469483	0.005578135	0.005524306	0.0055069323	0.0053782742	0.0054329582	0.0055238726	0.005432702	0.0053963936	0.0054330374	0.005541823	0.005414703	0.005450618	0.0054884474	0.005432724	0.00546843	0.0054879887	0.005469529	0.0055050035	0.0055786395	0.005432478	0.0054687327	0.0055433474	0.005578607	0.0054331897	0.0054328353	0.0054329545	0.0053782742	0.005468765	0.26720592	0.0053782742	0.0054665986	0.0055062324	0.0053967074	0.005502835	0.0054506212	0.00543304	0.005451315	0.005505471	0.005432499	0.0054874555	0.005468811	0.0054872357	0.005541773	0.0054146335	0.0054504657	0.0053964253	0.0055064624	0.0054509286	0.0055780024	0.0054324907	0.00543315	0.005414599	0.005487202	0.005469831	0.00539664	0.005689136	0.00539664
0.0013456409	0.001359272	0.001359198	0.0013861988	0.001372822	0.0013685045	0.0013365322	0.0013501215	0.0013727142	0.0013500579	0.001341035	0.0013501412	0.001377175	0.001345585	0.0013545101	0.0013639109	0.0013500632	0.0013589364	0.0013637969	0.0013592095	0.0013680251	0.0013863242	0.0013500021	0.0013590117	0.0013775538	0.001386316	0.001350179	0.001350091	0.0013501205	0.0013365322	0.0013590197	0.0013410429	0.0013365322	0.0013584814	0.0013683306	0.001341113	0.0013674862	0.0013545108	0.0013501418	0.0013546833	0.0013681413	0.0013500075	0.0013636644	0.0013590312	0.0013636098	0.0013771626	0.9198382	0.0013544722	0.0013410429	0.0013683877	0.0013545871	0.0013861659	0.0013500053	0.0013501692	0.0013455591	0.0013636014	0.0013592846	0.0013410962	0.0014137833	0.0013410962
0.0012419404	0.0012545212	0.0012544529	0.0012793728	0.0012670269	0.0012630421	0.0012335337	0.0012460757	0.0012669273	0.001246017	0.0012376894	0.001246094	0.0012710444	0.17564622	0.0012501262	0.0012588025	0.0012460221	0.0012542114	0.7516283	0.0012544635	0.0012625997	0.0012794884	0.0012459656	0.0012542808	0.0012713941	0.001279481	0.0012461288	0.0012460476	0.0012460749	0.0012335337	0.0012542881	0.0012376967	0.0012335337	0.0012537914	0.0012628816	0.0012377615	0.0012621023	0.0012501269	0.0012460946	0.001250286	0.0012627069	0.0012459705	0.001258575	0.0012542988	0.0012585246	0.0012710331	0.0012418729	0.0012500912	0.0012376967	0.0012629343	0.0012501973	0.0012793423	0.0012459685	0.0012461198	0.001241865	0.0012585168	0.0012545327	0.001237746	0.0013048315	0.001237746
0.0017953811	0.0018135682	0.0018134695	0.0018494944	0.0018316468	0.0018258863	0.0017832282	0.0018013594	0.001831503	0.0018012744	0.0017892359	0.0018013857	0.0018374546	0.0017953066	0.15589038	0.0018197574	0.0018012817	0.0018131204	0.0018196054	0.0018134848	0.0018252467	0.0018496617	0.0018012001	0.0018132208	0.0018379601	0.0018496509	0.0018014361	0.0018013186	0.0018013581	0.0017832282	0.7389813	0.0017892465	0.0017832282	0.0018125132	0.0018256543	0.00178934	0.0018245277	0.0018072156	0.0018013865	0.0018074458	0.0018254018	0.0018012072	0.0018194285	0.0018132468	0.0018193556	0.0018374382	0.0017952836	0.0018071642	0.0017892465	0.0018257304	0.0018073176	0.0018494504	0.0018012043	0.001801423	0.0017952721	0.0018193445	0.001813585	0.0017893176	0.0018862982	0.0017893176
0.0023101019	0.002333503	0.0023333759	0.002379729	0.0023567646	0.0023493525	0.0022944647	0.002317794	0.0023565795	0.0023176847	0.0023021947	0.0023178277	0.0023642373	0.002310006	0.0023253278	0.0023414665	0.002317694	0.0023329267	0.002341271	0.0023333956	0.0023485296	0.002379944	0.002317589	0.002333056	0.0023648879	0.00237993	0.86239177	0.0023177415	0.0023177923	0.0022944647	0.0023330697	0.0023022084	0.0022944647	0.0023321456	0.002349054	0.0023023288	0.0023476044	0.0023253292	0.0023178288	0.0023256254	0.0023487292	0.002317598	0.0023410434	0.0023330895	0.0023409496	0.0023642164	0.0023099764	0.002325263	0.0023022084	0.002349152	0.0023254603	0.0023796724	0.0023175944	0.0023178759	0.0023099617	0.0023409352	0.0023335246	0.0023023	0.002427084	0.0023023
0.0017953801	0.0018135672	0.0018134685	0.25514305	0.0018316458	0.0018258853	0.0017832273	0.0018013583	0.001831502	0.0018012734	0.0017892349	0.0018013847	0.0018374536	0.0017953056	0.0018072136	0.0018197565	0.0018012808	0.0018131194	0.0018196043	0.0018134838	0.0018252458	0.63980734	0.0018011992	0.0018132199	0.0018379592	0.0018496498	0.0018014351	0.0018013177	0.0018013571	0.0017832273	0.0018132305	0.0017892455	0.0017832273	0.0018125123	0.0018256532	0.0017893391	0.0018245267	0.0018072147	0.0018013855	0.0018074448	0.0018254007	0.0018012063	0.0018194276	0.0018132458	0.0018193547	0.0018374373	0.0017952826	0.0018071632	0.0017892455	0.0018257295	0.0018073166	0.0018494495	0.0018012034	0.0018014221	0.0017952712	0.0018193435	0.001813584	0.0017893167	0.0018862971	0.0017893167
