topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.025298115	0.026780745	0.02855556	0.023792924	0.026712961	0.025685841	0.024357539	0.024393715	0.7202038	0.024901005	0.02461471	0.024703056
0.012393407	0.013119734	0.013989617	0.39146996	0.013086405	0.48295575	0.0119325295	0.01195026	0.012743321	0.012198726	0.012058494	0.012101808
0.010592312	0.011213137	0.011956505	0.0099620065	0.8831428	0.010754641	0.010198408	0.010213573	0.010891415	0.0104259625	0.0103061395	0.010343107
0.014932303	0.015807478	0.016855136	0.8335387	0.01576718	0.015161195	0.014377136	0.014398478	0.015354336	0.014698023	0.014528941	0.014581051
0.9699354	0.0028703474	0.0030605153	0.0025500755	0.002863012	0.0027529704	0.0026105947	0.0026144823	0.0027880021	0.0026688408	0.0026381523	0.002647625
0.0034905006	0.0036950794	0.00394002	0.0032828264	0.81615955	0.0035440149	0.0033607336	0.003365713	0.14892124	0.0034357063	0.0033962117	0.0034083973
0.0027114248	0.793955	0.0030606296	0.0025500886	0.0028630483	0.002752989	0.0026106099	0.002614486	0.00278801	0.0026688627	0.002638184	0.17878662
0.009248253	0.009790315	0.0104391305	0.008697991	0.009765477	0.009389962	0.008904337	0.008917565	0.009509404	0.8973085	0.008998344	0.009030654
0.01059234	0.011213225	0.011956442	0.009962034	0.011184568	0.010754641	0.010198451	0.010213602	0.010891606	0.48128805	0.4114019	0.01034313
0.012393362	0.01311976	0.86417556	0.011655949	0.013086537	0.012583411	0.011932512	0.011950275	0.012743468	0.0121987825	0.012058549	0.012101816
0.004317596	0.0045706653	0.6349417	0.32180053	0.0045590186	0.004383785	0.0041570677	0.0041632284	0.0044395914	0.004249817	0.0042009656	0.0042160377
0.0045895046	0.004858492	0.0051804697	0.0043164073	0.68399286	0.27003428	0.0044188453	0.004425412	0.0047191703	0.004517447	0.0044655097	0.0044815256
0.018779757	0.019880362	0.02119784	0.017662372	0.019829888	0.019067563	0.018081505	0.018108357	0.792297	0.01848493	0.018272411	0.018337999
0.01493269	0.015808174	0.016855756	0.0140439905	0.015767602	0.015161596	0.01437726	0.83388966	0.015354497	0.014698017	0.014529225	0.0145815015
0.0052507073	0.00555844	0.005926766	0.0049383077	0.0055443086	0.0053311824	0.941584	0.005062984	0.005399016	0.0051682713	0.00510886	0.005127193
0.010592299	0.011213116	0.2661081	0.009962044	0.011184648	0.010754615	0.010198467	0.010213609	0.6286979	0.010425987	0.0103061665	0.010343109
0.038747154	0.04101804	0.043736406	0.036441896	0.040913455	0.039340977	0.56892353	0.037361953	0.039841555	0.038138833	0.03770035	0.037835833
0.01877982	0.019880513	0.7941832	0.01766264	0.019830182	0.019067794	0.018081572	0.01810841	0.01931027	0.018484987	0.0182725	0.018338103
0.018779993	0.019880584	0.021198466	0.017662454	0.019830247	0.019067701	0.79106545	0.018108446	0.019310888	0.018485062	0.018272573	0.018338118
0.025298655	0.720966	0.0285576	0.023793234	0.026713042	0.025686473	0.024357924	0.024394052	0.026012963	0.02490151	0.024614984	0.024703592
0.014932271	0.015807474	0.016854834	0.014043844	0.015767533	0.015161141	0.014377084	0.014398434	0.8348496	0.01469787	0.014528913	0.014581035
0.23214313	0.7396118	0.0031788065	0.0026486143	0.0029736313	0.0028593459	0.0027114665	0.0027154926	0.002895726	0.0027719575	0.002740093	0.0027499404
0.6381481	0.009790247	0.010439022	0.0086979605	0.009765299	0.0093899425	0.008904325	0.008917546	0.26881555	0.009103006	0.008998331	0.009030633
0.00737631	0.007808634	0.008326082	0.0069374135	0.007788705	0.007489355	0.0071020345	0.0071125757	0.9184186	0.007260508	0.0071770484	0.007202773
0.0149325775	0.015807727	0.016855491	0.014043958	0.4552405	0.015161446	0.0143772885	0.014398629	0.39537406	0.014698043	0.014529053	0.014581226
0.010592327	0.011213051	0.011956336	0.009962038	0.01118471	0.010754615	0.010198464	0.010213645	0.5308616	0.36241394	0.010306153	0.010343096
0.012393277	0.013119627	0.013989045	0.0116559155	0.013086392	0.012583252	0.86211985	0.011950211	0.012743445	0.012198702	0.012058526	0.012101761
0.0043176203	0.7404062	0.004873669	0.004060706	0.0045590755	0.004383782	0.004157066	0.004163235	0.004439582	0.004249827	0.21617323	0.00421604
0.025298659	0.026781203	0.028555892	0.023793256	0.7209001	0.02568623	0.024357937	0.024394019	0.026012914	0.024901344	0.024615034	0.0247034
0.0025236704	0.0026716061	0.0028486578	0.002373499	0.0026647535	0.0025623455	0.2213599	0.0024334458	0.0025949334	0.7530474	0.0024554788	0.0024642977
0.007376327	0.0078088194	0.008326071	0.0069374354	0.91862214	0.0074895024	0.0071020564	0.0071125906	0.0075846817	0.0072605587	0.00717703	0.007202788
0.012393336	0.2126389	0.013989026	0.01165591	0.013086345	0.01258328	0.011932515	0.011950214	0.012743401	0.012198763	0.66272646	0.012101813
0.0031854515	0.003372138	0.0035955799	0.002995878	0.0033635227	0.003234256	0.964561	0.0030715747	0.0032753798	0.0031353997	0.0030993563	0.0031104928
0.0038602524	0.0040864977	0.004357326	0.0036305662	0.00407615	0.0039194264	0.0037167375	0.62314516	0.003969326	0.0037996557	0.3376694	0.0037694485
