topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.02201903	0.022824138	0.024472473	0.021393089	0.022815594	0.02255292	0.021110183	0.021459443	0.022060141	0.021885816	0.02159166	0.021669898	0.021556912	0.71258867
0.010819761	0.011215379	0.012025374	0.45359752	0.011211182	0.41569677	0.010373159	0.010544783	0.010839947	0.010754287	0.0106097525	0.010648197	0.010592679	0.011071235
0.009251296	0.009589565	0.01028214	0.008988301	0.87936383	0.009475613	0.0088694375	0.00901618	0.009268562	0.0091953175	0.009071736	0.009104605	0.009057133	0.009466312
0.013028599	0.0135049885	0.014480328	0.8292663	0.013499932	0.013344508	0.012490839	0.0126974955	0.013052956	0.012949778	0.012775729	0.012822015	0.012755166	0.013331409
0.73156345	0.0024593254	0.0026369356	0.0023051244	0.0024584015	0.0024301002	0.0022746418	0.002312276	0.0023770004	0.002358217	0.0023265213	0.0023349517	0.2397353	0.0024277146
0.0030537492	0.0031654085	0.3601147	0.00296694	0.0031642278	0.0031277963	0.0029277047	0.0029761414	0.60335386	0.0030352746	0.0029944791	0.0030053295	0.0029896598	0.0031247297
0.0023725794	0.7505749	0.0026369544	0.0023051323	0.0024584131	0.0024301072	0.0022746492	0.002312282	0.0023770079	0.036035366	0.0023265304	0.18714559	0.0023227856	0.0024277254
0.0080800075	0.008375448	0.0089803245	0.007850306	0.89463735	0.008275916	0.007746489	0.007874656	0.008095077	0.008031115	0.007923173	0.007951879	0.007910422	0.008267801
0.009251344	0.009589617	0.010282191	0.008988341	0.009586018	0.009475653	0.008869478	0.009016223	0.009268605	0.009195365	0.009071782	0.009104646	0.009057174	0.87924355
0.010819776	0.011215404	0.85972506	0.010512201	0.011211214	0.011082131	0.010373178	0.010544801	0.010839986	0.010754317	0.010609774	0.01064822	0.0105927	0.011071248
0.0037766097	0.0039147013	0.62585115	0.3288556	0.003913235	0.003868182	0.003620728	0.0036806297	0.0037836651	0.0037537613	0.0037033097	0.0037167275	0.0036973495	0.0038643896
0.004014177	0.0041609528	0.0044614626	0.0039000595	0.94765544	0.004111511	0.0038484868	0.003912159	0.004021673	0.003989887	0.003936263	0.003950524	0.0039299275	0.004107473
0.01637069	0.016969264	0.01819479	0.015905308	0.01696291	0.016767615	0.01569497	0.015954638	0.016401257	0.016271638	0.01605294	0.016111108	0.016027104	0.78631574
0.013028648	0.01350504	0.014480381	0.012658265	0.01349996	0.013344563	0.012490867	0.62915987	0.013052964	0.012949808	0.2129209	0.012822059	0.012755202	0.013331439
0.004591795	0.0047596935	0.0051034405	0.0044612833	0.004757912	0.004703131	0.93976766	0.0044750976	0.0046003656	0.0045640124	0.004502671	0.0045189853	0.0044954247	0.0046985154
0.009251317	0.009589586	0.010282193	0.008988323	0.009585998	0.009475628	0.00886946	0.009016206	0.8790461	0.009195342	0.00907176	0.009104625	0.009057152	0.00946634
0.03361844	0.034847677	0.037364528	0.559446	0.034834627	0.03443357	0.032230884	0.03276406	0.0336812	0.033415053	0.03296593	0.033085406	0.032912873	0.03439978
0.01637072	0.016969305	0.7877588	0.015905345	0.016963009	0.016767662	0.015695008	0.015954673	0.01640128	0.016271677	0.01605298	0.016111149	0.016027147	0.01675121
0.016370768	0.016969334	0.018194942	0.015905371	0.016963003	0.016767684	0.55057454	0.0159547	0.25108537	0.016271695	0.016053014	0.016111169	0.016027164	0.01675127
0.022019327	0.022824476	0.024473019	0.021393362	0.022815881	0.022553235	0.021110438	0.021459717	0.022060396	0.71193975	0.021591939	0.0216702	0.02155718	0.022531072
0.013028582	0.013504965	0.014480272	0.012658213	0.013499932	0.013344483	0.012490817	0.012697472	0.82966125	0.012949759	0.012775709	0.012821999	0.012755146	0.013331388
0.0024641878	0.41820478	0.0027387587	0.002394134	0.002553329	0.0025239352	0.0023624739	0.0024015617	0.0024687843	0.0024492769	0.0024163576	0.0024251142	0.5520758	0.0025214565
0.71109545	0.00837542	0.0089802975	0.00785029	0.00837228	0.008275892	0.007746468	0.007874631	0.191345	0.008031093	0.0079231495	0.0079518575	0.0079104	0.008267772
0.006447417	0.0066831615	0.0071658357	0.006264129	0.006680656	0.006603741	0.006181289	0.0062835556	0.6942527	0.006408406	0.22777453	0.0063451785	0.006312098	0.0065972647
0.013028703	0.013505089	0.014480538	0.012658319	0.013500044	0.013344607	0.012490925	0.012697585	0.56021625	0.012949874	0.2822192	0.012822112	0.012755259	0.013331522
0.009251316	0.009589576	0.010282166	0.008988324	0.009585995	0.009475624	0.008869455	0.009016202	0.009268589	0.0091953445	0.009071748	0.009104615	0.009057147	0.8792439
