topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.017499883	0.018152133	0.018969977	0.017220255	0.017914804	0.01779707	0.017099198	0.017381698	0.017731326	0.017227603	0.017093318	0.017294405	0.017494814	0.7027207	0.017219733	0.016756335	0.017241245	0.017185492
0.008632281	0.008954022	0.009357447	0.008494348	0.008836956	0.853322	0.008434634	0.008573984	0.008746447	0.008497972	0.008431733	0.008530924	0.008629782	0.008815888	0.00849409	0.008265507	0.008504702	0.008477201
0.0073848884	0.0076601356	0.008005264	0.0072668865	0.8745672	0.0075103003	0.007215801	0.0073350146	0.0074825566	0.0072699874	0.0072133197	0.0072981776	0.00738275	0.0075419634	0.0072666663	0.007071114	0.0072757443	0.007252217
0.010386643	0.0107737705	0.011259184	0.2375017	0.01063291	0.010563032	0.010148827	0.010316497	0.010524011	0.010225038	0.010145336	0.010264686	0.010383636	0.010607565	0.5958887	0.009945328	0.010233135	0.010200044
0.9271865	0.0019691729	0.0020578941	0.0018680812	0.001943427	0.001930655	0.0018549488	0.0018855949	0.001923523	0.0018688783	0.0018543109	0.0018761251	0.042421654	0.0019387945	0.0018680246	0.0018177545	0.0018703582	0.0018643101
0.0024428887	0.0025339392	0.0026481065	0.0024038542	0.37639293	0.0024843744	0.0023869553	0.0024263908	0.0024751972	0.0024048798	0.0023861346	0.002414205	0.0024421813	0.0024948486	0.58451825	0.0023390937	0.0024067843	0.0023990015
0.0018984219	0.7489372	0.0020579011	0.0018680874	0.0019434337	0.0019306614	0.001854955	0.001885601	0.0019235294	0.0018688844	0.001854317	0.22071987	0.0018978723	0.0019388011	0.0018680308	0.0018177605	0.0018703645	0.0018643163
0.0064525	0.0066929962	0.006994549	0.0063493964	0.40036154	0.006562078	0.006304761	0.0064089233	0.006537837	0.0063521056	0.006302593	0.006376737	0.0064506317	0.0065897433	0.006349204	0.006178342	0.006357136	0.49637893
0.0073849238	0.0076601724	0.008005303	0.007266921	0.0075600203	0.007510336	0.0072158356	0.0073350496	0.007482593	0.007270022	0.007213354	0.007298212	0.007382785	0.0075419997	0.007266701	0.007071148	0.007275779	0.8742589
0.008632274	0.008954015	0.8539008	0.008494341	0.008836946	0.00877887	0.008434627	0.008573976	0.0087464405	0.0084979655	0.008431726	0.008530918	0.008629775	0.008815881	0.008494084	0.008265501	0.008504695	0.008477194
0.0030203902	0.0031329654	0.28330716	0.0029721279	0.0030920038	0.0030716835	0.002951234	0.002999992	0.0030603365	0.002973396	0.0029502192	0.0029849256	0.0030195157	0.0030846335	0.4402215	0.23121601	0.0029757507	0.002966128
0.003210118	0.0033297648	0.0034797878	0.0031588243	0.94547594	0.0032646335	0.003136618	0.003188439	0.0032525735	0.003160172	0.0031355394	0.003172426	0.0032091886	0.0032783968	0.0031587288	0.0030737245	0.0031626746	0.0031524475
0.013036032	0.013521908	0.014131139	0.012827733	0.013345117	0.013257414	0.012737555	0.012947994	0.0132084405	0.012833206	0.0127331745	0.012882968	0.0130322585	0.7785503	0.012827343	0.0124821495	0.012843369	0.012801837
0.010386657	0.010773786	0.0112592	0.010220691	0.010632925	0.010563047	0.01014884	0.6191539	0.010524025	0.010225051	0.21425697	0.0102647	0.01038365	0.010607579	0.0102203805	0.009945342	0.01023315	0.010200058
0.0036713225	0.003808159	0.003979736	0.0036126592	0.0037583697	0.0037336699	0.9374713	0.0036465283	0.0037198775	0.0036142005	0.003586029	0.003628215	0.0036702596	0.0037494109	0.0036125497	0.003515333	0.0036170627	0.0036053662
0.0073849284	0.007660178	0.008005308	0.007266926	0.0075600254	0.0075103412	0.0072158403	0.007335055	0.007482598	0.007270027	0.007213359	0.007298217	0.00738279	0.0075420043	0.87427324	0.007071153	0.007275784	0.0072522564
0.026612775	0.027604679	0.028848413	0.5469242	0.027243763	0.02706472	0.026003439	0.026433047	0.02696474	0.026198708	0.025994496	0.026300296	0.02660507	0.027178824	0.02618674	0.025482034	0.026219456	0.02613467
