topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.012977098	0.013137367	0.013244467	0.012498772	0.013278556	0.013118315	0.012496171	0.012662878	0.012816945	0.012726901	0.012591896	0.012545414	0.01281366	0.69262624	0.0126121035	0.0125150075	0.012898542	0.012657258	0.012616754	0.0127577735	0.012787447	0.013336211	0.0131205935	0.012611775	0.0125518935
0.0064259227	0.0065052835	0.0065583168	0.47255692	0.006575197	0.3815077	0.0061877794	0.006270329	0.006346619	0.0063020317	0.0062351804	0.006212164	0.0063449927	0.006416802	0.006245187	0.0061971075	0.0063870237	0.0062675457	0.0062474892	0.006317319	0.0063320124	0.006603746	0.006496978	0.006245024	0.0062153726
0.0055003394	0.005568269	0.0056136637	0.0052976008	0.8698552	0.005560194	0.005296498	0.0053671575	0.0054324586	0.0053942935	0.0053370716	0.0053173704	0.0054310663	0.005492532	0.0053456365	0.0053044828	0.0054670433	0.005364775	0.0053476077	0.005407379	0.0054199556	0.0056525497	0.00556116	0.0053454973	0.0053201164
0.007726017	0.007821434	0.007885197	0.2836101	0.007905493	0.007810091	0.0074396925	0.0075389436	0.0076306686	0.0075770603	0.007496684	0.0074690105	0.007628713	0.0077150506	0.007508714	0.007450908	0.0076792478	0.007535597	0.0075114826	0.0075954404	0.5407318	0.007939817	0.0078114476	0.0075085186	0.007472868
0.69609076	0.0014348396	0.001446537	0.0013650934	0.00145026	0.0014327588	0.0013648093	0.0013830168	0.0013998438	0.0013900093	0.0013752643	0.0013701876	0.27173996	0.0014153236	0.0013774714	0.0013668668	0.0014087557	0.001382403	0.0013779792	0.0013933812	0.001396622	0.0014565571	0.0014330077	0.0013774354	0.0013708953
0.0018234006	0.0018459198	0.0018609684	0.0017561914	0.30200526	0.0018432428	0.0017558258	0.0017792499	0.0018008976	0.0017882456	0.0017692762	0.0017627451	0.0018004361	0.0018208125	0.0017721155	0.0017584728	0.0018123627	0.00177846	0.0017727689	0.0017925835	0.0017967529	0.0018738593	0.6566944	0.0017720693	0.0017636555
0.0014173426	0.7763883	0.0014465442	0.0013651003	0.0014502674	0.001432766	0.0013648162	0.0013830238	0.0013998508	0.0013900163	0.0013752712	0.19143043	0.001399492	0.0014153307	0.0013774782	0.0013668736	0.0014087626	0.00138241	0.0013779862	0.0013933881	0.001396629	0.0014565644	0.0014330149	0.0013774423	0.0013709022
0.0048078327	0.00486721	0.004906889	0.0046306197	0.5494661	0.0048601516	0.0046296557	0.0046914187	0.0047484986	0.0047151386	0.004665121	0.0046479	0.0047472813	0.0048010084	0.0046726074	0.004636635	0.004778729	0.3414641	0.0046743304	0.004726576	0.0047375695	0.004940879	0.004860996	0.0046724854	0.0046503004
0.0055003706	0.0055683004	0.0056136954	0.0052976306	0.005628144	0.0055602253	0.005296528	0.005367188	0.0054324893	0.005394324	0.005337102	0.0053174	0.005431097	0.0054925634	0.005345667	0.0053045126	0.005467074	0.8695912	0.0053476375	0.0054074093	0.0054199863	0.0056525813	0.005561191	0.005345527	0.0053201467
0.006425943	0.006505304	0.84793746	0.006189088	0.006575218	0.00649587	0.0061877994	0.006270349	0.0063466397	0.006302052	0.0062352004	0.0062121837	0.0063450127	0.0064168223	0.006245207	0.0061971275	0.006387044	0.006267566	0.0062475093	0.006317339	0.0063320324	0.0066037676	0.0064969985	0.006245044	0.006215392
