topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.04332726	0.04578798	0.056552604	0.040323645	0.76786864	0.046139877
0.02087759	0.022062851	0.8915577	0.0194228	0.023810845	0.022268271
0.017788975	0.01880327	0.023262668	0.016545184	0.9046511	0.018948855
0.025216587	0.026659634	0.032971464	0.859566	0.028716784	0.026869554
0.97523934	0.004766029	0.0058776266	0.004189537	0.00512854	0.004798946
0.0058024386	0.0061345194	0.0076197297	0.005401238	0.9688565	0.0061855707
0.0045045875	0.861786	0.119584985	0.0041899723	0.0051339567	0.004800492
0.15194479	0.016400518	0.020290453	0.014431174	0.78041446	0.016518662
0.90207034	0.018828629	0.023324694	0.01655049	0.020276899	0.01894894
0.020860912	0.022059768	0.8916239	0.019409463	0.02380296	0.022242932
0.0071868375	0.007600287	0.8231184	0.14624898	0.008188116	0.0076573957
0.007647668	0.008085525	0.010007247	0.007111579	0.8195336	0.14761439
0.031891957	0.03368671	0.041673813	0.02966334	0.82913786	0.033946358
0.5326117	0.026677134	0.03303488	0.023467148	0.02872392	0.35548517
0.008750773	0.00924783	0.011423753	0.9512878	0.009969825	0.009319971
0.017792488	0.018803248	0.9075718	0.016560337	0.02032353	0.018948596
0.0676321	0.07151313	0.08848875	0.62334806	0.07699323	0.07202471
0.031884093	0.033698313	0.8343813	0.029668147	0.036393475	0.033974715
0.031900067	0.033699974	0.04178862	0.029669603	0.82898694	0.033954747
0.04341802	0.7634122	0.057199586	0.040324934	0.049417656	0.046227675
0.02520965	0.02665174	0.033036362	0.023478042	0.8647298	0.026894357
0.27460662	0.70461124	0.0061158887	0.0043530334	0.0053272904	0.004985879
0.6680295	0.016386414	0.020296691	0.2610861	0.017672371	0.016528957
0.012351654	0.0130427005	0.016236827	0.9311382	0.014089354	0.013141298
0.025259214	0.026682612	0.5825219	0.023473412	0.02880207	0.31326082
0.017797897	0.01879961	0.023368487	0.016551282	0.9045359	0.01894678
0.020865576	0.02205119	0.027464198	0.8835758	0.023816168	0.022227012
0.00719206	0.76098245	0.009440701	0.0066887112	0.20803891	0.007657197
0.043372683	0.045811698	0.05667328	0.758492	0.049477715	0.046172608
0.1305009	0.8508477	0.005503345	0.003901121	0.0047799284	0.0044669984
0.012334755	0.23602039	0.016105674	0.011474348	0.7109022	0.013162584
0.020875545	0.65011173	0.027276985	0.2556822	0.023818195	0.022235323
0.0053092088	0.0056085335	0.39918205	0.5782026	0.0060374932	0.0056601367
0.006424852	0.0067904936	0.0084019415	0.005977497	0.31820267	0.6542025
0.025257237	0.02666545	0.8689458	0.0234846	0.028784644	0.026862305
0.020860018	0.022041135	0.027560335	0.01940421	0.88789636	0.022237934
0.017788015	0.018801708	0.023302326	0.70590675	0.21524745	0.018953802
0.03191392	0.03369496	0.83434224	0.029681092	0.036385912	0.03398192
0.043344207	0.04580977	0.056533385	0.7587942	0.049368523	0.04614993
0.9321847	0.013034726	0.016111217	0.011471927	0.01404933	0.013148095
0.2638092	0.009251432	0.011474494	0.696147	0.009996919	0.0093209585
0.015491793	0.016376218	0.91950876	0.014428336	0.017669959	0.01652489
0.067652315	0.071491875	0.08856828	0.062967174	0.63720405	0.07211631
0.6991482	0.016389094	0.23586588	0.014421098	0.017655669	0.016520081
0.025208682	0.02664246	0.58649886	0.023461489	0.31132558	0.026862917
0.067703895	0.071543775	0.08841827	0.06293558	0.63733155	0.07206691
0.012341631	0.39997128	0.5490172	0.01147821	0.014055539	0.013136143
0.043328203	0.045796663	0.7749668	0.04035917	0.0493893	0.04615994
0.7427545	0.006141261	0.0075978325	0.0054000765	0.006610441	0.23149587
0.8611352	0.026664162	0.033132832	0.023463758	0.028741762	0.02686234
0.06771301	0.071507916	0.088141434	0.06293838	0.07695972	0.63273954
0.76138115	0.0458019	0.056834117	0.040323798	0.049502183	0.04615686
0.025279839	0.026705237	0.033050757	0.85919267	0.028895423	0.02687608
0.031885874	0.033692937	0.8343423	0.029671332	0.036393303	0.03401424
0.011196902	0.011830575	0.4663902	0.48587123	0.012771109	0.011940002
0.020883387	0.022066198	0.45186877	0.019407319	0.46348655	0.022287777
0.79050803	0.00048725968	0.0006021796	0.0004287041	0.00052497117	0.20744887
0.009445868	0.009974116	0.012371885	0.947372	0.010778569	0.010057537
