topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.09316595	0.1059868	0.099898085	0.11076454	0.09182763	0.10358425	0.10049648	0.09244382	0.104655445	0.097177014
0.027566673	0.03136063	0.029558875	0.032774966	0.027170556	0.030650053	0.029736	0.7314603	0.0309682	0.028753743
0.013407179	0.015252662	0.014376172	0.87203234	0.013214276	0.014906536	0.014462062	0.013303115	0.015061099	0.013984549
0.0049432227	0.6627046	0.29515973	0.005877595	0.0048722224	0.005496317	0.005332245	0.0049048644	0.0055531003	0.0051561375
0.01144702	0.013022631	0.012274333	0.013609772	0.011282466	0.012727687	0.0123479925	0.011358442	0.012859035	0.88907063
0.006613235	0.52488774	0.0070911236	0.007863315	0.006518192	0.4190038	0.0071336064	0.006561935	0.007429015	0.006898015
0.0034282508	0.4844768	0.003676117	0.0040763407	0.14961852	0.0038118868	0.34008318	0.0034017058	0.00385121	0.0035759646
0.003946581	0.9621284	0.004231769	0.0046922513	0.0038898739	0.004388044	0.0042571845	0.0039159614	0.0044333246	0.004116606
0.0072232685	0.00821808	0.93021035	0.008589345	0.007119521	0.008031411	0.0077919285	0.0071672928	0.008114406	0.0075343875
0.00885713	0.010076348	0.0094972355	0.91546035	0.008730095	0.009847781	0.009554139	0.008788569	0.009949804	0.009238491
0.84253454	0.01840387	0.017346673	0.019234	0.015944313	0.01798713	0.017450754	0.01605152	0.018173575	0.016873593
0.016177122	0.018405672	0.017348459	0.01923619	0.015944673	0.017988242	0.017450359	0.016052047	0.018173974	0.8432233
0.009987052	0.011362968	0.01070884	0.011874355	0.009843514	0.011104858	0.010773037	0.90270865	0.011219542	0.010417156
0.004156109	0.0047284076	0.0044565513	0.0049420004	0.0040965127	0.0046209674	0.0044832467	0.004123922	0.0046688616	0.9597234
0.0035852154	0.0040789256	0.5799483	0.004262854	0.003533695	0.0039862567	0.003867453	0.048186682	0.0040274863	0.34452313
0.7023508	0.007523667	0.007091055	0.007863533	0.0065182038	0.007352966	0.007133598	0.0065619545	0.0074291653	0.24017504
0.016176704	0.018404372	0.017345998	0.84559315	0.015944354	0.01798712	0.017450333	0.016051393	0.018172741	0.016873794
0.008857265	0.010076715	0.009497659	0.010531455	0.008730035	0.009848007	0.009554976	0.0087886015	0.00995035	0.9141649
0.3532544	0.61281854	0.004232024	0.0046930704	0.0038899672	0.004388197	0.004257368	0.0039161127	0.0044336678	0.0041166674
0.08832851	0.0023542088	0.17957519	0.0024605044	0.0020395557	0.0023008324	0.5443394	0.0020532452	0.17439012	0.0021583787
0.7225752	0.008218122	0.007745427	0.00858848	0.21423292	0.008031518	0.007791708	0.0071673845	0.008114936	0.0075343587
0.020388946	0.023195414	0.021862354	0.024242895	0.8012454	0.022669394	0.021994624	0.020230826	0.022903405	0.021266755
0.016176717	0.018404055	0.017345712	0.4106177	0.015944354	0.4529644	0.017449776	0.01605119	0.018172512	0.016873583
0.0023138921	0.002632422	0.090184465	0.002751198	0.002280642	0.002572742	0.8899559	0.002295937	0.002599354	0.0024135027
0.0134069435	0.015252688	0.0143761905	0.015943183	0.013214383	0.014906762	0.014462328	0.86939216	0.015060927	0.013984502
0.020388812	0.023195209	0.021862075	0.024241602	0.020095676	0.022669015	0.021993231	0.8013825	0.022904942	0.021266945
0.007957144	0.0090524275	0.008532699	0.9240505	0.007842826	0.008847035	0.00858344	0.007895535	0.008938647	0.008299726
0.020388514	0.023194587	0.021861944	0.80539745	0.02009559	0.022668691	0.021992812	0.02023056	0.022903588	0.021266308
0.002538972	0.9756355	0.0027225085	0.003018959	0.0025024812	0.0028229607	0.0027388318	0.0025192779	0.0028521614	0.0026483308
0.0088572	0.010076632	0.009497517	0.32247522	0.008730007	0.6028313	0.009554351	0.008788744	0.009950413	0.009238646
0.0072232145	0.00821737	0.93021303	0.00858838	0.0071194433	0.008030995	0.007791634	0.007167226	0.00811449	0.0075342515
0.008857237	0.010076504	0.0094974935	0.010530917	0.9136581	0.009848426	0.009554296	0.008788535	0.009949872	0.0092386305
0.005657629	0.006436675	0.32850295	0.0067272773	0.0055763554	0.0062904935	0.15079467	0.005613737	0.47849905	0.0059011998
0.002384371	0.0027126595	0.37249148	0.0028349855	0.0023500852	0.0026511715	0.0025720526	0.0023658639	0.60715026	0.002487038
0.0043890784	0.20957722	0.0047063404	0.005219043	0.0043260306	0.0048799883	0.0047346046	0.75265884	0.004930812	0.0045781056
0.027567271	0.031364087	0.029560382	0.7368724	0.027171195	0.030652585	0.029737025	0.02735294	0.03096763	0.028754478
0.0072232084	0.9306849	0.0077452585	0.008588267	0.007119403	0.008031453	0.007791744	0.0071672243	0.008114349	0.0075341715
0.09316595	0.1059868	0.099898085	0.11076454	0.09182763	0.10358425	0.10049648	0.09244382	0.104655445	0.097177014
0.002069288	0.002354187	0.0022188805	0.0024605484	0.25112134	0.73100734	0.0022321672	0.0020532468	0.00232461	0.0021583824
0.0066131772	0.0075235316	0.007091318	0.007863041	0.0065181283	0.007352922	0.9361489	0.006561941	0.007428973	0.006898039
0.013407115	0.8713383	0.014376285	0.015944166	0.013214873	0.01490718	0.014462082	0.013303278	0.015062325	0.013984395
0.004943265	0.4733586	0.005300748	0.0058778417	0.0048722336	0.005496299	0.005332431	0.0049049724	0.0055533606	0.48436025
0.0023138768	0.46307954	0.00248115	0.0027511353	0.0022806218	0.0025727595	0.0024960092	0.271041	0.0025992803	0.24838467
0.09316595	0.1059868	0.099898085	0.11076454	0.09182763	0.10358425	0.10049648	0.09244382	0.104655445	0.097177014
0.0041560964	0.0047282306	0.004456625	0.0049414085	0.0040964135	0.0046211956	0.00448332	0.0041239327	0.9600577	0.004335065
0.006613184	0.0075234002	0.0070916223	0.007863926	0.006518157	0.00735285	0.0071337367	0.935576	0.0074292016	0.0068978835
0.6404895	0.015252649	0.24338457	0.015940983	0.013214425	0.014907009	0.014462376	0.01330305	0.015061133	0.013984311
0.00315223	0.71982604	0.003380123	0.0037482015	0.0031069326	0.003504822	0.0034003356	0.25305218	0.0035411275	0.0032879878
0.020388912	0.023195203	0.021862317	0.024243934	0.020095935	0.80381906	0.021993497	0.020230561	0.022903798	0.021266798
0.020388592	0.023195606	0.021862058	0.024243588	0.020095814	0.022669429	0.021993186	0.020230835	0.8040544	0.021266496
0.005657585	0.0064365803	0.006066535	0.0067268405	0.0055762446	0.94556296	0.006102862	0.0056136893	0.00635558	0.00590113
0.005657536	0.0064363107	0.006066626	0.006727243	0.0055763023	0.0062903394	0.006102785	0.0056136646	0.94562805	0.005901148
0.0037572018	0.0042746435	0.0040287455	0.9641375	0.003703239	0.0041777478	0.0040528914	0.0037280784	0.004220948	0.003918998
0.016176429	0.018402642	0.01734534	0.019232726	0.015944032	0.017985616	0.017449245	0.016050993	0.018171735	0.8432413
0.0027150442	0.0030888333	0.0029112867	0.8131176	0.002676037	0.003018777	0.0029287837	0.16366152	0.0030500204	0.0028320276
0.0056575313	0.006436736	0.35122326	0.4453874	0.005576278	0.16174525	0.006102868	0.005613736	0.006355734	0.005901208
0.0060981223	0.006937493	0.54263085	0.00725029	0.006010529	0.0067802435	0.0065780682	0.40450332	0.006850411	0.0063607004
0.009986986	0.011361583	0.44357032	0.011874166	0.009843449	0.011104276	0.0107729705	0.46985033	0.011218952	0.010416987
0.0056575947	0.006436479	0.0060665514	0.006727083	0.31900924	0.0062905885	0.27827233	0.005613741	0.36002508	0.0059013204
0.0037572538	0.0042746197	0.004028856	0.0044676196	0.0037032838	0.00417764	0.004053086	0.0037282426	0.9638903	0.0039191255
0.0060981577	0.0069375876	0.006538853	0.007250463	0.0060105147	0.0067803846	0.006578172	0.0060508302	0.9413943	0.0063607395
0.027566427	0.031360716	0.02955855	0.032774612	0.027170407	0.030649817	0.0297359	0.73146147	0.030968754	0.028753342
0.0037572435	0.004274661	0.0040288926	0.0044674147	0.722972	0.0041775033	0.0040529086	0.0037281062	0.24462228	0.0039190655
0.013406748	0.01525261	0.8704691	0.015940111	0.01321428	0.014906633	0.014461982	0.013302851	0.015061542	0.013984141
0.004943236	0.005624021	0.0053005856	0.00587795	0.63102764	0.0054963	0.005332496	0.32568848	0.0055530677	0.005156206
0.00795733	0.00905299	0.008532524	0.9240472	0.007843074	0.0088475775	0.008583864	0.0078957025	0.008939689	0.008300126
0.042544622	0.04840032	0.045619216	0.050585184	0.5852714	0.047302578	0.045892764	0.042215284	0.047792234	0.04437639
0.0043889484	0.004993228	0.004706135	0.9581079	0.004325933	0.0048801554	0.0047343154	0.0043549645	0.0049305055	0.0045779217
0.007957426	0.009052931	0.008532702	0.009461706	0.007843012	0.008847566	0.0085836	0.0078956485	0.9235253	0.008300105
0.0035852843	0.00407896	0.003844344	0.61098474	0.0035336942	0.0039864345	0.0038674837	0.0035574154	0.35882208	0.003739559
0.027566442	0.03136126	0.029559486	0.03277445	0.027170429	0.030649832	0.029736383	0.02735317	0.73507506	0.028753452
0.020388642	0.023194976	0.021862276	0.805394	0.020095967	0.022669088	0.021993414	0.020230591	0.022904513	0.021266494
0.007957139	0.009053091	0.42439172	0.50819033	0.007842908	0.00884719	0.008583504	0.007895491	0.008938837	0.008299804
0.0066131763	0.007523765	0.0070912745	0.007863684	0.006518189	0.0073529338	0.0071338112	0.20828706	0.7347181	0.006898084
0.0034282901	0.96710145	0.003676215	0.0040761423	0.0033790155	0.0038117853	0.0036981283	0.0034017144	0.0038512333	0.003575976
0.0072231544	0.008217695	0.007745167	0.9310555	0.0071194577	0.008031576	0.007791673	0.0071671293	0.008114336	0.007534315
0.005657539	0.006436486	0.0060666385	0.006727199	0.005576213	0.0062904735	0.006102915	0.005613651	0.006355752	0.94517314
0.020388782	0.023195587	0.021861942	0.024241671	0.02009581	0.02266946	0.021993443	0.80138266	0.02290393	0.021266682
0.007223268	0.008217758	0.0077451533	0.008589063	0.38025633	0.008031205	0.007791758	0.0071671987	0.557444	0.0075342855
0.00527635	0.64478433	0.31024045	0.006273622	0.0052005276	0.0058666044	0.005691612	0.005235404	0.005927503	0.0055035925
0.0021847098	0.0024854809	0.0023426043	0.761025	0.0021533351	0.22055136	0.0023566296	0.0021677883	0.002454269	0.0022787743
0.4057863	0.55172133	0.0053003957	0.005877172	0.0048721894	0.0054963613	0.005332228	0.0049048923	0.005552964	0.0051561715
0.0013307644	0.0015140249	0.001426931	0.98729795	0.001311645	0.001479652	0.0014355188	0.001320472	0.0014949726	0.001388073
0.005657544	0.0064365924	0.006066707	0.0067275064	0.0055763274	0.0062904675	0.73417675	0.005613734	0.21755315	0.0059012
0.016177094	0.0184047	0.017346548	0.01923738	0.015944492	0.017986637	0.017451635	0.016051412	0.018173594	0.8432265
0.0016716812	0.0019018524	0.0017925309	0.82221717	0.0016476793	0.061051097	0.0018032597	0.0016587204	0.10451234	0.0017436657
0.011446962	0.013023379	0.88940203	0.013612459	0.011282456	0.012727437	0.012347847	0.011358285	0.012859277	0.011939864
0.0017860896	0.16963322	0.0019152155	0.0021237216	0.0017604287	0.0019858638	0.001926687	0.0017722326	0.0020064227	0.8150901
0.020388968	0.023195824	0.021863082	0.024243098	0.020096183	0.022670694	0.021993963	0.02023078	0.022906473	0.8024109
0.8885766	0.013023153	0.012274242	0.013609902	0.011282588	0.012727845	0.01234817	0.011358185	0.012859009	0.011940239
0.013406806	0.015252195	0.01437567	0.87203544	0.013214102	0.014906331	0.014461693	0.01330304	0.015060662	0.013984063
0.01617659	0.018403077	0.017346349	0.019232571	0.0159441	0.017987166	0.017450152	0.016051251	0.8445356	0.016873132
0.00394653	0.0044896924	0.004231738	0.9623315	0.0038898324	0.0043878965	0.004257071	0.0039159446	0.004433362	0.0041164407
0.020389087	0.023194697	0.021862032	0.024241323	0.020095808	0.022668887	0.021993421	0.80138505	0.022903306	0.021266367
0.013407	0.015252672	0.014376838	0.015942125	0.4487235	0.014907452	0.4350415	0.013303574	0.015061077	0.013984254
0.004943239	0.005623821	0.0053006834	0.5023032	0.45538592	0.0054963045	0.005332426	0.004904986	0.005553241	0.005156172
0.00661313	0.0075233667	0.0070912354	0.007862715	0.3561716	0.58671474	0.0071338587	0.0065618544	0.0074292654	0.0068981815
0.002812567	0.0031998649	0.0030159312	0.5856522	0.2600764	0.0031271556	0.13323179	0.002790759	0.0031596662	0.0029336966
0.016176686	0.018404039	0.017346038	0.019233238	0.015944378	0.84434867	0.017450027	0.016051263	0.01817223	0.01687343
0.00795729	0.009052548	0.50197273	0.009461878	0.007842943	0.008847626	0.008583674	0.42904213	0.008939107	0.008300064
0.0041561117	0.0047281603	0.9598456	0.0049417573	0.0040964046	0.004620984	0.0044831955	0.0041238694	0.004668945	0.004335
0.0052764486	0.0060030427	0.0056577707	0.0062735197	0.2565783	0.0058669285	0.0056918194	0.0052354834	0.0059272484	0.69748944
0.31384486	0.004993389	0.0047063543	0.0052185887	0.004326069	0.004880103	0.0047346056	0.0043550236	0.648363	0.004578077
0.027568106	0.031362392	0.029560229	0.032785565	0.027170723	0.030654509	0.029737692	0.7314338	0.030968241	0.028758686
0.020388905	0.023195645	0.021862337	0.024242159	0.020095784	0.022669189	0.021993525	0.020231027	0.80405414	0.021267246
0.0049432097	0.0056238025	0.005300416	0.005877524	0.9518126	0.005496144	0.0053322054	0.0049048457	0.005553146	0.0051560793
0.042546254	0.048400875	0.045620717	0.050586324	0.04193389	0.047303956	0.045893587	0.58554345	0.047793098	0.04437786
0.29712975	0.0039003228	0.0036762229	0.0040762573	0.0033790048	0.67331165	0.0036980358	0.0034016622	0.0038512517	0.0035758938
0.005657403	0.0064360695	0.006066255	0.9460015	0.005576126	0.0062901415	0.006102592	0.005613573	0.0063552824	0.005901006
0.004649724	0.0052899225	0.0049858512	0.005528767	0.004582931	0.0051701167	0.005015825	0.73306394	0.22686286	0.00485005
0.006613179	0.5122661	0.43136418	0.0078628175	0.006518118	0.0073528704	0.0071338345	0.006561928	0.0074290507	0.006897913
0.6217664	0.0056240195	0.0053006215	0.33599338	0.0048722783	0.0054964437	0.005332346	0.004905064	0.0055532735	0.0051561664
0.09316595	0.1059868	0.099898085	0.11076454	0.09182763	0.10358425	0.10049648	0.09244382	0.104655445	0.097177014
0.002313872	0.0026324738	0.0024811153	0.0027511704	0.97744375	0.0025728736	0.0024959706	0.0022959446	0.0025993637	0.0024135201
0.0007540677	0.0008578771	0.90697503	0.0008965692	0.00074323575	0.00083844	0.08655292	0.0007482197	0.0008471139	0.0007865412
0.027566435	0.031359967	0.029558327	0.03277451	0.027170382	0.030649439	0.029735422	0.027352681	0.030966554	0.7328663
0.0056575104	0.6601191	0.0060663666	0.006726653	0.005576219	0.006290322	0.0061027966	0.2912046	0.0063553406	0.005901127
0.0032844413	0.0037366536	0.003521869	0.0039051617	0.0032372822	0.0036519165	0.5435181	0.42802906	0.003689578	0.0034259427
0.0060982658	0.0069378554	0.0065390826	0.007251162	0.006010595	0.006780606	0.3239937	0.0060510337	0.006850869	0.6234868
0.013406932	0.015253428	0.014376042	0.015940323	0.013214453	0.014906192	0.014462345	0.86939526	0.015060626	0.013984402
0.011447202	0.01302483	0.012274237	0.013610486	0.011282418	0.012730715	0.0123479925	0.88848245	0.012859864	0.011939835
0.0041561457	0.004728637	0.0044565415	0.96033007	0.0040963646	0.004621075	0.0044833734	0.004123891	0.004668801	0.004335063
0.004649732	0.005289798	0.0049858023	0.005528785	0.0045829215	0.00516997	0.3213681	0.63835144	0.0052233883	0.0048500574
0.004649695	0.005290022	0.3336195	0.0055285934	0.0045828694	0.005169965	0.41630334	0.00461367	0.00522344	0.21501888
0.008857381	0.010076339	0.009497271	0.010531074	0.008730007	0.009848028	0.57051927	0.008788599	0.35391304	0.009239032
0.007957236	0.009052695	0.008532149	0.009461042	0.922432	0.008847572	0.008583356	0.007895455	0.0089387335	0.008299828
0.0046497104	0.95538116	0.0049856864	0.005528241	0.004582867	0.0051697986	0.0050158105	0.0046135895	0.00522326	0.004849932
0.011447195	0.8901518	0.012274475	0.013611288	0.011282574	0.0127272885	0.012348099	0.01135831	0.012859017	0.011939964
0.22778565	0.006937839	0.7193941	0.0072510825	0.006010523	0.0067803375	0.0065782815	0.006050857	0.006850582	0.0063607665
0.0425448	0.5917259	0.045619328	0.050587665	0.04193498	0.04730473	0.04589332	0.04221505	0.04779659	0.04437764
0.00795721	0.009052838	0.008532478	0.2987813	0.007843017	0.008847453	0.0085834535	0.007895568	0.63420683	0.008299848
0.013407015	0.01525312	0.014376081	0.015944077	0.013214474	0.014907331	0.014462127	0.013302953	0.015061587	0.87007123
0.006613283	0.0075238077	0.007091328	0.0078637535	0.0065182038	0.0073532886	0.0071338057	0.5932768	0.34972766	0.0068980665
0.027566463	0.031362064	0.029558554	0.032776285	0.73127705	0.030649787	0.029735874	0.027352907	0.030967437	0.0287536
0.0088573415	0.010076466	0.009497362	0.010530911	0.008730026	0.009847993	0.009554379	0.9137168	0.009949957	0.009238738
0.01144704	0.013023087	0.012274488	0.013611142	0.011282481	0.012727399	0.8894766	0.011358656	0.012859294	0.011939808
0.0039466396	0.0044900454	0.0042320015	0.23953176	0.0038899118	0.004388114	0.0042572757	0.7267141	0.0044336254	0.0041166064
0.902789	0.011362019	0.010708979	0.01187398	0.009843583	0.011103987	0.010772945	0.009909646	0.011218825	0.010417058
0.0046495753	0.005289732	0.0049856286	0.7843213	0.004582789	0.17646898	0.005015449	0.004613567	0.00522326	0.004849772
0.27786803	0.14966401	0.008532403	0.009461145	0.0078428555	0.008847412	0.008583499	0.5119618	0.008938903	0.008299967
0.0049432353	0.005623664	0.9522406	0.0058773863	0.004872235	0.0054961722	0.005332339	0.004904916	0.0055533573	0.0051561063
0.009987079	0.011361989	0.010709614	0.9046735	0.009843635	0.0111042755	0.0107735135	0.009909688	0.011219518	0.01041717
0.007957143	0.009052868	0.9231188	0.009462173	0.0078429375	0.008847829	0.008583543	0.0078955	0.008939288	0.008299943
0.004649696	0.0052899397	0.43155602	0.0055286004	0.004582913	0.0051699704	0.0050156857	0.004613666	0.005223404	0.52837014
0.15136166	0.0030888342	0.0029112122	0.0032281936	0.0026759976	0.7319156	0.0029287022	0.09600778	0.0030500842	0.0028319587
0.0037572721	0.004274503	0.004028922	0.004467846	0.0037032764	0.004177548	0.9637225	0.003728138	0.0042208484	0.003919093
0.011447237	0.01302273	0.012274229	0.013610193	0.011282444	0.01272732	0.012347733	0.88848835	0.012859519	0.01194023
0.027566435	0.031359967	0.029558327	0.032774515	0.027170382	0.030649439	0.029735422	0.027352681	0.030966556	0.7328663
0.0020692819	0.002354191	0.35844433	0.0024604606	0.002039562	0.62386376	0.0022321409	0.0020532561	0.0023245704	0.002158415
0.007957261	0.009052678	0.008532313	0.009460805	0.007842881	0.008847583	0.008583476	0.007895569	0.48496482	0.44686264
0.0019654247	0.0022359628	0.31127143	0.0023368206	0.001937177	0.6719249	0.002120109	0.0019501975	0.0022079446	0.0020500473
0.006613175	0.5527935	0.0070910975	0.00786314	0.0065181428	0.007352891	0.00713367	0.00656186	0.0074291686	0.3906433
0.016176427	0.018402914	0.01734549	0.8455999	0.015944352	0.017985567	0.017449398	0.016051173	0.018171899	0.016872894
0.09316595	0.1059868	0.099898085	0.11076454	0.09182763	0.10358425	0.10049648	0.09244382	0.104655445	0.097177014
0.9027838	0.011362613	0.010709966	0.011874236	0.009843623	0.011104575	0.010773651	0.009909651	0.011220599	0.010417264
0.0004306103	0.0004899043	0.000461728	0.65970373	0.00042442422	0.33666497	0.00046449612	0.00042727147	0.00048374198	0.0004491496
0.004649625	0.00528958	0.004985842	0.9556204	0.0045828037	0.005169644	0.005015528	0.004613566	0.005223251	0.004849777
0.0056574875	0.0064363335	0.0060664387	0.72107464	0.005576252	0.006290436	0.0061027305	0.005613686	0.23128079	0.005901197
0.011447505	0.013023434	0.01227439	0.013611295	0.011282686	0.889853	0.012348711	0.011358441	0.012859899	0.0119406
0.007957095	0.009052467	0.008532209	0.92405146	0.007842793	0.008847005	0.008583248	0.007895421	0.008938605	0.008299701
0.28454545	0.002236053	0.0021074722	0.0023369277	0.0019371897	0.002185308	0.0021201256	0.0019535394	0.41344395	0.28713396
0.020388825	0.023197968	0.02186249	0.024242142	0.02009588	0.02266991	0.021994147	0.020230802	0.022903737	0.8024141
0.007223161	0.00821779	0.007745162	0.008588194	0.0071193757	0.0080313515	0.0077917725	0.007167145	0.9305819	0.0075341477
0.0052763326	0.0060031037	0.251216	0.704079	0.005200605	0.005867088	0.0056917556	0.0052353875	0.005927126	0.0055036354
0.09316595	0.1059868	0.099898085	0.11076454	0.09182763	0.10358425	0.10049648	0.09244382	0.104655445	0.097177014
0.0043890667	0.9578814	0.0047064205	0.005218669	0.0043260334	0.004880133	0.004734538	0.0043550474	0.004930532	0.004578161
0.02756773	0.03136753	0.73364353	0.03277955	0.027170898	0.030654294	0.029739588	0.027353408	0.030969217	0.028754277
