topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.04927082	0.05180116	0.04980399	0.05281897	0.048240498	0.050170153	0.049807735	0.048334382	0.05036579	0.04921347	0.049572155	0.049768414	0.05313751	0.05017087	0.05107221	0.049424745	0.050346315	0.049515456	0.04909199	0.04807339
0.01546978	0.016264243	0.015637184	0.01658381	0.015146286	0.01575215	0.015638359	0.7012013	0.015813574	0.015451775	0.015564392	0.015626013	0.016683824	0.015752373	0.016035372	0.015518109	0.01580746	0.015546591	0.015413634	0.015093818
0.007624243	0.008015792	0.007706747	0.85343176	0.0074648093	0.0077634077	0.007707326	0.007479337	0.0077936803	0.007615369	0.0076708724	0.007701242	0.008222581	0.007763518	0.007902993	0.0076480615	0.007790667	0.007662099	0.007596571	0.0074389507
0.0028337336	0.28764948	0.0028643983	0.0030377998	0.6605908	0.0028854576	0.0028646134	0.0027798759	0.0028967091	0.0028304353	0.0028510645	0.0028623522	0.0030561206	0.0028854986	0.0029373378	0.0028425865	0.0028955892	0.0028478038	0.0028234487	0.0027648653
0.006521717	0.0068566445	0.00659229	0.006991367	0.006385339	0.0066407574	0.006592786	0.22509581	0.0066666524	0.65545136	0.0065616034	0.0065875812	0.0070335306	0.0066408515	0.0067601576	0.0065420913	0.006664075	0.006554099	0.0064980467	0.0063632196
0.0037850435	0.6414985	0.0038260024	0.004057617	0.003705893	0.0038541316	0.0038262901	0.0037131053	0.0038691605	0.0037806379	0.0038081924	0.0038232696	0.0040820874	0.0038541863	0.0039234287	0.0037968683	0.2895274	0.0038038369	0.003771306	0.0036930556
0.001968117	0.33989766	0.0019894144	0.0021098475	0.001926961	0.0020040409	0.6242162	0.0019307112	0.0020118556	0.0019658264	0.0019801538	0.0019879935	0.0021225717	0.0020040693	0.0020400735	0.0019742656	0.0020110777	0.001977889	0.001960974	0.0019202859
0.0022645735	0.9564191	0.002289079	0.0024276527	0.002217218	0.0023059086	0.002289251	0.002221533	0.0023149003	0.0022619376	0.0022784234	0.002287444	0.0024422936	0.0023059412	0.0023473685	0.0022716483	0.002314005	0.0022758176	0.0022563543	0.0022095374
0.0041318117	0.0043440037	0.004176523	0.0044293567	0.0040454096	0.0042072292	0.004176837	0.0040532826	0.004223635	0.0041270023	0.0041570812	0.0041735396	0.0044560693	0.9203481	0.004282875	0.00414472	0.004222002	0.004152327	0.0041168155	0.004031396
0.005058663	0.0053184545	0.005113404	0.90275234	0.004952879	0.0051509985	0.0051137884	0.0049625183	0.0051710843	0.0050527747	0.005089601	0.0051097516	0.0054556583	0.0051510716	0.005243613	0.0050744666	0.0051690848	0.0050837803	0.005040303	0.004935722
0.0091753425	0.009646549	0.009274631	0.009836088	0.008983473	0.009342819	0.009275328	0.009000956	0.009379251	0.009164663	0.0092314575	0.009268006	0.0098954085	0.009342952	0.009510802	0.009204007	0.82315296	0.0092209	0.009142041	0.008952354
0.009175422	0.60778743	0.009274711	0.009836174	0.008983551	0.0093429	0.009275408	0.009001034	0.009379332	0.22479966	0.009231538	0.009268086	0.009895493	0.009343033	0.009510884	0.009204086	0.009375705	0.009220979	0.009142119	0.008952431
0.005697801	0.0059904153	0.005759458	0.0061081178	0.0055786516	0.005801802	0.0057598907	0.0055895085	0.0058244257	0.005691169	0.0057326476	0.005755344	0.006144955	0.0058018845	0.005906118	0.005715601	0.005822174	0.005726091	0.15237242	0.7432215
0.0023843239	0.18844156	0.0024101252	0.0025560267	0.0023344643	0.0024278448	0.0024103064	0.0023390076	0.002437312	0.76805454	0.0023989063	0.0024084037	0.0025714417	0.0024278793	0.0024714973	0.0023917726	0.0024363694	0.0023961626	0.00237567	0.0023263777
0.0020579211	0.0021636074	0.0020801905	0.0022061188	0.18882076	0.0020954844	0.002080347	0.088070385	0.0021036554	0.002055526	0.0020705073	0.0020787045	0.0022194237	0.002095514	0.525147	0.0020643503	0.002102842	0.16442934	0.0020504522	0.0020079075
0.0037850477	0.003979432	0.0038260068	0.004057621	0.0037058971	0.003854136	0.0038262943	0.0037131093	0.42827547	0.50255305	0.0038081969	0.0038232738	0.004082092	0.0038541907	0.003923433	0.0037968725	0.0038676688	0.0038038413	0.0037713102	0.0036930598
0.009175356	0.009646563	0.009274645	0.009836103	0.008983486	0.0093428325	0.009275341	0.009000969	0.009379264	0.009164676	0.009231471	0.009268019	0.0098954225	0.009342966	0.009510816	0.00920402	0.82315266	0.009220913	0.009142054	0.008952367
