topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.03239141	0.033735175	0.033543028	0.034841266	0.032557525	0.03339	0.033313226	0.032849174	0.033719335	0.0330387	0.0334511	0.03317692	0.034332063	0.033489093	0.033462595	0.03328849	0.033563625	0.032754276	0.032935485	0.032568004	0.033184	0.033485837	0.03324879	0.033566453	0.032920018	0.033549327	0.03383215	0.033435993	0.033461045	0.032915883
0.0103809135	0.010811567	0.010749988	0.011166051	0.010434151	0.010700944	0.01067634	0.010527619	0.010806492	0.01058836	0.010720526	0.0106326565	0.011002861	0.010732702	0.01072421	0.010668412	0.010756589	0.69001365	0.01055528	0.010437508	0.010634925	0.010731659	0.010655689	0.010757495	0.010550323	0.010752006	0.0108426465	0.010715685	0.010723713	0.010548998
0.005140918	0.0053541893	0.0053236936	0.00552974	0.005167282	0.005299406	0.005287221	0.0052135703	0.0053516757	0.005243651	0.0053091035	0.005265588	0.0054489234	0.0053151334	0.005310928	0.005283295	0.0053269626	0.005198509	0.005227269	0.005168945	0.0052667116	0.8466022	0.0052769943	0.0053274115	0.005224814	0.0053246934	0.005369581	0.005306706	0.0053106816	0.0052241576
0.0019164173	0.00199592	0.35011083	0.0020613612	0.0019262453	0.001975498	0.0019709559	0.0019435005	0.001994983	0.0019547138	0.0019791129	0.0019628915	0.0020312348	0.0019813608	0.59468913	0.0019694923	0.0019857704	0.0019378858	0.001948607	0.0019268652	0.0019633102	0.0019811683	0.0019671435	0.0019859378	0.0019476919	0.0019849245	0.0020016576	0.0019782193	0.0019797012	0.0019474472
0.0044005183	0.0045830747	0.0045569707	0.0047333417	0.004423086	0.004536181	0.0045257513	0.17307821	0.004580923	0.70001847	0.0045444816	0.004507234	0.004664165	0.0045496435	0.0045460435	0.00452239	0.004559769	0.004449815	0.0044744336	0.004424509	0.004508195	0.004549201	0.004516997	0.004560153	0.004472332	0.0045578266	0.004596249	0.0045424295	0.004545833	0.00447177
0.0025582688	0.0026643989	0.0026492234	0.0027517579	0.0025713884	0.002637137	0.0026310736	0.0025944228	0.002663148	0.0026093917	0.0026419628	0.0026203084	0.6445707	0.0026449633	0.0026428709	0.0026291197	0.28181186	0.0025869277	0.0026012396	0.002572216	0.0026208672	0.0026447065	0.0026259844	0.0026510733	0.0026000182	0.0026497208	0.002672058	0.0026407696	0.0026427482	0.0025996913
0.0013317324	0.63856095	0.0013790797	0.0014324549	0.0013385619	0.001372788	0.0013696316	0.0013505527	0.0013863283	0.1019062	0.0013753001	0.0013640276	0.0014115198	0.22254132	0.0013757728	0.0013686145	0.0013799263	0.001346651	0.0013541012	0.0013389927	0.0013643185	0.0013767283	0.0013669824	0.0013800426	0.0013534654	0.0013793386	0.0013909665	0.0013746789	0.001375709	0.0013532953
0.0015320379	0.95429796	0.0015865067	0.0016479102	0.0015398947	0.0015792687	0.0015756376	0.001553689	0.0015948457	0.0015626532	0.0015821586	0.0015691908	0.0016238262	0.0015839556	0.0015827024	0.0015744675	0.0015874808	0.0015492005	0.0015577713	0.0015403903	0.0015695255	0.0015838017	0.0015725899	0.0015876145	0.0015570398	0.0015868046	0.0016001815	0.0015814442	0.001582629	0.0015568441
0.0027920394	0.0029078675	0.52137136	0.0030032091	0.002806358	0.0028781146	0.002871497	0.0028314972	0.0029065025	0.002847834	0.0028833812	0.0028597482	0.0029593178	0.0028866562	0.0028843724	0.0028693648	0.0028930807	0.0028233172	0.002838937	0.0028072612	0.0028603582	0.0028863756	0.002865943	0.0028933245	0.0028376037	0.0028918483	0.0029162266	0.39820507	0.0028842385	0.0028372472
0.0034164046	0.0035581347	0.0035378686	0.65851957	0.24311654	0.003521728	0.0035136307	0.003464686	0.003556464	0.0034846761	0.0035281726	0.0034992544	0.0036210902	0.0035321799	0.0035293852	0.0035110216	0.003540041	0.0034546768	0.0034737894	0.00343503	0.0035000008	0.0035318364	0.0035068344	0.0035403392	0.003472158	0.0035385329	0.003568363	0.0035265794	0.0035292215	0.0034717217
0.0061809025	0.006437318	0.006400653	0.0066483812	0.0062126	0.006371452	0.0063568023	0.006268252	0.006434296	0.0063044177	0.0063831112	0.006330793	0.006551216	0.0063903606	0.006385305	0.006352082	0.006404583	0.0062501435	0.006284722	0.0062145996	0.006332143	0.00638974	0.0063445065	0.0064051226	0.0062817708	0.006401855	0.006455823	0.0063802283	0.8155658	0.0062809815
0.006180949	0.0064373664	0.006400701	0.006648431	0.006212647	0.0063715	0.0063568503	0.0062682997	0.006434344	0.0063044652	0.006383159	0.0063308408	0.0065512653	0.006390409	0.006385353	0.0063521294	0.0064046313	0.0062501905	0.0062847696	0.006214646	0.006332191	0.006389788	0.006344554	0.006405171	0.006281818	0.006401903	0.0064558713	0.8155597	0.006385057	0.0062810285
