topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59
0.016624266	0.016833559	0.016648494	0.01707497	0.016588306	0.01669958	0.016550398	0.016588181	0.016645331	0.01662624	0.01689786	0.016662944	0.01692419	0.016683562	0.016644696	0.016606905	0.016812172	0.016569702	0.016532179	0.016439883	0.016550647	0.016718978	0.016446294	0.016720124	0.016475992	0.016885897	0.016816823	0.016682206	0.016588798	0.01658844	0.01668163	0.016588878	0.016757306	0.016734935	0.016568294	0.016662505	0.01681224	0.016569784	0.016587822	0.016604954	0.016642435	0.016779952	0.016550934	0.01659035	0.016643303	0.016644517	0.01660788	0.016588727	0.01716289	0.016682228	0.016683714	0.01686906	0.016718777	0.016476767	0.016568441	0.016532619	0.016512733	0.0165888	0.016816234	0.01664367
0.00543475	0.005503172	0.0054426705	0.0055820933	0.0054229945	0.0054593724	0.0054106014	0.005422954	0.005441637	0.005435396	0.005524193	0.0054473947	0.0055328007	0.0054541356	0.0054414296	0.0054290746	0.0054961797	0.005416913	0.0054046456	0.005374473	0.005410683	0.005465714	0.0053765685	0.0054660877	0.0053862776	0.0055202823	0.0054977005	0.678537	0.005423155	0.0054230387	0.0054535037	0.0054231817	0.0054782433	0.00547093	0.005416452	0.0054472513	0.0054962025	0.005416939	0.005422836	0.005428437	0.0054406896	0.0054856464	0.005410777	0.0054236623	0.0054409737	0.0054413704	0.0054293936	0.005423132	0.0056108353	0.0054536993	0.005454185	0.0055147777	0.0054656477	0.0053865304	0.0054165004	0.0054047895	0.005398289	0.0054231556	0.005497508	0.0054410934
0.0027043521	0.002738399	0.0027082933	0.33424336	0.0026985025	0.002716604	0.0026923355	0.0026984822	0.002707779	0.0027046734	0.002748859	0.002710644	0.0027531423	0.002713998	0.0027076756	0.002701528	0.0027349195	0.0026954762	0.0026893718	0.0026743577	0.002692376	0.508579	0.0026754006	0.0027199457	0.0026802318	0.0027469131	0.0027356765	0.0027137776	0.0026985824	0.0026985242	0.0027136838	0.0026985954	0.0027259944	0.0027223553	0.0026952468	0.0027105724	0.002734931	0.0026954892	0.0026984236	0.0027012106	0.0027073077	0.0027296783	0.0026924228	0.0026988345	0.0027074488	0.0027076462	0.0027016867	0.0026985707	0.0027919726	0.002713781	0.0027140228	0.0027441739	0.0027197269	0.0026803578	0.0026952708	0.0026894433	0.0026862086	0.0026985826	0.0027355806	0.0027075084
0.001011108	0.5246414	0.0010125816	0.0010385205	0.001008921	0.0010156889	0.0010066153	0.0010089134	0.0010123893	0.0010112282	0.0010277485	0.0010134605	0.0010293499	0.0010147146	0.0010123507	0.0010100522	0.0010225367	0.0010077895	0.0010055072	0.0009998938	0.0010066305	0.0010168686	0.0010002836	0.4165782	0.0010020899	0.0010270209	0.0010228197	0.001014632	0.0010089509	0.0010089291	0.001014597	0.0010089558	0.0010191997	0.0010178392	0.0010077037	0.0010134338	0.0010225408	0.0010077944	0.0010088915	0.0010099335	0.0010122131	0.001020577	0.001006648	0.0010090452	0.0010122659	0.0010123397	0.0010101115	0.0010089466	0.0010438678	0.0010146333	0.0010147238	0.0010259968	0.0010168564	0.001002137	0.0010077128	0.001005534	0.0010043245	0.001008951	0.0010227838	0.0010122882
0.0023164426	0.0023456058	0.0023198184	0.0023792444	0.002311432	0.0023269372	0.0023061498	0.119932115	0.0023193778	0.74535495	0.0023545655	0.002321832	0.0023582345	0.002324705	0.0023192894	0.0023140234	0.0023426255	0.0023088397	0.0023036113	0.0022907506	0.0023061845	0.00232964	0.0022916438	0.0023297996	0.002295782	0.0023528987	0.0023432737	0.0023245162	0.0023115005	0.0023114507	0.0023244356	0.0023115117	0.0023349805	0.0023318636	0.0023086434	0.0023217709	0.0023426353	0.0023088509	0.0023113645	0.0023137517	0.0023189741	0.002338136	0.0023062245	0.0023117166	0.0023190952	0.0023192642	0.0023141594	0.0023114905	0.0023914948	0.0023245192	0.0023247262	0.0023505525	0.002329612	0.00229589	0.002308664	0.0023036723	0.0023009016	0.0023115007	0.0023431918	0.0023191462
0.0013489594	0.0013659423	0.0013509253	0.0013855315	0.0013460416	0.0013550709	0.0013429654	0.0013460314	0.0013506687	0.0013491197	0.00137116	0.0013520978	0.0013732965	0.001353771	0.0013506173	0.0013475507	0.0013642068	0.001344532	0.0013414872	0.0013339979	0.0013429857	0.0013566448	0.0013345181	0.0013567377	0.001336928	0.0013701892	0.0013645843	0.001353661	0.0013460814	0.0013460524	0.0013536141	0.0013460879	0.0013597548	0.0013579397	0.0013444176	0.0013520622	0.0013642125	0.0013445385	0.0013460022	0.48325583	0.0013504337	0.0013615924	0.0013430091	0.0013462072	0.0013505041	0.0013506026	0.0013476298	0.4382936	0.0013926654	0.0013536627	0.0013537833	0.001368823	0.0013566285	0.0013369907	0.0013444296	0.0013415228	0.0013399093	0.0013460815	0.0013645366	0.0013505338
0.0007030031	0.0007118537	0.00070402765	0.0007220624	0.00070148247	0.00070618803	0.00069987937	0.0007014772	0.00070389395	0.0007030866	0.00071457285	0.54106677	0.00071568624	0.00070551067	0.0007038671	0.00070226897	0.00071094924	0.0007006958	0.000699109	0.00069520605	0.00069988996	0.0007070083	0.0006954771	0.13166419	0.00069673295	0.00071406696	0.0007111459	0.00070545333	0.00070150325	0.00070148817	0.0007054289	0.0007015066	0.0007086291	0.0007076831	0.0007006362	0.00070462015	0.00071095215	0.00070069917	0.000701462	0.22816767	0.0007037714	0.0007095867	0.00069990207	0.00070156885	0.00070380815	0.0007038595	0.00070231024	0.0007015002	0.00072578026	0.0007054542	0.0007055171	0.0007133549	0.0007069998	0.0006967657	0.0007006424	0.00069912756	0.0006982867	0.0007015033	0.0007111211	0.059631266
0.00080859463	0.56096315	0.00080977305	0.0008305167	0.0008068456	0.00081225793	0.0008050017	0.00080683955	0.00080961926	0.0008086907	0.0008219021	0.2677458	0.00082318275	0.00081147876	0.00080958835	0.0008077502	0.0008177343	0.12508684	0.0008041156	0.0007996264	0.0008050139	0.0008132014	0.0007999382	0.0008132571	0.0008013827	0.0008213202	0.00081796054	0.0008114129	0.0008068695	0.0008068521	0.00081138476	0.0008068734	0.00081506564	0.00081397756	0.0008058722	0.00081045454	0.0008177376	0.00080594467	0.000806822	0.00080765533	0.00080947834	0.0008161671	0.00080502784	0.0008069449	0.00080952054	0.0008095796	0.00080779765	0.00080686604	0.00083479297	0.00081141386	0.00081148616	0.0008205013	0.00081319164	0.00080142036	0.00080587936	0.000804137	0.0008031698	0.0008068696	0.0008179319	0.0008095384
0.0014719064	0.0014904372	0.0014740515	0.0015118117	0.0014687226	0.0014785748	0.0014653662	0.16129535	0.0014737716	0.0014720813	0.0014961305	0.001475331	0.0014984617	0.0014771565	0.0014737154	0.0014703693	0.0014885436	0.0014670754	0.0014637532	0.0014555814	0.0014653882	0.0014802923	0.0014561489	0.0014803937	0.0014587784	0.0014950712	0.0014889555	0.0014770365	0.0014687661	0.0014687346	0.0014769854	0.0014687732	0.0014836858	0.0014817052	0.0014669508	0.0014752921	0.0014885496	0.0014670826	0.0014686796	0.2601616	0.0014735151	0.0014856908	0.0014654137	0.49441126	0.001473592	0.0014736995	0.0014704557	0.0014687598	0.001519596	0.0014770384	0.00147717	0.0014935804	0.0014802745	0.001458847	0.0014669638	0.001463792	0.0014620315	0.0014687662	0.0014889033	0.0014736244
0.0018000267	0.0018226885	0.00180265	0.0018488278	0.0017961332	0.0018081818	0.0017920285	0.0017961197	0.0018023077	0.0018002406	0.0018296508	0.0018042147	0.0018325017	0.0018064473	0.001802239	0.001798147	0.0018203727	0.0017941189	0.0017900559	0.0017800624	0.0017920556	0.001810282	0.0017807565	0.001810406	0.0017839723	0.0018283555	0.0018208764	0.0018063005	0.0017961864	0.0017961478	0.001806238	0.001796195	0.001814432	0.8935349	0.0017939663	0.0018041672	0.0018203801	0.0017941276	0.0017960807	0.0017979358	0.0018019939	0.001816884	0.0017920866	0.0017963543	0.001802088	0.0018022194	0.0017982527	0.0017961788	0.0018583473	0.0018063028	0.0018064637	0.0018265324	0.0018102602	0.0017840561	0.0017939822	0.0017901035	0.0017879504	0.0017961866	0.0018208126	0.0018021277
0.0032483554	0.0032892511	0.0032530895	0.0033364226	0.003241329	0.003263072	0.0032339217	0.0032413048	0.0032524716	0.0032487414	0.0033018156	0.003255913	0.0033069602	0.003259942	0.0032523477	0.003244963	0.003285072	0.003237694	0.003230362	0.0032123276	0.8078355	0.0032668621	0.00321358	0.0032670859	0.003219383	0.003299478	0.003285981	0.003259677	0.003241425	0.0032413553	0.0032595643	0.0032414407	0.0032743514	0.0032699802	0.0032374186	0.0032558274	0.0032850853	0.0032377096	0.0032412342	0.003244582	0.0032519056	0.0032787763	0.0032340267	0.003241728	0.0032520753	0.0032523123	0.0032451537	0.0032414112	0.0033536016	0.0032596812	0.0032599715	0.0032961878	0.003266823	0.0032195344	0.0032374475	0.0032304476	0.0032265624	0.0032414254	0.0032858658	0.0032521468
0.0032483502	0.0032892458	0.0032530841	0.0033364173	0.0032413239	0.0032630668	0.8078358	0.0032412994	0.0032524662	0.003248736	0.0033018102	0.0032559077	0.0033069549	0.0032599366	0.0032523423	0.003244958	0.0032850667	0.0032376887	0.0032303566	0.0032123222	0.0032339653	0.003266857	0.0032135749	0.0032670805	0.003219378	0.0032994726	0.0032859754	0.0032596716	0.0032414198	0.00324135	0.003259559	0.0032414354	0.003274346	0.003269975	0.0032374132	0.003255822	0.00328508	0.0032377045	0.003241229	0.0032445767	0.0032519002	0.003278771	0.0032340214	0.003241723	0.00325207	0.0032523072	0.0032451486	0.0032414058	0.0033535962	0.0032596758	0.0032599661	0.0032961825	0.0032668177	0.0032195293	0.003237442	0.0032304425	0.003226557	0.00324142	0.0032858604	0.0032521414
0.002025855	0.0020513597	0.0020288075	0.0020807786	0.0020214731	0.0020350332	0.0020168533	0.0020214578	0.1479008	0.73429245	0.0020591957	0.0020305684	0.0020624043	0.0020330811	0.002028345	0.0020237393	0.0020487534	0.002019206	0.0020146333	0.0020033862	0.0020168838	0.002037397	0.0020041673	0.0020375364	0.0020077862	0.002057738	0.0020493204	0.0020329158	0.0020215327	0.0020214894	0.0020328455	0.0020215428	0.0020420675	0.0020393415	0.0020190342	0.0020305149	0.0020487618	0.0020192158	0.002021414	0.0020235018	0.002028069	0.0020448272	0.0020169187	0.0020217218	0.002028175	0.0020283228	0.0020238583	0.0020215241	0.0020914923	0.0020329184	0.0020330995	0.002055686	0.0020373724	0.0020078807	0.0020190522	0.0020146868	0.0020122638	0.002021533	0.0020492487	0.0020282196
