topic_0	topic_1	topic_2	topic_3
0.019784663	0.30211622	0.6587168	0.019382343
0.044802595	0.8781863	0.033076484	0.04393464
0.015458935	0.013006014	0.011386794	0.9601482
0.043838367	0.037260093	0.032889184	0.8860123
0.027236024	0.022881512	0.020125346	0.9297571
0.019858664	0.016574573	0.014582554	0.9489842
0.06723253	0.90786994	0.010597234	0.014300296
0.003940462	0.9892624	0.002910655	0.003886473
0.056003135	0.047470026	0.041706044	0.85482085
0.019700525	0.016588865	0.014531959	0.94917864
0.02766269	0.022882776	0.020166403	0.92928815
0.0022874265	0.72276294	0.24939021	0.025559347
0.02376617	0.93452406	0.01791011	0.02379962
0.07199529	0.0068961326	0.40845618	0.5126524
0.0059976005	0.004980948	0.12056829	0.86845315
0.016630216	0.013927239	0.012230618	0.9572119
0.014095637	0.9611881	0.010612084	0.014104157
0.9440411	0.01809315	0.016087495	0.021778261
0.00919251	0.68291074	0.29870144	0.009195329
0.019842798	0.45412767	0.5061475	0.019882005
0.0365814	0.030739242	0.89605385	0.036625545
0.0164883	0.013879725	0.012231468	0.95740056
0.031066136	0.9150275	0.023096517	0.030809812
0.01992194	0.016593229	0.9437991	0.019685715
0.045833193	0.8767303	0.032852467	0.04458397
0.031238217	0.026369508	0.023144364	0.9192479
0.01996417	0.01646523	0.014536325	0.9490343
0.01074197	0.008959575	0.007904629	0.9723938
0.036742695	0.8993385	0.027080426	0.03683843
0.31748405	0.012863595	0.011353151	0.6582992
0.03152527	0.026484104	0.910536	0.03145466
0.11383915	0.008993947	0.49338427	0.38378268
0.020083545	0.016450668	0.94340783	0.020057961
0.120997615	0.66992426	0.08973805	0.119340084
0.04457337	0.8787513	0.032856084	0.043819282
0.019877715	0.016486745	0.9441952	0.019440353
0.011358687	0.96920806	0.008324603	0.011108642
0.91974765	0.026069727	0.023112267	0.031070327
0.0314748	0.9142323	0.023152905	0.03113996
0.03679651	0.8993621	0.027164333	0.036677074
0.016680563	0.013891971	0.01225243	0.957175
0.01688189	0.9542433	0.01227473	0.016600057
0.03177529	0.026322652	0.91088945	0.031012563
0.0363879	0.89999986	0.027192812	0.036419466
0.56100076	0.0112501	0.009909815	0.41783932
0.011973377	0.29650182	0.008809443	0.68271536
0.9151523	0.0045716227	0.0040371404	0.07623892
0.012643598	0.010537433	0.9643619	0.012457117
0.008536271	0.0071769105	0.2435508	0.740736
0.009327576	0.007817082	0.00687037	0.975985
0.056374732	0.047239315	0.84095633	0.05542961
0.027670184	0.022805335	0.020159438	0.92936504
0.00784714	0.9784939	0.005834464	0.007824425
0.036676094	0.8987144	0.027230918	0.03737863
0.27561796	0.01059055	0.009358899	0.7044326
0.006912667	0.005776681	0.5633669	0.42394376
0.0069593163	0.005799877	0.98036355	0.0068772645
0.74145067	0.0028729246	0.002528013	0.25314838
0.008349602	0.006867738	0.0060796826	0.978703
0.036695935	0.8995577	0.027262427	0.03648392
0.016598778	0.23111531	0.012298023	0.7399879
0.22114204	0.007822587	0.006876957	0.7641584
0.57661355	0.0048248204	0.012448683	0.4061129
0.9770436	0.00744132	0.0065744217	0.00894065
0.953866	0.015064003	0.0132696135	0.017800387
0.008536305	0.007162458	0.41111684	0.57318443
0.018013177	0.015144324	0.9489651	0.017877456
0.01188783	0.9675041	0.008796633	0.011811455
0.01551054	0.012860439	0.9564044	0.015224622
0.0133315725	0.011285158	0.009901347	0.9654819
0.019460233	0.9461486	0.014544855	0.019846285
0.94464517	0.018016346	0.015953315	0.021385131
0.014341694	0.012043327	0.9592194	0.014395582
0.006483277	0.005408396	0.45854706	0.5295612
0.008848185	0.8308486	0.15149711	0.00880612
0.02766069	0.022885052	0.92231417	0.027140046
0.03147023	0.026171476	0.023119599	0.9192387
0.9057019	0.030874364	0.027209409	0.03621435
0.016468668	0.9550521	0.012224718	0.016254548
0.2660509	0.49055547	0.23695263	0.0064410274
0.0037975037	0.1691084	0.35998273	0.46711138
0.026908532	0.022796415	0.9231602	0.027134873
0.0018049276	0.5599481	0.24782483	0.19042213
0.0076427776	0.0063830502	0.18165411	0.8043201
0.0239444	0.020316975	0.01792049	0.9378181
0.036810067	0.89922476	0.027291602	0.036673557
0.0092596095	0.55064803	0.43092334	0.009169028
0.01263443	0.010543639	0.009334155	0.96748775
0.017743189	0.0150131555	0.013321743	0.9539219
0.015481796	0.012951934	0.011360697	0.96020555
0.031070204	0.026227947	0.9117487	0.030953139
0.9493011	0.016521797	0.014519049	0.019658018
0.018039748	0.015027066	0.013274872	0.95365834
0.85589564	0.0471082	0.041677278	0.055318903
0.019801721	0.016491232	0.6590097	0.30469733
0.6516478	0.020325573	0.017867124	0.31015944
0.008525382	0.007183256	0.38461214	0.5996792
0.00970879	0.008160869	0.0071922396	0.9749381
0.015358902	0.012804761	0.95673263	0.015103716
0.0064475895	0.005378399	0.98176044	0.006413506
0.024105256	0.3655159	0.58601743	0.02436137
0.01065915	0.9708664	0.007886946	0.010587531
0.011229391	0.009445949	0.8031876	0.1761371
0.00605961	0.5127596	0.0044933385	0.47668737
0.009243242	0.007792007	0.47280735	0.51015735
0.036894932	0.030979367	0.89571726	0.03640841
0.97104347	0.009517881	0.00832996	0.011108734
0.013368546	0.011241096	0.64303017	0.33236018
0.019929295	0.016566334	0.014549403	0.94895494
0.02173607	0.9405809	0.016062565	0.021620404
0.010765438	0.97064805	0.007904365	0.010682196
