topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49
0.0017991632	0.0017630015	0.0017261887	0.0017534879	0.0017820202	0.0017514105	0.0017355209	0.001767626	0.619059	0.0017487931	0.0017575885	0.2966791	0.0017393534	0.0017355335	0.0017521895	0.0017519546	0.0017383785	0.0017447984	0.0017609097	0.001758103	0.0017516018	0.001766957	0.0017435977	0.0017415403	0.0017597978	0.001735557	0.0017698944	0.0017553593	0.0017387889	0.0017931868	0.0017475929	0.001759357	0.0017978013	0.0017325516	0.0017461985	0.0017402137	0.0017370108	0.0017627137	0.0017295165	0.001784814	0.0017853238	0.001770526	0.0017530315	0.0017614485	0.0017644328	0.0017431562	0.0017761985	0.0017658914	0.0017429666	0.0017387726
0.003974645	0.003894758	0.0038134323	0.0038737406	0.003936773	0.0038691515	0.0038340488	0.003904974	0.0038939633	0.003863369	0.56696326	0.0038346152	0.0038425152	0.0038340767	0.0038708723	0.0038703533	0.0038403617	0.0038545441	0.0038901365	0.0038839364	0.003869574	0.003903496	0.0038518917	0.0038473464	0.0038876804	0.0038341284	0.0039099855	0.003877875	0.0038412681	0.003961442	0.0038607176	0.0038867067	0.0039716363	0.003827489	0.24690048	0.0038444158	0.0038373403	0.003894122	0.0038207842	0.0039429455	0.0039440715	0.0039113807	0.0038727326	0.003891327	0.0038979198	0.0038509164	0.003923912	0.0039011422	0.0038504975	0.0038412323
0.0014125918	0.0013842	0.0013552967	0.0013767304	0.0013991322	0.0013750994	0.0013626239	0.0013878307	0.0013839175	0.0013730443	0.00137995	0.0013628252	0.0013656329	0.0013626338	0.0013757109	0.0013755265	0.0013648674	0.0013699079	0.0013825576	0.0013803539	0.0013752496	0.0013873056	0.0013689653	0.0013673499	0.0013816846	0.0013626522	0.0013896119	0.0013781998	0.0013651897	0.93250394	0.001372102	0.0013813386	0.0014115226	0.0013602925	0.0013710072	0.0013663083	0.0013637936	0.001383974	0.0013579096	0.0014013258	0.001401726	0.0013901077	0.0013763722	0.0013829806	0.0013853237	0.0013686186	0.0013945614	0.0013864689	0.0013684697	0.0013651769
0.0039746556	0.0038947684	0.0038134425	0.003873751	0.81005955	0.003869162	0.0038340592	0.0039049846	0.0038939738	0.0038633794	0.0038828102	0.0038346257	0.0038425256	0.003834087	0.0038708826	0.0038703638	0.003840372	0.0038545544	0.003890147	0.003883947	0.0038695845	0.0039035068	0.003851902	0.003847357	0.0038876908	0.0038341386	0.003909996	0.0038778854	0.0038412786	0.0039614527	0.0038607281	0.0038867171	0.003971647	0.0038274992	0.0038576478	0.0038444262	0.0038373505	0.0038941326	0.0038207944	0.003942956	0.003944082	0.0039113914	0.003872743	0.0038913374	0.0038979303	0.0038509266	0.003923923	0.0039011526	0.0038505078	0.0038412425
0.0024770736	0.0024272867	0.002376603	0.002414188	0.0024534713	0.0024113283	0.0023894515	0.0024336535	0.0024267912	0.0024077245	0.002419834	0.0023898045	0.002394728	0.002389469	0.0024124007	0.0024120773	0.0023933859	0.0024022246	0.0024244066	0.0024205423	0.0024115916	0.0024327324	0.0024005715	0.0023977389	0.0024228757	0.002389501	0.0024367766	0.0024167649	0.0023939507	0.0024688453	0.002406072	0.002422269	0.0024751988	0.0023853632	0.0024041524	0.0023959125	0.0023915027	0.0024268904	0.0023811848	0.002457318	0.0024580196	0.0024376463	0.00241356	0.0024251484	0.0024292571	0.0023999638	0.88161784	0.0024312653	0.0023997026	0.0023939284
0.001799165	0.0017630034	0.0017261904	0.0017534896	0.0017820221	0.0017514123	0.0017355228	0.0017676278	0.0017626437	0.0017487948	0.0017575903	0.0017357792	0.0017393552	0.0017355353	0.0017521912	0.0017519564	0.0017383803	0.0017448001	0.0017609114	0.0017581049	0.12862629	0.0017669589	0.0017435995	0.0017415421	0.0017597997	0.0017355587	0.0017698962	0.0017553612	0.0017387907	0.0017931886	0.78711253	0.0017593589	0.0017978032	0.0017325534	0.0017462004	0.0017402155	0.0017370126	0.0017627155	0.0017295184	0.0017848159	0.0017853257	0.0017705279	0.0017530334	0.0017614503	0.0017644346	0.0017431581	0.0017762004	0.0017658933	0.0017429685	0.0017387744
0.0013181578	0.001291664	0.001264693	0.0012846937	0.001305598	0.0012831718	0.0012715303	0.001295052	0.0012914004	0.0012812541	0.058955006	0.0012717182	0.0012743381	0.0012715395	0.0012837425	0.0012835704	0.0012736239	0.0012783273	0.0012901314	0.0012880751	0.001283312	0.25675967	0.0012774477	0.0012759403	0.0012893168	0.0012715567	0.0012967141	0.0012860649	0.0012739245	0.6238838	0.0012803748	0.0012889939	0.0013171601	0.0012693547	0.0012793532	0.0012749684	0.0012726218	0.001291453	0.0012671312	0.0013076449	0.0013080183	0.0012971768	0.0012843595	0.0012905261	0.0012927125	0.0012771243	0.0013013327	0.0012937812	0.0012769853	0.0012739126
0.00036548625	0.17914186	0.00035066204	0.00035620766	0.0003620038	0.00035578568	0.00035255784	0.0003590797	0.00035806722	0.00035525396	0.0003570407	0.00035260993	0.00035333636	0.0003525604	0.0003559439	0.0003558962	0.0003531383	0.00035444245	0.00035771535	0.0003571452	0.00035582454	0.00035894383	0.00035419856	0.0003537806	0.0003574895	0.00035256514	0.00035954054	0.00035658784	0.0003532217	0.00036427221	0.0003550153	0.00035739996	0.00036520962	0.00035195463	0.0003547269	0.00035351113	0.0003528605	0.00035808183	0.0003513381	0.00036257136	0.0003626749	0.00035966883	0.00035611496	0.0003578248	0.00035843105	0.00035410887	0.00036082117	0.8037472	0.00035407036	0.00035321838
0.0049778386	0.004877789	0.0047759367	0.0048514665	0.0049304087	0.0048457193	0.0048017567	0.0048905835	0.0048767934	0.0048384774	0.42544666	0.0048024664	0.0048123603	0.0048017916	0.0048478744	0.0048472243	0.0048096627	0.004827425	0.004872001	0.004864236	0.004846249	0.0048887325	0.004824103	0.0048184106	0.004868925	0.0048018564	0.0048968596	0.0048566447	0.0048107984	0.004961304	0.0048351567	0.0048677055	0.0049740714	0.004793541	0.0048312987	0.0048147403	0.0048058787	0.004876992	0.3413905	0.0049381386	0.004939549	0.0048986073	0.004850204	0.004873492	0.0048817485	0.0048228814	0.0049143014	0.0048857844	0.004822357	0.0048107533
0.0017991661	0.0017630045	0.0017261915	0.0017534907	0.0017820231	0.0017514135	0.0017355238	0.001767629	0.0017626447	0.001748796	0.0017575914	0.0017357803	0.0017393562	0.0017355364	0.0017521923	0.0017519575	0.0017383815	0.0017448012	0.0017609126	0.0017581059	0.0017516047	0.0017669599	0.0017436006	0.0017415432	0.0017598007	0.0017355599	0.0017698974	0.0017553623	0.0017387918	0.0017931898	0.0017475957	0.00175936	0.0017978044	0.0017325544	0.0017462014	0.0017402165	0.0017370137	0.0017627166	0.36818364	0.001784817	0.4478683	0.001770529	0.0017530344	0.0017614514	0.0017644357	0.0017431591	0.0017762014	0.0017658944	0.0017429695	0.10144135
