topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.009735775	0.15959853	0.008174868	0.009433414	0.009790861	0.0088135	0.7848601	0.00959291
0.021929882	0.8551567	0.018415608	0.02124966	0.022066832	0.01985501	0.01971824	0.021608094
0.0076176864	0.0069469744	0.0063964115	0.9501279	0.00765998	0.006896051	0.006848909	0.007506123
0.021926675	0.019998092	0.01841521	0.021254888	0.85721946	0.019853134	0.019721359	0.021611197
0.013484172	0.012296107	0.011322882	0.9117193	0.01355957	0.012207139	0.01212405	0.01328675
0.009734679	0.008877306	0.008174525	0.009433456	0.9366208	0.008812955	0.008753904	0.009592436
0.007102026	0.006476292	0.005963574	0.0068817292	0.9537622	0.00642924	0.0063855895	0.006999353
0.0019528657	0.82840234	0.0016397386	0.0018922046	0.0019638701	0.16046917	0.0017557602	0.0019240733
0.027713055	0.025274329	0.02327527	0.026864557	0.81954825	0.02509313	0.024923177	0.027308254
0.009734621	0.00887781	0.0081746075	0.7021864	0.009789501	0.24289234	0.008752703	0.009592062
0.013486096	0.012296939	0.011322802	0.61484444	0.31043535	0.012207644	0.012123829	0.013282835
0.0011320146	0.0010323022	0.00095054525	0.0010969219	0.99256766	0.0010874075	0.0010178086	0.0011153491
0.011947582	0.41305694	0.010034345	0.011578746	0.012018177	0.51884586	0.010744099	0.0117742
0.22162966	0.003713932	0.0034200503	0.0039473563	0.0040969583	0.75551665	0.0036623022	0.004013102
0.075067736	0.002676258	0.0024643668	0.0028444096	0.0029512327	0.90846545	0.0026389302	0.002891689
0.008214859	0.0074898135	0.00689632	0.00795969	0.0082596	0.007435466	0.47925282	0.47449145
0.0071007307	0.8383668	0.0059635504	0.006881606	0.007142827	0.12116107	0.00638529	0.0069981352
0.93008536	0.00978349	0.00900997	0.01039873	0.010789282	0.009713902	0.009646589	0.010572733
0.0046086153	0.7298093	0.0038703121	0.0044662603	0.004635402	0.004172741	0.004144039	0.2442933
0.009734579	0.200586	0.008174323	0.009433066	0.7449133	0.008813499	0.008752975	0.009592263
0.018140908	0.01654328	0.8788783	0.017584436	0.01824115	0.016424347	0.016312731	0.017874852
0.008212097	0.0074888407	0.006896148	0.7152756	0.008259153	0.007434731	0.23834199	0.008091418
0.015469641	0.8978307	0.012990711	0.014990495	0.01556157	0.014005015	0.013909744	0.015242118
0.009735834	0.00887791	0.93500334	0.009434246	0.009790153	0.00881464	0.008753004	0.009590911
0.02194133	0.8551499	0.018415019	0.021255545	0.022055516	0.019852713	0.019718116	0.021611819
0.01546941	0.014106202	0.012990405	0.0149915395	0.015554468	0.014004434	0.013908778	0.8989747
0.009736154	0.008876775	0.008174711	0.009435584	0.009789457	0.008813196	0.9355829	0.009591206
0.0053080297	0.0048397332	0.0044568228	0.14433117	0.0053373356	0.004804794	0.82569313	0.0052290387
0.01814504	0.88017976	0.015234236	0.017581508	0.018246435	0.016424848	0.016311757	0.017876426
0.39907613	0.00694603	0.006396357	0.0073828474	0.5589487	0.0068960534	0.0068490375	0.007504836
0.015472634	0.014110823	0.012991092	0.014996796	0.89926535	0.014008946	0.013909882	0.015244469
0.0053092125	0.00484011	0.2770527	0.0051438324	0.49798417	0.0048054997	0.19963439	0.005230104
0.009735028	0.00887655	0.008175131	0.009433466	0.009790753	0.008812875	0.0087528145	0.9364234
0.058695175	0.0535358	0.049295496	0.056879114	0.059056636	0.6119208	0.05278269	0.057834327
0.02192737	0.01999833	0.01841487	0.021248661	0.022048548	0.8550421	0.019717062	0.021603059
0.009737303	0.008877101	0.008174974	0.009433157	0.9366173	0.008814225	0.008753039	0.009592852
0.0055906437	0.2376197	0.004694163	0.0054167416	0.7310847	0.005060721	0.0050259735	0.005507308
0.8991879	0.01410601	0.012991041	0.014991793	0.015558223	0.014004516	0.013911348	0.015249142
0.015469392	0.01410745	0.012990617	0.014991055	0.015556842	0.0140051	0.013909933	0.8989696
0.018144198	0.8801803	0.0152342385	0.017580366	0.018247932	0.01642462	0.016313562	0.01787481
0.008213552	0.0074891536	0.0068962737	0.66404754	0.2904424	0.0074352743	0.0073843817	0.008091387
0.008214972	0.9457579	0.0068965033	0.007959031	0.008260251	0.007434799	0.007384443	0.008092036
0.015470408	0.014106892	0.012991068	0.014989489	0.8992858	0.014004915	0.013909535	0.015241874
0.01813966	0.880179	0.015235124	0.017581172	0.018250287	0.01642405	0.016313229	0.017877437
0.006653355	0.0060660425	0.0055859517	0.15938191	0.0066901194	0.006021926	0.0059810504	0.8036197
0.0059045893	0.0053846138	0.0049579637	0.54128104	0.42600012	0.005345543	0.005308757	0.005817312
0.0027084078	0.002469108	0.0022737873	0.0026238565	0.38753617	0.0024514163	0.5972692	0.0026680573
0.0062564667	0.0057045454	0.005253299	0.006062396	0.0062904507	0.005663676	0.005624888	0.9591443
0.004237071	0.0038639128	0.0035580269	0.78744084	0.004260897	0.18865442	0.0038097783	0.004175014
0.0046095694	0.004202828	0.003870186	0.004466519	0.2276577	0.2460701	0.0041440325	0.504979
0.027717728	0.02527459	0.81495184	0.026856275	0.027872581	0.02509303	0.024923263	0.027310738
0.013487632	0.012295561	0.011322781	0.013071051	0.91220665	0.012207132	0.012124137	0.0132850185
0.003920538	0.0035759313	0.0032923198	0.0037992883	0.0039435662	0.97407985	0.00352534	0.0038631829
0.018140178	0.016544579	0.015234757	0.017579123	0.8818802	0.016424745	0.016312432	0.017883984
0.0062569682	0.0057045924	0.3362302	0.006063182	0.0062912987	0.0056632366	0.6276267	0.0061638094
0.0034111924	0.0031106824	0.0028645808	0.0033054275	0.0034304415	0.0030885264	0.9774277	0.0033614384
0.0034116479	0.003110759	0.7004627	0.0033057083	0.0034311095	0.00308847	0.0030675065	0.28012207
0.061679933	0.0015501141	0.001427401	0.0016473387	0.26449624	0.0015389676	0.43517804	0.23248196
0.0040735495	0.0037138155	0.003419982	0.26767284	0.70975745	0.003687088	0.0036621378	0.004013104
0.018141354	0.016543487	0.015234751	0.017579336	0.01824664	0.01642402	0.01631247	0.88151795
0.00821352	0.0074892323	0.0068965154	0.007960128	0.9465251	0.007435185	0.0073844045	0.008095891
0.004610562	0.004203148	0.0038704362	0.004467344	0.004636458	0.23889524	0.73477525	0.0045415866
0.0028554052	0.002603408	0.0023974555	0.0027667694	0.8271519	0.0025846534	0.002567165	0.1570732
0.6492446	0.0040259045	0.003707411	0.3262656	0.004439315	0.003997119	0.0039695264	0.004350563
0.9419458	0.008124195	0.007481075	0.008632912	0.008959575	0.008065496	0.008010748	0.008780232
0.00423693	0.003863691	0.0035580448	0.0041060764	0.004261207	0.0038361836	0.5130945	0.4630434
0.008909699	0.008124566	0.71462977	0.008634074	0.008959788	0.23395252	0.008010849	0.008778755
0.005904119	0.9610087	0.0049579227	0.005721468	0.0059367684	0.005345595	0.005308547	0.0058168145
0.007617362	0.0069458233	0.9491452	0.0073813656	0.0076602986	0.0068956893	0.006848705	0.007505574
0.0066517303	0.006066375	0.0055858674	0.9564476	0.0066891145	0.006022729	0.0059809377	0.006555615
0.009734453	0.9356951	0.008174771	0.009437328	0.009794791	0.008815337	0.008753335	0.009594885
0.93009704	0.009782967	0.009009248	0.010396696	0.010786618	0.009712498	0.009646246	0.01056873
0.0071016042	0.0064764796	0.005963855	0.0068825777	0.9537623	0.00642987	0.006385856	0.0069974666
0.003203774	0.0029209885	0.9107874	0.070929185	0.0032218087	0.0029000784	0.0028801558	0.0031565807
0.004414842	0.0040263603	0.0037074287	0.0042781215	0.0044398126	0.970814	0.003969692	0.0043497263
0.013485699	0.012296229	0.011323454	0.013067438	0.013561485	0.012206997	0.9107704	0.013288267
0.015470694	0.014106529	0.012990442	0.89871544	0.015557042	0.014004867	0.01391069	0.015244345
0.018147232	0.016544122	0.015235596	0.017581131	0.018247327	0.0164243	0.01631225	0.881508
0.008211631	0.9279395	0.0068960264	0.007957251	0.008257213	0.025263982	0.007383672	0.008090727
0.0032041054	0.002921168	0.0026899602	0.0031042476	0.34876952	0.0029001583	0.0028802897	0.63353056
0.0018826252	0.0017167858	0.0015809328	0.0018244105	0.7591186	0.0017044604	0.001692818	0.23047934
0.0134820305	0.012295473	0.011322969	0.013068075	0.013557612	0.012207378	0.012124631	0.9119418
0.00089182524	0.00081314595	0.0007487851	0.0008641832	0.63670754	0.23166028	0.00080176705	0.12751245
0.003779683	0.0034464558	0.0031738908	0.0036628915	0.20209937	0.0034219597	0.7766915	0.003724245
0.011949423	0.0108978655	0.010035032	0.011580996	0.012019501	0.010819693	0.26898894	0.66370857
0.018142808	0.016545484	0.015236717	0.017580386	0.88187957	0.016424641	0.016312694	0.017877698
0.0046090432	0.6534043	0.32002822	0.00446626	0.0046345745	0.0041725463	0.0041438877	0.0045411284
0.0062560346	0.00570452	0.0052533634	0.95904213	0.0062912838	0.0056635365	0.0056248903	0.006164226
0.008907797	0.008123975	0.007481232	0.9027574	0.008959147	0.0080657685	0.046926845	0.008777857
0.0076186587	0.0069464426	0.006396184	0.6687927	0.288995	0.0068959338	0.0068487767	0.007506328
0.0154697765	0.014107661	0.012991808	0.014992381	0.8992778	0.014006595	0.013911038	0.015242925
0.009734625	0.008876794	0.008174422	0.009432992	0.009789908	0.008813294	0.9355872	0.0095907
0.008910839	0.0081239	0.007481109	0.94167393	0.008957948	0.008064939	0.008009983	0.008777302
0.027725494	0.025275249	0.023275768	0.02685668	0.8195365	0.025092218	0.02492252	0.027315529
0.009735124	0.008877168	0.0081752995	0.009434036	0.009789721	0.00881332	0.008753288	0.93642205
0.011952376	0.01089794	0.010034827	0.41795525	0.012017699	0.010819144	0.010744881	0.51557785
0.004236889	0.0038637656	0.0035581188	0.004106081	0.03159612	0.18222457	0.76623935	0.004175123
0.0048203603	0.004395722	0.0040478236	0.0046711946	0.004847904	0.81126404	0.1612029	0.0047499943
0.0076169698	0.006945392	0.5475667	0.007380399	0.0076609408	0.0068955193	0.006848756	0.40908533
0.003203119	0.0029208094	0.97861457	0.0031041491	0.0032211954	0.002899834	0.00288013	0.0031561262
0.011948694	0.010898403	0.010034592	0.01158034	0.01201722	0.010819896	0.010744699	0.9219562
0.0053069466	0.00484026	0.0044566817	0.005143045	0.005337419	0.96491486	0.0047718976	0.0052289185
0.005589868	0.0050978335	0.0046942327	0.005417196	0.005621511	0.22361393	0.7444568	0.005508603
0.00301907	0.3810872	0.0025352289	0.6018997	0.0030361027	0.0027334478	0.0027146472	0.002974555
0.0046085804	0.004202888	0.003870168	0.26023355	0.405439	0.0041728267	0.004144088	0.3133289
0.018139206	0.016543001	0.01523405	0.017577782	0.88189715	0.01642347	0.016311342	0.01787398
0.0055917045	0.050384857	0.26509348	0.005417749	0.0056213117	0.65735656	0.005026139	0.005508194
0.0066520157	0.006066149	0.8061672	0.1558665	0.006689409	0.006022791	0.0059815273	0.006554473
0.0097348485	0.0088774925	0.008174552	0.009434574	0.93662	0.008813544	0.008754097	0.009590922
0.010729782	0.6123319	0.009010196	0.010398892	0.010789788	0.32651824	0.009647701	0.010573457
0.0053078276	0.004839994	0.004456843	0.0051430687	0.0053378926	0.8276385	0.14204678	0.005229108
0.3871002	0.5798103	0.004958023	0.0057219905	0.0059377546	0.00534525	0.0053092204	0.0058172755
0.0062572197	0.0057047578	0.7331874	0.0060625607	0.0062917923	0.0056635663	0.2306685	0.0061642225
0.009734959	0.9357023	0.0081751235	0.009433314	0.009793901	0.008813673	0.008752868	0.009593864
0.9121272	0.01229632	0.011323207	0.013067128	0.013564176	0.012206845	0.012124739	0.013290394
0.0055897413	0.005097898	0.00469428	0.9634019	0.005621037	0.005061222	0.0050262413	0.005507736
0.015472998	0.014107232	0.012990806	0.3551217	0.01555622	0.014005916	0.013910209	0.5588349
0.008909453	0.008124005	0.007481135	0.008633265	0.008958613	0.008065861	0.008010486	0.94181716
0.00890939	0.008124468	0.007481412	0.008635346	0.008958438	0.94110227	0.0080108745	0.008777819
0.0046085077	0.0042026094	0.33861458	0.0044659306	0.13062094	0.004172538	0.004143993	0.5091709
0.0044157957	0.004025944	0.0037074653	0.9710948	0.00443942	0.003996868	0.0039698654	0.004349815
0.0066518374	0.006066339	0.0055858465	0.38991696	0.006690163	0.006022285	0.005981321	0.57308525
0.010730056	0.009784541	0.009009493	0.010395569	0.010786858	0.9290774	0.009646343	0.01056973
0.0032032465	0.4213892	0.0026898817	0.56055963	0.0032212555	0.0029000007	0.00288022	0.003156539
0.0034114711	0.0031109378	0.0028645627	0.0033058682	0.9777905	0.0030884158	0.0030673763	0.0033608952
0.003920667	0.0035752277	0.0032923222	0.0037994594	0.003943117	0.72174096	0.25586495	0.0038632688
0.0053081294	0.18937387	0.004456933	0.005143904	0.78091	0.004804885	0.0047723525	0.0052299015
0.0036488383	0.003326733	0.0030636215	0.0035356148	0.0036688612	0.0033027036	0.9758589	0.0035947112
0.0055889725	0.005097626	0.0046939417	0.005416297	0.0056200004	0.9630504	0.0050257174	0.0055070156
0.0046103373	0.0042028804	0.0038703105	0.0044662016	0.9699917	0.0041725743	0.004144458	0.004541554
0.0076185805	0.006945727	0.94914716	0.007381747	0.007659166	0.006895546	0.0068483613	0.007503705
0.0053075734	0.004840093	0.0044567524	0.0051427158	0.005336795	0.96491504	0.004771904	0.0052291034
0.05869836	0.053528532	0.04929265	0.05689337	0.05902202	0.053144224	0.052776773	0.6166441
0.0006296963	0.14078903	0.00052879757	0.00061018293	0.00063324015	0.00057013956	0.000566203	0.8556727
0.0071029607	0.2065587	0.005963689	0.45195362	0.0071431454	0.006429505	0.006385941	0.30846244
0.00087672303	0.899934	0.0007362656	0.0008496301	0.00088176626	0.00079381524	0.09506381	0.00086396857
0.0154664265	0.014106214	0.012990099	0.89872885	0.015555019	0.014004563	0.013909398	0.01523949
0.004821375	0.004395644	0.9678147	0.0046716193	0.004848341	0.004364402	0.00433436	0.004749582
0.008214392	0.007488639	0.0068966495	0.00795835	0.008258967	0.0074347914	0.9456561	0.008092082
0.011954651	0.010897523	0.010034963	0.011581285	0.922193	0.01081866	0.010744896	0.011775023
0.010728977	0.009783672	0.009009741	0.0103969565	0.9301472	0.009713079	0.0096471235	0.010573228
0.013485597	0.01229545	0.011322908	0.9117223	0.013558386	0.01220654	0.012123171	0.013285634
0.009735234	0.008877495	0.008174801	0.64610857	0.009790895	0.008814015	0.0087529	0.29974613
0.0037799098	0.0034464153	0.44864726	0.0036627564	0.0038012122	0.0034216663	0.003398392	0.5298424
0.0055896686	0.005097359	0.71148825	0.0054171593	0.005622134	0.0050605927	0.2562168	0.0055079795
0.0024547062	0.0022384338	0.0020612627	0.0023783739	0.0024682293	0.9837734	0.0022070312	0.0024184964
0.94566166	0.00538398	0.0049578995	0.005721493	0.021803798	0.0053450125	0.0053087706	0.0058173244
0.011955339	0.010897638	0.010034463	0.011579759	0.9221944	0.010819043	0.010744713	0.011774606
0.018139167	0.016542519	0.015234356	0.017579248	0.018238723	0.016424218	0.8799701	0.017871656
0.0053080716	0.004840163	0.004457046	0.0051436094	0.69653136	0.27371716	0.0047725737	0.0052300207
0.0119485725	0.010896524	0.010034617	0.011578284	0.012015042	0.010818522	0.010744229	0.92196417
0.00505242	0.0046076044	0.0042427075	0.00489669	0.6707716	0.004574728	0.3008765	0.0049777664
0.008907948	0.00812371	0.0074810674	0.008632015	0.94200283	0.0080651	0.008010107	0.008777215
0.0076179313	0.006945747	0.0063963896	0.0073827053	0.007660397	0.0068956465	0.9495954	0.0075057615
0.011948928	0.92108476	0.010034331	0.011579808	0.012015223	0.010819534	0.010744192	0.011773295
0.015466796	0.014105456	0.012990094	0.898724	0.015559316	0.014004076	0.013910248	0.0152399875
0.010731022	0.009784532	0.009010067	0.9297502	0.0107908575	0.009714089	0.009647407	0.010571775
0.0037796714	0.0034464516	0.9747661	0.003662262	0.00380109	0.0034218722	0.0033985532	0.0037240058
0.0033048335	0.0030130388	0.002774477	0.0032021103	0.52492607	0.0029911308	0.4565327	0.0032556423
0.008213696	0.007490175	0.0068963044	0.48249885	0.47198945	0.007435292	0.007384042	0.008092169
0.006255037	0.0057044057	0.0052530016	0.959045	0.00629092	0.0056633702	0.005625126	0.0061631664
0.0066518243	0.006066466	0.005586072	0.006446015	0.0066910353	0.006022068	0.0059815194	0.956555
0.011953011	0.92107314	0.010035412	0.0115797315	0.012019388	0.010818344	0.010745753	0.0117751835
0.004236451	0.0038636262	0.0035578145	0.00410548	0.0042600012	0.97199327	0.0038093817	0.004173965
0.008909393	0.008123813	0.007481453	0.008633069	0.94199705	0.008065581	0.008010956	0.0087786615
0.003304546	0.0030129321	0.27729365	0.0032018342	0.0033228872	0.002991353	0.40956864	0.29730415
0.6691764	0.0046071047	0.0042426316	0.30279827	0.005080312	0.004573876	0.0045427154	0.0049787476
0.85709226	0.019999107	0.018415514	0.021253895	0.022054639	0.019853678	0.019720307	0.021610597
0.021929074	0.019996047	0.01841523	0.021254336	0.02205753	0.01985253	0.85488755	0.021607734
0.058690358	0.053525347	0.049290657	0.056871682	0.6178811	0.05313843	0.052776653	0.05782579
0.696735	0.012295669	0.011323425	0.013066603	0.013560358	0.012206734	0.012124101	0.22868805
0.009734409	0.008877852	0.0081748655	0.9362596	0.009794366	0.00881358	0.008752839	0.0095923925
