topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.0016075275	0.0016460519	0.0016289237	0.0016669781	0.0016185512	0.0016075316	0.8434098	0.0016294848	0.0017159408	0.001619008	0.0016240118	0.0016076971	0.0016186419	0.0016293549	0.0016990233	0.001645532	0.0016130083	0.0016301081	0.0015968556	0.094612464	0.0016238828	0.0016511627	0.0016293499	0.0016187024	0.0016187303	0.0016402787	0.0016577881	0.001618915	0.001618547	0.0016022581	0.0016241085	0.0016462506	0.001618737	0.001646347	0.0016130992	0.0016402635	0.0016132132	0.0016507071	0.0016330736	0.0016080724
0.012172569	0.012464284	0.012334585	0.012622742	0.012256043	0.012172599	0.012958582	0.012338834	0.0129935	0.012259502	0.012297391	0.012173853	0.012256729	0.012337851	0.012865396	0.012460347	0.012214071	0.012343554	0.012091759	0.51773185	0.012296415	0.012502985	0.012337812	0.012257189	0.012257398	0.012420569	0.012553154	0.012258798	0.012256011	0.012132668	0.012298124	0.012465789	0.01225745	0.012466518	0.012214759	0.012420453	0.012215623	0.0124995345	0.012366009	0.012176694
0.012172573	0.01246429	0.012334591	0.012622748	0.012256049	0.012172605	0.012958586	0.0123388395	0.012993505	0.012259507	0.012297397	0.012173858	0.012256735	0.012337856	0.012865401	0.012460352	0.012214076	0.012343559	0.012091763	0.012174671	0.01229642	0.51805997	0.012337818	0.012257193	0.012257404	0.012420574	0.012553159	0.012258803	0.012256016	0.012132673	0.012298129	0.012465794	0.012257455	0.012466524	0.012214764	0.012420458	0.012215627	0.01249954	0.0123660145	0.0121767
0.004836778	0.0049526915	0.004901156	0.005015655	0.0048699467	0.0048367907	0.21262813	0.004902844	0.60121673	0.0048713214	0.0048863767	0.0048372885	0.0048702196	0.0049024536	0.005112074	0.0049511273	0.004853269	0.0049047195	0.0048046685	0.0048376117	0.004885989	0.0049680695	0.0049024383	0.004870402	0.0048704855	0.0049353214	0.004988004	0.0048710415	0.004869934	0.004820924	0.0048866677	0.0049532894	0.004870506	0.0049535795	0.004853543	0.0049352753	0.004853886	0.0049666986	0.004913642	0.0048384177
0.0018552574	0.0018997187	0.0018799509	0.0019238697	0.00186798	0.0018552621	0.001975056	0.0018805985	0.0019803778	0.0018685072	0.001874282	0.0018554531	0.0018680847	0.0018804487	0.0019608533	0.0018991185	0.0018615829	0.92652184	0.0018429409	0.001855577	0.0018741331	0.0019056172	0.0018804427	0.0018681545	0.0018681865	0.0018930559	0.0019132636	0.0018683998	0.0018679751	0.001849176	0.0018743937	0.001899948	0.0018681944	0.0019000593	0.0018616879	0.0018930382	0.0018618194	0.0019050913	0.0018847403	0.0018558863
0.0060526603	0.0061977124	0.0061332216	0.006276504	0.0060941675	0.006052676	0.006443496	0.0061353343	0.0064608585	0.006095887	0.006114727	0.006053299	0.006094509	0.0061348453	0.0063971607	0.0061957547	0.006073297	0.0061376807	0.006012479	0.0060537034	0.0061142417	0.0062169563	0.006134826	0.0060947365	0.0060948413	0.006175976	0.006241902	0.006095537	0.006094151	0.0060328203	0.0061150915	0.0061984607	0.47052115	0.0061988235	0.0060736393	0.006175918	0.0060740686	0.0062152403	0.29586694	0.0060547125
0.004027682	0.0041242056	0.0040812907	0.004176636	0.004055302	0.004027692	0.0042877593	0.0040826965	0.0042993133	0.0040564467	0.0040689837	0.004028107	0.0040555294	0.004082371	0.004256926	0.0041229026	0.0040414142	0.004084258	0.0040009436	0.5930438	0.0040686605	0.004137011	0.0040823584	0.004055681	0.0040557506	0.0041097407	0.0041536107	0.0040562134	0.004055292	0.0040144795	0.004069226	0.0041247034	0.004055768	0.0041249446	0.25142407	0.0041097025	0.004041928	0.004135869	0.004091688	0.004029047
0.008085095	0.008278855	0.008192709	0.008384104	0.00814054	0.008085116	0.008607171	0.008195531	0.008630363	0.008142837	0.0081680035	0.33248904	0.008140996	0.008194878	0.008545276	0.00827624	0.008112662	0.008198665	0.008031421	0.008086489	0.008167355	0.008304561	0.008194852	0.008141301	0.00814144	0.008249819	0.008337882	0.00814237	0.008140518	0.008058594	0.008168491	0.008279854	0.008141475	0.35546526	0.008113119	0.008249742	0.0081136925	0.008302269	0.00821358	0.008087836
0.02461876	0.025208749	0.024946436	0.025529226	0.024787586	0.024618823	0.026208453	0.024955029	0.026279075	0.02479458	0.024871211	0.024621358	0.024788974	0.024953041	0.026019989	0.025200786	0.024702698	0.024964575	0.024455324	0.024623001	0.024869235	0.025287021	0.024952963	0.024789901	0.024790326	0.025120335	0.025388485	0.024793155	0.024787521	0.02453806	0.024872692	0.025211792	0.02479043	0.025213268	0.02470409	0.0251201	0.024705837	0.025280042	0.02500999	0.024627104
0.0007772464	0.0007958731	0.0007875915	0.000805991	0.00078257645	0.00077724835	0.28884435	0.0007878628	0.0008296647	0.0007827973	0.0007852166	0.0007773284	0.0007826203	0.00078780006	0.000821485	0.0007956217	0.0007798964	0.0007881642	0.0007720865	0.00077738025	0.00078515423	0.0007983442	0.00078779756	0.00078264956	0.00078266294	0.00079308177	0.6812133	0.0007827523	0.00078257435	0.0007746986	0.0007852634	0.00079596916	0.00078266626	0.0007960158	0.00077994034	0.0007930744	0.00077999546	0.00079812395	0.000789598	0.0007775099
0.02461876	0.025208749	0.024946436	0.025529226	0.024787586	0.024618823	0.026208453	0.024955029	0.026279075	0.02479458	0.024871211	0.024621358	0.024788974	0.024953041	0.026019989	0.025200786	0.024702698	0.024964575	0.024455324	0.024623001	0.024869235	0.025287021	0.024952963	0.024789901	0.024790326	0.025120335	0.025388485	0.024793155	0.024787521	0.02453806	0.024872692	0.025211792	0.02479043	0.025213268	0.02470409	0.0251201	0.024705837	0.025280042	0.02500999	0.024627104
0.0030179908	0.0030903171	0.0030581604	0.0031296043	0.0030386872	0.0030179985	0.00321287	0.0030592137	0.0032215274	0.0030395447	0.76438236	0.0030183094	0.0030388574	0.00305897	0.0031897663	0.0030893409	0.0030282808	0.003060384	0.0029979555	0.0030185108	0.0030486966	0.0030999123	0.0030589604	0.003038971	0.0030390231	0.11915701	0.0031123508	0.00303937	0.0030386792	0.003008098	0.0030491203	0.0030906901	0.003039036	0.003090871	0.0030284515	0.0030794498	0.0030286654	0.003099057	0.0030659514	0.003019014
0.0048367837	0.0049526975	0.0049011614	0.005015661	0.0048699523	0.0048367963	0.48799497	0.00490285	0.3258497	0.004871327	0.0048863823	0.004837294	0.004870225	0.004902459	0.0051120794	0.004951133	0.0048532747	0.004904725	0.004804674	0.0048376173	0.0048859944	0.004968075	0.004902444	0.0048704077	0.004870491	0.004935327	0.0049880096	0.004871047	0.0048699398	0.0048209294	0.0048866733	0.0049532955	0.0048705116	0.004953585	0.0048535485	0.004935281	0.0048538917	0.004966704	0.0049136477	0.0048384233
0.0048367763	0.0049526896	0.004901154	0.005015653	0.004869945	0.40660352	0.005149099	0.004902842	0.005162974	0.0048713195	0.004886375	0.0048372867	0.0048702178	0.0049024518	0.0051120715	0.0049511255	0.004853267	0.0049047177	0.0048046666	0.00483761	0.40665218	0.0049680676	0.0049024364	0.0048704003	0.0048704837	0.0049353195	0.004988002	0.0048710397	0.0048699323	0.004820922	0.004886666	0.0049532875	0.004870504	0.0049535776	0.004853541	0.0049352734	0.004853884	0.0049666967	0.00491364	0.004838416
