topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.029375382	0.030510223	0.03118352	0.030935919	0.029640868	0.03209722	0.7262417	0.028645858	0.030723676	0.030645631
0.009564714	0.009934272	0.010153646	0.14977719	0.0096513005	0.010451527	0.19149859	0.009327198	0.010004072	0.5896375
0.008598352	0.008930902	0.009127606	0.009054784	0.008675943	0.009395515	0.9198679	0.008384913	0.008993373	0.008970798
0.0065987706	0.0068536685	0.0070054275	0.0069481633	0.0066582398	0.0072109895	0.93850434	0.0064345766	0.00690207	0.006883699
0.8623364	0.014988864	0.015320475	0.0151956845	0.014563265	0.015769169	0.017604072	0.014072752	0.015093085	0.015056256
0.009564663	0.009934266	0.7415177	0.17790107	0.009651157	0.010451223	0.011669638	0.009327149	0.010004505	0.009978608
0.029375978	0.030511579	0.031183574	0.030932449	0.029641101	0.72250813	0.035831455	0.028645717	0.030724086	0.030645879
0.02937513	0.03051021	0.031183746	0.7213401	0.029640747	0.032097638	0.03583668	0.028645888	0.030724343	0.030645497
0.017378079	0.018049097	0.01844739	0.01829996	0.01753538	0.018989287	0.83804786	0.016945964	0.018176045	0.01813087
0.09488603	0.09855298	0.100726984	0.09991608	0.095743954	0.10367521	0.11573703	0.09253005	0.09924201	0.09898966
0.02183767	0.02268079	0.023183793	0.7928288	0.022034952	0.023863431	0.026647853	0.021296784	0.022839822	0.022786122
0.017378148	0.8348943	0.018448433	0.018299293	0.01753861	0.01898977	0.021199476	0.016947746	0.01817518	0.018129025
0.014430639	0.014988123	0.015320551	0.43427265	0.014561481	0.015768087	0.017604917	0.014072277	0.4439255	0.015055786
0.0053529995	0.005559808	0.0056825085	0.005636752	0.0054012984	0.005848771	0.0065304385	0.005219957	0.005598594	0.94916886
0.014431206	0.014989104	0.015319167	0.015196124	0.014561282	0.01576742	0.86551285	0.014073002	0.01509444	0.015055388
0.09488603	0.09855298	0.100726984	0.09991608	0.095743954	0.10367521	0.11573703	0.09253005	0.09924201	0.09898966
0.04486229	0.04659588	0.047623336	0.047239892	0.57246405	0.049018748	0.054721057	0.04375172	0.04692111	0.046801925
0.017378295	0.018049162	0.018448094	0.018298738	0.017534938	0.835844	0.021196555	0.01694593	0.018175269	0.018129082
0.044862285	0.04659588	0.047623336	0.047239892	0.57246596	0.04901874	0.05472105	0.04374986	0.04692111	0.04680192
0.02937638	0.030511545	0.031185165	0.03093232	0.029641425	0.72250634	0.035831537	0.02864562	0.030723887	0.030645786
0.029376762	0.030510677	0.031185191	0.030932555	0.029641466	0.7225068	0.035831153	0.028645717	0.030723838	0.030645767
0.044862002	0.04659536	0.04762515	0.5744283	0.045267873	0.049021475	0.05472523	0.04374842	0.046924055	0.046802126
0.044862285	0.04659588	0.047623336	0.047239892	0.57246536	0.049018744	0.054721054	0.043750416	0.04692111	0.04680192
0.029375	0.030510994	0.031188136	0.030932346	0.029640598	0.03209819	0.03583081	0.02864622	0.030725282	0.7210524
0.5455133	0.014989347	0.015319087	0.015196117	0.014561334	0.015771087	0.017607884	0.014072763	0.3319137	0.015055385
0.010775782	0.0111921355	0.011439103	0.011347195	0.010873141	0.011774213	0.01314537	0.89693904	0.011272062	0.011241989
0.012339242	0.012815913	0.013100056	0.88294137	0.0124500645	0.013482442	0.015058333	0.012032566	0.012907361	0.01287266
0.021837415	0.022682931	0.023181064	0.5147836	0.3000932	0.023860624	0.026643444	0.021295564	0.022839935	0.022782214
0.012338644	0.012817056	0.013098858	0.012992756	0.012450854	0.88344145	0.015051684	0.01203229	0.012904601	0.012871787
0.017378004	0.018050922	0.83529717	0.018299501	0.0175348	0.018989887	0.021199644	0.016945979	0.018175201	0.018128958
0.09488603	0.09855298	0.100726984	0.09991608	0.095743954	0.10367521	0.11573703	0.09253005	0.09924201	0.09898966
