topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109
0.0030402893	0.003030615	0.0030208218	0.0030013954	0.0030303912	0.0030110818	0.0031179895	0.0030305013	0.0030208346	0.0030403386	0.33717194	0.0030111454	0.0030110644	0.0030013954	0.0030110818	0.0030110436	0.0030111196	0.0030013954	0.0030109892	0.0030306058	0.0030208346	0.003020807	0.0030209152	0.0030013954	0.0030305642	0.0030207657	0.0030110644	0.003060024	0.0030111196	0.0030402904	0.0030013954	0.0030305716	0.003040037	0.0030110648	0.0030111992	0.0030111454	0.003020869	0.0030206973	0.0030013954	0.0030207443	0.0030110644	0.0030013954	0.0030110644	0.3371267	0.0030110644	0.003049908	0.0030013954	0.0030401386	0.003020751	0.0030013954	0.0030013954	0.0030304743	0.003020758	0.0030013954	0.0030013954	0.0030207315	0.0030013954	0.00303053	0.0030208528	0.0030013954	0.0030110835	0.0030013954	0.0030208258	0.0030013954	0.0030055149	0.0030013954	0.0030013954	0.0030167259	0.0030111086	0.003030528	0.0030013954	0.0030013954	0.0030306603	0.0030013954	0.0030207764	0.0030209192	0.0030110818	0.0030111086	0.0030185375	0.0030304643	0.0030013954	0.0030013954	0.0030013954	0.0030110818	0.0030304985	0.0030207778	0.003049819	0.0030013954	0.0030079999	0.0030110965	0.0030013954	0.0030013954	0.0030110818	0.0030013954	0.0030110965	0.0030208218	0.0030207778	0.0030013954	0.00301092	0.0030111594	0.0030110818	0.0030207906	0.0030013954	0.0030208156	0.0030013954	0.0030111454	0.0030013954	0.0030013954	0.0030110606	0.0030139792
0.001011847	0.0010086274	0.0010053681	0.0009989027	0.0010085528	0.0010021265	0.0010377067	0.0010085895	0.0010053723	0.0010118636	0.0010172171	0.0010021477	0.0010021207	0.0009989027	0.0010021265	0.0010021138	0.0010021391	0.0009989027	0.0010020956	0.0010086243	0.40751055	0.0010053631	0.0010053992	0.0009989027	0.16802278	0.0010053494	0.0010021207	0.001018415	0.0010021391	0.0010118475	0.0009989027	0.0010086129	0.0010117631	0.0010021208	0.0010021655	0.0010021477	0.0010053838	0.0010053266	0.0009989027	0.0010053422	0.3170658	0.0009989027	0.0010021207	0.0010021208	0.0010021207	0.0010150484	0.0009989027	0.001011797	0.0010053446	0.0009989027	0.0009989027	0.0010085806	0.0010053469	0.0009989027	0.0009989027	0.001005338	0.0009989027	0.0010085991	0.0010053784	0.0009989027	0.001002127	0.0009989027	0.0010053694	0.0009989027	0.0010002736	0.0009989027	0.0009989027	0.0010040049	0.0010021355	0.0010085985	0.0009989027	0.0009989027	0.0010086425	0.0009989027	0.0010053529	0.0010054004	0.0010021265	0.0010021355	0.0010046078	0.0010085772	0.0009989027	0.0009989027	0.0009989027	0.0010021265	0.0010085886	0.0010053534	0.0010150188	0.0009989027	0.0010011008	0.0010021314	0.0009989027	0.0009989027	0.0010021265	0.0009989027	0.0010021314	0.0010053681	0.0010053534	0.0009989027	0.0010020726	0.0010021523	0.0010021265	0.0010053577	0.0009989027	0.001005366	0.0009989027	0.0010021477	0.0009989027	0.0009989027	0.0010021195	0.0010030908
0.0009105911	0.0009076936	0.00090476044	0.0008989421	0.0009076266	0.00090184325	0.000933863	0.0009076596	0.0009047643	0.00091060594	0.0009154237	0.0009018623	0.00090183807	0.0008989421	0.00090184325	0.25847557	0.00090185454	0.0008989421	0.0009018155	0.0009076909	0.0009047643	0.00090475596	0.00090478844	0.0008989421	0.0009076784	0.0009047437	0.00090183807	0.0009165018	0.00090185454	0.00091059145	0.0008989421	0.0009076806	0.00091051555	0.0009018381	0.0009018784	0.0009018623	0.00090477464	0.0009047232	0.0008989421	0.0009047373	0.00090183807	0.0008989421	0.00090183807	0.40118286	0.00090183807	0.00091347203	0.0008989421	0.000910546	0.0009047393	0.0008989421	0.0008989421	0.00090765144	0.00090474135	0.0008989421	0.0008989421	0.00090473343	0.0008989421	0.00090766815	0.00090476975	0.0008989421	0.0009018437	0.0008989421	0.00090476166	0.0008989421	0.0009001759	0.0008989421	0.0008989421	0.0009035337	0.0009018513	0.00090766756	0.0008989421	0.0008989421	0.0009077072	0.0008989421	0.0009047469	0.0009047896	0.00090184325	0.0009018513	0.24368188	0.0009076485	0.0008989421	0.0008989421	0.0008989421	0.00090184325	0.0009076587	0.00090474734	0.0009134454	0.0008989421	0.00090092013	0.00090184767	0.0008989421	0.0008989421	0.00090184325	0.0008989421	0.00090184767	0.00090476044	0.00090474734	0.0008989421	0.0009017948	0.0009018665	0.00090184325	0.0009047511	0.0008989421	0.0009047586	0.0008989421	0.0009018623	0.0008989421	0.0008989421	0.00090183696	0.00090271106
0.0007003416	0.0006981131	0.0006958572	0.0006913823	0.00069806154	0.0006936136	0.00071824016	0.0006980869	0.00069586013	0.000700353	0.0007040584	0.0006936282	0.0006936096	0.0006913823	0.30272925	0.00069360476	0.0006936223	0.0006913823	0.00069359224	0.000698111	0.00069586013	0.0006958538	0.0006958787	0.0006913823	0.0006981014	0.16415809	0.0006936096	0.00070488756	0.0006936223	0.0007003419	0.0006913823	0.00069810316	0.00070028345	0.00069360965	0.0006936406	0.0006936282	0.0006958681	0.0006958285	0.0006913823	0.00069583935	0.0006936096	0.0006913823	0.0006936096	0.00069360965	0.0006936096	0.0007025573	0.0006913823	0.0007003069	0.0006958409	0.0006913823	0.0006913823	0.0006980807	0.0006958425	0.0006913823	0.0006913823	0.00069583644	0.0006913823	0.00069809356	0.0006958644	0.0006913823	0.00069361395	0.0006913823	0.00069585815	0.0006913823	0.0006923312	0.0006913823	0.0006913823	0.00069491373	0.0006936198	0.0006980931	0.0006913823	0.0006913823	0.0006981236	0.0006913823	0.00069584674	0.00069587963	0.0006936136	0.0006936198	0.000695331	0.0006980784	0.0006913823	0.0006913823	0.0006913823	0.0006936136	0.0006980863	0.0006958471	0.00070253684	0.0006913823	0.0006929036	0.000693617	0.0006913823	0.0006913823	0.0006936136	0.0006913823	0.000693617	0.0006958572	0.0006958471	0.0006913823	0.0006935763	0.0006936314	0.27067384	0.00069585006	0.0006913823	0.1887936	0.0006913823	0.0006936282	0.0006913823	0.0006913823	0.0006936087	0.000694281
0.0015183628	0.0015135313	0.0015086405	0.0014989387	0.0015134196	0.0015037762	0.0015571674	0.0015134745	0.0015086468	0.0015183875	0.0015264208	0.0015038078	0.0015037674	0.0014989387	0.0015037762	0.0015037571	0.001503795	0.0014989387	0.0015037298	0.0015135268	0.0015086468	0.001508633	0.001508687	0.0014989387	0.0015135059	0.0015086124	0.0015037674	0.0015282185	0.001503795	0.0015183634	0.0014989387	0.0015135097	0.0015182367	0.0015037677	0.0015038347	0.0015038078	0.0015086641	0.0015085783	0.0014989387	0.0015086017	0.0015037674	0.0014989387	0.8358138	0.0015037677	0.0015037674	0.0015231665	0.0014989387	0.0015182876	0.0015086052	0.0014989387	0.0014989387	0.001513461	0.0015086086	0.0014989387	0.0014989387	0.0015085954	0.0014989387	0.0015134888	0.001508656	0.0014989387	0.001503777	0.0014989387	0.0015086425	0.0014989387	0.0015009958	0.0014989387	0.0014989387	0.0015065949	0.0015037896	0.0015134879	0.0014989387	0.0014989387	0.001513554	0.0014989387	0.0015086178	0.0015086891	0.0015037762	0.0015037896	0.0015074996	0.0015134561	0.0014989387	0.0014989387	0.0014989387	0.0015037762	0.0015134731	0.0015086186	0.0015231221	0.0014989387	0.0015022369	0.0015037835	0.0014989387	0.0014989387	0.0015037762	0.0014989387	0.0015037835	0.0015086405	0.0015086186	0.0014989387	0.0015036954	0.001503815	0.0015037762	0.0015086249	0.0014989387	0.0015086373	0.0014989387	0.0015038078	0.0014989387	0.0014989387	0.0015037656	0.0015052231
0.0010118473	0.0010086276	0.0010053683	0.000998903	0.0010085531	0.0010021267	0.001037707	0.0010085898	0.0010053725	0.0010118637	0.0010172173	0.0010021478	0.0010021209	0.000998903	0.0010021267	0.0010021139	0.0010021393	0.000998903	0.0010020959	0.0010086246	0.0010053725	0.0010053633	0.0010053994	0.000998903	0.0010086107	0.0010053497	0.0010021209	0.0010184152	0.0010021393	0.0010118478	0.000998903	0.0010086132	0.0010117632	0.001002121	0.0010021657	0.0010021478	0.001005384	0.0010053269	0.000998903	0.0010053425	0.0010021209	0.000998903	0.0010021209	0.001002121	0.0010021209	0.0010150486	0.000998903	0.0010117971	0.0010053448	0.000998903	0.000998903	0.0010085808	0.001005347	0.000998903	0.000998903	0.0010053383	0.000998903	0.0010085993	0.0010053787	0.000998903	0.0010021272	0.000998903	0.0010053696	0.000998903	0.0010002739	0.000998903	0.000998903	0.0010040051	0.0010021356	0.0010085987	0.000998903	0.000998903	0.0010086427	0.000998903	0.0010053532	0.0010054007	0.0010021267	0.0010021356	0.001004608	0.8905917	0.000998903	0.000998903	0.000998903	0.0010021267	0.0010085888	0.0010053536	0.0010150189	0.000998903	0.001001101	0.0010021316	0.000998903	0.000998903	0.0010021267	0.000998903	0.0010021316	0.0010053683	0.0010053536	0.000998903	0.0010020728	0.0010021525	0.0010021267	0.001005358	0.000998903	0.0010053662	0.000998903	0.0010021478	0.000998903	0.000998903	0.0010021196	0.001003091
0.0030402918	0.0030306175	0.0030208244	0.0030013982	0.003030394	0.0030110846	0.0031179923	0.003030504	0.0030208372	0.0030403414	0.003056427	0.003011148	0.0030110672	0.0030013982	0.0030110846	0.0030110462	0.003011122	0.0030013982	0.0030109917	0.0030306086	0.0030208372	0.0030208095	0.0030209178	0.0030013982	0.003030567	0.0030207685	0.0030110672	0.0030600266	0.003011122	0.003040293	0.0030013982	0.0030305744	0.0030400394	0.0030110674	0.0030112017	0.003011148	0.0030208717	0.0030207	0.0030013982	0.0030207483	0.0030110672	0.0030013982	0.0030110672	0.0030110674	0.0030110672	0.0030499108	0.0030013982	0.671271	0.0030207539	0.0030013982	0.0030013982	0.0030304769	0.0030207606	0.0030013982	0.0030013982	0.0030207343	0.0030013982	0.0030305327	0.0030208556	0.0030013982	0.003011086	0.0030013982	0.0030208286	0.0030013982	0.0030055174	0.0030013982	0.0030013982	0.0030167284	0.0030111112	0.0030305309	0.0030013982	0.0030013982	0.0030306631	0.0030013982	0.003020779	0.003020922	0.0030110846	0.0030111112	0.00301854	0.003030467	0.0030013982	0.0030013982	0.0030013982	0.0030110846	0.0030305013	0.0030207806	0.0030498218	0.0030013982	0.0030080024	0.003011099	0.0030013982	0.0030013982	0.0030110846	0.0030013982	0.003011099	0.0030208244	0.0030207806	0.0030013982	0.0030109228	0.003011162	0.0030110846	0.0030207934	0.0030013982	0.003020818	0.0030013982	0.003011148	0.0030013982	0.0030013982	0.0030110634	0.0030139817
0.003040289	0.0030306147	0.0030208216	0.0030013951	0.003030391	0.0030110816	0.0031179893	0.003030501	0.0030208344	0.0030403384	0.34710082	0.0030111452	0.0030110641	0.0030013951	0.0030110816	0.0030110434	0.0030111193	0.0030013951	0.003010989	0.0030306056	0.0030208344	0.0030208067	0.003020915	0.0030013951	0.003030564	0.0030207655	0.32719788	0.0030600238	0.0030111193	0.0030402902	0.0030013951	0.0030305714	0.0030400367	0.0030110646	0.003011199	0.0030111452	0.0030208689	0.003020697	0.0030013951	0.003020744	0.0030110641	0.0030013951	0.0030110641	0.0030110646	0.0030110641	0.0030499077	0.0030013951	0.0030401384	0.0030207508	0.0030013951	0.0030013951	0.003030474	0.0030207578	0.0030013951	0.0030013951	0.0030207313	0.0030013951	0.0030305297	0.0030208526	0.0030013951	0.0030110832	0.0030013951	0.0030208256	0.0030013951	0.0030055144	0.0030013951	0.0030013951	0.0030167256	0.0030111084	0.0030305278	0.0030013951	0.0030013951	0.00303066	0.0030013951	0.0030207762	0.003020919	0.0030110816	0.0030111084	0.0030185373	0.003030464	0.0030013951	0.0030013951	0.0030013951	0.0030110816	0.0030304983	0.0030207776	0.0030498188	0.0030013951	0.0030079994	0.0030110963	0.0030013951	0.0030013951	0.0030110816	0.0030013951	0.0030110963	0.0030208216	0.0030207776	0.0030013951	0.0030109198	0.0030111591	0.0030110816	0.0030207904	0.0030013951	0.0030208153	0.0030013951	0.0030111452	0.0030013951	0.0030013951	0.0030110604	0.003013979
0.0018224638	0.0018166647	0.0018107943	0.0017991496	0.20209704	0.0018049559	0.0018690404	0.0018165967	0.001810802	0.0018224935	0.0018321358	0.001804994	0.0018049454	0.0017991496	0.0018049559	0.001804933	0.0018049785	0.0017991496	0.0018049004	0.0018166594	0.001810802	0.0018107854	0.0018108503	0.0017991496	0.0018166343	0.0018107608	0.0018049454	0.0018342936	0.0018049785	0.0018224646	0.0017991496	0.0018166389	0.0018223126	0.0018049456	0.0018050262	0.001804994	0.0018108228	0.0018107197	0.0017991496	0.0018107479	0.0018049454	0.0017991496	0.0018049454	0.0018049456	0.60264975	0.0018282298	0.0017991496	0.0018223736	0.0018107521	0.0017991496	0.0017991496	0.0018165804	0.0018107562	0.0017991496	0.0017991496	0.0018107403	0.0017991496	0.0018166138	0.001810813	0.0017991496	0.0018049568	0.0017991496	0.0018107968	0.0017991496	0.0018016187	0.0017991496	0.0017991496	0.0018083391	0.001804972	0.0018166127	0.0017991496	0.0017991496	0.001816692	0.0017991496	0.0018107671	0.0018108528	0.0018049559	0.001804972	0.0018094251	0.0018165745	0.0017991496	0.0017991496	0.0017991496	0.0018049559	0.001816595	0.001810768	0.0018281764	0.0017991496	0.0018031084	0.0018049646	0.0017991496	0.0017991496	0.0018049559	0.0017991496	0.0018049646	0.0018107943	0.001810768	0.0017991496	0.0018048589	0.0018050023	0.0018049559	0.0018107757	0.0017991496	0.0018107906	0.0017991496	0.001804994	0.0017991496	0.0017991496	0.0018049432	0.0018066927
0.009163878	0.009134718	0.009105201	0.009046647	0.009134044	0.009075843	0.009398079	0.009134376	0.009105239	0.009164027	0.009212512	0.009076035	0.009075791	0.009046647	0.009075843	0.009075727	0.009075956	0.009046647	0.009075563	0.009134691	0.009105239	0.009105155	0.009105482	0.009046647	0.0091345655	0.009105031	0.009075791	0.0092233615	0.009075956	0.009163882	0.009046647	0.009134588	0.009163118	0.009075792	0.009076197	0.009076035	0.009105343	0.009104826	0.009046647	0.009104967	0.009075791	0.009046647	0.009075791	0.009075792	0.009075791	0.009192871	0.009046647	0.009163424	0.009104988	0.009046647	0.009046647	0.009134294	0.009105008	0.009046647	0.009046647	0.009104929	0.009046647	0.009134462	0.009105294	0.009046647	0.009075847	0.009046647	0.009105213	0.009046647	0.009059063	0.009046647	0.009046647	0.009092855	0.009075924	0.0091344565	0.009046647	0.009046647	0.009134855	0.009046647	0.009105064	0.009105494	0.009075843	0.009075924	0.009098316	0.009134265	0.009046647	0.009046647	0.009046647	0.009075843	0.009134368	0.009105069	0.009192603	0.009046647	0.009066553	0.0090758875	0.009046647	0.009046647	0.009075843	0.009046647	0.0090758875	0.009105201	0.009105069	0.009046647	0.009075356	0.009076077	0.009075843	0.009105107	0.009046647	0.009105182	0.009046647	0.009076035	0.009046647	0.009046647	0.0090757795	0.009084576
0.0022788807	0.0022716294	0.0022642887	0.0022497275	0.0022714615	0.002256988	0.0023371219	0.0022715442	0.0022642983	0.002278918	0.002290975	0.0022570356	0.002256975	0.0022497275	0.002256988	0.0022569594	0.0022570163	0.0022497275	0.0022569187	0.0022716227	0.0022642983	0.0022642775	0.0022643588	0.0022497275	0.0022715912	0.0022642468	0.5031366	0.002293673	0.0022570163	0.0022788816	0.0022497275	0.0022715968	0.0022786916	0.0022569753	0.002257076	0.0022570356	0.002264324	0.0022641956	0.0022497275	0.0022642307	0.002256975	0.0022497275	0.002256975	0.0022569753	0.002256975	0.0022860907	0.0022497275	0.002278768	0.0022642359	0.0022497275	0.0022497275	0.002271524	0.002264241	0.0022497275	0.0022497275	0.0022642212	0.0022497275	0.0022715656	0.002264312	0.0022497275	0.0022569892	0.0022497275	0.0022642917	0.0022497275	0.0022528153	0.0022497275	0.0022497275	0.0022612186	0.002257008	0.0022715642	0.0022497275	0.0022497275	0.0022716634	0.0022497275	0.0022642547	0.0022643618	0.002256988	0.25269657	0.0022625765	0.0022715165	0.0022497275	0.0022497275	0.0022497275	0.002256988	0.002271542	0.002264256	0.002286024	0.0022497275	0.002254678	0.002256999	0.0022497275	0.0022497275	0.002256988	0.0022497275	0.002256999	0.0022642887	0.002264256	0.0022497275	0.0022568668	0.0022570463	0.002256988	0.0022642654	0.0022497275	0.002264284	0.0022497275	0.0022570356	0.0022497275	0.0022497275	0.0022569722	0.0022591597
0.001822463	0.0018166639	0.0018107935	0.0017991486	0.0018165298	0.0018049551	0.0018690395	0.20852013	0.0018108011	0.0018224927	0.001832135	0.0018049931	0.0018049446	0.0017991486	0.0018049551	0.0018049321	0.0018049777	0.0017991486	0.0018048994	0.0018166584	0.0018108011	0.0018107846	0.0018108494	0.0017991486	0.0018166335	0.0018107599	0.0018049446	0.0018342927	0.0018049777	0.0018224637	0.0017991486	0.0018166379	0.0018223118	0.0018049448	0.0018050254	0.0018049931	0.0018108218	0.0018107189	0.0017991486	0.0018107471	0.0018049446	0.0017991486	0.0018049446	0.0018049448	0.0018049446	0.0018282289	0.0017991486	0.0018223727	0.0018107512	0.0017991486	0.0017991486	0.0018165796	0.0018107552	0.0017991486	0.0017991486	0.0018107394	0.0017991486	0.0018166129	0.0018108122	0.0017991486	0.001804956	0.0017991486	0.001810796	0.0017991486	0.0018016179	0.0017991486	0.0017991486	0.0018083382	0.001804971	0.0018166119	0.0017991486	0.0017991486	0.0018166911	0.0017991486	0.0018107663	0.0018108519	0.0018049551	0.001804971	0.0018094243	0.0018165736	0.0017991486	0.0017991486	0.0017991486	0.0018049551	0.0018165942	0.0018107672	0.0018281756	0.0017991486	0.0018031074	0.0018049638	0.0017991486	0.0017991486	0.0018049551	0.0017991486	0.5962268	0.0018107935	0.0018107672	0.0017991486	0.0018048581	0.0018050015	0.0018049551	0.0018107749	0.0017991486	0.0018107898	0.0017991486	0.0018049931	0.0017991486	0.0017991486	0.0018049424	0.0018066918
