topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.025480272	0.026270865	0.026373332	0.025625695	0.02546959	0.0262164	0.36983246	0.02505829	0.025442665	0.025438847	0.37372416	0.02506744
0.008328186	0.008586615	0.008620092	0.008375795	0.008324735	0.008568909	0.0098419245	0.008190268	0.00831602	0.63116	0.28349414	0.008193256
0.007488111	0.0077204686	0.0077505317	0.007530793	0.0074849464	0.007704467	0.008849146	0.007364076	0.0074770707	0.915346	0.007917596	0.007366785
0.005748512	0.005926975	0.005950044	0.005781254	0.0057460745	0.0059145605	0.9360665	0.005653321	0.0057400833	0.0057391324	0.006078135	0.0056553893
0.012553379	0.0129429465	0.64467555	0.012624856	0.2264168	0.012916085	0.014833808	0.012345493	0.012534824	0.0125331	0.01327324	0.012349958
0.008328209	0.008586659	0.008620393	0.008375707	0.008324671	0.008568839	0.009841353	0.008190307	0.008315954	0.008314652	0.90634	0.008193265
0.025480438	0.02627129	0.02637335	0.025625447	0.025469616	0.026216932	0.030108238	0.025058338	0.02544271	0.025438769	0.026941469	0.7115734
0.025480306	0.02627085	0.026373442	0.025626129	0.025469469	0.026216537	0.030109033	0.02505831	0.025442844	0.025438774	0.71344686	0.02506742
0.015108334	0.015577084	0.015637787	0.015194487	0.015102094	0.015544786	0.831969	0.014858121	0.015086033	0.015083843	0.01597482	0.0148636
0.08127863	0.083800726	0.08412736	0.08174183	0.08124435	0.0836266	0.09604093	0.07993269	0.08115889	0.08114639	0.08593964	0.07996195
0.018969158	0.019557651	0.019634292	0.78569037	0.018961158	0.01951752	0.022416253	0.01865521	0.018941123	0.018938348	0.020057173	0.018661765
0.015108404	0.015577172	0.015638037	0.015194424	0.22396335	0.015544909	0.017852971	0.014858186	0.015086035	0.015083686	0.015974736	0.6201181
0.012553307	0.0129428385	0.012993337	0.012625043	0.012548044	0.012915986	0.014833897	0.012345461	0.01253488	0.01253298	0.8588243	0.01234993
0.0046647466	0.004809493	0.0048282365	0.004691331	0.0046627745	0.0047994913	0.0055122995	0.00458749	0.0046578594	0.9472649	0.0049322406	0.0045891674
0.012553394	0.012942979	0.01299333	0.012624924	0.0125480415	0.012915998	0.86038464	0.012345578	0.012534957	0.012532964	0.013273189	0.012350027
0.08127863	0.083800726	0.08412736	0.08174183	0.08124435	0.0836266	0.09604093	0.07993269	0.08115889	0.08114639	0.08593964	0.07996195
0.038797848	0.040001545	0.040157434	0.039018724	0.5614392	0.0399186	0.045844387	0.03815551	0.038740482	0.038734492	0.041022602	0.038169112
0.015108532	0.015577377	0.8297533	0.015194406	0.0151021285	0.015545059	0.01785256	0.014858231	0.015086055	0.015083711	0.015974678	0.0148640135
0.03879786	0.04000154	0.04015743	0.03901872	0.56143934	0.039918598	0.045844384	0.03815545	0.03874048	0.03873449	0.0410226	0.038169112
0.02548036	0.026271159	0.026373988	0.025625467	0.025469616	0.71272206	0.030108556	0.025058243	0.025442712	0.025438765	0.02694146	0.025067545
0.025480725	0.026271442	0.71287656	0.025625505	0.02546992	0.026217442	0.030108545	0.025058566	0.025442772	0.025438812	0.026941435	0.025068302
0.038797762	0.040001523	0.040157676	0.5616755	0.03878129	0.039918724	0.045844976	0.038155217	0.03874069	0.03873454	0.041022994	0.03816912
0.038797848	0.040001545	0.040157434	0.039018724	0.56143934	0.039918598	0.045844387	0.03815542	0.038740482	0.038734492	0.041022602	0.038169112
0.025480364	0.026271116	0.7128794	0.025625404	0.025469445	0.026216306	0.030108545	0.025058333	0.025442813	0.025438786	0.026942013	0.025067424
0.49681422	0.01294303	0.012993308	0.012624928	0.012548097	0.012916242	0.014834454	0.37363446	0.0125349965	0.012532923	0.013273236	0.012350065
0.009380656	0.009671689	0.009709725	0.009434171	0.009376713	0.009652052	0.011084888	0.009225519	0.89395165	0.009365453	0.009918824	0.009228654
0.01073757	0.011070742	0.011114074	0.87868905	0.010733005	0.011047797	0.012689077	0.010559838	0.010721858	0.010720077	0.011353314	0.0105635645
0.018969372	0.019558853	0.019633938	0.019077582	0.34640324	0.019517139	0.022415785	0.018655226	0.018941253	0.018938573	0.45922682	0.018662203
0.010737589	0.011070775	0.01111444	0.010798715	0.24341272	0.011047854	0.0126881255	0.010559722	0.010721688	0.010720018	0.011353272	0.6457751
0.015108324	0.015577177	0.8297541	0.015194424	0.01510191	0.015544863	0.017852984	0.014858077	0.015086028	0.015083682	0.015974697	0.014863714
0.08127863	0.083800726	0.08412736	0.08174183	0.08124435	0.0836266	0.09604093	0.07993269	0.08115889	0.08114639	0.08593964	0.07996195
0.012553305	0.012942855	0.012993286	0.012625016	0.01254809	0.0129159745	0.8603847	0.01234549	0.012534821	0.012533073	0.013273452	0.012349936
0.012553373	0.012942921	0.012993282	0.012625003	0.0125480555	0.012916138	0.01483418	0.012345449	0.4960544	0.012533056	0.3753042	0.012349981
0.015108359	0.015577174	0.015638147	0.015194475	0.015101942	0.015544863	0.8319684	0.0148583	0.01508625	0.0150837535	0.015974753	0.014863545
0.025480432	0.026271293	0.026373267	0.025625514	0.025469545	0.33122945	0.030108936	0.0250585	0.40693516	0.025438769	0.02694154	0.02506764
0.025480526	0.026271338	0.026374413	0.7121248	0.025469631	0.026217092	0.030111566	0.025058458	0.025442977	0.025438894	0.026942039	0.02506828
0.025480252	0.026270833	0.026373312	0.025625478	0.02546957	0.026216354	0.71661556	0.025058255	0.025442641	0.02543881	0.026941573	0.025067419
0.0053353063	0.0055009085	0.6773835	0.0053658504	0.0053330613	0.005489462	0.0063048354	0.005246971	0.0053274436	0.0053266343	0.26813716	0.005248897
0.005748474	0.93520135	0.0059499377	0.0057812077	0.005746029	0.0059145307	0.0067926073	0.0056532593	0.00573998	0.0057391427	0.006078111	0.0056553637
0.008328262	0.008586832	0.008620091	0.008375738	0.008324701	0.008568847	0.90737516	0.008190312	0.0083161425	0.008314703	0.00880587	0.008193334
0.018969204	0.019557826	0.0196343	0.01907715	0.78557664	0.01951729	0.022414604	0.018654983	0.018941103	0.018938161	0.020056836	0.018661864
0.008328162	0.008586585	0.008620122	0.008375654	0.008324645	0.00856875	0.009840881	0.0081902435	0.0083159935	0.008314605	0.90634114	0.008193234
0.018969001	0.019557618	0.01963394	0.019077344	0.01896113	0.019517163	0.022415219	0.018654902	0.018941376	0.018938148	0.7866724	0.018661711
0.015108563	0.015577416	0.015638055	0.35504806	0.015102061	0.015544894	0.017853344	0.4891191	0.015086214	0.015083791	0.015974866	0.01486366
0.00680194	0.0070130336	0.9233533	0.0068407045	0.0067990576	0.0069984733	0.008037625	0.0066892845	0.006791907	0.006790896	0.007192	0.0066917897
