topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.021975404	0.022466328	0.022720795	0.022706604	0.022589615	0.023031997	0.7091598	0.02201782	0.022365155	0.022340229	0.022837386	0.021990336	0.022619596	0.021178966
0.007202708	0.007363612	0.0074470155	0.007442366	0.007404021	0.0075490256	0.57082224	0.0072166068	0.0073304544	0.34117365	0.007485211	0.007207599	0.0074138474	0.006941664
0.49203834	0.006621731	0.0066967234	0.006692546	0.006658066	0.0067884475	0.4287165	0.0064895283	0.0065919026	0.006584563	0.0067310585	0.006481428	0.0066668997	0.006242285
0.004973707	0.0050848275	0.0051424177	0.0051391907	0.0051127137	0.00521284	0.75720704	0.004983303	0.18202882	0.005056277	0.005168771	0.004977087	0.005119521	0.0047934437
0.01084941	0.011091796	0.011217475	0.011210387	0.011152671	0.011371069	0.012587061	0.010870372	0.011041815	0.011029551	0.011274925	0.010856783	0.8549905	0.010456194
0.0072026937	0.0073636025	0.22880083	0.0074423547	0.0074040014	0.0075490084	0.008356192	0.0072166002	0.0073304423	0.0073222728	0.68244886	0.0072075897	0.007413842	0.0069416547
0.021975422	0.022466352	0.022720814	0.022706566	0.022589592	0.7066971	0.025494615	0.022017825	0.022365142	0.022340251	0.022837272	0.021990392	0.022619635	0.021178965
0.0219754	0.022466326	0.022720795	0.70637155	0.022589598	0.023031991	0.025494836	0.022017818	0.022365147	0.022340229	0.022837397	0.021990335	0.0226196	0.021178965
0.013052143	0.013343709	0.013494847	0.013486414	0.013416929	0.013679674	0.82725763	0.013077323	0.013283609	0.013268847	0.013564048	0.01306102	0.013434771	0.01257909
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.016377177	0.016743017	0.016932685	0.28095973	0.01683491	0.017164588	0.019000037	0.016408775	0.016667629	0.5168628	0.017019494	0.016388293	0.016857255	0.015783627
0.013052134	0.013343724	0.01349485	0.013486405	0.20174508	0.013679708	0.01514239	0.013077329	0.0132836085	0.013268813	0.013564032	0.6368481	0.013434768	0.012579098
0.010849378	0.01109175	0.0112174	0.45924172	0.011152619	0.011371021	0.01258692	0.010870315	0.011041809	0.011029512	0.40706715	0.010856751	0.011167437	0.010456179
0.004036754	0.0041269334	0.0041736765	0.004171063	0.0041495757	0.0042308397	0.004683253	0.0040445435	0.0041083447	0.9459949	0.004195074	0.0040394976	0.004155088	0.003890452
0.8546728	0.011091769	0.011217392	0.011210374	0.011152613	0.011371019	0.012587013	0.010870341	0.011041841	0.0110295145	0.011274894	0.0108567625	0.011167457	0.010456191
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.033388775	0.03413466	0.034521278	0.034499664	0.55369264	0.034994114	0.038735703	0.033453222	0.033980917	0.03394307	0.034698267	0.03341145	0.03436755	0.03217869
0.01305213	0.013343705	0.0134948585	0.013486387	0.0134169115	0.013679703	0.015142336	0.013077316	0.013283601	0.013268817	0.013564015	0.013061012	0.8255502	0.012579081
0.033388775	0.03413466	0.034521278	0.034499664	0.55369264	0.034994114	0.038735703	0.033453222	0.033980917	0.03394307	0.034698267	0.03341145	0.03436755	0.03217869
0.021975406	0.02246634	0.022720812	0.02270656	0.022589587	0.7066972	0.025494626	0.0220178	0.022365136	0.022340236	0.022837266	0.02199035	0.022619698	0.021178959
0.02197543	0.022466345	0.02272084	0.022706574	0.022589598	0.023032065	0.02549464	0.022017835	0.022365147	0.02234026	0.022837272	0.021990389	0.70628464	0.02117897
0.033388764	0.034134656	0.034521323	0.55387026	0.03432196	0.0349941	0.038735762	0.03345319	0.033980943	0.033943072	0.034698293	0.033411454	0.034367554	0.032178685
0.033388775	0.03413466	0.034521278	0.034499664	0.55369264	0.034994114	0.038735703	0.033453222	0.033980917	0.03394307	0.034698267	0.03341145	0.03436755	0.03217869
0.02197539	0.022466319	0.70638615	0.022706557	0.022589577	0.023032034	0.025494581	0.02201782	0.022365147	0.022340236	0.022837305	0.021990333	0.022619613	0.021178966
0.010849434	0.011091775	0.011217404	0.011210387	0.011152637	0.011371073	0.012587183	0.010870358	0.0110418275	0.0110295545	0.011274905	0.010856794	0.8549905	0.010456193
0.008111504	0.008292709	0.008386637	0.008381391	0.008338211	0.0085015	0.009410522	0.0081271585	0.008255373	0.008246167	0.008429631	0.008117012	0.008349292	0.8910529
0.009282789	0.009490163	0.00959768	0.07063248	0.009542236	0.009729119	0.8161033	0.009300709	0.009447447	0.009436896	0.009646866	0.009289093	0.009554922	0.00894636
0.016377216	0.25700307	0.016932696	0.016922144	0.24977772	0.017164635	0.01900003	0.016408818	0.016667666	0.016649118	0.3080676	0.016388346	0.016857287	0.01578365
0.00928279	0.009490168	0.009597655	0.009591644	0.009542269	0.00972913	0.010769391	0.009300709	0.009447414	0.009436893	0.0096468525	0.28168866	0.60353005	0.008946359
0.013052124	0.013343722	0.013494858	0.013486403	0.013416916	0.013679707	0.015142403	0.013077312	0.013283606	0.013268812	0.013564023	0.50874835	0.32986265	0.012579093
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.010849382	0.011091754	0.011217393	0.011210408	0.011152631	0.011371029	0.8564105	0.010870319	0.011041805	0.011029516	0.011274899	0.010856754	0.01116744	0.0104561765
0.0108493995	0.011091766	0.01121739	0.8550339	0.011152636	0.011371044	0.012586937	0.010870334	0.011041819	0.011029511	0.011274931	0.010856762	0.011167429	0.010456189
0.013052124	0.013343712	0.0134949265	0.0134864	0.013416915	0.013679669	0.82725763	0.013077333	0.013283638	0.013268805	0.013564024	0.013060993	0.01343476	0.012579095
0.021975428	0.022466382	0.022720808	0.022706585	0.022589607	0.023032108	0.025494693	0.02201783	0.022365201	0.022340259	0.022837289	0.021990394	0.7062844	0.02117899
0.021975417	0.022466375	0.022720823	0.022706615	0.022589616	0.7066967	0.025494851	0.02201784	0.022365186	0.022340247	0.022837302	0.021990402	0.02261965	0.021178996
0.02197539	0.022466311	0.022720784	0.022706559	0.022589704	0.02303197	0.70916	0.022017792	0.02236515	0.022340212	0.022837278	0.02199032	0.022619579	0.021178951
0.0046165315	0.0047196723	0.35680407	0.0047701444	0.0047455593	0.0048384964	0.58687013	0.004625447	0.004698408	0.0046931724	0.0047976063	0.004619672	0.004751864	0.0044492176
0.004973697	0.9334887	0.0051424	0.005139178	0.005112703	0.005212834	0.0057702083	0.004983293	0.005061904	0.005056273	0.005168761	0.004977081	0.0051194965	0.0047934344
0.007202714	0.007363621	0.007447023	0.007442381	0.0074040345	0.007549027	0.008356391	0.007216609	0.9036476	0.007322295	0.0074852025	0.0072076027	0.0074138585	0.006941667
0.016377192	0.016743034	0.016932685	0.016922066	0.016835064	0.017164644	0.01899986	0.016408807	0.016667617	0.016649064	0.017019479	0.016388318	0.78110856	0.015783625
0.007202689	0.007363595	0.0074470136	0.007442349	0.0074039977	0.0075489976	0.008356157	0.0072165895	0.0073304395	0.0073222676	0.9038029	0.007207584	0.007413836	0.0069416515
0.016377147	0.016743012	0.016932664	0.016922079	0.016834887	0.017164614	0.018999958	0.016408753	0.016667647	0.01664904	0.7812711	0.01638828	0.016857238	0.015783614
0.013052145	0.013343734	0.013494876	0.4048128	0.013416937	0.013679677	0.015142458	0.43386596	0.013283652	0.013268817	0.013564035	0.013061006	0.013434772	0.012579102
0.0058841784	0.0060156393	0.006083781	0.0060799606	0.006048634	0.0061671035	0.006826554	0.0058955387	0.005988535	0.0059818737	0.0061149565	0.5925734	0.3346689	0.005670924
0.021975422	0.022466322	0.022720838	0.022706592	0.022589618	0.023031974	0.7091598	0.02201784	0.022365138	0.022340255	0.022837264	0.02199034	0.0226196	0.021178963
0.006477015	0.9133855	0.0066967057	0.006692515	0.0066580377	0.0067884256	0.0075142602	0.0064895097	0.0065918835	0.0065845423	0.0067310384	0.0064814175	0.0066668796	0.0062422687
0.004307226	0.0044034435	0.004453331	0.0044505424	0.0044276114	0.6311113	0.15447536	0.0043155393	0.16630594	0.0043787374	0.0044761603	0.00431015	0.0044334913	0.0041511226
0.0040367567	0.0041269385	0.0041736816	0.0041710674	0.004149578	0.004230868	0.0046832208	0.004044547	0.0041083484	0.004103774	0.004195076	0.94593054	0.004155096	0.0038904555
0.009282794	0.009490178	0.009597668	0.549717	0.33579138	0.009729115	0.010769521	0.009300703	0.009447442	0.009436922	0.0096468795	0.009289101	0.009554908	0.008946368
0.013052142	0.013343705	0.013494846	0.82560164	0.013416992	0.013679679	0.015142431	0.013077324	0.013283615	0.013268827	0.013564028	0.013060992	0.013434749	0.0125790965
0.013052113	0.013343696	0.013494873	0.013486387	0.013416905	0.013679688	0.015142348	0.013077315	0.825399	0.013268809	0.013564058	0.013060987	0.013434752	0.012579091
0.008111539	0.3776546	0.008386672	0.5222542	0.008338266	0.008501542	0.009410756	0.008127186	0.008255401	0.008246223	0.008429679	0.008117046	0.008349314	0.007817549
0.021975417	0.02246638	0.42124563	0.02270659	0.022589602	0.023032011	0.025494985	0.022017863	0.022365153	0.30748007	0.02283731	0.021990366	0.022619633	0.021178978
0.55275846	0.034134835	0.03452134	0.034499783	0.03432209	0.03499414	0.038735796	0.03345329	0.033980977	0.03394314	0.034698322	0.033411548	0.03436758	0.03217873
0.006477034	0.0066217342	0.0066967425	0.0066925343	0.0066580917	0.006788467	0.0075143506	0.0064895432	0.0065919003	0.00658457	0.5505044	0.36947146	0.006666914	0.0062422873
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.010849455	0.011091847	0.01121742	0.011210435	0.011152692	0.011371058	0.01258693	0.010870376	0.011041834	0.011029541	0.8550979	0.010856808	0.0111674545	0.010456206
0.013052141	0.013343747	0.12340497	0.013486416	0.013416929	0.013679712	0.015142618	0.013077352	0.013283619	0.013268882	0.013564055	0.0130610205	0.7156395	0.012579097
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.010849405	0.011091769	0.011217396	0.011210385	0.011152622	0.0113710435	0.0125870695	0.010870341	0.011041833	0.011029523	0.011274897	0.6313004	0.011167466	0.23383585
0.0049737003	0.7404865	0.0051424056	0.0051391856	0.005112707	0.005212835	0.005770221	0.0049832975	0.0050619077	0.0050562737	0.0051687686	0.19797927	0.005119504	0.004793438
0.01637714	0.016742997	0.016932633	0.016922032	0.781087	0.017164553	0.0189998	0.01640875	0.016667586	0.01664902	0.017019443	0.016388264	0.016857227	0.015783595
0.013052145	0.013343723	0.013494958	0.013486414	0.013416995	0.013679757	0.015142354	0.013077359	0.013283632	0.013268841	0.0135640865	0.013061019	0.8255496	0.012579109
0.004973699	0.80783224	0.0051424033	0.005139183	0.0051127146	0.0052128346	0.1314267	0.0049832948	0.005061911	0.0050562676	0.005168767	0.0049770786	0.005119495	0.0047934363
0.0072027124	0.00736363	0.0074470337	0.25064975	0.007404036	0.007549028	0.008356288	0.0072166165	0.0073304656	0.0073223007	0.660595	0.007207607	0.0074138553	0.0069416715
0.0021482436	0.0021962344	0.49959219	0.0022197196	0.002208284	0.002251533	0.47419736	0.0021523891	0.0021863438	0.0021839114	0.0022325024	0.0021497034	0.0022112234	0.0020703857
0.00647703	0.0066217273	0.0066967662	0.006692538	0.006658061	0.006788485	0.48690766	0.0064895405	0.0065919086	0.0065845666	0.006731076	0.43385142	0.006666914	0.00624229
0.016377246	0.01674328	0.016932731	0.016922126	0.016834943	0.017164689	0.01900004	0.016408822	0.016667679	0.016649114	0.5401047	0.01638837	0.2580226	0.015783658
0.009282775	0.009490147	0.009597661	0.44327137	0.009542227	0.009729086	0.010769444	0.009300695	0.44214258	0.009436885	0.009646843	0.009289081	0.009554909	0.008946353
0.016377224	0.016743151	0.016932702	0.016922096	0.016834922	0.7814156	0.018999936	0.016408803	0.016667657	0.016649095	0.017019525	0.016388355	0.016857313	0.015783643
0.005884178	0.0060156235	0.006083769	0.0060799588	0.0060486346	0.006167093	0.6800059	0.0058955313	0.005988541	0.0059818667	0.24823312	0.005888174	0.006056666	0.0056709205
0.016377172	0.016743015	0.016932664	0.7811737	0.016834904	0.017164577	0.01899993	0.01640877	0.016667617	0.016649056	0.01701947	0.016388282	0.016857252	0.015783621
0.01637739	0.016743306	0.78118217	0.016922254	0.016835138	0.017164731	0.018999996	0.016408958	0.016667737	0.016649187	0.01701961	0.01638846	0.016857358	0.015783716
0.005390768	0.0055111907	0.0055736145	0.0055701374	0.0055414415	0.005649964	0.9286543	0.0054011694	0.0054863794	0.0054802606	0.0056021926	0.005394425	0.0055487896	0.0051953928
0.004616526	0.9382651	0.0047731153	0.0047701253	0.0047455505	0.0048384867	0.005355844	0.004625433	0.0046983995	0.0046931715	0.004797584	0.004619666	0.004751854	0.00444921
0.008111507	0.008292715	0.008386664	0.00838141	0.008338216	0.008501525	0.009410534	0.008127157	0.008255376	0.008246174	0.77082264	0.008117017	0.12919156	0.007817529
0.007202708	0.007363629	0.007447032	0.0074423477	0.007404011	0.0075490163	0.0083561735	0.007216603	0.0073304554	0.3790141	0.53211075	0.007207603	0.0074138455	0.0069416654
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.016377216	0.016743032	0.016932677	0.016922077	0.016834907	0.7814156	0.019000314	0.016408795	0.016667617	0.01664911	0.017019471	0.016388318	0.016857293	0.015783617
0.009282786	0.009490155	0.0095976535	0.0095916325	0.19642031	0.009729123	0.010769353	0.009300704	0.009447409	0.009436892	0.009646845	0.009289099	0.6890516	0.00894635
0.00358636	0.0036664777	0.0037080094	0.003705686	0.9520612	0.0037587911	0.004160703	0.0035932825	0.0036499638	0.0036458985	0.003727015	0.0035887964	0.0036914917	0.0034563818
0.016377183	0.016743012	0.016932653	0.016922068	0.016834885	0.01716457	0.31555238	0.016408782	0.48436674	0.016649073	0.017019456	0.016388291	0.016857272	0.015783625
0.009282785	0.0094901575	0.009597667	0.009591671	0.009542238	0.51888585	0.010769484	0.009300701	0.009447425	0.009436907	0.3668647	0.009289091	0.009554928	0.008946355
0.0072027175	0.007363641	0.0074470425	0.007442373	0.007404032	0.0075490507	0.008356267	0.007216617	0.007330464	0.0073223026	0.9038023	0.007207645	0.0074138897	0.0069416864
0.010849432	0.011091848	0.011217414	0.011210397	0.85497564	0.011371066	0.0125870425	0.010870353	0.011041844	0.011029533	0.011274945	0.0108568	0.011167451	0.010456202
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.013052143	0.013343751	0.089623824	0.013486417	0.01341693	0.013679715	0.015142638	0.013077358	0.013283621	0.013268883	0.013564058	0.013061022	0.7494206	0.012579098
0.01084939	0.011091763	0.011217393	0.011210367	0.01115266	0.8551945	0.012586993	0.010870326	0.011041808	0.011029501	0.011274903	0.010856762	0.011167444	0.010456177
0.02197539	0.022466319	0.70638615	0.022706557	0.022589577	0.023032054	0.025494581	0.02201782	0.022365147	0.022340236	0.022837305	0.021990333	0.022619613	0.021178966
0.021975387	0.022466306	0.022720773	0.02270656	0.022589568	0.02303195	0.025494674	0.022017801	0.022365194	0.02234021	0.022837248	0.021990316	0.022619626	0.7048444
0.01637716	0.016743015	0.016932674	0.01692205	0.016834874	0.017164605	0.01899985	0.01640876	0.016667603	0.016649049	0.017019453	0.0163883	0.78110904	0.015783606
0.01637723	0.016743159	0.016932763	0.016922137	0.78108495	0.017164765	0.019000195	0.016408836	0.016667679	0.016649114	0.01701955	0.016388474	0.016857408	0.015783709
0.021975413	0.022466348	0.022720803	0.02270656	0.022589589	0.023032056	0.025494605	0.022017816	0.022365136	0.022340246	0.02283727	0.7056555	0.022619626	0.021178963
0.010849405	0.011091763	0.011217389	0.011210373	0.011152619	0.011371038	0.012587224	0.010870335	0.0110418	0.011029526	0.011274892	0.85468	0.011167439	0.010456181
0.03338884	0.034134712	0.03452138	0.03449971	0.03432198	0.034994252	0.0387358	0.033453267	0.03398096	0.033943146	0.03469829	0.5527813	0.034367632	0.032178715
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.013052139	0.013343716	0.013494874	0.013486478	0.013416961	0.013679701	0.015142597	0.013077332	0.8253983	0.013268864	0.013564048	0.013061006	0.013434856	0.012579108
0.016377145	0.01674302	0.01693265	0.78117394	0.016834883	0.017164553	0.018999849	0.016408747	0.016667606	0.016649038	0.017019471	0.016388278	0.016857233	0.0157836
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.0072026914	0.0073635983	0.0074470188	0.0074423407	0.0074040033	0.0075490065	0.008356157	0.007216595	0.0073304423	0.0073222793	0.9038028	0.007207588	0.0074138385	0.0069416584
0.0072027138	0.0073636314	0.56989115	0.007442354	0.0074040103	0.0075490214	0.008356221	0.0072166077	0.007330456	0.3411955	0.0074852104	0.0072076074	0.0074138497	0.006941663
0.00928279	0.00949018	0.0095976805	0.009591645	0.009542248	0.87610364	0.010769485	0.009300717	0.009447415	0.009436925	0.009646865	0.009289155	0.009554917	0.008946356
0.033388842	0.55350417	0.03452134	0.034499783	0.034321986	0.034994144	0.038735848	0.033453245	0.03398101	0.03394345	0.034698322	0.03341155	0.034367584	0.03217873
0.0130522605	0.013343782	0.013494909	0.013486528	0.013417047	0.0136798015	0.015142584	0.013077421	0.013283693	0.013268901	0.013564099	0.013061064	0.8255487	0.012579179
0.0046165427	0.8281336	0.0047731344	0.004770146	0.0047455784	0.0048385086	0.0053559737	0.004625449	0.00469842	0.004693185	0.0047976086	0.114750795	0.004751876	0.0044492227
0.8181398	0.003140841	0.003176415	0.003174424	0.0031580685	0.0032199146	0.0035642365	0.0030781345	0.14383481	0.003123208	0.0031926928	0.0030742928	0.0031622658	0.0029608593
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.016377266	0.01674324	0.016932746	0.016922208	0.016834972	0.01716466	0.78325015	0.016408833	0.016667739	0.016649209	0.017019562	0.01638841	0.016857315	0.015783682
0.0333888	0.03413469	0.5538901	0.034499776	0.034322046	0.03499411	0.038737085	0.03345327	0.03398096	0.033943117	0.03469829	0.033411484	0.034367576	0.032178715
0.004973687	0.0050847987	0.005142403	0.005139178	0.0051126974	0.0052128276	0.0057701925	0.004983288	0.005061903	0.0050562616	0.93357277	0.0049770684	0.0051194923	0.0047934335
0.0130521525	0.013343738	0.013494912	0.013486459	0.36031082	0.013679714	0.015142612	0.013077352	0.013283651	0.013268833	0.013564043	0.013061036	0.4786556	0.012579121
0.03338878	0.034134675	0.03452134	0.034499697	0.03432201	0.034994125	0.038735773	0.033453226	0.033980973	0.03394318	0.034698337	0.03341147	0.034367546	0.55154884
0.0020136642	0.0020586492	0.0020819667	0.0020806661	0.0020699447	0.0021104857	0.9733496	0.0020175502	0.0020493793	0.0020470945	0.0020926408	0.0020150333	0.0020726938	0.001940684
0.033388764	0.034134656	0.034521323	0.55387026	0.03432196	0.0349941	0.038735762	0.03345319	0.033980943	0.033943072	0.034698293	0.033411454	0.034367554	0.032178685
0.009282783	0.009490168	0.009597651	0.009591642	0.009542244	0.8761039	0.010769394	0.0093006985	0.009447412	0.0094368905	0.009646849	0.009289106	0.0095549235	0.008946356
0.0072027035	0.007363604	0.00744702	0.007442356	0.90372145	0.0075490065	0.008356265	0.007216604	0.0073304465	0.0073222797	0.0074851913	0.0072075916	0.007413841	0.0069416612
0.009282782	0.009490163	0.009597657	0.009591638	0.009542221	0.009729128	0.010769385	0.009300692	0.00944741	0.009436891	0.009646845	0.7314699	0.1537489	0.008946351
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.021975417	0.02246638	0.42142382	0.02270659	0.022589602	0.023032011	0.025494985	0.02201786	0.022365153	0.3073019	0.02283731	0.021990366	0.022619633	0.021178978
0.55275846	0.03413483	0.03452134	0.034499783	0.03432209	0.03499414	0.038735796	0.03345329	0.033980977	0.03394314	0.034698322	0.033411548	0.03436758	0.03217873
0.06946885	0.071020775	0.071825184	0.07178022	0.071410425	0.07280889	0.08059374	0.069602914	0.070700906	0.07062215	0.0721934	0.06951607	0.07150529	0.06695116
0.0029320826	0.002997592	0.9608244	0.0030296382	0.0030140274	0.003073053	0.0034016592	0.0029377388	0.002984082	0.0029807624	0.0030470751	0.0029340754	0.0030180318	0.0028258131
0.008111502	0.00829271	0.008386653	0.26334822	0.008338213	0.008501504	0.0094105285	0.008127156	0.63652384	0.008246168	0.008429661	0.008117015	0.008349297	0.00781753
