topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.017618828	0.0177444	0.017467272	0.017533895	0.017345885	0.018054686	0.6993337	0.017589422	0.017690465	0.017621774	0.018456498	0.01752252	0.01792682	0.016961997	0.01767694	0.017342148	0.018190615	0.017922102
0.0057974025	0.005838722	0.005747534	0.005769456	0.0057075922	0.0059408206	0.90106696	0.005787727	0.0058209747	0.005798373	0.0060730344	0.0057657133	0.0058987457	0.005581275	0.0058165244	0.005706363	0.0059855473	0.0058971937
0.005214311	0.0052514737	0.0051694578	0.005189175	0.0051335334	0.0053433036	0.0058114687	0.65764296	0.005235512	0.005215183	0.00546222	0.0051858085	0.005305461	0.005019921	0.005231509	0.25790104	0.0053835325	0.005304065
0.004005661	0.00403421	0.0039712046	0.003986351	0.003943607	0.004104754	0.0044644005	0.003998976	0.004021948	0.004006331	0.004196106	0.0039837654	0.2107937	0.0038563297	0.7244796	0.0039427574	0.004135658	0.004074611
0.008724157	0.008786336	0.65089244	0.008682101	0.2077442	0.008939977	0.009723269	0.0087095965	0.008759628	0.008725616	0.009138937	0.008676468	0.008876662	0.008398919	0.008752931	0.0085871555	0.0090072835	0.008874326
0.0057974076	0.0058387266	0.0057475385	0.00576946	0.0057075964	0.0059408247	0.0064613423	0.0057877316	0.005820979	0.0057983766	0.9006786	0.0057657175	0.0058987504	0.0055812793	0.0058165286	0.0057063666	0.005985553	0.0058971983
0.017618848	0.01774442	0.01746729	0.017533913	0.017345903	0.018054707	0.019636601	0.01758944	0.017690483	0.017621793	0.018456515	0.01752254	0.017926838	0.016962014	0.01767696	0.017342167	0.018190635	0.69761896
0.017618831	0.017744403	0.017467275	0.017533902	0.01734589	0.018054692	0.019636588	0.017589428	0.017690469	0.01762178	0.69815356	0.017522525	0.017926823	0.016962001	0.017676944	0.017342152	0.01819062	0.017922105
0.010489299	0.010564058	0.010399071	0.010438735	0.010326804	0.010748787	0.011690565	0.010471793	0.010531948	0.0104910545	0.010988002	0.010431963	0.010672661	0.010098257	0.010523896	0.010324579	0.8201387	0.010669853
0.05500678	0.055398818	0.054533616	0.054741614	0.054154642	0.05636755	0.06130629	0.054914974	0.055230435	0.05501598	0.057622015	0.054706104	0.05596834	0.052956123	0.05518821	0.05414297	0.056791924	0.055953614
0.013149874	0.013243595	0.01303676	0.013086486	0.012946162	0.01347518	0.014655835	0.013127928	0.0132033415	0.013152074	0.013775071	0.013077995	0.013379744	0.012659646	0.013193247	0.012943373	0.013576631	0.7743171
0.010489293	0.61754596	0.010399065	0.010438728	0.21265402	0.01074878	0.011690553	0.010471787	0.010531942	0.010491048	0.010987995	0.0104319565	0.010672655	0.0100982515	0.01052389	0.010324573	0.010829704	0.010669846
0.008724157	0.008786336	0.008649113	0.008682103	0.008589007	0.008939978	0.009723271	0.008709597	0.008759629	0.008725617	0.8505375	0.008676469	0.008876663	0.008398919	0.008752932	0.008587156	0.009007284	0.008874326
0.0032518855	0.0032750622	0.003223913	0.0032362095	0.003201509	0.0033323313	0.0036243005	0.0032464582	0.0032651075	0.94413453	0.0034064928	0.00323411	0.0033087311	0.003130655	0.003262611	0.003200819	0.00335742	0.0033078603
0.008724159	0.0087863365	0.008649114	0.008682103	0.008589008	0.008939979	0.8511217	0.008709599	0.008759631	0.008725618	0.009138939	0.008676471	0.008876665	0.008398922	0.008752934	0.008587158	0.0090072965	0.008874328
0.05500678	0.055398818	0.054533616	0.054741614	0.054154642	0.05636755	0.06130629	0.054914974	0.055230435	0.05501598	0.057622015	0.054706104	0.05596834	0.052956123	0.05518821	0.05414297	0.056791924	0.055953614
0.026689062	0.026879279	0.026459483	0.026560405	0.54107976	0.027349303	0.02974556	0.026644519	0.026797578	0.026693527	0.027957965	0.026543176	0.027155608	0.02569409	0.02677709	0.026269946	0.027555207	0.027148463
0.0104892915	0.01056405	0.010399063	0.010438726	0.010326796	0.0107487785	0.0116905505	0.0104717845	0.01053194	0.010491046	0.010987993	0.010431955	0.010672654	0.01009825	0.010523888	0.010324571	0.010829703	0.81997895
0.026689062	0.026879279	0.026459483	0.026560405	0.54107976	0.0273493	0.02974556	0.026644519	0.026797578	0.026693527	0.027957965	0.026543176	0.027155608	0.02569409	0.02677709	0.026269946	0.027555207	0.027148463
0.017618835	0.017744405	0.017467279	0.0175339	0.01734589	0.018054694	0.019636586	0.01758943	0.01769047	0.017621782	0.018456502	0.017522527	0.69762385	0.016962003	0.017676946	0.017342154	0.018190622	0.017922109
0.017618839	0.017744409	0.017467283	0.017533904	0.017345896	0.018054698	0.01963659	0.017589433	0.017690476	0.017621785	0.018456506	0.01752253	0.017926844	0.016962007	0.01767695	0.017342158	0.018190628	0.6976191
0.026689067	0.026879283	0.026459489	0.54136443	0.026275612	0.027349306	0.029745568	0.026644524	0.026797583	0.02669353	0.02795797	0.02654318	0.027155614	0.025694096	0.026777096	0.026269952	0.027555214	0.027148467
0.026689062	0.026879279	0.026459483	0.026560405	0.54107976	0.0273493	0.02974556	0.026644519	0.026797578	0.026693527	0.027957965	0.026543176	0.027155608	0.02569409	0.02677709	0.026269946	0.027555207	0.027148463
0.01761883	0.017744401	0.017467275	0.017533896	0.017345887	0.018054688	0.01963658	0.017589424	0.017690467	0.017621776	0.0184565	0.017522521	0.01792682	0.016961997	0.69737405	0.01734215	0.018190617	0.017922103
0.00872416	0.008786337	0.0086491145	0.008682104	0.008589009	0.00893998	0.009723276	0.008709599	0.008759632	0.008725619	0.00913894	0.008676471	0.4976965	0.008398922	0.008752934	0.008587158	0.009007287	0.36145294
0.0065273223	0.006573844	0.006471175	0.006495857	0.0064262045	0.006688797	0.0072748484	0.0065164287	0.0065538622	0.0065284143	0.0068376577	0.006491643	0.0066414257	0.0062839836	0.0065488517	0.8877608	0.006739155	0.0066396785
0.0074675255	0.0075207483	0.0074032904	0.0074315285	0.0073518427	0.0076522594	0.008322728	0.0074550626	0.35698307	0.007468775	0.007822562	0.007426707	0.007598065	0.007189136	0.007492156	0.0073502585	0.5224682	0.0075960653
0.013149916	0.013243637	0.013036801	0.013086526	0.390615	0.013475221	0.014655881	0.013127969	0.013203383	0.013152116	0.39704642	0.013078038	0.013379786	0.012659687	0.013193289	0.012943414	0.013576672	0.013376266
0.0074675316	0.72159976	0.0074032964	0.0074315327	0.15751624	0.007652265	0.008322732	0.0074550686	0.0074978936	0.00746878	0.007822567	0.007426712	0.0075980704	0.0071891407	0.007492161	0.0073502637	0.0077098766	0.0075960704
0.010489292	0.8198731	0.010399065	0.010438727	0.010326797	0.010748779	0.011690552	0.010471785	0.010531941	0.010491047	0.010987994	0.010431956	0.010672654	0.010098251	0.010523889	0.010324572	0.010829704	0.010669845
0.05500678	0.055398818	0.054533616	0.054741614	0.054154642	0.05636755	0.06130629	0.054914974	0.055230435	0.05501598	0.057622015	0.054706104	0.05596834	0.052956123	0.05518821	0.05414297	0.056791924	0.055953614
0.008724158	0.008786336	0.008649113	0.008682103	0.008589007	0.008939979	0.009723275	0.8501081	0.00875963	0.008725617	0.009138939	0.00867647	0.008876663	0.00839892	0.008752933	0.008587156	0.009007285	0.008874328
0.008724162	0.008786341	0.008649118	0.5498374	0.008589013	0.008939983	0.00972328	0.008709602	0.008759635	0.008725622	0.0091389455	0.008676475	0.008876668	0.008398925	0.008752937	0.30883032	0.00900729	0.0088743325
0.010489296	0.010564055	0.010399069	0.010438731	0.010326801	0.010748783	0.8209996	0.010471791	0.010531946	0.010491051	0.010987998	0.01043196	0.010672658	0.010098254	0.010523893	0.010324577	0.010829709	0.010669849
0.017618831	0.017744403	0.017467275	0.017533896	0.017345889	0.01805469	0.019636584	0.017589426	0.017690469	0.017621778	0.018456498	0.017522523	0.6976239	0.016962	0.017676942	0.017342152	0.01819062	0.017922105
0.017618863	0.36683032	0.017467305	0.01753393	0.017345918	0.018054724	0.019636625	0.017589457	0.3483011	0.01762181	0.018456534	0.017522555	0.017926855	0.016962029	0.017676974	0.017342184	0.01819065	0.017922137
0.017618824	0.017744396	0.017467268	0.01753389	0.017345883	0.01805468	0.6993338	0.017589418	0.017690461	0.01762177	0.01845649	0.017522516	0.017926814	0.016961992	0.017676936	0.017342145	0.018190613	0.017922098
0.0037183643	0.0037448658	0.0036863794	0.0037004398	0.003660761	0.0038103503	0.59060436	0.0037121584	0.003733483	0.0037189862	0.0038951503	0.0036980393	0.0037833643	0.0035797437	0.0037306289	0.0036599725	0.3497806	0.0037823687
0.0040056617	0.0040342105	0.0039712046	0.0039863517	0.0039436077	0.004104754	0.0044644005	0.003998976	0.004021948	0.004006332	0.004196106	0.9311626	0.0040756837	0.00385633	0.004018873	0.003942758	0.004135658	0.004074611
0.0057974057	0.005838725	0.005747537	0.005769459	0.005707595	0.005940824	0.7032107	0.0057877307	0.20367716	0.005798376	0.0060730376	0.0057657165	0.005898749	0.005581278	0.0058165276	0.0057063657	0.00598555	0.0058971974
0.77409077	0.013243592	0.013036757	0.013086481	0.0129461605	0.013475176	0.014655827	0.013127926	0.013203338	0.01315207	0.013775067	0.013077992	0.013379742	0.012659643	0.013193243	0.01294337	0.013576628	0.013376221
0.005797396	0.0058387145	0.005747527	0.005769449	0.0057075853	0.005940813	0.006461328	0.0057877204	0.0058209677	0.005798366	0.9006788	0.0057657063	0.005898739	0.0055812686	0.0058165174	0.005706356	0.00598554	0.0058971867
0.013149872	0.013243593	0.013036759	0.013086483	0.012946161	0.013475178	0.014655832	0.013127926	0.013203341	0.013152072	0.77471596	0.013077993	0.013379743	0.012659645	0.013193245	0.012943372	0.013576629	0.013376223
0.010489302	0.010564061	0.010399073	0.27838987	0.0103268055	0.010748789	0.011690565	0.55182964	0.010531951	0.010491055	0.0109880045	0.010431965	0.010672663	0.010098259	0.0105238985	0.010324581	0.010829714	0.0106698545
0.004737787	0.91864055	0.004697033	0.004714948	0.0046643917	0.004854992	0.005280371	0.00472988	0.004757051	0.0047385795	0.00496304	0.0047118897	0.0048206076	0.004561162	0.0047534136	0.004663387	0.004891544	0.004819339
0.017618828	0.0177444	0.017467272	0.017533895	0.017345885	0.018054686	0.019636586	0.017589422	0.017690465	0.017621774	0.018456496	0.01752252	0.01792682	0.016961997	0.01767694	0.017342148	0.6978878	0.017922102
0.0052143056	0.005251468	0.005169452	0.005189169	0.005133528	0.005343298	0.0058114603	0.005205603	0.005235506	0.005215178	0.005462214	0.910392	0.0053054555	0.0050199158	0.005231504	0.005132422	0.0053835264	0.0053040595
