topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.010773718	0.010739071	0.010774297	0.010884185	0.011099592	0.010810023	0.6861195	0.010589304	0.010853264	0.010512451	0.011368711	0.010850639	0.010919229	0.010550565	0.010734807	0.010697695	0.010961266	0.010807931	0.010658734	0.010958375	0.0106655825	0.010476256	0.010775261	0.010917186	0.010887228	0.0113290595	0.010729218	0.010889936	0.010779891	0.010887004
0.0035636646	0.0035522045	0.0035638558	0.073381156	0.0036714552	0.0035756733	0.0038746262	0.0035026656	0.003589976	0.0034772442	0.0037604726	0.0035891081	0.0036117958	0.0034898515	0.0035507937	0.0035385184	0.0036257007	0.0035749816	0.0035256308	0.0036247445	0.3745929	0.003465272	0.003564175	0.00361112	0.45505714	0.003747357	0.0035489453	0.0036021066	0.0035657065	0.0036011369
0.0032060635	0.0031957533	0.0032062354	0.0032389364	0.0033030375	0.003216867	0.0034858212	0.0031511853	0.0032297347	0.0031283149	0.0033831224	0.0032289538	0.003249365	0.0031396572	0.0031944842	0.0031834405	0.0032618742	0.0032162447	0.0031718463	0.0032610141	0.0031738842	0.003117544	0.0032065224	0.0032487568	0.9063489	0.003371323	0.003192821	0.003240648	0.0032079003	0.0032397753
0.0024642409	0.0024563163	0.0024643731	0.002489508	0.002538777	0.0024725448	0.002679268	0.0024220606	0.0024824352	0.0024044819	0.0026003318	0.002481835	0.2639213	0.0024132	0.002455341	0.0024468526	0.47474158	0.0024720666	0.002437941	0.002506477	0.0024395075	0.0023962033	0.0024645939	0.0024970558	0.0024902038	0.0025912626	0.0024540627	0.19436038	0.002465653	0.0024901526
0.0053557735	0.00533855	0.6642691	0.0054106885	0.18474708	0.005373821	0.0058231126	0.0052640988	0.0053953165	0.005225893	0.005651553	0.005394012	0.005428109	0.005244841	0.00533643	0.0053179814	0.0054490063	0.0053727813	0.005298613	0.0054475693	0.0053020176	0.0052079004	0.0053565404	0.0054270932	0.005412201	0.0056318417	0.005333652	0.005413547	0.005358842	0.0054120896
0.0035636625	0.0035522021	0.0035638537	0.003600202	0.0036714529	0.0035756712	0.0038746237	0.0035026632	0.0035899738	0.0034772418	0.8960624	0.0035891058	0.0036117937	0.0034898494	0.0035507916	0.0035385161	0.0036256984	0.0035749793	0.0035256287	0.0036247422	0.003527894	0.0034652697	0.0035641727	0.0036111176	0.0036012086	0.0037473547	0.003548943	0.0036021043	0.0035657042	0.0036011345
0.010773713	0.010739066	0.01077429	0.01088418	0.011099585	0.010810018	0.011713815	0.010589299	0.010853257	0.68491834	0.011368704	0.0108506335	0.010919224	0.0105505595	0.010734801	0.01069769	0.01096126	0.010807926	0.010658728	0.01095837	0.010665577	0.01047625	0.010775255	0.010917179	0.010887222	0.011329053	0.010729212	0.010889931	0.010779886	0.010886999
0.010773716	0.010739069	0.010774294	0.68529	0.011099589	0.01081002	0.011713819	0.0105893025	0.010853261	0.010512448	0.011368708	0.010850637	0.010919226	0.010550563	0.010734804	0.010697693	0.010961263	0.01080793	0.010658732	0.010958373	0.01066558	0.010476254	0.010775259	0.010917183	0.010887225	0.011329057	0.010729216	0.010889933	0.010779888	0.010887002
0.0064343596	0.006413668	0.006434705	0.006500334	0.0066289804	0.006456042	0.81254196	0.006324223	0.0064818664	0.0062783235	0.0067897057	0.006480299	0.0065212627	0.006301087	0.0064111208	0.0063889567	0.0065463684	0.006454793	0.006365688	0.006544642	0.006369778	0.006256707	0.006435281	0.006520042	0.006502151	0.0067660245	0.006407783	0.0065037683	0.006438046	0.0065020174
0.033089396	0.032982986	0.03309117	0.033428673	0.03409025	0.033200897	0.03597674	0.032523006	0.033333704	0.03228696	0.0349168	0.033325642	0.033536304	0.032404024	0.03296989	0.032855906	0.03366541	0.033194475	0.03273624	0.033656534	0.03275728	0.032175798	0.033094134	0.033530027	0.03343802	0.03479502	0.032952722	0.033446338	0.033108354	0.03343733
