topic_0	topic_1	topic_2	topic_3
0.08477059	0.06802128	0.07330691	0.7739013
0.64052117	0.022300985	0.023894338	0.31328353
0.54917586	0.020086149	0.021257535	0.40948048
0.95089364	0.015448844	0.01665644	0.017001104
0.8935481	0.03348057	0.03673653	0.03623481
0.026911851	0.021921854	0.9258163	0.025350051
0.09084207	0.7620313	0.07314114	0.07398547
0.08296095	0.06784963	0.07312613	0.77606326
0.87239784	0.039998442	0.042910066	0.044693656
0.2786152	0.22849527	0.24460843	0.24828108
0.063193604	0.05038287	0.055858772	0.83056474
0.3572365	0.04043825	0.5587194	0.04360585
0.040873706	0.03316531	0.44226933	0.48369166
0.9609908	0.012439798	0.013217565	0.01335188
0.89325863	0.034223296	0.035899904	0.03661814
0.2786152	0.22849527	0.24460843	0.24828108
0.66926944	0.10488098	0.112007946	0.11384163
0.87232804	0.040164158	0.043924857	0.043582994
0.6692698	0.10488067	0.11200794	0.1138416
0.08930667	0.45462668	0.38134593	0.074720725
0.78229177	0.06845286	0.07498422	0.07427114
0.12843816	0.104634814	0.11338338	0.65354365
0.66926944	0.104880996	0.112007946	0.11384162
0.08332427	0.06849161	0.7743056	0.07387852
0.89440167	0.033726815	0.035495754	0.036375776
0.9200327	0.024763947	0.027623149	0.027580224
0.03709341	0.028727755	0.03130302	0.90287584
0.33708775	0.051402	0.053898085	0.5576122
0.50214344	0.028610745	0.43838426	0.03086155
0.0497709	0.04024008	0.86642265	0.043566346
0.2786152	0.22849527	0.24460843	0.24828108
0.041181706	0.03320539	0.035682693	0.8899302
0.04206153	0.033314485	0.035721015	0.88890296
0.87068623	0.040576953	0.044272486	0.04446429
0.7807131	0.07147357	0.07309501	0.07471835
0.08415384	0.06840545	0.76760477	0.079835944
0.08752799	0.06818611	0.07377423	0.7705116
0.017422628	0.014310976	0.56126815	0.40699825
0.01880666	0.9486246	0.016158378	0.01641034
0.0283627	0.11862691	0.02364068	0.8293698
0.83987284	0.050509207	0.054801997	0.054815907
0.0268641	0.021835025	0.9272246	0.024076335
0.061850816	0.050247066	0.83095783	0.05694423
0.58878183	0.040774304	0.043853737	0.32659015
0.022389898	0.018048892	0.9400982	0.01946303
0.08730516	0.068130955	0.07376038	0.7708035
0.024277182	0.93323106	0.021055207	0.021436539
0.016701687	0.013123345	0.50272036	0.46745464
0.9605188	0.012485147	0.0136348	0.013361269
0.035145126	0.028450964	0.030904982	0.9054989
0.051375832	0.040093504	0.043077473	0.8654532
0.48225802	0.04020277	0.43353733	0.044001862
0.032679394	0.49453425	0.026810272	0.44597608
0.08762234	0.7624757	0.07538397	0.074517936
0.13533592	0.6371556	0.112441674	0.11506678
0.718579	0.020191787	0.23962326	0.021605961
0.2786152	0.22849527	0.24460843	0.24828108
0.041423805	0.033611726	0.035511144	0.8894533
0.051440816	0.040557776	0.86435324	0.043648202
0.2786152	0.22849527	0.24460843	0.24828108
0.54672414	0.033561323	0.38305715	0.036657367
0.019192731	0.94790196	0.016307058	0.016598279
0.84139144	0.050289296	0.053725265	0.054594018
0.39129132	0.040257346	0.52459985	0.04385153
0.01937771	0.9473649	0.016359573	0.016897764
0.027267247	0.022556696	0.36804378	0.5821323
