topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49
0.0064778673	0.0065002525	0.0064995894	0.0065671206	0.006630733	0.0066299364	0.006982029	0.0065432237	0.0065000546	0.0065228115	0.4161279	0.0065429835	0.006564516	0.0064778673	0.0066080615	0.006543867	0.006586169	0.00650032	0.0065217083	0.0066340114	0.0065880725	0.26845837	0.0066298433	0.006521812	0.00667432	0.0066749486	0.006521491	0.006544729	0.006566023	0.006478709	0.006565084	0.0066757496	0.006500865	0.006478075	0.0065899044	0.006543876	0.006543146	0.0066531813	0.0064996937	0.006521674	0.0066319956	0.00658716	0.0066083064	0.006542867	0.006500669	0.006653504	0.006521757	0.0066083684	0.0066320775	0.0065227156
0.0021492757	0.002156703	0.0021564828	0.002178889	0.0021999949	0.0021997304	0.37229073	0.0021709602	0.0021566371	0.0021641876	0.0022358927	0.0021708806	0.0021780247	0.0021492757	0.0021924726	0.0021711737	0.002185209	0.0021567254	0.0021638216	0.0022010824	0.0021858404	0.0021637066	0.0021996994	0.002163856	0.0022144564	0.0022146648	0.0021637494	0.0021714596	0.0021785246	0.0021495551	0.0021782133	0.0022149305	0.002156906	0.0021493447	0.0021864483	0.0021711767	0.0021709343	0.002207443	0.0021565175	0.0021638102	0.0022004137	0.0021855377	0.0021925538	0.002170842	0.5231327	0.0022075498	0.002163838	0.0021925746	0.0022004407	0.002164156
0.0019339006	0.0019405836	0.0019403856	0.0019605462	0.0019795373	0.0019792994	0.0020844128	0.001953412	0.0019405244	0.0019473182	0.002011838	0.0019533404	0.0019597688	0.0019339006	0.0019727687	0.0019536042	0.001966233	0.0019406037	0.001946989	0.001980516	0.0019668012	0.0019468854	0.0019792714	0.00194702	0.6584469	0.0019927372	0.001946924	0.0019538614	0.0019602187	0.001934152	0.0019599383	0.0019929763	0.2473641	0.0019339626	0.0019673482	0.001953607	0.001953389	0.0019862389	0.0019404166	0.0019469787	0.001979914	0.0019665288	0.001972842	0.0019533057	0.0019407079	0.0019863353	0.0019470035	0.0019728604	0.0019799385	0.0019472897
0.0014869006	0.0014920388	0.0014918866	0.0015073875	0.0015219888	0.0015218059	0.0016026236	0.0015019022	0.0014919933	0.0014972169	0.0015468234	0.0015018471	0.0015067896	0.0014869006	0.0015167848	0.0015020499	0.0015117597	0.0014920543	0.0014969637	0.0015227413	0.0015121966	0.001496884	0.0015217845	0.0014969875	0.0015319935	0.81917447	0.0014969137	0.0015022478	0.0015071355	0.0014870939	0.0015069201	0.0015323216	0.0014921793	0.1084023	0.0015126171	0.0015020521	0.0015018844	0.0015271414	0.0014919105	0.0014969558	0.0015222785	0.0015119871	0.0015168411	0.0015018204	0.0014921344	0.0015272155	0.0014969748	0.0015168553	0.0015222974	0.0014971949
0.0032276553	0.003238809	0.35478112	0.0032721267	0.0033038221	0.003303425	0.0034788584	0.0032602197	0.0032387103	0.003250049	0.0033577315	0.0032601	0.4879634	0.0032276553	0.0032925257	0.0032605403	0.0032816175	0.0032388426	0.0032494995	0.0033054554	0.003282566	0.0032493267	0.0033033786	0.0032495512	0.0033255396	0.0033258528	0.0032493912	0.0032609699	0.0032715795	0.0032280749	0.003271112	0.0033262519	0.003239114	0.0032277587	0.0032834788	0.003260545	0.003260181	0.003315007	0.0032385306	0.0032494825	0.0033044512	0.0032821114	0.003292648	0.003260042	0.0032390165	0.0033151677	0.003249524	0.0032926786	0.003304492	0.0032500015
0.0021492743	0.0021567016	0.0021564814	0.0021788876	0.0021999935	0.002199729	0.0023165487	0.0021709588	0.0021566357	0.0021641862	0.0022358913	0.0021708792	0.0021780233	0.0021492743	0.0021924712	0.0021711723	0.0021852076	0.002156724	0.0021638202	0.002201081	0.0021858392	0.0021637052	0.002199698	0.0021638547	0.002214455	0.0022146634	0.89311385	0.0021714582	0.0021785232	0.0021495537	0.002178212	0.002214929	0.0021569047	0.0021493433	0.002186447	0.0021711753	0.002170933	0.0022074415	0.002156516	0.0021638088	0.0022004123	0.0021855363	0.0021925524	0.0021708405	0.0021568397	0.0022075484	0.0021638365	0.0021925732	0.0022004393	0.0021641545
0.006477871	0.0065002562	0.006499593	0.0065671243	0.006630737	0.00662994	0.0069820327	0.006543227	0.006500058	0.0065228147	0.0067389323	0.006542987	0.00656452	0.006477871	0.006608065	0.0065438705	0.0065861726	0.006500324	0.006521712	0.006634015	0.0065880762	0.006521365	0.006629847	0.006521816	0.0066743237	0.0066749523	0.0065214946	0.006544733	0.0065660267	0.006478713	0.006565088	0.0066757533	0.0065008686	0.006478078	0.006589908	0.00654388	0.0065431497	0.006653185	0.0064996975	0.0065216776	0.0066319993	0.0065871635	0.67793405	0.006542871	0.0065006725	0.0066535077	0.006521761	0.006608372	0.0066320812	0.0065227193
0.006477872	0.006500257	0.006499594	0.0065671257	0.0066307383	0.006629941	0.0069820336	0.0065432284	0.0065000593	0.006522816	0.6780647	0.006542988	0.0065645208	0.006477872	0.006608066	0.0065438715	0.0065861735	0.0065003247	0.006521713	0.006634016	0.006588077	0.006521366	0.006629848	0.006521817	0.006674325	0.0066749533	0.0065214955	0.006544734	0.0065660276	0.006478714	0.0065650893	0.006675754	0.0065008695	0.0064780796	0.006589909	0.006543881	0.0065431506	0.006653186	0.0064996984	0.0065216785	0.0066320007	0.0065871645	0.0066083116	0.0065428717	0.006500674	0.0066535086	0.006521762	0.0066083735	0.006632082	0.00652272
0.0038758854	0.0038892792	0.0038888822	0.003929288	0.0039673494	0.0039668726	0.004177539	0.00391499	0.0038891605	0.0039027766	0.0040320856	0.003914846	0.0039277296	0.0038758854	0.0039537842	0.0039153746	0.003940685	0.0038893195	0.0039021168	0.003969311	0.003941824	0.003901909	0.0039668167	0.0039021787	0.0039934283	0.0039938046	0.0039019866	0.0039158906	0.003928631	0.0038763892	0.00392807	0.0039942837	0.0038896454	0.0038760095	0.0039429204	0.00391538	0.0039149434	0.6064905	0.0038889446	0.003902096	0.0039681047	0.003941278	0.003953931	0.20475036	0.0038895283	0.0039809737	0.003902146	0.0039539677	0.0039681536	0.0039027194
0.019709093	0.019777203	0.019775184	0.01998065	0.020174194	0.020171769	0.021243019	0.019907942	0.0197766	0.019845838	0.020503381	0.019907212	0.019972725	0.019709093	0.020105213	0.0199099	0.020038605	0.019777408	0.019842481	0.020184167	0.020044398	0.019841427	0.020171484	0.019842798	0.020306807	0.02030872	0.01984182	0.019912522	0.01997731	0.019711656	0.019974455	0.020311156	0.019779064	0.019709725	0.02004997	0.019909928	0.019907707	0.020242492	0.019775502	0.019842377	0.020178035	0.02004162	0.02010596	0.019906858	0.01977847	0.020243473	0.01984263	0.020106148	0.020178283	0.019845547
