topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59
0.0054921103	0.005455849	0.0054195067	0.0054739118	0.0055096895	0.0055633006	0.005708983	0.005455367	0.005528679	0.0054374854	0.6759625	0.0054742014	0.005545917	0.0054373886	0.005455545	0.005473692	0.005437557	0.005455536	0.0054552713	0.005510312	0.0055107274	0.0054373886	0.0055110883	0.0054915217	0.0055098515	0.0055277995	0.005491633	0.0055285096	0.005455497	0.005509858	0.0054374854	0.005600504	0.005473177	0.0054911203	0.005528224	0.005527426	0.0054733367	0.005528483	0.0054741455	0.005473514	0.005491859	0.005455875	0.0054732487	0.0055098915	0.0054195067	0.0055277245	0.005455642	0.005545921	0.0054373886	0.005474201	0.005456297	0.0056931283	0.005473638	0.0054373886	0.0054733455	0.005473866	0.005473514	0.0055098506	0.005509416	0.005474176
0.0018238265	0.0018117848	0.001799716	0.001817783	0.0018296641	0.0018474674	0.0018958458	0.0018116245	0.0018359702	0.0018056864	0.0018353633	0.0018178792	0.0018416946	0.0018056543	0.0018116838	0.00181771	0.0018057103	0.0018116807	0.0018115928	0.0018298709	0.0018300087	0.0018056543	0.0018301286	0.0018236309	0.24301127	0.0018356781	0.0018236678	0.0018359139	0.0018116678	0.0018297201	0.0018056864	0.0018598218	0.001817539	0.0018234976	0.0018358191	0.0018355541	0.0018175921	0.0018359051	0.0018178605	0.0018176509	0.0018237429	0.0018117933	0.0018175627	0.001829731	0.001799716	0.0018356532	0.001811716	0.001841696	0.0018056543	0.001817879	0.0018119335	0.0018905808	0.001817692	0.20590273	0.001817595	0.4470971	0.0018176509	0.0018297177	0.0018295733	0.0018178707
0.0016411351	0.0016302996	0.0016194398	0.001635697	0.001646388	0.0016624079	0.0017059402	0.0016301554	0.0016520624	0.0016248121	0.0016515163	0.0016357836	0.0016572133	0.0016247832	0.0016302088	0.0016356313	0.0016248336	0.001630206	0.0016301268	0.001646574	0.0016466981	0.0016247832	0.0016468059	0.0016409591	0.90316707	0.0016517995	0.0016409924	0.0016520116	0.0016301944	0.0016464384	0.0016248121	0.0016735249	0.0016354774	0.0016408392	0.0016519264	0.001651688	0.0016355251	0.0016520038	0.0016357668	0.0016355781	0.0016410599	0.0016303073	0.0016354988	0.0016464483	0.0016194398	0.0016517772	0.0016302377	0.0016572146	0.0016247832	0.0016357834	0.0016304334	0.0017012026	0.0016356151	0.0016247832	0.0016355277	0.0016356834	0.0016355781	0.0016464362	0.0016463062	0.0016357759
0.0012619203	0.0012535887	0.0012452382	0.0012577389	0.0012659596	0.0012782777	0.0013117511	0.0012534778	0.0012703228	0.0012493692	0.0012699029	0.0012578055	0.0012742835	0.0012493469	0.36144677	0.0012576884	0.0012493856	0.0012535166	0.0012534559	0.0012661025	0.001266198	0.0012493469	0.0012662809	0.001261785	0.0012659967	0.0012701206	0.0012618107	0.0012702837	0.0012535078	0.0012659982	0.0012493692	0.001286826	0.00125757	0.3657522	0.0012702182	0.0012700348	0.0012576068	0.0012702778	0.0012577926	0.0012576475	0.0012618626	0.0012535945	0.0012575865	0.0012660059	0.0012452382	0.0012701034	0.0012535411	0.0012742844	0.0012493469	0.0012578053	0.20084609	0.0013081082	0.0012576759	0.0012493469	0.0012576088	0.0012577284	0.0012576475	0.0012659966	0.0012658967	0.0012577996
0.0027383096	0.0027202303	0.00270211	0.002729236	0.0027470745	0.0027738044	0.00284644	0.0027199895	0.0027565425	0.0027110742	0.0027556312	0.0027293805	0.002765137	0.0027110258	0.0027200787	0.0027291265	0.0027111098	0.002720074	0.002719942	0.0027473848	0.0027475918	0.0027110258	0.0027477718	0.002738016	0.002747155	0.0027561039	0.0027380714	0.0027564578	0.0027200547	0.0027471585	0.0027110742	0.0027923535	0.0027288694	0.002737816	0.0027563155	0.0027559176	0.0027289493	0.0027564447	0.0027293523	0.0027290378	0.002738184	0.002720243	0.0027289053	0.002747175	0.00270211	0.0027560664	0.0027201269	0.002765139	0.0027110258	0.00272938	0.0027204533	0.0028385352	0.0027290992	0.0027110258	0.0027289537	0.0027292133	0.8384117	0.0027471548	0.002746938	0.0027293677
0.0018238274	0.0018117857	0.001799717	0.0018177839	0.001829665	0.0018474683	0.0018958467	0.0018116254	0.0018359713	0.0018056874	0.12670872	0.0018178802	0.0018416955	0.0018056553	0.0018116848	0.0018177109	0.0018057112	0.0018116817	0.0018115938	0.0018298718	0.0018300097	0.0018056553	0.0018301295	0.0018236318	0.0018297188	0.001835679	0.0018236687	0.0018359148	0.0018116689	0.001829721	0.0018056874	0.7675443	0.0018175399	0.0018234985	0.00183582	0.0018355551	0.001817593	0.0018359061	0.0018178615	0.0018176519	0.0018237438	0.0018117942	0.0018175638	0.0018297321	0.001799717	0.0018356541	0.0018117169	0.001841697	0.0018056553	0.00181788	0.0018119344	0.0018905817	0.0018176929	0.0018056553	0.0018175959	0.0018177688	0.0018176519	0.0018297186	0.0018295742	0.0018178717
0.005492106	0.005455845	0.005419502	0.0054739076	0.0055096853	0.0055632964	0.0057089785	0.005455362	0.005528675	0.005437481	0.005526847	0.005474197	0.005545913	0.0054373844	0.005455541	0.005473688	0.005437553	0.0054555316	0.0054552667	0.005510308	0.005510723	0.0054373844	0.005511084	0.0054915175	0.005509847	0.0055277953	0.0054916283	0.005528505	0.005455493	0.67594576	0.005437481	0.0056004995	0.0054731728	0.0054911156	0.00552822	0.005527422	0.0054733325	0.005528479	0.005474141	0.00547351	0.0054918546	0.0054558706	0.0054732445	0.005509887	0.005419502	0.0055277203	0.005455638	0.005545917	0.0054373844	0.0054741967	0.0054562925	0.005693124	0.0054736333	0.0054373844	0.0054733413	0.005473862	0.00547351	0.0055098464	0.005509412	0.0054741716
0.005492101	0.00545584	0.005419497	0.0054739024	0.00550968	0.005563291	0.005708973	0.005455357	0.00552867	0.0054374756	0.3671338	0.005474192	0.005545907	0.005437379	0.005455536	0.0054736827	0.005437548	0.0054555265	0.0054552616	0.0055103023	0.0055107176	0.005437379	0.0055110785	0.005491512	0.0055098417	0.0055277897	0.005491623	0.0055285	0.005455488	0.0055098487	0.0054374756	0.0056004943	0.3143024	0.0054911105	0.0055282144	0.0055274162	0.0054733274	0.0055284738	0.0054741357	0.0054735043	0.005491849	0.0054558655	0.0054732393	0.005509882	0.005419497	0.0055277147	0.0054556327	0.0055459114	0.005437379	0.005474191	0.0054562874	0.0056931186	0.005473628	0.005437379	0.0054733357	0.005473857	0.0054735043	0.0055098413	0.0055094063	0.0054741665
0.003287826	0.0032661182	0.0032443618	0.0032769314	0.0032983494	0.0033304435	0.0034176556	0.0032658293	0.0033097176	0.003255125	0.0033086236	0.0032771048	0.003320037	0.003255067	0.0032659364	0.0032767998	0.5686894	0.24053964	0.0032657722	0.0032987222	0.0032989709	0.003255067	0.003299187	0.0032874735	0.0032984463	0.003309191	0.0032875398	0.003309616	0.0032659075	0.0032984505	0.003255125	0.0033527152	0.0032764913	0.003287233	0.0033094452	0.0033089675	0.003276587	0.0033096003	0.003277071	0.0032766932	0.0032876753	0.0032661336	0.0032765344	0.0032984703	0.0032443618	0.003309146	0.0032659941	0.0033200395	0.003255067	0.0032771043	0.0032663865	0.0034081643	0.0032767672	0.003255067	0.0032765924	0.003276904	0.0032766932	0.003298446	0.0032981858	0.0032770894
0.01666476	0.016554732	0.016444458	0.01660954	0.0167181	0.016880773	0.017322818	0.016553268	0.016775722	0.01649901	0.016770177	0.01661042	0.016828025	0.016498717	0.01655381	0.016608873	0.016499229	0.016553782	0.01655298	0.01671999	0.016721249	0.016498717	0.016722344	0.016662974	0.01671859	0.016773053	0.016663311	0.016775206	0.016553665	0.016718613	0.01649901	0.016993659	0.01660731	0.016661756	0.01677434	0.016771918	0.016607795	0.016775126	0.016610248	0.016608333	0.016663997	0.01655481	0.016607529	0.016718712	0.016444458	0.016772825	0.016554104	0.01682804	0.016498717	0.016610418	0.016556092	0.017274711	0.016608708	0.016498717	0.016607821	0.016609402	0.016608333	0.016718589	0.01671727	0.016610341
0.0041132625	0.004086105	0.004058887	0.004099633	0.004126428	0.00416658	0.0042756875	0.004085744	0.0041406504	0.004072352	0.004139282	0.00409985	0.0041535604	0.004072279	0.0040858774	0.0040994682	0.0040724054	0.0040858705	0.004085672	0.0041268948	0.004127206	0.004072279	0.004127476	0.0041128215	0.0041265497	0.0041399915	0.004112905	0.0041405233	0.0040858416	0.004126555	0.004072352	0.004194443	0.75727504	0.004112521	0.0041403095	0.004139712	0.0040992023	0.0041405037	0.0040998077	0.004099335	0.0041130744	0.0040861242	0.004099136	0.0041265795	0.004058887	0.0041399356	0.00408595	0.0041535636	0.004072279	0.0040998496	0.0040864404	0.004263813	0.0040994277	0.004072279	0.004099209	0.0040995986	0.004099335	0.004126549	0.0041262237	0.004099831
0.0032878255	0.003266118	0.0032443616	0.0032769311	0.2082711	0.0033304433	0.0034176554	0.003265829	0.0033097174	0.0032551244	0.0033086233	0.0032771046	0.0033200365	0.0032550665	0.003265936	0.0032767996	0.0032551675	0.0032659303	0.003265772	0.003298722	0.0032989704	0.0032550665	0.0032991865	0.003287473	0.003298446	0.0033091907	0.0032875396	0.0033096157	0.0032659073	0.0032984503	0.0032551244	0.003352715	0.003276491	0.0032872327	0.0033094448	0.0033089672	0.0032765868	0.0033096	0.0032770708	0.003276693	0.0032876749	0.0032661334	0.0032765341	0.00329847	0.0032443616	0.0033091458	0.003265994	0.0033200392	0.0032550665	0.003277104	0.003266386	0.003408164	0.003276767	0.0032550665	0.0032765921	0.0032769036	0.003276693	0.6010336	0.0032981855	0.0032770892
0.002738309	0.0027202298	0.0027021095	0.0027292354	0.002747074	0.002773804	0.0028464396	0.002719989	0.002756542	0.0027110737	0.0027556308	0.00272938	0.0027651365	0.0027110253	0.0027200782	0.002729126	0.0027111094	0.0027200736	0.0027199415	0.0027473844	0.0027475914	0.27239025	0.0027477713	0.0027380155	0.0027471546	0.0027561034	0.002738071	0.0027564573	0.0027200542	0.002747158	0.0027110737	0.002792353	0.0027288692	0.0027378155	0.002756315	0.5687593	0.0027289488	0.0027564443	0.0027293519	0.0027290373	0.0027381836	0.0027202426	0.0027289048	0.0027471746	0.0027021095	0.002756066	0.0027201264	0.0027651386	0.0027110253	0.0027293796	0.002720453	0.0028385348	0.0027290988	0.0027110253	0.0027289533	0.0027292129	0.0027290373	0.0027471543	0.0027469376	0.0027293672
0.0010250594	0.0010182916	0.0010115084	0.0010216627	0.0010283404	0.0010383464	0.001065537	0.0010182015	0.0010318847	0.0010148641	0.0010315436	0.0010217169	0.001035102	0.0010148459	0.0010182348	0.0010216217	0.0010148775	0.001018233	0.0010181837	0.0010284566	0.001028534	0.0010148459	0.27800128	0.0010249495	0.0010283706	0.0010317204	0.0010249702	0.001031853	0.0010182258	0.0010283719	0.0010148641	0.0010452901	0.0010215256	0.0010248745	0.0010317997	0.0010316508	0.0010215554	0.001031848	0.0010217064	0.0010215886	0.0010250125	0.0010182963	0.001021539	0.001028378	0.0010115084	0.0010317065	0.0010182528	0.0010351028	0.0010148459	0.0010217167	0.001018375	0.0010625778	0.0010216116	0.0010148459	0.001021557	0.66253835	0.0010215886	0.0010283705	0.0010282893	0.0010217121
0.0027383093	0.00272023	0.0027021097	0.0027292357	0.0027470742	0.0027738041	0.0028464398	0.0027199893	0.0027565423	0.002711074	0.002755631	0.0027293803	0.0027651368	0.0027110255	0.0027200785	0.0027291263	0.0027111096	0.0027200738	0.0027199418	0.0027473846	0.0027475916	0.0027110255	0.0027477716	0.0027380157	0.0027471548	0.0027561036	0.0027380711	0.0027564575	0.0027200545	0.0027471583	0.002711074	0.0027923533	0.0027288694	0.0027378157	0.0027563153	0.0027559174	0.8384116	0.0027564445	0.002729352	0.0027290375	0.0027381838	0.0027202428	0.002728905	0.0027471748	0.0027021097	0.0027560662	0.0027201266	0.0027651389	0.0027110255	0.0027293798	0.0027204533	0.002838535	0.002729099	0.0027110255	0.0027289535	0.002729213	0.0027290375	0.0027471546	0.0027469378	0.0027293675
0.01666476	0.016554732	0.016444458	0.01660954	0.0167181	0.016880773	0.017322818	0.016553268	0.016775722	0.01649901	0.016770177	0.01661042	0.016828025	0.016498717	0.01655381	0.016608873	0.016499229	0.016553782	0.01655298	0.01671999	0.016721249	0.016498717	0.016722344	0.016662974	0.01671859	0.016773053	0.016663311	0.016775206	0.016553665	0.016718613	0.01649901	0.016993659	0.01660731	0.016661756	0.01677434	0.016771918	0.016607795	0.016775126	0.016610248	0.016608333	0.016663997	0.01655481	0.016607529	0.016718712	0.016444458	0.016772825	0.016554104	0.01682804	0.016498717	0.016610418	0.016556092	0.017274711	0.016608708	0.016498717	0.016607821	0.016609402	0.016608333	0.016718589	0.01671727	0.016610341
