topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69
0.0046961457	0.004696035	0.004696035	0.0047273287	0.0047731525	0.0047419346	0.67461914	0.0046804305	0.004680804	0.0047420515	0.0047571035	0.00469639	0.0047114124	0.0046651685	0.004711439	0.004726491	0.0046962113	0.004680555	0.004665318	0.004741958	0.0047270404	0.0047417623	0.0047270562	0.0047267466	0.0047576344	0.004711163	0.004680451	0.004726636	0.004680735	0.0046956935	0.0046958043	0.0048042163	0.0047119902	0.004711247	0.0047889915	0.0047416072	0.0047131106	0.004834173	0.0047422913	0.0046651685	0.0046959836	0.0046960986	0.00471124	0.004711403	0.0047115544	0.004727184	0.0046964088	0.0047265547	0.0047251196	0.0047265217	0.0047119786	0.0047741877	0.00471144	0.0047110342	0.0047111935	0.0046959314	0.004726827	0.0047268784	0.004680555	0.0047427346	0.0046807546	0.0047575636	0.004695997	0.004726739	0.004711436	0.0046651685	0.0046804305	0.0046651685	0.0046806633	0.0047266246
0.0015604983	0.0015604614	0.0015604615	0.0015708602	0.0015860872	0.0015757136	0.0016024207	0.0015552762	0.0015554003	0.0015757524	0.164878	0.0015605794	0.0015655713	0.0015502047	0.00156558	0.0015705818	0.00156052	0.0015553175	0.0015502544	0.0015757213	0.45427832	0.0015756565	0.0015707697	0.0015706668	0.0015809305	0.0015654884	0.001555283	0.0015706301	0.0015553774	0.001560348	0.0015603849	0.0015964094	0.0015657633	0.0015655163	0.0015913503	0.0015756048	0.0015661356	0.0016063638	0.0015758321	0.0015502047	0.0015604444	0.0015604827	0.001565514	0.0015655683	0.0015656184	0.001570812	0.0015605857	0.001570603	0.001570126	0.0015705919	0.0015657594	0.001586431	0.0015655804	0.0015654456	0.0015654984	0.001560427	0.0015706936	0.0015707106	0.0015553175	0.0015759795	0.0015553838	0.001580907	0.0015604488	0.0015706642	0.27583647	0.0015502047	0.0015552762	0.0015502047	0.0015553535	0.0015706263
0.0014042285	0.0014041953	0.0014041954	0.0014135528	0.0014272549	0.0014179202	0.0014419528	0.0013995295	0.0013996412	0.0014179552	0.001422456	0.0014043016	0.0014087936	0.0013949658	0.0014088014	0.0014133023	0.90266776	0.0013995667	0.0013950105	0.0014179271	0.0014134665	0.0014178688	0.0014134714	0.0014133787	0.0014226147	0.001408719	0.0013995356	0.0014133458	0.0013996206	0.0014040933	0.0014041265	0.0014365434	0.0014089663	0.001408744	0.001431991	0.0014178223	0.0014093013	0.001445501	0.0014180269	0.0013949658	0.0014041801	0.0014042144	0.001408742	0.0014087908	0.001408836	0.0014135095	0.0014043072	0.0014133215	0.0014128922	0.0014133115	0.0014089629	0.0014275644	0.0014088016	0.0014086805	0.0014087281	0.0014041645	0.0014134028	0.0014134181	0.0013995667	0.0014181595	0.0013996263	0.0014225935	0.001404184	0.0014133764	0.0014088006	0.0013949658	0.0013995295	0.0013949658	0.001399599	0.0014133423
0.0010798278	0.0010798023	0.0010798024	0.001086998	0.0010975348	0.0010903565	0.0011088372	0.0010762144	0.0010763002	0.0010903833	0.0010938444	0.001079884	0.0010833383	0.001072705	0.0010833443	0.0010868054	0.0010798429	0.0010762429	0.0010727394	0.0010903619	0.0010869317	0.0010903169	0.0010869354	0.0010868642	0.0010939665	0.0010832809	0.001076219	0.0010868388	0.0010762843	0.0010797238	0.2468874	0.0011046774	0.0010834711	0.0010833002	0.0011011767	0.0010902812	0.0010837287	0.0011115656	0.0010904385	0.001072705	0.0010797905	0.001079817	0.0010832986	0.0010833361	0.0010833709	0.67935264	0.0010798883	0.0010868201	0.00108649	0.0010868125	0.0010834684	0.0010977727	0.0010833446	0.0010832513	0.0010832879	0.0010797785	0.0010868827	0.0010868944	0.0010762429	0.0010905404	0.0010762888	0.0010939502	0.0010797937	0.0010868624	0.0010833436	0.001072705	0.0010762144	0.001072705	0.0010762678	0.0010868362
0.0023425757	0.0023425203	0.0023425203	0.0023581306	0.0023809888	0.0023654164	0.0024055084	0.0023347365	0.0023349228	0.0023654746	0.0023729831	0.0023426975	0.42554113	0.0023271232	0.0023502042	0.0023577127	0.0023426083	0.0023347985	0.0023271977	0.002365428	0.14555952	0.0023653305	0.0023579947	0.0023578403	0.0023732479	0.0023500666	0.0023347465	0.0023577851	0.0023348883	0.00234235	0.0023424053	0.0023964844	0.0023504794	0.0023501085	0.2712814	0.0023652532	0.0023510382	0.0024114277	0.0023655943	0.0023271232	0.0023424947	0.0023425522	0.0023501052	0.0023501865	0.002350262	0.0023580582	0.002342707	0.0023577446	0.0023570287	0.0023577278	0.0023504735	0.0023815052	0.0023502046	0.0023500023	0.0023500817	0.0023424686	0.0023578804	0.002357906	0.0023347985	0.0023658155	0.0023348979	0.0023732127	0.0023425014	0.0023578363	0.0023502028	0.0023271232	0.0023347365	0.0023271232	0.0023348525	0.0023577795
0.0015605014	0.0015604645	0.0015604646	0.0015708633	0.0015860903	0.0015757168	0.001602424	0.0015552794	0.0015554035	0.0015757555	0.0015807573	0.0015605825	0.0015655744	0.0015502078	0.0015655832	0.001570585	0.0015605232	0.0015553207	0.0015502576	0.0015757245	0.0015707675	0.0015756596	0.0015707728	0.0015706699	0.0015809337	0.0015654915	0.0015552861	0.0015706333	0.0015553805	0.0015603511	0.001560388	0.8918718	0.0015657664	0.0015655195	0.0015913534	0.0015756079	0.0015661387	0.001606367	0.0015758353	0.0015502078	0.0015604475	0.0015604858	0.0015655172	0.0015655714	0.0015656216	0.0015708151	0.0015605888	0.0015706063	0.0015701293	0.0015705951	0.0015657626	0.0015864342	0.0015655835	0.0015654487	0.0015655017	0.0015604302	0.0015706967	0.0015707137	0.0015553207	0.0015759827	0.0015553869	0.0015809102	0.0015604519	0.0015706674	0.0015655822	0.0015502078	0.0015552794	0.0015502078	0.0015553567	0.0015706294
0.004696148	0.004696037	0.004696037	0.004727331	0.004773155	0.004741937	0.004822309	0.004680433	0.0046808063	0.0047420533	0.004757106	0.6744931	0.0047114147	0.004665171	0.0047114408	0.0047264933	0.0046962136	0.004680557	0.0046653203	0.00474196	0.0047270423	0.0047417646	0.0047270586	0.004726749	0.0047576367	0.004711165	0.0046804533	0.0047266386	0.0046807374	0.004695696	0.0046958067	0.0048042187	0.0047119926	0.0047112494	0.004788994	0.0047416096	0.004713113	0.004834175	0.0047422936	0.004665171	0.004695986	0.004696101	0.0047112424	0.0047114054	0.0047115567	0.004727186	0.004696411	0.004726557	0.004725122	0.004726524	0.004711981	0.0047741896	0.004711442	0.0047110366	0.0047111954	0.004695934	0.0047268295	0.0047268807	0.004680557	0.004742737	0.0046807565	0.004757566	0.004695999	0.004726741	0.004711438	0.004665171	0.004680433	0.004665171	0.0046806657	0.004726627
0.004696152	0.004696041	0.0046960413	0.004727335	0.004773159	0.004741941	0.0048223133	0.004680437	0.0046808105	0.0047420575	0.6745535	0.004696396	0.004711419	0.004665175	0.004711445	0.0047264975	0.0046962174	0.0046805614	0.0046653245	0.0047419644	0.0047270465	0.004741769	0.004727063	0.004726753	0.004757641	0.0047111693	0.0046804575	0.0047266427	0.0046807416	0.0046957	0.004695811	0.004804223	0.0047119968	0.004711253	0.004788998	0.0047416138	0.0047131167	0.0048341793	0.004742298	0.004665175	0.00469599	0.004696105	0.0047112466	0.0047114096	0.004711561	0.00472719	0.0046964153	0.0047265613	0.004725126	0.0047265277	0.004711985	0.0047741937	0.004711446	0.0047110408	0.0047111996	0.004695938	0.0047268337	0.004726885	0.0046805614	0.004742741	0.0046807607	0.00475757	0.004696003	0.004726745	0.004711442	0.004665175	0.004680437	0.004665175	0.00468067	0.004726631
0.0028124065	0.00281234	0.0028123402	0.0028310812	0.002858524	0.0028398284	0.002887961	0.002802995	0.0028032186	0.0028398982	0.0028489125	0.0028125527	0.0028215493	0.002793855	0.0028215651	0.0028305794	0.0028124456	0.0028030693	0.0027939444	0.002839842	0.0028309084	0.0028397252	0.0028309182	0.0028307326	0.0028492305	0.0028213998	0.0028030071	0.0028306665	0.0028031773	0.0028121355	0.002812202	0.0028771271	0.0028218953	0.0028214501	0.0028680095	0.002839632	0.0028225663	0.0028950674	0.0028400419	0.002793855	0.0028123092	0.002812378	0.002821446	0.0028215437	0.0028216343	0.0028309943	0.0028125641	0.0028306178	0.0028297582	0.0028305978	0.0028218883	0.0028591438	0.0028215656	0.0028213228	0.002821418	0.002812278	0.0028307808	0.0028308115	0.0028030693	0.0028403073	0.002803189	0.0028491882	0.0028123173	0.002830728	0.0028215633	0.002793855	0.002802995	0.002793855	0.0028031345	0.8050801
0.014221989	0.014221652	0.014221653	0.014316425	0.014455199	0.014360658	0.01460406	0.014174397	0.014175528	0.014361011	0.014406596	0.014222729	0.014268224	0.0141281765	0.014268303	0.014313888	0.014222187	0.014174773	0.014128629	0.014360728	0.014315551	0.014360136	0.0143156005	0.014314663	0.014408204	0.014267468	0.014174459	0.014314328	0.014175319	0.01422062	0.014220956	0.014549274	0.014269973	0.014267722	0.014503167	0.014359666	0.014273366	0.014639996	0.014361737	0.0141281765	0.014221498	0.014221846	0.014267702	0.014268195	0.0142686535	0.014315986	0.014222786	0.0143140815	0.014309734	0.01431398	0.014269938	0.014458334	0.014268306	0.014267078	0.01426756	0.01422134	0.014314906	0.014315061	0.014174773	0.014363081	0.014175378	0.01440799	0.014221539	0.014314638	0.014268295	0.0141281765	0.014174397	0.0141281765	0.014175102	0.014314293
