topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.03429825	0.03738733	0.03824918	0.03575839	0.036392745	0.04003633	0.74188095	0.03599687
0.011104844	0.01210822	0.012382879	0.011573522	0.011784233	0.012967564	0.916425	0.01165381
0.00998419	0.01088636	0.011130069	0.010401783	0.010589834	0.011649007	0.92488307	0.010475624
0.0076545603	0.008347604	0.00853795	0.007976916	0.008122884	0.008938146	0.9423878	0.008034135
0.016780848	0.0182991	0.018716626	0.017484147	0.017812148	0.8709302	0.022364711	0.01761219
0.011104642	0.012105367	0.914004	0.011579525	0.011782638	0.01296377	0.014805238	0.011654745
0.034301832	0.03740095	0.03824679	0.035740606	0.03639053	0.7362806	0.04564177	0.03599694
0.03429901	0.03738721	0.03824868	0.7319585	0.03638925	0.040034093	0.045688245	0.035995025
0.02022115	0.022041306	0.022548689	0.021074288	0.021458343	0.023612048	0.84782505	0.021219093
0.112931415	0.12310176	0.12592505	0.11768184	0.11981644	0.13179296	0.15024199	0.118508585
0.025444299	0.027733834	0.028387966	0.801016	0.026997922	0.029723875	0.033980433	0.026715726
0.020224547	0.022048963	0.022557853	0.021071905	0.021464063	0.84447974	0.026928226	0.021224717
0.016776547	0.018287873	0.4638103	0.42376587	0.017803943	0.019586757	0.022358805	0.017609913
0.0062074517	0.0067698164	0.0069220043	0.0064683924	0.0065868	0.007247919	0.95328355	0.006514051
0.016778214	0.018294068	0.01870992	0.01748411	0.017802637	0.01958133	0.87373763	0.017612074
0.112931415	0.12310176	0.12592505	0.11768184	0.11981644	0.13179296	0.15024199	0.118508585
0.05262214	0.057356346	0.05866987	0.054829884	0.58985734	0.06142474	0.07000654	0.05523314
0.020221874	0.02204318	0.022552362	0.02106995	0.021452554	0.8445317	0.026908774	0.021219563
0.05262211	0.057356343	0.058669873	0.054829884	0.5898602	0.061424658	0.070006534	0.05523045
0.03430203	0.03740083	0.038255546	0.03574088	0.0363916	0.736268	0.04564746	0.035993673
0.034302663	0.037392274	0.03825658	0.03574088	0.03638996	0.7362758	0.045646917	0.03599495
0.052620307	0.057355583	0.058679935	0.5888521	0.055825107	0.061423425	0.07002588	0.05521768
0.05262212	0.05735634	0.05866987	0.05482988	0.5898593	0.06142473	0.070006534	0.055231236
0.034299456	0.03738757	0.7345115	0.035741795	0.036391247	0.040042106	0.04563203	0.0359943
0.016780155	0.018294131	0.018708915	0.017485581	0.017803019	0.2410425	0.022412905	0.6474728
0.012515914	0.013641495	0.0139551135	0.013043686	0.013280245	0.014607196	0.01667747	0.9022789
0.014337845	0.015632339	0.01599054	0.2367873	0.0152148865	0.016741537	0.6702461	0.015049399
0.025445933	0.027756015	0.028371215	0.4832437	0.34485888	0.02970171	0.033911426	0.026711088
0.0143380305	0.015630715	0.015991414	0.014939033	0.015214635	0.8897532	0.019086402	0.01504653
0.020223338	0.022049185	0.022564827	0.021071782	0.021452911	0.8444889	0.026929189	0.021219853
0.112931415	0.12310176	0.12592505	0.11768184	0.11981644	0.13179296	0.15024199	0.118508585
0.01677629	0.018287942	0.01871032	0.017487599	0.017801888	0.019587811	0.8737377	0.017610425
0.016778588	0.018288622	0.018706728	0.8688629	0.017804874	0.019587269	0.022363095	0.01760791
0.020223154	0.022051586	0.022555126	0.021074204	0.02146027	0.023604749	0.8478021	0.021228801
0.034306504	0.037437227	0.03824864	0.035743557	0.036399975	0.04014932	0.045693304	0.73202145
0.03430274	0.037397034	0.038259555	0.03574585	0.03639725	0.73619	0.0457102	0.035997394
0.03429859	0.037387073	0.038247623	0.035741836	0.03639653	0.04003709	0.74189776	0.03599349
0.007102796	0.007746115	0.007923394	0.10617208	0.0075368467	0.008291414	0.84777194	0.0074554104
0.0076548015	0.9405562	0.008534695	0.007975872	0.008120749	0.00893656	0.010188571	0.0080325585
0.01110521	0.012110283	0.012382323	0.011573965	0.011784243	0.012966566	0.91642207	0.011655298
0.025446195	0.02773548	0.028373668	0.026511367	0.027014391	0.80435395	0.033857856	0.026707096
0.0111041665	0.012103764	0.9140435	0.011574332	0.011783004	0.01296082	0.014777937	0.011652518
0.025440753	0.027731888	0.028402485	0.026514824	0.80162334	0.029705022	0.03388379	0.026697928
0.4308581	0.022052053	0.02255413	0.43126887	0.021460261	0.023605086	0.026968561	0.021232933
0.009063142	0.009882938	0.010110578	0.009443457	0.0096151065	0.93029904	0.012075311	0.009510402
0.034299817	0.037390087	0.038255148	0.035751075	0.03640125	0.04003378	0.7418724	0.03599647
0.009980441	0.92250043	0.01112787	0.010399794	0.01058858	0.011647337	0.013282513	0.010473037
0.0066247582	0.0072209425	0.46070048	0.006905881	0.007030359	0.007740434	0.49682376	0.0069533684
0.0062079257	0.006767565	0.0069230623	0.0064682146	0.006585481	0.95227057	0.008263161	0.0065140664
0.014336456	0.015632087	0.015993098	0.5418033	0.015213577	0.016743371	0.36522722	0.015050908
0.020222526	0.022041244	0.022548368	0.8419328	0.021457173	0.023605926	0.026965676	0.021226266
0.020220885	0.022041094	0.4170545	0.021073442	0.021459604	0.023601577	0.026941614	0.44760725
0.6866715	0.013649056	0.013957319	0.013048809	0.013283127	0.014612606	0.23164254	0.013135037
0.034303594	0.7335123	0.038257822	0.035745047	0.036400467	0.040048312	0.045731634	0.036000784
0.5866165	0.057385102	0.05867528	0.054836366	0.05582913	0.0614111	0.070022315	0.05522419
0.009980355	0.010884729	0.011133509	0.010399821	0.75943553	0.17439736	0.013294863	0.010473769
0.112931415	0.12310176	0.12592505	0.11768184	0.11981644	0.13179296	0.15024199	0.118508585
0.016780397	0.018293234	0.018708805	0.8688756	0.017800031	0.01958142	0.022352142	0.01760834
0.020224633	0.022058418	0.02256143	0.02107316	0.02146012	0.84442955	0.026968144	0.021224543
0.112931415	0.12310176	0.12592505	0.11768184	0.11981644	0.13179296	0.15024199	0.118508585
0.016781582	0.018298801	0.018723719	0.017486067	0.017801385	0.019606665	0.873691	0.017610773
0.0076548653	0.9405264	0.008536453	0.007977827	0.008124539	0.008945288	0.010201909	0.008032691
0.02544297	0.027732559	0.028367892	0.02651112	0.8016944	0.029697405	0.033848517	0.026705146
0.02022143	0.022041492	0.43082708	0.021072887	0.43407816	0.02361823	0.026919043	0.02122171
0.0076547475	0.7605236	0.008535328	0.007976264	0.008122256	0.008934873	0.19022022	0.0080326535
0.011104637	0.012107628	0.012386798	0.46871173	0.0117876055	0.012972264	0.014855395	0.456074
