topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9
0.09305259	0.1024696	0.09759669	0.09758079	0.095379636	0.09668034	0.10513263	0.11099782	0.10830539	0.09280451
0.021461142	0.023633013	0.022509625	0.022505224	0.02199733	0.02229776	0.02424733	0.7949658	0.024979262	0.021403495
0.01708043	0.018810563	0.017914992	0.017911512	0.01750801	0.017746503	0.019298267	0.8368143	0.019880837	0.017034637
0.021460986	0.023633178	0.0225087	0.022505496	0.021997593	0.022301057	0.79360604	0.025601089	0.024982225	0.021403668
0.4742068	0.009308995	0.008866487	0.008865241	0.0086647775	0.0087833	0.009551101	0.45348272	0.009839765	0.008430787
0.04405901	0.048522223	0.046210892	0.04620378	0.045161217	0.04577745	0.5762579	0.05257971	0.0512857	0.043942187
0.0020461397	0.0022532055	0.0021460638	0.980156	0.002097246	0.0021258492	0.0023119445	0.0024410123	0.0023819446	0.0020405909
0.021460634	0.023635639	0.022508683	0.022506207	0.7913408	0.022297705	0.024248937	0.025617827	0.024979997	0.021403516
0.02886244	0.031785127	0.030272875	0.72007275	0.029584656	0.029988049	0.032612603	0.03443226	0.03360361	0.028785635
0.04405901	0.048522186	0.04621089	0.046203773	0.04516121	0.04577744	0.049792144	0.5790455	0.05128566	0.04394218
0.028863363	0.031784136	0.72007436	0.030267572	0.029585764	0.029988538	0.03261776	0.034436934	0.03359578	0.028785821
0.0105940085	0.01166611	0.011111427	0.011109102	0.010858816	0.011006615	0.0119707035	0.8987859	0.012330734	0.010566552
0.0052632415	0.6467038	0.005520584	0.005519474	0.30792144	0.0054686195	0.005947529	0.006278852	0.006127274	0.0052491985
0.00526328	0.00579651	0.00552048	0.5906276	0.36371908	0.005468859	0.0059478204	0.006280286	0.006126894	0.005249228
0.012129068	0.013357058	0.0127221495	0.012719486	0.012432934	0.012602689	0.8833449	0.0144714955	0.014123331	0.012096909
0.09305259	0.1024696	0.09759669	0.09758079	0.095379636	0.09668034	0.10513263	0.11099782	0.10830539	0.09280451
0.021461008	0.023632903	0.02251032	0.022505056	0.02199789	0.022298636	0.024247456	0.7949638	0.024978982	0.021403981
0.004427911	0.5115914	0.0046442277	0.0046435352	0.0045386073	0.004600588	0.45070118	0.0052825063	0.0051541277	0.0044159214
0.02146053	0.7930003	0.022508517	0.022504775	0.0219974	0.02229781	0.024247592	0.0255995	0.024980217	0.021403382
0.00940307	0.9093009	0.0098630125	0.009860885	0.009638269	0.009769718	0.010624123	0.011217224	0.010944708	0.009378053
0.04406187	0.048519548	0.046212476	0.57269555	0.045161333	0.045779806	0.04978149	0.052559756	0.051286172	0.04394198
0.028862568	0.7216027	0.030272016	0.030266976	0.02958463	0.029988723	0.03261104	0.034429155	0.033596482	0.028785715
0.010593629	0.01166608	0.011110967	0.68324184	0.010858531	0.22502476	0.011969731	0.012637399	0.012331862	0.010565229
0.021460656	0.023635529	0.022508483	0.022505345	0.021997886	0.79163563	0.024249794	0.025623202	0.024980096	0.021403406
0.021460624	0.023632511	0.022509491	0.022504924	0.021998102	0.02229717	0.7936124	0.025602097	0.024979249	0.021403443
0.0105936965	0.0116671575	0.32347488	0.011109779	0.010859038	0.011007326	0.011970492	0.39932927	0.012331123	0.19765726
0.43831372	0.015621638	0.0148778865	0.014875782	0.0145403985	0.014738573	0.016028944	0.016923113	0.43993217	0.014147732
0.014185348	0.015623029	0.014878235	0.014876192	0.014541064	0.014738781	0.016028022	0.016925538	0.8640562	0.014147599
0.0060206684	0.50415844	0.006314921	0.0063138995	0.0061713303	0.0062556975	0.0068026604	0.4449493	0.007008452	0.006004618
0.01212889	0.013358195	0.88236874	0.012719375	0.012432611	0.012602313	0.013704122	0.014471195	0.014117595	0.012096931
0.044060204	0.04852201	0.0462106	0.04620406	0.045162067	0.57226646	0.049788713	0.05255726	0.051287066	0.043941572
0.02146044	0.79300183	0.022509836	0.022505453	0.021997299	0.022297183	0.024247104	0.025599163	0.024978422	0.021403225
0.028863568	0.031786885	0.030272253	0.030268077	0.0295859	0.029992577	0.032617494	0.034430165	0.7233973	0.028785791
0.028862825	0.031783886	0.030272922	0.030266993	0.029585207	0.029988825	0.032610174	0.03443572	0.03359398	0.71859944
0.021461008	0.023633271	0.022513742	0.022506429	0.02199736	0.022300247	0.024251116	0.025601806	0.7943313	0.021403722
0.028862847	0.031785443	0.030272821	0.030267887	0.029585227	0.029988853	0.032618765	0.03443979	0.033604052	0.71857435
0.04405944	0.04851833	0.046211593	0.046203937	0.045165274	0.045778304	0.049780156	0.052557178	0.5777834	0.043942362
0.01708027	0.01880963	0.2792395	0.01791208	0.017507581	0.017747262	0.01930024	0.020376805	0.57499146	0.01703517
0.017080242	0.01880954	0.017914228	0.017911453	0.01750745	0.017746165	0.019298123	0.8368176	0.019880442	0.017034752
0.09305259	0.1024696	0.09759669	0.09758079	0.095379636	0.09668034	0.10513263	0.11099782	0.10830539	0.09280451
0.01059603	0.011667777	0.011111448	0.011109251	0.010859368	0.011006548	0.011971628	0.89878047	0.012332276	0.010565236
0.028862689	0.031783637	0.030272456	0.030267458	0.02958552	0.029988537	0.03261012	0.034429315	0.72341436	0.028785944
0.012128979	0.013357082	0.012722285	0.012719703	0.012432347	0.012602472	0.013706746	0.8841136	0.014119917	0.012096818
0.010593781	0.011667495	0.4570983	0.45126238	0.010858606	0.011007497	0.011970444	0.012642495	0.012333222	0.010565752
0.021461181	0.023633556	0.02250892	0.022509366	0.021999385	0.02229723	0.024249008	0.79495806	0.024979247	0.021404058
0.028863143	0.031784244	0.03027296	0.45679703	0.02958748	0.029988922	0.032611076	0.034431558	0.2968771	0.028786477
0.017080618	0.018810406	0.8343347	0.017914463	0.017507866	0.017749136	0.019300357	0.020381479	0.019886138	0.017034857
0.0060205664	0.0066298977	0.006314764	0.0063136085	0.006171271	0.0062555503	0.006802684	0.9424789	0.0070080576	0.0060046995
0.009403155	0.13515805	0.009862819	0.0098607	0.009638551	0.009770345	0.010624944	0.011218471	0.010946525	0.78351647
0.044059925	0.048523545	0.04621164	0.046203837	0.045161314	0.04577856	0.049783174	0.57904494	0.05128899	0.04394406
0.09305259	0.1024696	0.09759669	0.09758079	0.095379636	0.09668034	0.10513263	0.11099782	0.10830539	0.09280451
0.014185612	0.015621666	0.014878398	0.014877114	0.014540335	0.014739224	0.016032234	0.86446077	0.016516766	0.014147909
0.014185405	0.015621935	0.014877778	0.014875988	0.014540326	0.014738949	0.86357164	0.016927375	0.016513081	0.014147571
0.09305259	0.1024696	0.09759669	0.09758079	0.095379636	0.09668034	0.10513263	0.11099782	0.10830539	0.09280451
0.02886305	0.031785287	0.030272182	0.030269148	0.029584868	0.71979725	0.03261295	0.03443235	0.033597395	0.028785527
0.014185319	0.015622074	0.86241096	0.014875792	0.014540194	0.014739124	0.01603205	0.0169293	0.016516896	0.014148283
0.012129259	0.013357174	0.012721726	0.3980376	0.4967579	0.012602329	0.01370616	0.0144707365	0.014120057	0.012097079
0.014186199	0.015623209	0.014877903	0.014875329	0.01453995	0.014738301	0.8635765	0.016923046	0.016512379	0.014147169
0.0042052525	0.004631939	0.0044109747	0.0044102534	0.0043105423	0.95917076	0.0047523472	0.0050175576	0.0048962454	0.0041941633
0.7186638	0.03178691	0.030272165	0.030267881	0.029585345	0.029992046	0.032617573	0.034429926	0.03359874	0.02878556
0.014184891	0.015620894	0.014877826	0.86242974	0.014539938	0.014737938	0.016027253	0.01692169	0.016512783	0.014147109
0.01708025	0.018812109	0.017915074	0.017911518	0.017507818	0.017746937	0.019299004	0.020375445	0.83631694	0.01703493
