topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.078682266	0.0836478	0.081204616	0.08155759	0.07964898	0.08155239	0.08878608	0.09100395	0.08843026	0.07799293	0.079351015	0.0881421
0.018355412	0.019513804	0.018943952	0.019026183	0.018580925	0.019025002	0.020712592	0.7879443	0.020629477	0.018194567	0.018511385	0.020562366
0.014619167	0.015541893	0.015087888	0.015153388	0.014798975	0.015152443	0.01649655	0.83110803	0.016430346	0.014491034	0.01474337	0.016376927
0.018355384	0.0195138	0.018943917	0.019026188	0.018580899	0.25964376	0.02071331	0.021230044	0.5467244	0.01819455	0.018511381	0.020562364
0.0072453194	0.0077025485	0.007477636	0.0075101336	0.0073342887	0.0075096623	0.008175877	0.916296	0.008143067	0.0071818144	0.007306932	0.008116655
0.03754755	0.039917126	0.03875128	0.03891975	0.038008973	0.03891729	0.56516033	0.043429274	0.04219984	0.03721865	0.03786677	0.042063147
0.001755469	0.0018662517	0.0018117591	0.9795086	0.0017770296	0.0018195041	0.0019809527	0.0020304157	0.0019730104	0.001740084	0.0017703816	0.0019665423
0.018355433	0.019513953	0.018943798	0.019026425	0.78529465	0.019024912	0.020712636	0.02123049	0.020629441	0.0181946	0.018511355	0.020562327
0.024656989	0.026213128	0.02544753	0.7121819	0.024959924	0.025556426	0.027823884	0.028518526	0.027712531	0.02444095	0.024866534	0.027621657
0.03754755	0.039917126	0.03875128	0.03891975	0.038008973	0.03891729	0.5651606	0.043429196	0.04219984	0.03721865	0.03786677	0.042063013
0.024657192	0.026213065	0.7120676	0.025558101	0.024960248	0.025556538	0.027824486	0.028519861	0.027711844	0.024440972	0.024866767	0.027623286
0.009076576	0.009649376	0.009367559	0.009408242	0.0091881	0.009407667	0.010242398	0.89513993	0.0102010975	0.008997103	0.009153907	0.0101680355
0.0045134067	0.004798318	0.0046580993	0.004678358	0.23901242	0.004678073	0.005093088	0.005220292	0.0050727315	0.004473868	0.0045517795	0.71324956
0.0045134253	0.0047982903	0.004658146	0.5624954	0.24888758	0.004678099	0.005093317	0.005220411	0.005072817	0.004473867	0.0045517795	0.14555685
0.010389596	0.0110452445	0.010722776	0.0107692415	0.01051726	0.010768628	0.8796781	0.012016797	0.011677143	0.010298552	0.01047786	0.011638861
0.078682266	0.0836478	0.081204616	0.08155759	0.07964898	0.08155239	0.08878608	0.09100395	0.08843026	0.07799293	0.079351015	0.0881421
0.01835551	0.01951376	0.018943949	0.019026147	0.018580865	0.019025123	0.020712597	0.78794414	0.020629456	0.018194566	0.018511461	0.02056242
0.0037975106	0.0040372154	0.0039192205	0.0039362754	0.0038441415	0.0039360304	0.0042852373	0.0043923	0.004268024	0.0037642065	0.0038297726	0.9559901
