topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.06820817	0.07169924	0.06864907	0.06976703	0.069070294	0.07111569	0.07222622	0.081190854	0.07554553	0.0696788	0.0672993	0.07656507	0.06983999	0.06914473
0.016093375	0.01691708	0.016197432	0.016461177	0.01629678	0.01677939	0.017041417	0.7832116	0.017824586	0.016440352	0.015878923	0.01806517	0.016478384	0.01631434
0.012826619	0.0134831425	0.012909542	0.013119764	0.0129887555	0.013373386	0.013582227	0.82721686	0.0142064225	0.01310317	0.0126557015	0.014398176	0.013133484	0.0130027365
0.016093383	0.016917087	0.016197432	0.016461186	0.0162968	0.25696945	0.540906	0.019156685	0.01782471	0.016440375	0.015878933	0.01806519	0.016478404	0.01631436
0.0063657784	0.0066915965	0.0064069447	0.006511268	0.006446235	0.0066371425	0.00674078	0.9142487	0.0070505734	0.006503026	0.0062809526	0.0071457396	0.006518086	0.006453192
0.032801475	0.034480356	0.03301352	0.033551116	0.033216063	0.034199726	0.034734078	0.55814195	0.036330093	0.03350871	0.03236438	0.0368205	0.03358622	0.033251856
0.0015439752	0.0016230005	0.0015539561	0.978943	0.0015634899	0.0016097905	0.0016349314	0.0018378735	0.0017100859	0.0015772646	0.0015234004	0.0017331472	0.0015809147	0.0015651745
0.016093362	0.016917098	0.016197387	0.01646118	0.7803516	0.01677938	0.017041426	0.019156845	0.017824579	0.016440354	0.015878918	0.018065158	0.016478388	0.016314335
0.021592684	0.022697868	0.021732258	0.70551544	0.02186561	0.022513129	0.022864733	0.025702711	0.023915607	0.022058247	0.021304963	0.024238281	0.022109268	0.02188917
0.032801475	0.034480356	0.03301352	0.033551116	0.033216063	0.034199726	0.034734424	0.5581415	0.036330096	0.033508714	0.03236438	0.0368205	0.03358622	0.033251856
0.021592762	0.022697894	0.7051603	0.022086214	0.021865694	0.022513168	0.022864876	0.025703143	0.02391555	0.022058276	0.021305054	0.024238514	0.022109332	0.021889249
0.007972002	0.008380024	0.008023526	0.008154184	0.0080727525	0.008311815	0.008441624	0.8926119	0.008829571	0.008143911	0.007865783	0.008948761	0.008162712	0.008081454
0.003967581	0.0041706515	0.003993226	0.0040582553	0.20492122	0.0041367095	0.0042013098	0.0047227843	0.004394403	0.0040531238	0.003914713	0.7453815	0.004062505	0.004022069
0.0039675827	0.004170656	0.0039932304	0.32079154	0.6291155	0.0041367244	0.00420132	0.004722819	0.004394404	0.004053127	0.003914714	0.0044537364	0.0040625073	0.004022062
0.009122942	0.009589876	0.009181919	0.009331436	0.009238252	0.009511828	0.8759088	0.010859491	0.01010436	0.00931964	0.009001371	0.010240709	0.009341196	0.009248202
0.06820817	0.07169924	0.06864907	0.06976703	0.069070294	0.07111569	0.07222622	0.081190854	0.07554553	0.0696788	0.0672993	0.07656507	0.06983999	0.06914473
0.016093383	0.016917074	0.016197441	0.016461179	0.016296778	0.78083414	0.017041406	0.019156834	0.017824585	0.016440356	0.015878927	0.018065184	0.016478382	0.01631436
0.003338686	0.003509571	0.0033602633	0.0034149867	0.0033808826	0.003481002	0.0035353662	0.0039741914	0.003697838	0.0034106658	0.0032941953	0.6589656	0.003418559	0.29921818
0.016093351	0.78097236	0.016197376	0.016461156	0.016296761	0.016779365	0.017041387	0.01915655	0.017824575	0.016440334	0.015878905	0.018065145	0.016478365	0.016314326
0.0070789023	0.0074412185	0.0071246596	0.007240688	0.0071683764	0.0073806574	0.0074959123	0.008426315	0.007840404	0.00723153	0.0069845747	0.90416247	0.0072482624	0.007176102
0.032801438	0.03448029	0.03301347	0.033551116	0.033216033	0.03419972	0.034733728	0.039045006	0.036330044	0.03350866	0.03236435	0.036820367	0.5526837	0.03325205
0.021592688	0.7061274	0.02173226	0.022086179	0.021865606	0.022513127	0.022864683	0.02570263	0.023915501	0.02205824	0.021304963	0.024238277	0.022109268	0.021889174
0.007971982	0.008380011	0.008023512	0.54980004	0.008072747	0.3497886	0.00844161	0.009489399	0.008829577	0.0081438655	0.007865753	0.008948737	0.00816271	0.008081446
0.016093377	0.016917156	0.016197406	0.016461188	0.016296817	0.78083223	0.017041486	0.019158378	0.017824605	0.01644037	0.015878938	0.018065209	0.016478425	0.016314356
0.01609337	0.016917054	0.016197389	0.01646116	0.016296787	0.016779369	0.017041467	0.0191567	0.017824577	0.016440341	0.77993387	0.018065201	0.016478384	0.016314348
0.007971994	0.008380016	0.008023516	0.008154184	0.00807275	0.008311826	0.008441611	0.009489466	0.00882956	0.008143886	0.13357331	0.15891398	0.008162708	0.61553115
0.010662328	0.01120805	0.010731224	0.010905987	0.010797072	0.011116809	0.01129041	0.012691833	0.0118093295	0.0108921975	0.010520229	0.011968668	0.85459715	0.010808714
0.010662316	0.011208068	0.010731239	0.010906003	0.010797119	0.011116834	0.011290418	0.012692017	0.85548866	0.01089222	0.010520238	0.011968719	0.010917429	0.010808727
0.004537374	0.42325968	0.004566703	0.004641077	0.004594726	0.0047307997	0.004804665	0.430642	0.0050254827	0.0046352036	0.0044769123	0.09483972	0.0046459325	0.0045996844
0.009122945	0.009589889	0.009181917	0.009331453	0.0092382515	0.324662	0.009660365	0.010859514	0.010104345	0.009319647	0.00900138	0.5613389	0.009341212	0.009248231
0.03280144	0.0344803	0.033013467	0.03355109	0.033216037	0.034199692	0.03473374	0.039044835	0.03633004	0.03350866	0.03236437	0.03682031	0.033586223	0.55234987
0.016093347	0.016917046	0.016197372	0.016461154	0.016296761	0.01677936	0.017041381	0.019156544	0.017824559	0.016440332	0.0158789	0.7821205	0.016478365	0.016314324
0.021592734	0.022697894	0.021732315	0.022086209	0.37122616	0.022513185	0.022864765	0.02570269	0.023915762	0.022058297	0.021305008	0.024238328	0.022109337	0.3559573
0.021592755	0.02269791	0.021732291	0.022086216	0.02186564	0.02251335	0.022864712	0.025703225	0.02391552	0.7054864	0.021305032	0.024238331	0.022109302	0.021889277
0.016093407	0.0169171	0.01619748	0.78051573	0.01629679	0.016779423	0.017041491	0.019156637	0.01782471	0.016440377	0.015878933	0.018065177	0.016478414	0.01631436
0.021592762	0.022697931	0.02173236	0.022086246	0.021865683	0.022513228	0.70629257	0.025703073	0.023915688	0.022058344	0.02130503	0.024238423	0.022109397	0.021889253
0.03280145	0.034480292	0.03301349	0.033551093	0.033216104	0.034199685	0.034733776	0.039044872	0.55542785	0.033508692	0.032364354	0.03682034	0.03358618	0.033251826
0.012826631	0.013483141	0.012909563	0.01311979	0.012988745	0.013373403	0.01358225	0.015268117	0.82615507	0.013103188	0.012655706	0.01439817	0.01313351	0.013002757
0.012826612	0.013483132	0.01290952	0.013119757	0.01298874	0.013373375	0.01358223	0.827217	0.014206413	0.013103165	0.012655699	0.014398148	0.013133482	0.013002731
0.06820817	0.07169924	0.06864907	0.06976703	0.069070294	0.07111569	0.07222622	0.081190854	0.07554553	0.0696788	0.0672993	0.07656507	0.06983999	0.06914473
0.007972005	0.008380046	0.008023519	0.0081541855	0.51145756	0.008311813	0.008441625	0.38922712	0.008829569	0.008143872	0.007865761	0.008948747	0.00816272	0.008081455
0.021592706	0.022697864	0.021732284	0.022086186	0.7052948	0.02251314	0.022864722	0.025702653	0.023915665	0.02205827	0.021304972	0.024238277	0.022109283	0.021889184
0.009122946	0.009589895	0.009181924	0.009331455	0.009238254	0.009511843	0.009660387	0.6090373	0.010104357	0.009319649	0.009001382	0.010240723	0.009341217	0.27731872
0.007971994	0.008380025	0.008023528	0.008154196	0.008072756	0.0083118295	0.008441622	0.009489456	0.008829584	0.00814388	0.007865766	0.16468383	0.008162735	0.7354688
0.016093392	0.016917089	0.01619741	0.016461248	0.016296837	0.016779393	0.017041458	0.7832113	0.017824601	0.016440388	0.015878934	0.018065196	0.016478395	0.016314352
0.021592703	0.022697864	0.021732274	0.02208622	0.7052949	0.022513134	0.02286471	0.025702685	0.023915572	0.022058267	0.021304969	0.02423827	0.022109278	0.021889182
0.012826613	0.013483128	0.012909533	0.013119772	0.012988735	0.013373388	0.013582219	0.015268076	0.01420644	0.013103172	0.012655699	0.014398154	0.013133498	0.8249515
0.004537372	0.004769605	0.004566702	0.004641069	0.0045947195	0.3462535	0.0048046643	0.5973559	0.0050254785	0.0046352004	0.00447691	0.005093297	0.00464592	0.004599677
0.007078917	0.3698069	0.007124671	0.0072407005	0.0071683847	0.0073806928	0.007495921	0.00842644	0.007840439	0.5410817	0.00698459	0.007946246	0.007248274	0.0071761273
0.032801524	0.034480378	0.03301356	0.033551168	0.033216104	0.0341998	0.034733877	0.03904547	0.03633016	0.03350878	0.03236443	0.036820553	0.5526823	0.033251923
0.06820817	0.07169924	0.06864907	0.06976703	0.069070294	0.07111569	0.07222622	0.081190854	0.07554553	0.0696788	0.0672993	0.07656507	0.06983999	0.06914473
0.010662316	0.011208053	0.010731247	0.010906003	0.010797088	0.011116835	0.011290452	0.85637134	0.011809382	0.010892211	0.010520238	0.011968698	0.010917431	0.010808727
