topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.061208278	0.061670285	0.060786482	0.061508805	0.062019378	0.06280543	0.0647315	0.069072306	0.06500872	0.060312063	0.06004198	0.066289134	0.06090043	0.06088424	0.061232977	0.06152796
0.0145493895	0.014659209	0.014449127	0.014620825	0.014742189	0.014929038	0.015386872	0.7787157	0.015452767	0.014336355	0.014272155	0.015757127	0.014476212	0.0144723635	0.014555259	0.014625377
0.01160147	0.011689042	0.011521523	0.011658432	0.011755212	0.011904196	0.012269267	0.8235512	0.012321809	0.011431599	0.011380408	0.012564503	0.011543119	0.011540051	0.011606151	0.011662061
0.014549397	0.014659218	0.014449136	0.014620833	0.014742198	0.27912578	0.015386879	0.016418707	0.51355296	0.0143363625	0.014272164	0.015757134	0.014476219	0.014472371	0.014555268	0.014625387
0.0057630665	0.005806566	0.0057233516	0.0057913624	0.0058394345	0.0059134467	0.006094796	0.9123485	0.006120898	0.0056786826	0.0056532538	0.0062414566	0.0057340823	0.0057325573	0.0057653934	0.0057931654
0.029583845	0.029807147	0.029379977	0.029729098	0.029975876	0.030355798	0.031286746	0.033384815	0.03142072	0.029150678	0.029020136	0.032039598	0.029435053	0.029427227	0.029595789	0.5464075
0.0013987565	0.0014093142	0.0013891173	0.9785532	0.0014172918	0.0014352552	0.001479271	0.00157847	0.0014856064	0.0013782755	0.0013721036	0.0015148666	0.0013917213	0.0013913513	0.001399321	0.0014060619
0.0145493895	0.014659212	0.014449127	0.014620828	0.7770392	0.014929037	0.015386874	0.01641872	0.015452766	0.014336354	0.014272155	0.015757127	0.014476212	0.014472363	0.01455526	0.014625377
0.019505778	0.019653011	0.019371362	0.7009227	0.01976426	0.020014757	0.020628564	0.022011887	0.020716911	0.019220173	0.019134104	0.021124946	0.019407675	0.019402515	0.01951365	0.019607663
0.029583845	0.029807147	0.029379977	0.029729098	0.029975876	0.030355798	0.03128675	0.033384815	0.03142072	0.029150678	0.029020136	0.032039598	0.029435053	0.029427227	0.029595789	0.5464075
0.7008267	0.019653026	0.019371377	0.019601567	0.019764276	0.020014774	0.020628586	0.022011934	0.020716919	0.019220188	0.019134123	0.02112497	0.01940769	0.019402532	0.019513665	0.01960767
0.0072155483	0.007270011	0.007165823	0.0072509744	0.007311164	0.0074038277	0.007630889	0.8902574	0.007663564	0.0071099	0.0070780595	0.007814509	0.0071792565	0.0071773473	0.0072184587	0.0072532333
0.0035931622	0.0036202837	0.0035684009	0.003610804	0.3029273	0.003686921	0.0037999898	0.0040548122	0.0038162638	0.0035405504	0.003524696	0.6459011	0.0035750906	0.00357414	0.0035946118	0.0036119283
0.0035931692	0.0036202916	0.0035684078	0.7968539	0.0036407849	0.0036869287	0.15185292	0.004054825	0.003816272	0.0035405569	0.0035247023	0.003891444	0.0035750966	0.003574146	0.0035946185	0.003611935
0.008255921	0.008318237	0.00819903	0.008296456	0.008365325	0.008471349	0.008731145	0.009316646	0.008768536	0.0081350375	0.008098608	0.0089412425	0.008214398	0.008212213	0.008259253	0.8734166
0.061208278	0.061670285	0.060786482	0.061508805	0.062019378	0.06280543	0.0647315	0.069072306	0.06500872	0.060312063	0.06004198	0.066289134	0.06090043	0.06088424	0.061232977	0.06152796
0.014549391	0.014659209	0.014449126	0.014620825	0.014742188	0.014929053	0.015386871	0.7787157	0.015452766	0.014336356	0.014272158	0.015757127	0.014476212	0.014472365	0.014555259	0.014625378
0.0030238905	0.0030467142	0.0030030513	0.0030387363	0.0030639605	0.0031027938	0.00319795	0.0034124006	0.0032116445	0.0029796131	0.0029662708	0.6914453	0.0030086807	0.2654343	0.0030251103	0.0030396825
0.014549378	0.7769564	0.014449117	0.0146208145	0.014742179	0.014929025	0.015386859	0.016418682	0.015452759	0.014336345	0.014272146	0.015757114	0.014476202	0.014472354	0.014555249	0.014625367
0.0064080255	0.006456395	0.006363867	0.0064394884	0.006492941	0.006575235	0.006776879	0.0072313314	0.0068059023	0.0063141985	0.006285923	0.9022478	0.0063757966	0.0063741007	0.0064106113	0.0064414935
0.029583843	0.029807145	0.029379975	0.0297291	0.02997587	0.030355796	0.03128673	0.03338478	0.03142072	0.029150672	0.029020138	0.032039586	0.029435063	0.029427228	0.546265	0.029738352
0.019505782	0.70097417	0.019371366	0.019601554	0.019764261	0.020014761	0.02062856	0.022011884	0.02071691	0.019220177	0.019134108	0.021124946	0.019407677	0.019402519	0.019513654	0.019607658
0.0072155413	0.0072700055	0.007165818	0.6912548	0.007311158	0.20551497	0.007630879	0.008142596	0.0076635596	0.00710989	0.007078052	0.0078145005	0.007179251	0.0071773417	0.0072184536	0.0072532278
0.014549391	0.014659217	0.014449131	0.014620829	0.014742195	0.77722603	0.015386878	0.016418729	0.01545277	0.014336358	0.014272159	0.01575713	0.0144762155	0.014472366	0.014555263	0.014625381
0.014549387	0.014659203	0.0144491205	0.014620818	0.014742185	0.014929029	0.777684	0.016418694	0.015452759	0.014336349	0.014272152	0.015757123	0.014476206	0.014472358	0.014555254	0.014625371
0.007215544	0.007270008	0.0071658194	0.007250971	0.0073111597	0.007403825	0.0076308805	0.008142607	0.0076635596	0.0071098935	0.7322455	0.16476193	0.007179253	0.0071773455	0.0072184545	0.007253229
0.0096468665	0.009719681	0.009580387	0.00969423	0.0097747	0.009898587	0.010202151	0.010886296	0.010245847	0.009505615	0.009463048	0.010447645	0.009598346	0.009595795	0.85204357	0.009697248
0.009646874	0.00971969	0.009580396	0.009694239	0.13951878	0.009898596	0.01020216	0.010886313	0.010245858	0.009505622	0.009463055	0.010447655	0.009598355	0.009595801	0.72229934	0.009697257
0.0041088522	0.55872124	0.0040805377	0.004129026	0.0041633006	0.004216068	0.0043453635	0.38292634	0.004363973	0.0040486897	0.0040305597	0.0044499277	0.0040881876	0.0040871007	0.0041105105	0.004130312
0.008255931	0.008318248	0.008199039	0.008296466	0.008365334	0.00847136	0.008731154	0.33172014	0.008768545	0.008135048	0.008098618	0.5516551	0.008214411	0.0082122255	0.008259261	0.008299051
0.02958384	0.029807141	0.029379975	0.029729092	0.029975876	0.030355794	0.031286724	0.033384766	0.031420715	0.029150669	0.029020132	0.032039575	0.5461043	0.029427232	0.02959578	0.02973835
