topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.048812546	0.050063446	0.048434038	0.050257985	0.049166482	0.05022648	0.051095128	0.054928686	0.052303724	0.049900502	0.04896996	0.052890986	0.048612777	0.04841616	0.05054687	0.04913876	0.048809785	0.050053153	0.04825655	0.049115982
0.01171845	0.012018754	0.011627581	0.012065457	0.011803419	0.012057894	0.01226643	0.7731163	0.012556578	0.011979636	0.01175624	0.0126975635	0.011670491	0.011623289	0.012134809	0.011796764	0.011717787	0.012016282	0.011584971	0.011791295
0.009350004	0.0095896125	0.0092775	0.009626877	0.009417799	0.009620842	0.00978723	0.81897235	0.010018735	0.0095584	0.009380156	0.010131226	0.0093117375	0.009274076	0.009682211	0.009412489	0.009349475	0.00958764	0.009243502	0.009408126
0.011718454	0.012018758	0.011627585	0.012065461	0.011803423	0.37126026	0.012266434	0.013186758	0.012556582	0.0119796395	0.011756244	0.012697567	0.011670494	0.011623293	0.012134813	0.011796768	0.011717791	0.012016286	0.41231206	0.011791299
0.0046504447	0.0047696196	0.0046143834	0.004788154	0.0046841647	0.004785152	0.0048679095	0.9099616	0.0049830545	0.004754096	0.004665442	0.0050390037	0.004631412	0.0046126805	0.0048156762	0.0046815234	0.0046501816	0.004768639	0.004597474	0.0046793534
0.023751376	0.024360042	0.0235672	0.024454704	0.023923596	0.024439374	0.5382786	0.02672739	0.025450125	0.024280757	0.023827972	0.025735877	0.02365417	0.023558501	0.024595268	0.023910105	0.023750031	0.024355033	0.023480836	0.023899022
0.0011297659	0.0011587179	0.0011210053	0.9780183	0.0011379577	0.0011624914	0.0011825962	0.0012713239	0.001210569	0.0011549465	0.0011334092	0.0012241614	0.0011251421	0.0011205915	0.0011699067	0.001137316	0.001129702	0.0011584796	0.0011168973	0.0011367889
0.011718454	0.012018758	0.011627585	0.012065461	0.7717329	0.012057898	0.012266434	0.013186759	0.012556582	0.0119796395	0.011756244	0.012697567	0.011670494	0.011623293	0.012134813	0.011796768	0.011717791	0.012016286	0.011584975	0.011791299
0.01569385	0.016096031	0.015572155	0.016158579	0.015807645	0.016148448	0.01642773	0.017660268	0.6953036	0.016043643	0.01574446	0.017005121	0.015629621	0.015566408	0.016251456	0.015798733	0.015692962	0.016092721	0.01551509	0.015791409
0.023751376	0.024360042	0.0235672	0.024454704	0.023923596	0.024439374	0.5382786	0.02672739	0.025450125	0.024280757	0.023827972	0.025735877	0.02365417	0.023558501	0.024595268	0.023910105	0.023750031	0.024355033	0.023480836	0.023899022
0.015693886	0.016096067	0.01557219	0.016158614	0.01580768	0.016148485	0.016427767	0.017660312	0.016816346	0.016043678	0.015744498	0.01700516	0.015629657	0.015566442	0.016251493	0.015798768	0.015692998	0.69457936	0.015515125	0.015791444
0.005820697	0.005969862	0.0057755616	0.00599306	0.005862903	0.005989303	0.0060928855	0.8873041	0.006237006	0.0059504313	0.0058394684	0.0063070348	0.0057968753	0.0057734298	0.006027508	0.0058595967	0.005820368	0.005968634	0.005754397	0.0058568805
0.0029008111	0.002975149	0.0028783171	0.00298671	0.0029218446	0.0029848379	0.0030364592	0.0032642784	0.0031082833	0.0029654657	0.0029101658	0.9437156	0.002888939	0.0028772547	0.0030038776	0.002920197	0.002900647	0.0029745372	0.0028677694	0.0029188434
0.002900812	0.00297515	0.002878318	0.45695072	0.48953024	0.0029848388	0.0030364604	0.0032642798	0.0031082842	0.0029654666	0.002910167	0.0031431844	0.0028889403	0.002877256	0.0030038785	0.0029201983	0.002900648	0.0029745384	0.0028677704	0.0029188443
0.00665848	0.006829114	0.0066068475	0.0068556513	0.0067067603	0.0068513537	0.0069698454	0.007492778	0.0071347086	0.0068068868	0.0066799526	0.0072148168	0.0066312295	0.0066044093	0.0068950574	0.8702938	0.0066581033	0.0068277097	0.006582637	0.0066998713
0.048812546	0.050063446	0.048434038	0.050257985	0.049166482	0.05022648	0.051095128	0.054928686	0.052303724	0.049900502	0.04896996	0.052890986	0.048612777	0.04841616	0.05054687	0.04913876	0.048809785	0.050053153	0.04825655	0.049115982
0.011718451	0.012018755	0.011627582	0.012065458	0.01180342	0.012057895	0.012266431	0.7731163	0.012556579	0.011979637	0.011756241	0.0126975635	0.011670492	0.01162329	0.01213481	0.011796765	0.011717787	0.012016283	0.011584972	0.011791296
0.1386179	0.0025040922	0.002422592	0.0025138229	0.0024592276	0.002512247	0.0025556954	0.0027474437	0.0026161473	0.002495942	0.002449398	0.8164507	0.0024315321	0.0024216976	0.0025282723	0.002457841	0.0024413862	0.0025035774	0.0024137143	0.0024567016
0.0117184445	0.7719484	0.011627575	0.012065452	0.011803414	0.012057888	0.0122664245	0.013186748	0.012556572	0.01197963	0.011756235	0.012697557	0.011670485	0.011623284	0.012134803	0.0117967585	0.011717781	0.012016277	0.0115849655	0.01179129
0.005170173	0.0053026667	0.0051300814	0.005323272	0.0052076615	0.0053199353	0.0054119416	0.005817988	0.0055399546	0.005285408	0.005186846	0.8996832	0.0051490134	0.005128188	0.0053538703	0.005204725	0.00516988	0.0053015766	0.005111282	0.0052023125
0.023751348	0.024360014	0.023567172	0.024454674	0.023923568	0.024439344	0.024862014	0.026727356	0.025450096	0.024280729	0.023827944	0.025735848	0.023654142	0.023558473	0.5380124	0.023910077	0.023750003	0.024355005	0.023480808	0.023898995
0.015693853	0.69458336	0.015572158	0.01615858	0.015807647	0.016148452	0.016427731	0.01766027	0.01681631	0.016043644	0.015744464	0.017005123	0.015629625	0.01556641	0.01625146	0.015798735	0.015692964	0.016092723	0.015515093	0.01579141
0.0058206916	0.005969856	0.005775556	0.515867	0.005862897	0.37686953	0.00609288	0.0065500154	0.0062369998	0.0059504258	0.005839463	0.0063070287	0.0057968698	0.005773424	0.006027502	0.005859591	0.0058203624	0.0059686285	0.005754391	0.005856875
0.011718468	0.012018772	0.011627599	0.012065476	0.011803437	0.7719871	0.01226645	0.013186777	0.012556598	0.0119796535	0.011756258	0.012697582	0.011670508	0.011623307	0.012134828	0.011796782	0.011717805	0.012016301	0.011584989	0.011791313
0.011718444	0.012018748	0.011627574	0.012065451	0.011803413	0.012057887	0.012266424	0.013186747	0.0125565715	0.011979629	0.011756234	0.012697556	0.011670484	0.011623283	0.0121348025	0.011796758	0.0117177805	0.77194595	0.011584965	0.011791289
0.0058207004	0.0059698652	0.0057755644	0.005993063	0.0058629056	0.005989306	0.006092889	0.0065500257	0.006237009	0.4491214	0.0058394712	0.4438901	0.0057968786	0.005773433	0.0060275113	0.0058596	0.0058203707	0.0059686373	0.0057543996	0.0058568837
0.007777978	0.007977301	0.007717665	0.008008299	0.007834376	0.00800328	0.008141693	0.008752547	0.008334275	0.007951337	0.007803061	0.008427853	0.0077461456	0.0077148164	0.84871054	0.007829961	0.0077775377	0.00797566	0.007689383	0.007826328
