topic_0	topic_1	topic_2	topic_3
0.24250208	0.2620837	0.24481948	0.25059476
0.054935846	0.058691267	0.055343673	0.8310292
0.043659307	0.86541885	0.04544968	0.045472197
0.053427424	0.057622723	0.8335438	0.055406094
0.9341478	0.02262182	0.02127131	0.021959055
0.6423779	0.12345529	0.114890456	0.11927635
0.005090373	0.0054821717	0.00515378	0.98427373
0.05339491	0.40412465	0.05397326	0.48850718
0.071717866	0.078564994	0.07381112	0.77590597
0.6424586	0.12344899	0.11488488	0.119207546
0.07440334	0.078579225	0.7707094	0.07630805
0.64897114	0.029183408	0.026893256	0.29495218
0.013068334	0.9599943	0.01338593	0.013551404
0.01304446	0.01452078	0.013363551	0.9590712
0.030855222	0.033047654	0.9042908	0.03180635
0.24250208	0.2620837	0.24481948	0.25059476
0.8327614	0.057562817	0.054401822	0.05527393
0.19093873	0.78641146	0.0111352	0.011514599
0.053100135	0.8382515	0.053851005	0.05479735
0.023085916	0.9294027	0.023504071	0.02400734
0.64624935	0.121574044	0.11354735	0.118629225
0.07181652	0.7812309	0.072845355	0.07410722
0.02620306	0.028435659	0.026866965	0.9184943
0.053262457	0.060462385	0.8285033	0.05777184
0.8301758	0.05820405	0.05497993	0.056640256
0.82586086	0.120110296	0.026689606	0.02733923
0.5254413	0.401078	0.036499273	0.036981463
0.0357979	0.49512693	0.43183506	0.037240144
0.294539	0.6746596	0.015118021	0.01568337
0.30977604	0.62770545	0.030926308	0.031592235
0.11154126	0.6605499	0.11252992	0.11537893
0.053054523	0.83786345	0.05403619	0.05504585
0.07298684	0.51559556	0.33567378	0.07574382
0.7753104	0.077905856	0.07255958	0.07422421
0.05314926	0.058362138	0.83081806	0.057670534
0.072820194	0.0796393	0.7711718	0.07636866
0.11203425	0.12121834	0.6505648	0.11618263
0.04224366	0.046295166	0.86665475	0.044806458
0.042485345	0.047382727	0.04290486	0.86722714
0.24250208	0.2620837	0.24481948	0.25059476
0.026522374	0.919554	0.026489781	0.027433824
0.072436206	0.07836062	0.77411306	0.07509016
0.030544443	0.032757737	0.030718928	0.9059789
0.026417514	0.030012429	0.026949767	0.91662025
0.054711364	0.058073904	0.054051388	0.8331633
0.073062	0.07910756	0.07673486	0.7710956
0.042462375	0.04623271	0.043813158	0.8674918
0.95360863	0.01597242	0.0150459325	0.015373058
0.5397517	0.41185176	0.024031479	0.024365103
0.11284168	0.12570913	0.115403056	0.6460461
0.24250208	0.2620837	0.24481948	0.25059476
0.035442002	0.0395032	0.43579042	0.48926437
0.035985034	0.58346033	0.3431968	0.037357833
0.24250208	0.2620837	0.24481948	0.25059476
0.07413844	0.77448946	0.07341732	0.07795477
0.03527646	0.03816628	0.8900314	0.036525883
0.030500406	0.033033017	0.030693177	0.9057734
0.6691229	0.2585324	0.03572074	0.036623977
0.010381358	0.011356707	0.9673735	0.010888426
0.075967945	0.776341	0.07275877	0.074932225
0.034948092	0.03806527	0.035569258	0.8914174
0.042414844	0.0489768	0.8644724	0.044135984
0.07255357	0.33206385	0.07289325	0.52248937
0.026328567	0.91890854	0.026913254	0.027849657
0.00798501	0.008692627	0.39414263	0.58917975
0.45506185	0.026051251	0.024044998	0.49484184
0.24250208	0.2620837	0.24481948	0.25059476
0.02353436	0.9280088	0.023774821	0.024682023
0.92600805	0.02537501	0.024371285	0.024245683
0.93294466	0.02429233	0.021183157	0.021579897
0.11092314	0.66201997	0.11261921	0.11443772
0.43929568	0.08040039	0.07574136	0.40456256
0.86485326	0.046287388	0.04425828	0.0446011
0.054680943	0.05835272	0.8300797	0.05688664
0.03600865	0.038495146	0.036482383	0.8890138
0.0139453495	0.0151524525	0.014199536	0.95670265
0.9634528	0.012572012	0.011904094	0.012071098
0.11069516	0.65654093	0.11330897	0.119454935
0.042705853	0.0463318	0.6426048	0.26835752
0.7715058	0.08009568	0.07281025	0.07558834
0.9671019	0.011270204	0.010694133	0.010933748
0.7730645	0.07866892	0.07289818	0.07536838
0.021182373	0.70917326	0.24762821	0.022016197
0.054351438	0.461171	0.054904778	0.42957282
0.63194036	0.2368029	0.024251048	0.10700569
0.042542573	0.86790556	0.042759474	0.04679244
0.017916316	0.94588435	0.017908996	0.018290333
0.019046398	0.021004034	0.93996793	0.019981569
0.016143024	0.95088845	0.01615352	0.016815042
0.1107501	0.121591315	0.11443294	0.65322566
0.04911715	0.01739959	0.016495854	0.91698736
0.07235015	0.079169706	0.7732427	0.07523747
0.71000284	0.029246205	0.027057765	0.23369317
0.010464263	0.42921057	0.5494867	0.010838497
0.042431623	0.04837543	0.86551565	0.043677326
0.0734672	0.07894831	0.770293	0.07729143
0.24250208	0.2620837	0.24481948	0.25059476
0.018895064	0.16551512	0.79571486	0.019874927
0.026750369	0.029455317	0.026818452	0.91697586
0.03557263	0.038895	0.0364869	0.8890455
0.88806725	0.03889894	0.03591854	0.0371153
0.40456477	0.025506211	0.54561967	0.024309322
0.11203495	0.12121751	0.6505675	0.11618005
0.0212032	0.023141844	0.2781361	0.67751884
0.07213396	0.07818722	0.77459	0.075088814
0.9163674	0.02904804	0.026684625	0.027899925
0.24250208	0.2620837	0.24481948	0.25059476
0.026388278	0.029329523	0.5941277	0.35015446
0.017881213	0.7160264	0.018349933	0.24774243
0.115630046	0.65149266	0.11320285	0.11967445
