topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59
0.0165642	0.016784893	0.01650742	0.016673096	0.016616158	0.016728533	0.0167243	0.017443093	0.016619133	0.016563684	0.016620195	0.01722591	0.01689013	0.016563125	0.016562395	0.016673865	0.016453613	0.016674541	0.016563682	0.016781166	0.016564269	0.016672863	0.01672839	0.016891595	0.016670883	0.016563574	0.016618539	0.016507559	0.016727934	0.016731812	0.016727407	0.016674014	0.016947648	0.016617604	0.016674066	0.016618133	0.016837552	0.016617892	0.016618669	0.016508691	0.016671954	0.016562102	0.016726356	0.016508477	0.016893126	0.016619703	0.016453613	0.016673598	0.016616294	0.01672842	0.0166176	0.016508378	0.01656415	0.016728073	0.016453613	0.016453613	0.016671395	0.0165633	0.016670533	0.016563477
0.0040892866	0.004143771	0.004075269	0.0041161706	0.0041021137	0.004129857	0.0041288114	0.75743127	0.0041028485	0.0040891594	0.00410311	0.0042526466	0.0041697505	0.0040890216	0.004088841	0.00411636	0.0040619858	0.0041165273	0.004089159	0.0041428506	0.004089304	0.004116113	0.004129821	0.004170113	0.0041156244	0.0040891324	0.004102702	0.004075303	0.0041297083	0.004130666	0.0041295784	0.0041163974	0.0041839504	0.004102471	0.00411641	0.0041026017	0.0041567707	0.004102542	0.004102734	0.004075583	0.0041158884	0.0040887687	0.004129319	0.00407553	0.0041704904	0.004102989	0.0040619858	0.0041162944	0.0041021476	0.0041298284	0.00410247	0.004075506	0.0040892744	0.004129743	0.0040619858	0.0040619858	0.0041157505	0.0040890644	0.0041155377	0.004089108
0.0032687052	0.0033122562	0.0032575007	0.0032901943	0.0032789584	0.0033011343	0.003300299	0.0034421422	0.0032795456	0.0032686035	0.003279755	0.0033992846	0.0033330228	0.0032684933	0.003268349	0.0032903461	0.0032468827	0.0032904795	0.0032686032	0.0033115207	0.003268719	0.0032901485	0.003301106	0.0033333122	0.0032897578	0.0032685818	0.0032794282	0.003257528	0.0033010158	0.0033017811	0.0033009117	0.0032903757	0.003344373	0.0032792436	0.0032903857	0.0032793484	0.0033226474	0.0032793009	0.003279454	0.0032577515	0.003289969	0.0032682915	0.0033007043	0.0032577093	0.8059981	0.003279658	0.0032468827	0.0032902935	0.0032789854	0.0033011117	0.003279243	0.0032576898	0.0032686954	0.0033010433	0.0032468827	0.0032468827	0.0032898588	0.0032685276	0.0032896886	0.0032685627
0.004089285	0.0041437694	0.004075268	0.004116169	0.0041021127	0.0041298554	0.0041288105	0.004306262	0.004102847	0.004089158	0.0041031092	0.004252645	0.0041697496	0.00408902	0.0040888395	0.004116359	0.0040619844	0.004116526	0.0040891576	0.0041428492	0.004089303	0.004116112	0.00412982	0.0041701114	0.004115623	0.004089131	0.0041027004	0.0040753023	0.0041297073	0.0041306647	0.0041295774	0.004116396	0.004183949	0.0041024694	0.0041164085	0.0041026003	0.0041567693	0.004102541	0.0041027325	0.0040755817	0.0041158875	0.75721383	0.0041293176	0.004075529	0.004170489	0.004102988	0.0040619844	0.004116293	0.0041021463	0.0041298275	0.0041024685	0.004075505	0.004089273	0.004129742	0.0040619844	0.0040619844	0.004115749	0.004089063	0.0041155363	0.0040891073
0.0016316365	0.0016533758	0.0016260436	0.0016423633	0.0016367546	0.0016478241	0.0016474071	0.81392545	0.0016370477	0.0016315858	0.0016371522	0.0016968177	0.0016637419	0.0016315307	0.090920426	0.0016424389	0.0016207433	0.0016425056	0.0016315855	0.0016530086	0.0016316434	0.0016423403	0.0016478099	0.0016638862	0.0016421453	0.0016315749	0.0016369892	0.0016260572	0.0016477649	0.001648147	0.0016477131	0.0016424537	0.0016694076	0.001636897	0.0016424587	0.0016369493	0.0016585628	0.0016369255	0.001637002	0.0016261687	0.0016422507	0.00163143	0.0016476095	0.0016261477	0.001664037	0.0016371039	0.0016207433	0.0016424127	0.0016367681	0.0016478129	0.0016368966	0.001626138	0.0016316316	0.0016477788	0.0016207433	0.0016207433	0.0016421957	0.0016315479	0.0016421108	0.0016315654
0.008212789	0.008322213	0.008184637	0.008266781	0.008238551	0.0082942685	0.00829217	0.0086485585	0.008240026	0.008212534	0.008240553	0.008540876	0.00837439	0.008212257	0.008211894	0.008267163	0.008157959	0.008267499	0.008212533	0.008320365	0.008212824	0.008266666	0.008294198	0.008375118	0.008265685	0.00821248	0.008239731	0.008184706	0.008293971	0.008295895	0.00829371	0.008267238	0.008402909	0.008239267	0.008267263	0.008239531	0.008348322	0.008239412	0.008239796	0.008185267	0.008266215	0.00821175	0.008293189	0.008185161	0.008375877	0.00824031	0.008157959	0.008267031	0.008238618	0.008294213	0.0082392655	0.008185113	0.008212765	0.00829404	0.008157959	0.008157959	0.008265939	0.008212343	0.008265511	0.51239675
0.0003974605	0.00040275612	0.0003960981	0.0004000735	0.00039870729	0.00040140375	0.00040130218	0.0004185497	0.00039877868	0.00039744817	0.0003988041	0.0004133384	0.00040528126	0.00039743475	0.0003974172	0.00040009196	0.000394807	0.0004001082	0.0003974481	0.0004026667	0.0003974622	0.00040006792	0.0004014003	0.00040531644	0.00040002042	0.00039744552	0.0003987644	0.00039610142	0.00040138935	0.97640634	0.00040137672	0.00040009554	0.00040666142	0.00039874195	0.0004000968	0.00039875467	0.00040401967	0.0003987489	0.00039876753	0.0003961286	0.0004000461	0.00039741021	0.00040135148	0.00039612345	0.00040535317	0.00039879236	0.000394807	0.00040008556	0.00039871054	0.00040140102	0.00039874186	0.0003961211	0.00039745934	0.0004013927	0.000394807	0.000394807	0.0004000327	0.00039743894	0.000400012	0.0003974432
0.004089294	0.0041437782	0.0040752767	0.004116178	0.004102121	0.0041298643	0.004128819	0.004306271	0.004102856	0.004089167	0.0041031176	0.0042526545	0.004169758	0.0040890286	0.0040888484	0.0041163675	0.0040619927	0.0041165347	0.0040891664	0.30046916	0.004089311	0.0041161203	0.0041298284	0.00417012	0.004115632	0.0040891394	0.004102709	0.0040753107	0.0041297157	0.0041306736	0.004129586	0.004116405	0.004183958	0.004102478	0.0041164174	0.004102609	0.004156778	0.0041025495	0.0041027414	0.0040755905	0.004115896	0.004088776	0.0041293264	0.0040755374	0.46096873	0.0041029966	0.0040619927	0.004116302	0.004102155	0.004129836	0.004102477	0.004075513	0.004089282	0.0041297507	0.0040619927	0.0040619927	0.004115758	0.004089072	0.004115545	0.0040891157
0.0054599615	0.005532708	0.0054412456	0.0054958565	0.005477088	0.00551413	0.005512735	0.005749666	0.005478069	0.0054597915	0.005478419	0.0056780777	0.005567396	0.0054596076	0.0054593664	0.00549611	0.0054235095	0.005496333	0.005459791	0.005531479	0.0054599848	0.67587155	0.0055140825	0.0055678794	0.0054951273	0.0054597557	0.005477873	0.0054412913	0.005513932	0.005515211	0.005513759	0.005496159	0.0055863555	0.0054775644	0.005496176	0.0054777395	0.005550065	0.0054776603	0.005477916	0.0054416647	0.00549548	0.0054592704	0.005513412	0.005441594	0.0055683837	0.005478257	0.0054235095	0.005496022	0.005477133	0.0055140927	0.0054775635	0.005441562	0.005459945	0.005513978	0.0054235095	0.0054235095	0.005495296	0.005459665	0.005495012	0.0054597235
0.008212789	0.008322213	0.008184637	0.008266781	0.008238551	0.0082942685	0.00829217	0.0086485585	0.008240026	0.008212534	0.008240553	0.008540876	0.00837439	0.008212257	0.008211894	0.008267163	0.008157959	0.008267499	0.008212533	0.008320365	0.008212824	0.008266666	0.008294198	0.008375118	0.008265685	0.00821248	0.008239731	0.008184706	0.008293971	0.008295895	0.00829371	0.008267238	0.008402909	0.008239267	0.008267263	0.008239531	0.008348322	0.008239412	0.008239796	0.008185267	0.008266215	0.00821175	0.008293189	0.008185161	0.008375877	0.00824031	0.008157959	0.008267031	0.008238618	0.008294213	0.0082392655	0.008185113	0.008212765	0.00829404	0.008157959	0.008157959	0.008265939	0.008212343	0.008265511	0.51239675
