topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.11696289	0.12815893	0.12054368	0.117847875	0.11916484	0.11815134	0.13827142	0.14089903
0.026432257	0.028963136	0.02724022	0.026630064	0.026926532	0.026697664	0.031254053	0.80585605
0.021009583	0.023033293	0.021654084	0.021168288	0.021409659	0.021221854	0.024844673	0.84565854
0.026431624	0.028960448	0.027239893	0.02663022	0.026928866	0.026726646	0.8052342	0.031848073
0.010374128	0.011366271	0.010690875	0.010451741	0.010568178	0.010479206	0.01226603	0.92380357
0.05460805	0.059853546	0.05628956	0.05501943	0.05564061	0.055167757	0.59753025	0.0658908
0.0025065083	0.0027463732	0.0025834779	0.9810893	0.0025534155	0.0025319115	0.0029661786	0.003022826
0.026431305	0.028978402	0.027238708	0.026648164	0.8008206	0.026697613	0.031269494	0.03191569
0.035617407	0.039033495	0.03672336	0.7312519	0.036288377	0.03598367	0.04216773	0.042934053
0.054608047	0.05985357	0.05628957	0.055019427	0.055640616	0.055167764	0.5975248	0.065896235
0.03563069	0.03903774	0.03672401	0.035891294	0.03630021	0.035984416	0.042218305	0.7382133
0.013010919	0.014255196	0.013406278	0.013104594	0.013253893	0.013139188	0.01539937	0.90443057
0.006452784	0.76829135	0.006651371	0.0065012053	0.19017124	0.0065183374	0.007637088	0.007776645
0.006452976	0.007075467	0.0066514905	0.69412	0.0065769134	0.006519739	0.2648182	0.00778522
0.014899271	0.016326316	0.01536194	0.01501051	0.015184422	0.0150537575	0.8902025	0.017961297
0.11696289	0.12815893	0.12054368	0.117847875	0.11916484	0.11815134	0.13827142	0.14089903
0.026435409	0.028960174	0.027240355	0.02663048	0.026926434	0.026699195	0.031247688	0.8058603
0.0054279016	0.7134882	0.005594103	0.0054684896	0.005529858	0.0054822504	0.25246575	0.006543351
0.026428018	0.80299085	0.027237203	0.026627464	0.02692512	0.026701193	0.031251673	0.03183847
0.0115402425	0.9139635	0.011897547	0.011628479	0.011758284	0.011657903	0.013645204	0.013908802
0.05462202	0.05984327	0.05629141	0.055037636	0.055662498	0.5881072	0.0645828	0.06585317
0.035618234	0.73448014	0.036708817	0.035886988	0.03628816	0.0359872	0.042120147	0.042910337
0.013006172	0.0142522445	0.013407078	0.5649388	0.013251417	0.35007918	0.015389397	0.015675744
0.02642776	0.02899838	0.027239008	0.026634794	0.026938204	0.80039686	0.031302575	0.032062408
0.026430868	0.02896151	0.02724098	0.02662812	0.026931744	0.026696995	0.80525017	0.031859644
0.055548664	0.18118839	0.013409249	0.013107358	0.013254648	0.013139703	0.015392503	0.6949595
0.49636444	0.019110555	0.017975204	0.017566865	0.017764587	0.017616162	0.3925627	0.021039532
0.017435513	0.01911388	0.86882037	0.017568085	0.017770857	0.017615542	0.02063091	0.021044811
0.007383104	0.5041578	0.0076096053	0.0074395034	0.0075227804	0.0074588717	0.008731628	0.44969672
0.0149002075	0.5773848	0.015361214	0.015015623	0.015179126	0.015051648	0.017621353	0.329486
0.054614577	0.059881143	0.056277618	0.055021055	0.05564033	0.58813983	0.064635895	0.06578959
0.026427971	0.80299	0.027246023	0.026631013	0.026925495	0.02669596	0.0312473	0.03183624
0.0356264	0.03905386	0.036711432	0.03588854	0.3493323	0.41831115	0.042161975	0.04291429
0.7309936	0.039033	0.036709365	0.03589048	0.036294315	0.035984	0.042112865	0.042982325
0.026428187	0.028961483	0.80120945	0.026640505	0.026925227	0.026701527	0.03127969	0.031853944
0.035626054	0.039043013	0.03672457	0.03588891	0.036306705	0.035990667	0.3502974	0.43012267
0.054614186	0.05983845	0.056284145	0.055020507	0.58870834	0.055167772	0.06457944	0.06578713
0.02100786	0.023021659	0.8419834	0.021172808	0.021403337	0.0212255	0.024860816	0.02532466
0.021007862	0.023027007	0.021650556	0.021167729	0.021405252	0.021221275	0.024845636	0.84567463
0.11696289	0.12815893	0.12054368	0.117847875	0.11916484	0.11815134	0.13827142	0.14089903
0.013007853	0.9029939	0.013405819	0.013105024	0.013255837	0.013138359	0.0153931	0.015700068
0.035621457	0.03902939	0.036710944	0.035887357	0.73173946	0.035982735	0.042119276	0.04290936
0.014897801	0.016328983	0.01536008	0.015015273	0.0151791815	0.015052338	0.017642831	0.89052355
0.013007934	0.014261875	0.43857247	0.47666898	0.013255015	0.013143186	0.015389467	0.015701056
0.026433215	0.02896379	0.027239788	0.21337721	0.026931347	0.026698014	0.031287942	0.6190687
0.03562684	0.039030436	0.03671016	0.035926893	0.73166597	0.035981823	0.042130962	0.042926937
0.021008415	0.02302537	0.02165998	0.84148586	0.021405013	0.021226432	0.024856009	0.025332887
0.007383586	0.008089109	0.007608156	0.007438367	0.0075215017	0.0074573886	0.0087322695	0.94576967
0.21673119	0.32787836	0.011899019	0.011630767	0.011759984	0.011662097	0.013659512	0.3947791
0.054609656	0.059863385	0.056303035	0.055019118	0.05565682	0.05517819	0.06457925	0.5987905
0.11696289	0.12815893	0.12054368	0.117847875	0.11916484	0.11815134	0.13827142	0.14089903
0.017436333	0.01910645	0.017971518	0.017567568	0.017767075	0.01761489	0.020658843	0.8718773
0.01743593	0.019114155	0.017970415	0.017564628	0.017767094	0.017619448	0.63293326	0.2595951
0.11696289	0.12815893	0.12054368	0.117847875	0.11916484	0.11815134	0.13827142	0.14089903
