topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.001472071	0.001547618	0.0015657939	0.0016804914	0.9833438	0.0014206603	0.001523349	0.0014251021	0.0015474398	0.0014932939	0.0014870185	0.0014934168
0.01820579	0.019140055	0.019364947	0.020783385	0.018957404	0.017570022	0.018839823	0.017624857	0.79418516	0.018468192	0.018390644	0.018469758
0.0039432934	0.004145693	0.004194399	0.004501685	0.004106108	0.0038055822	0.6031609	0.35601312	0.0041451654	0.0040001497	0.0039833453	0.0040004784
0.56353843	0.0043914095	0.00444299	0.004768477	0.25172794	0.004031143	0.0043225144	0.004043755	0.004390873	0.004237239	0.14586762	0.0042376104
0.014467935	0.015210593	0.015389051	0.016516382	0.015065246	0.013962637	0.014971892	0.0140063455	0.015208676	0.014676565	0.01461499	0.83590966
0.0120035615	0.012619528	0.01276775	0.394051	0.012499186	0.011584308	0.012421622	0.011620516	0.4839529	0.0121765975	0.01212545	0.012177607
0.42176548	0.0062410985	0.006314474	0.51759666	0.006181521	0.005729085	0.006143181	0.0057469876	0.0062403195	0.006021999	0.00599669	0.006022482
0.9378233	0.0057561686	0.0058237566	0.006250374	0.0057012397	0.0052839406	0.005665869	0.005300471	0.0057554636	0.0055540884	0.005530765	0.005554559
0.012003587	0.012619595	0.012767833	0.013703105	0.012499115	0.011584321	0.012421672	0.011620549	0.8643005	0.012176648	0.0121254735	0.012177616
0.0014419616	0.0015159689	0.001533768	0.53281933	0.0015014965	0.0013915992	0.0014921854	0.0013959473	0.0015157773	0.0014627486	0.0014566045	0.45247257
0.005936383	0.006241055	0.006314356	0.0067770323	0.0061815577	0.005729062	0.0061431727	0.005746979	0.0062403167	0.93267095	0.0059966915	0.006022479
0.007944039	0.008351745	0.008449784	0.009068869	0.9101144	0.007666599	0.008220709	0.00769056	0.008350724	0.008058571	0.008024709	0.008059256
0.007944062	0.00835176	0.9102919	0.009068847	0.008272029	0.0076666255	0.008220732	0.0076905643	0.008350813	0.008058589	0.008024744	0.008059271
0.018205686	0.019140009	0.019364804	0.02078329	0.018957376	0.017569883	0.018839808	0.017624803	0.794186	0.018468149	0.018390538	0.018469622
0.0059364014	0.49755183	0.006314445	0.006777333	0.0061814957	0.44106683	0.006143165	0.005746996	0.006240302	0.0060219984	0.0059967046	0.006022489
0.0047387956	0.9464288	0.0050405096	0.0054097255	0.0049344418	0.004573302	0.0049038613	0.0045876075	0.004981404	0.004807122	0.0047869375	0.004807518
0.0059364107	0.0062410547	0.006314343	0.0067769005	0.0061815092	0.0057290625	0.40426016	0.005746982	0.53477246	0.006021982	0.005996692	0.0060224566
0.014467893	0.015210357	0.015389113	0.016516296	0.20569637	0.013962622	0.014971793	0.014006276	0.0152085805	0.014676485	0.64521646	0.014677723
0.010256451	0.010782942	0.010909482	0.88497794	0.010679945	0.009898262	0.010613712	0.009929247	0.010781609	0.01040443	0.010360806	0.0104052145
0.0044401977	0.94980437	0.0047229356	0.00506893	0.0046235113	0.0042851293	0.004594848	0.0042985384	0.004667502	0.0045042145	0.0044852886	0.004504579
0.007139221	0.47213992	0.007593768	0.45530272	0.0074339435	0.006889872	0.00738786	0.0069114286	0.007504701	0.0072421655	0.0072116978	0.0072427057
0.0032220855	0.0033874451	0.9636147	0.0036783493	0.0033551108	0.0031095557	0.0033343046	0.0031192747	0.0033870277	0.0032685357	0.0032548136	0.0032688053
0.010256481	0.010782866	0.010909526	0.011708769	0.010679934	0.009898277	0.010613734	0.009929219	0.010781652	0.8836737	0.010360604	0.010405171
0.018205855	0.019140387	0.019364957	0.02078399	0.01895749	0.017569933	0.018839948	0.017624868	0.79418373	0.018468346	0.018390613	0.018469872
0.03766952	0.039603256	0.040068034	0.5775514	0.039225116	0.036353998	0.038981788	0.036467716	0.039597996	0.038212884	0.038052097	0.03821617
0.024547732	0.025807329	0.026110375	0.028023532	0.025561096	0.72037673	0.02540269	0.02376434	0.025804227	0.024901439	0.024796922	0.024903553
0.005936436	0.0062411246	0.00631438	0.0067770137	0.0061815577	0.0057291146	0.0061431997	0.005747003	0.0062403386	0.006022006	0.9326453	0.006022556
0.0039432896	0.004145677	0.0041943407	0.0045015872	0.0041061034	0.14375947	0.24476533	0.0038174666	0.57478285	0.004000139	0.003983329	0.0040004766
0.22887188	0.0028636884	0.00289731	0.0031095764	0.0028363704	0.002628763	0.74301404	0.0026369828	0.0028633354	0.002763163	0.0027515516	0.0027633891
0.007139198	0.0075056013	0.0075937444	0.008149986	0.38833684	0.0068898736	0.15504493	0.0069114137	0.39073184	0.0072421376	0.007211699	0.007242731
0.03766965	0.5741526	0.040067825	0.04300273	0.039224673	0.03635397	0.03898192	0.036467712	0.039598186	0.038212698	0.038052034	0.038216062
0.004177022	0.004391424	0.004442997	0.004768529	0.004349513	0.0040311525	0.004322498	0.0040437537	0.0043908586	0.004237243	0.64959484	0.3072501
