topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15
0.0011286378	0.0011639732	0.0012425404	0.0012744641	0.9822968	0.0011307851	0.0011440833	0.0011355645	0.0011934845	0.0011453512	0.001172857	0.0011572498	0.0011343679	0.0012526668	0.0011792112	0.0012479385
0.013845211	0.014278676	0.015242477	0.015634088	0.014615379	0.013871565	0.014034683	0.78214663	0.014640696	0.014050238	0.014387656	0.014196198	0.0139155025	0.0153667	0.014465604	0.015308694
0.0030196821	0.003114223	0.0033244307	0.003409844	0.0031876587	0.0030254275	0.43395475	0.0030382148	0.0031931803	0.0030643994	0.0031379915	0.0030962336	0.0030350133	0.52190506	0.0031549921	0.0033388739
0.0031982907	0.0032984228	0.0035210638	0.0036115278	0.0033762024	0.0032043757	0.0032420591	0.0032179193	0.0033820502	0.0032456524	0.50329334	0.00327937	0.0032145283	0.0035497595	0.0033416036	0.45002386
0.011022632	0.011367729	0.012135039	0.012446817	0.011635788	0.0110436035	0.0111734755	0.01109028	0.0116559435	0.011185859	0.011454491	0.011302065	0.011078593	0.8277034	0.011516549	0.012187759
0.009156039	0.009442695	0.010080069	0.010339067	0.0096653635	0.0091734575	0.009281338	0.009212229	0.8564003	0.009291626	0.009514766	0.009388152	0.009202523	0.010162216	0.009566314	0.010123861
0.004541543	0.00468373	0.004999882	0.9290981	0.0047941767	0.0045501837	0.004603694	0.0045694155	0.00480248	0.004608796	0.004719477	0.0046566743	0.0045646005	0.005040625	0.0047450457	0.005021599
0.0041896105	0.004320779	0.0046124286	0.0047309315	0.0044226665	0.0041975817	0.004246945	0.004215323	0.0044303266	0.0042516524	0.004353757	0.004295821	0.004210881	0.004650018	0.0043773437	0.9344939
0.009156052	0.009442714	0.010080089	0.010339067	0.0096653765	0.009173472	0.009281353	0.009212245	0.009682121	0.009291641	0.009514782	0.0093881665	0.009202538	0.010162232	0.85628426	0.010123881
0.0011055656	0.0011401788	0.0012171399	0.23966914	0.001167065	0.001107669	0.0011206954	0.0011123506	0.0011690866	0.36356014	0.0011488809	0.38176638	0.0011111785	0.0012270593	0.0011551053	0.0012224279
0.0045415326	0.004683719	0.0049998662	0.0051283264	0.6132988	0.004550173	0.004603685	0.0045694048	0.00480247	0.32007408	0.004719467	0.004656664	0.0045645903	0.005040616	0.004745036	0.005021588
0.0060715056	0.006261592	0.0066842437	0.006855981	0.28030878	0.0060830573	0.006154594	0.0061087674	0.006420348	0.0061614155	0.0063093826	0.0062254234	0.0061023305	0.006738721	0.0063435645	0.6311703
