topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.0010104266	0.001056948	0.0010844026	0.0011563334	0.9820134	0.0010235887	0.001035891	0.001031183	0.0010789321	0.0010350983	0.0010247137	0.0010386208	0.0010419337	0.0011026127	0.0010437294	0.0010609215	0.0010826113	0.0010786247
0.0123692285	0.012938725	0.013274814	0.01415536	0.013344581	0.012530355	0.012680954	0.7790945	0.013207846	0.012671251	0.012544128	0.012714372	0.012754926	0.013497734	0.012776908	0.012987368	0.013252886	0.013204083
0.0027025617	0.0028269915	0.0029004235	0.0030928154	0.0029156671	0.0027377661	0.4055726	0.0027580787	0.0028857912	0.0027685508	0.0027407755	0.0027779723	0.0027868333	0.5491233	0.002791636	0.0028376193	0.0028956325	0.0028849698
0.0028623373	0.0029941231	0.0030718965	0.0032756624	0.0030880417	0.002899623	0.002934473	0.0029211363	0.0030563993	0.0029322277	0.3755001	0.002942206	0.0029515908	0.0031234825	0.0029566775	0.5763677	0.0030668224	0.0030555292
0.009852123	0.010305729	0.0105734235	0.011274782	0.010628994	0.009980461	0.010100414	0.010054509	0.010520083	0.010092685	0.009991431	0.010127033	0.010159333	0.010750981	0.82417053	0.010344473	0.010555958	0.010517088
0.008186239	0.008563144	0.008785575	0.009368342	0.00883175	0.008292875	0.008392545	0.008354403	0.46592188	0.008386124	0.008301991	0.39667928	0.008441502	0.008933109	0.00845605	0.008595337	0.008771063	0.008738765
0.0040635886	0.0042506815	0.004361095	0.92793053	0.004384015	0.004116522	0.0041659977	0.004147064	0.004339094	0.00416281	0.004121047	0.004176976	0.0041902997	0.0044343295	0.0041975207	0.0042666616	0.004353891	0.004337858
0.0037489182	0.0039215237	0.0040233866	0.004290267	0.0040445323	0.003797753	0.0038433974	0.0038259297	0.0040030894	0.0038404565	0.0038019274	0.0038535255	0.0038658173	0.004090951	0.0038724795	0.9331574	0.0040167407	0.00400195
0.0081862435	0.008563149	0.00878558	0.009368347	0.008831754	0.00829288	0.008392551	0.008354408	0.008741258	0.008386129	0.008301996	0.008414667	0.008441507	0.008933114	0.8539012	0.008595342	0.008771068	0.008738769
0.0009897732	0.0010353437	0.0010622371	0.7091271	0.00106782	0.0010026663	0.0010147172	0.0010101055	0.0010568784	0.0010139408	0.0010037684	0.0010173912	0.0010206364	0.0010800752	0.27434123	0.0010392361	0.0010604826	0.0010565775
0.0040635774	0.0042506703	0.004361083	0.0046503637	0.0043840036	0.004116511	0.0041659866	0.0041470528	0.004339082	0.92744315	0.004121036	0.004176965	0.0041902885	0.004434318	0.00419751	0.0042666504	0.0043538795	0.0043378468
0.005431173	0.005681231	0.005828803	0.0062154406	0.9033199	0.005501921	0.0055680475	0.005542741	0.005799398	0.0055637867	0.0055079684	0.00558272	0.0056005274	0.005926685	0.005610179	0.005702591	0.0058191754	0.0057977466
0.005431205	0.005681265	0.6500059	0.0062154783	0.005859473	0.005501954	0.0055680806	0.0055427747	0.0057994323	0.00556382	0.0055080014	0.0055827536	0.0056005614	0.0059267203	0.005610213	0.0057026236	0.0058192103	0.25908056
0.012369219	0.012938715	0.013274802	0.014155349	0.01334457	0.012530345	0.012680945	0.012623313	0.7796792	0.012671242	0.012544118	0.012714362	0.012754917	0.013497723	0.012776898	0.012987358	0.013252875	0.013204073
0.0040635862	0.004250679	0.004361092	0.0046503735	0.0043840124	0.23675218	0.0041659954	0.0041470616	0.004339091	0.0041628075	0.0041210447	0.004176974	0.0041902973	0.004434327	0.26621613	0.0042666597	0.004353889	0.43296376
0.0032461833	0.003395642	0.003483845	0.003714936	0.003502155	0.003288469	0.0033279927	0.0033128674	0.0034662695	0.003325446	0.0032920837	0.0033367625	0.003347406	0.0035423485	0.94206583	0.0034084078	0.0034780905	0.0034652827
0.0040635825	0.0042506754	0.004361088	0.004650369	0.004384009	0.004116516	0.0041659917	0.004147058	0.6203112	0.0041628038	0.004121041	0.00417697	0.0041902936	0.0044343234	0.0041975146	0.31157485	0.004353885	0.004337852
0.009852093	0.010305696	0.010573391	0.011274747	0.43433705	0.009980429	0.010100382	0.0100544775	0.010520049	0.010092653	0.40027758	0.010126999	0.010159302	0.0107509475	0.0101768095	0.01034444	0.010555926	0.010517054
0.007002233	0.0073246257	0.007514885	0.57877994	0.0075543807	0.0070934463	0.0071787015	0.0071460754	0.0074769743	0.007173208	0.0071012434	0.0071976185	0.3042531	0.007641081	0.007233021	0.007352162	0.0075024725	0.007474845
0.0030421955	0.9457461	0.0032649229	0.0034814924	0.003282082	0.0030818242	0.003118864	0.0031046893	0.0032484517	0.0031164775	0.0030852116	0.003127083	0.0031370574	0.0033197498	0.0031424637	0.003194226	0.0032595298	0.0032475267
0.0048833387	0.005108175	0.005240861	0.0055885003	0.005268405	0.004946951	0.0050064074	0.004983654	0.0052144215	0.0050025764	0.0049523883	0.0050196005	0.0050356113	0.0053288694	0.00504429	0.0051273783	0.005232204	0.9130163
0.0022092531	0.0023109703	0.0023709987	0.4005051	0.0023834596	0.0022380317	0.0022649302	0.0022546365	0.0023590373	0.002263197	0.5625534	0.0022708988	0.0022781424	0.0024108144	0.0022820684	0.0023196582	0.0023670823	0.0023583656
0.007002231	0.0073246234	0.007514883	0.008013363	0.007554379	0.0070934445	0.007178699	0.007146073	0.5301282	0.007173206	0.0071012415	0.0071976166	0.007220575	0.007641079	0.007233019	0.00735216	0.3526504	0.007474843
0.012369257	0.012938756	0.013274844	0.014155395	0.013344612	0.012530384	0.012680984	0.012623351	0.77967846	0.012671281	0.012544157	0.012714401	0.012754956	0.013497766	0.012776938	0.012987398	0.0132529205	0.013204114
0.025293952	0.02645852	0.027145788	0.02894643	0.027288457	0.025623439	0.025931403	0.025813548	0.027008843	0.02591156	0.025651604	0.54845446	0.026082668	0.027601643	0.02612762	0.02655799	0.02710095	0.027001154
0.016613953	0.017378882	0.017830303	0.019013029	0.017924014	0.3605681	0.017032653	0.016955242	0.017740352	0.017019618	0.016848871	0.35967135	0.01713201	0.018129723	0.017161535	0.017444216	0.017800853	0.017735302
