topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24
0.00077031733	0.0007652942	0.0008009828	0.00082557	0.9812462	0.00077075814	0.0007763585	0.0007556508	0.0007979416	0.0007672982	0.000773531	0.0007589269	0.00074980577	0.00083040213	0.00077856047	0.0007934548	0.00077312207	0.0007854415	0.00080786226	0.00077241246	0.0007778625	0.00077562325	0.00079431746	0.0007644605	0.0007878633
0.009380477	0.009319307	0.009753903	0.0100533115	0.0095309755	0.43641454	0.009454042	0.009201876	0.009716868	0.009343712	0.009419611	0.00924177	0.009130699	0.010112154	0.009480856	0.009662231	0.009414631	0.009564649	0.009837677	0.00940599	0.009472357	0.009445089	0.009672736	0.009309155	0.34466136
0.0020587286	0.4435212	0.0021406845	0.0022063954	0.0020917587	0.0020599067	0.44255617	0.0020195313	0.0021325566	0.0020506599	0.0020673175	0.002028287	0.06783406	0.0022193096	0.002080759	0.0021205654	0.0020662246	0.0020991492	0.0021590702	0.0020643282	0.0020788938	0.0020729091	0.0021228706	0.0020430759	0.0021056214
0.0021802785	0.0021660612	0.002267073	0.0023366637	0.0022152585	0.002181526	0.002197377	0.111915916	0.0022584652	0.0021717334	0.0021893743	0.0021480394	0.0021222231	0.0023503404	0.0022036096	0.5819861	0.002188217	0.0022230854	0.0022865443	0.0021862085	0.002201634	0.25738236	0.0022482076	0.0021637015	0.00222994
0.0074802507	0.007431473	0.0077780318	0.008016788	0.007600263	0.007484531	0.0075389137	0.00733783	0.0077484995	0.0074509336	0.0075114574	0.0073696426	0.007281071	0.81835246	0.0075602964	0.00770493	0.0075074867	0.0076271156	0.007844835	0.007500596	0.007553519	0.0075317747	0.0077133067	0.007423377	0.007650633
0.0062202103	0.006179649	0.0064678304	0.28382972	0.0063200067	0.00622377	0.0062689916	0.00610178	0.57152534	0.0061958316	0.0062461603	0.0061282343	0.006054582	0.0067053875	0.0062867724	0.0064070425	0.0062428582	0.006342336	0.0065233805	0.0062371283	0.0062811365	0.0062630554	0.0064140083	0.006172917	0.0063618915
0.47071975	0.0030733899	0.003216714	0.44515795	0.0031431955	0.0030953328	0.0031178235	0.0030346625	0.0032045005	0.0030814381	0.0031064686	0.003047819	0.003011189	0.0033348608	0.0031266666	0.0031864818	0.01517837	0.0031543006	0.0032443414	0.0031019766	0.0031238638	0.003114871	0.003189946	0.0030700418	0.0031640264
0.0028544252	0.0028358118	0.0029680568	0.003059165	0.0029002214	0.0028560588	0.0028768107	0.0028000784	0.0029567876	0.002843238	0.0028663336	0.002812218	0.0027784193	0.0030770707	0.0028849703	0.9305473	0.0028648183	0.0029104683	0.0029935488	0.002862189	0.0028823842	0.0028740866	0.0029433582	0.0028327226	0.0029194423
0.006220208	0.0061796466	0.0064678276	0.0066663655	0.0063200044	0.006223767	0.0062689893	0.006101778	0.00644327	0.0061958292	0.006246158	0.0061282315	0.0060545797	0.0067053847	0.5833944	0.00640704	0.2713807	0.0063423337	0.006523378	0.006237126	0.006281134	0.0062630526	0.0064140055	0.0061729145	0.006361889
0.0007545781	0.00074965757	0.00078461703	0.59715754	0.0007666845	0.0007550099	0.0007604958	0.0007402113	0.00078163797	0.00075162074	0.00075772614	0.0007434204	0.0007344856	0.00081343524	0.00076265284	0.0007772429	0.00075732556	0.0007693933	0.26887968	0.00075663044	0.00076196913	0.00075977563	0.0007780879	0.0007488409	0.11719732
