topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29
0.0006409032	0.0006569537	0.00067770184	0.00069267384	0.00067127467	0.0006501296	0.0006592956	0.00063877157	0.00064964755	0.000642868	0.00064537814	0.00064506324	0.00064299285	0.0006759194	0.0006613922	0.00066653715	0.00066149235	0.0006636366	0.00068582717	0.00064973184	0.00065669935	0.0006547568	0.0006761638	0.00065236853	0.00065727864	0.00066443335	0.00064732064	0.2227935	0.00065688684	0.7587624
0.007785248	0.007980219	0.008232253	0.008414122	0.00815418	0.007897324	0.008008666	0.76780164	0.007891469	0.0078091156	0.007839607	0.007835781	0.007810632	0.008210601	0.008034134	0.008096632	0.0080353515	0.008061398	0.008330954	0.007892492	0.007977129	0.007953533	0.00821357	0.007924521	0.007984166	0.008071077	0.007863203	0.007838656	0.007979407	0.008072869
0.0017122211	0.0017551014	0.0018105315	0.0018505303	0.0017933608	0.0017368702	0.0017613578	0.9489323	0.0017355824	0.0017174702	0.0017241763	0.001723335	0.0017178038	0.0018057695	0.0017669591	0.0017807041	0.0017672266	0.0017729552	0.001832239	0.0017358075	0.0017544217	0.0017492321	0.0018064226	0.0017428516	0.0017559694	0.0017750837	0.0017293658	0.0017239673	0.0017549227	0.0017754779
0.0018132529	0.0018586634	0.0019173642	0.0019597232	0.0018991804	0.0018393565	0.0018652889	0.0018072221	0.0018379927	0.0018188119	0.94593763	0.0018250226	0.0018191651	0.0019123214	0.0018712208	0.001885777	0.0018715041	0.0018775708	0.0019403526	0.0018382311	0.0018579437	0.0018524479	0.0019130129	0.0018456909	0.0018595827	0.0018798249	0.0018314093	0.0018256921	0.0018584742	0.0018802424
0.006211551	0.006367111	0.0065681986	0.0067133056	0.0065059075	0.0063009723	0.006389808	0.0061908914	0.0062963003	0.0062305937	0.8148019	0.0062518697	0.006231804	0.006550924	0.006410128	0.006459992	0.0064110984	0.0064318804	0.006646949	0.006297117	0.0063646454	0.0063458188	0.0065532927	0.0063226717	0.00637026	0.0064396025	0.0062737484	0.006254163	0.0063664624	0.0064410325
0.005167101	0.005296504	0.00546378	0.005584487	0.0054119625	0.0052414862	0.0053153844	0.0051499153	0.0052376003	0.005182942	0.0052031795	0.84593976	0.0051839487	0.0054494096	0.005332288	0.0053737676	0.0053330953	0.005350383	0.005529288	0.0052382797	0.0052944534	0.005278792	0.0054513803	0.005259537	0.005299124	0.005356807	0.00521884	0.005202548	0.005295965	0.005357996
0.22244595	0.0026365374	0.002719805	0.40371948	0.0026940112	0.0026091503	0.0026459359	0.0025635674	0.0026072157	0.0025800073	0.0025900814	0.0025888174	0.0025805086	0.0027126519	0.0026543501	0.0026749982	0.30256316	0.0026633576	0.0027524144	0.0026075537	0.0026355165	0.0026277206	0.0027136328	0.0026181357	0.0026378413	0.002666555	0.002597877	0.0025897673	0.002636269	0.0026671474
0.0023734567	0.0024328968	0.0025097332	0.002565179	0.0024859314	0.0024076249	0.0024415692	0.0023655626	0.0024058397	0.002380733	0.52229464	0.0023888627	0.0023811953	0.0025031322	0.0024493337	0.40940884	0.0024497046	0.0024576453	0.0025398238	0.0024061517	0.0024319547	0.0024247607	0.0025040375	0.0024159162	0.0024341	0.002460596	0.0023972224	0.002389739	0.002432649	0.0024611424
0.0051671066	0.45844004	0.0054637855	0.0055844933	0.005411968	0.005241492	0.00531539	0.005149921	0.0052376054	0.0051829475	0.0052031847	0.39279604	0.005183954	0.005449415	0.0053322935	0.005373773	0.005333101	0.0053503886	0.0055292943	0.005238285	0.005294459	0.0052787974	0.005451386	0.0052595427	0.0052991295	0.0053568124	0.0052188453	0.0052025537	0.0052959705	0.0053580017
0.0006278117	0.0006435344	0.00066385866	0.1262311	0.0006575628	0.00063684967	0.00064582843	0.0006257236	0.0006363775	0.0006297364	0.00063219527	0.24350803	0.0006298587	0.00066211267	0.00064788223	0.0006529221	0.0006479803	0.0006500808	0.48539054	0.00063646	0.0006432852	0.00064138236	0.00066235213	0.0006390428	0.0006438527	0.00065086124	0.0006340981	0.0006321186	0.12814556	0.0006510058
0.0025721209	0.002636536	0.002719804	0.0027798908	0.0026940098	0.0026091489	0.0026459345	0.002563566	0.0026072145	0.0025800061	0.0025900803	0.0025888162	0.0025805072	0.0027126505	0.002654349	0.002674997	0.0026547508	0.37561345	0.0027524133	0.0026075526	0.0026355153	0.0026277192	0.0027136316	0.0026181343	0.00263784	0.002666554	0.002597876	0.002589766	0.0026362676	0.55043894
0.89757407	0.003520578	0.0036317657	0.003712	0.003597323	0.0034840077	0.0035331277	0.0034231406	0.0034814246	0.0034450933	0.003458545	0.0034568573	0.0034457624	0.0036222138	0.0035443634	0.003571935	0.0035449	0.003556391	0.0036753092	0.003481876	0.0035192147	0.0035088048	0.0036235237	0.0034960061	0.0035223193	0.0035606609	0.0034689547	0.0034581257	0.0035202196	0.0035614516
0.00343456	0.003520574	0.8977714	0.0037119957	0.003597319	0.0034840037	0.0035331235	0.0034231367	0.0034814205	0.0034450893	0.0034585411	0.0034568533	0.0034457585	0.0036222097	0.0035443592	0.0035719308	0.003544896	0.0035563868	0.0036753048	0.0034818721	0.0035192107	0.0035088006	0.0036235196	0.003496002	0.003522315	0.0035606567	0.0034689507	0.0034581216	0.0035202154	0.0035614474
0.0077852416	0.007980213	0.008232246	0.008414116	0.008154173	0.007897317	0.00800866	0.007759348	0.007891462	0.007809109	0.007839601	0.007835775	0.0078106257	0.008210594	0.008034128	0.008096625	0.008035344	0.008061391	0.008330947	0.007892486	0.007977122	0.7679961	0.008213563	0.007924515	0.0079841595	0.00807107	0.007863197	0.00783865	0.0079793995	0.008072862
0.57308096	0.0026365386	0.0027198065	0.0027798933	0.0026940126	0.0026091514	0.002645937	0.0025635685	0.0026072168	0.0025800087	0.0025900826	0.0025888188	0.0025805098	0.0027126533	0.0026543515	0.0026749996	0.0026547534	0.0026633588	0.0027524158	0.0026075551	0.0026355179	0.35284066	0.0027136342	0.0026181368	0.0026378427	0.0026665565	0.0025978782	0.0025897685	0.0026362701	0.0026671486
0.002055876	0.0021073627	0.002173918	0.002221945	0.0021533011	0.0020854722	0.0021148748	0.0020490382	0.002083926	0.0020621787	0.37271166	0.0020692206	0.0020625794	0.56816036	0.0021216003	0.002138104	0.0021219216	0.0021288	0.0021999823	0.0020841963	0.0021065467	0.0021003154	0.0021689844	0.0020926544	0.0021084049	0.0021313557	0.002076462	0.0020699797	0.002107148	0.002131829
0.0025721309	0.0026365465	0.0027198144	0.0027799015	0.0026940205	0.002609159	0.002645945	0.002563576	0.0026072245	0.0025800162	0.0025900903	0.0025888262	0.0025805174	0.0027126612	0.0026543592	0.47504058	0.002654761	0.0026633667	0.002752424	0.0026075628	0.45099145	0.0026277294	0.002713642	0.0026181445	0.0026378504	0.0026665644	0.002597886	0.0025897762	0.002636278	0.0026671565
0.0062115532	0.0063671134	0.0065682014	0.006713308	0.00650591	0.0063009746	0.0063898102	0.006190894	0.0062963027	0.006230596	0.0062549245	0.006251872	0.0062318062	0.0065509262	0.0064101303	0.0064599947	0.006411101	0.0064318827	0.006646951	0.0062971194	0.006364648	0.8148927	0.006553295	0.006322674	0.0063702627	0.0064396053	0.0062737507	0.006254166	0.0063664652	0.006441035
0.0044233254	0.0045341016	0.004677299	0.42550558	0.0046329405	0.004487003	0.004550264	0.0044086133	0.0044836765	0.004436886	0.0044542104	0.0044520367	0.004437748	0.004664997	0.0045647346	0.0046002436	0.44750434	0.004580225	0.0047333776	0.004484258	0.004532346	0.004518939	0.004666684	0.0045024557	0.004536344	0.004585724	0.004467617	0.0044536702	0.0045336396	0.0045867423
0.0019269586	0.64298975	0.089718044	0.0020826138	0.0020182743	0.001954699	0.0019822577	0.0019205495	0.0019532496	0.001932866	0.0019404131	0.0019394662	0.0019332414	0.0020322392	0.0019885614	0.0020040304	0.0019888626	0.0019953095	0.0020620285	0.001953503	0.0019744518	0.0019686113	0.0020329743	0.0019614305	0.0019761936	0.21390982	0.0019462535	0.0019401778	0.0019750155	0.0019981486
0.0030892729	0.0031666395	0.003266649	0.19743922	0.003235669	0.0031337459	0.0031779276	0.003078998	0.0031314224	0.0030987435	0.003110843	0.003109325	0.0030993454	0.0032580576	0.0031880336	0.0032128333	0.0031885165	0.7138806	0.003305815	0.0031318285	0.0031654134	0.0031560499	0.0032592358	0.0031445378	0.0031682057	0.0032026928	0.003120206	0.0031104658	0.003166317	0.003203404
0.001400161	0.0014352261	0.0014805538	0.0015132626	0.0014665126	0.0014203176	0.0014403422	0.001395504	0.0014192645	0.0014044534	0.0014099373	0.0014092493	0.0014047262	0.0014766597	0.0014449226	0.0014561627	0.0014451414	0.0014498258	0.001498305	0.0014194485	0.0014346703	0.0014304265	0.58787996	0.0014252089	0.37187728	0.0014515666	0.001414181	0.0014097663	0.0014350798	0.0014518889
0.0044233343	0.0045341104	0.0046773083	0.004780641	0.0046329494	0.004487012	0.004550273	0.004408622	0.0044836854	0.004436895	0.0044542192	0.0044520455	0.0044377567	0.0046650064	0.0045647435	0.0046002525	0.86822903	0.0045802337	0.004733387	0.004484267	0.004532355	0.004518948	0.0046666935	0.0045024646	0.004536353	0.004585733	0.0044676256	0.004453679	0.004533649	0.004586751
0.007785248	0.007980219	0.008232253	0.008414122	0.00815418	0.007897324	0.008008666	0.007759355	0.007891469	0.0078091156	0.007839607	0.32910618	0.007810632	0.008210601	0.008034134	0.008096632	0.2261794	0.008061398	0.008330954	0.007892492	0.228605	0.007953533	0.00821357	0.007924521	0.007984166	0.008071077	0.007863203	0.007838656	0.007979407	0.008072869
0.01578181	0.016177045	0.016687952	0.017056629	0.016529689	0.016009005	0.01623471	0.015729321	0.015997134	0.015830193	0.5294635	0.015884249	0.015833268	0.01664406	0.01628634	0.01641303	0.016288806	0.016341606	0.016888034	0.01599921	0.016170781	0.016122947	0.01665008	0.016064137	0.016185045	0.016361225	0.015939835	0.015890077	0.016175397	0.01636486
0.010426942	0.01068807	0.011025624	0.011269206	0.010921059	0.6891968	0.01072617	0.010392263	0.0105692055	0.010458908	0.010499746	0.010494622	0.010460939	0.010996626	0.01076028	0.010843985	0.01076191	0.010796795	0.011157816	0.010570576	0.010683932	0.010652328	0.0110006025	0.010613473	0.010693356	0.010809758	0.010531348	0.0104984725	0.010686982	0.010812158
0.0025721346	0.0026365502	0.0027198184	0.0027799057	0.0026940242	0.124869145	0.0026459487	0.0025635797	0.0026072282	0.0025800199	0.002590094	0.00258883	0.0025805212	0.0027126651	0.0026543632	0.0026750113	0.002654765	0.0026633705	0.002752428	0.0026075665	0.0026355293	0.0026277332	0.5740894	0.0026181482	0.0026378543	0.0026665682	0.0025978896	0.00258978	0.229722	0.0026671602
0.0017122264	0.0017551067	0.0018105371	0.001850536	0.0017933663	0.10417066	0.0017613631	0.0017065315	0.0017355877	0.0017174756	0.0017241817	0.0017233402	0.0017178091	0.15689203	0.0017669644	0.0017807096	0.0017672321	0.0017729606	0.0018322446	0.0017358128	0.29028118	0.0017492375	0.0018064282	0.0017428569	0.0017559748	0.0017750892	0.0017293711	0.0017239725	0.001754928	0.40295425
0.0011843104	0.0012139699	0.0012523098	0.0012799762	0.0012404332	0.0012013597	0.0012182973	0.0011803715	0.001200469	0.0011879412	0.0011925796	0.0011919977	0.0011881719	0.0012490161	0.0012221716	0.9647288	0.0012223567	0.001226319	0.0012673246	0.0012006246	0.0012134998	0.0012099103	0.0012494678	0.001205497	0.0012145704	0.0012277913	0.0011961691	0.001192435	0.0012138463	0.001228064
