topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.0004931759	0.0005053966	0.0005102813	0.0005197153	0.9804779	0.00049838703	0.00049330166	0.00049098814	0.00050519523	0.0005010897	0.00049150997	0.0004948022	0.0004948548	0.00050192844	0.0004931654	0.0005071122	0.0004966666	0.0005019498	0.0005116807	0.00049312314	0.000496529	0.00050169445	0.0005054701	0.00049327867	0.0005069328	0.00052092434	0.00049145694	0.000489644	0.0005022535	0.00050169544	0.00050177873	0.00050356664	0.00050166633	0.0005123005	0.0005000823	0.00050033175	0.00049819937	0.0004982464	0.0004931014	0.0004985556
0.005971583	0.006119557	0.006178703	0.0062929345	0.0062278467	0.0060346825	0.0059731063	0.0059450935	0.0061171185	0.006067407	0.25841504	0.005991276	0.0059919124	0.28680217	0.0059714564	0.00614033	0.00601385	0.0060778214	0.006195647	0.0059709447	0.006012184	0.00607473	0.0061204466	0.0059728283	0.0061381585	0.006307573	0.00595077	0.23013163	0.0060814987	0.006074742	0.00607575	0.006097399	0.00607439	0.0062031527	0.006055209	0.00605823	0.0060324096	0.006032979	0.0059706816	0.0060367235
0.0013169245	0.0013495574	0.001362601	0.0013877926	0.0013734387	0.0013308398	0.28723225	0.2711809	0.0013490197	0.0013380566	0.001312476	0.0013212673	0.0013214077	0.0013402965	0.0013168965	0.0013541385	0.0013262457	0.0013403534	0.0013663376	0.0013167836	0.0013258783	0.0013396716	0.0013497536	0.0013171991	0.0013536596	0.39210317	0.0013123344	0.0013074933	0.0013411643	0.0013396742	0.0013398966	0.0013446709	0.0013395966	0.001367993	0.0013353666	0.0013360329	0.0013303387	0.0013304643	0.0013167256	0.00133129
0.0013945677	0.0014291246	0.0014429372	0.0014696141	0.001454414	0.0014093035	0.0013949234	0.0013883814	0.0014285552	0.0014169458	0.11580206	0.0013991666	0.0013993153	0.0014193177	0.0013945381	0.0014339758	0.0014044385	0.001419378	0.0014468943	0.0013944185	0.0014040495	0.0014186559	0.0014293324	0.0013948585	0.0014334687	0.0014730328	0.0013897071	0.0013845805	0.0014202367	0.0014186588	0.0014188942	0.00142395	0.0014185765	0.0014486471	0.83034444	0.0014148026	0.0014087728	0.0014089057	0.0013943572	0.0014097801
0.0047678626	0.004886009	0.0049332324	0.0050244373	0.00497247	0.0048182425	0.0047690785	0.0047467123	0.004884062	0.0048443708	0.0047517573	0.49506295	0.004784094	0.00485248	0.0047677616	0.0049025943	0.0048016096	0.004852686	0.004946761	0.0047673527	0.0048002796	0.0048502176	0.004886719	0.004768857	0.00490086	0.0050361254	0.0047512446	0.0047337175	0.0048556216	0.004850227	0.004851032	0.0048683174	0.004849946	0.0049527534	0.0048346315	0.32085258	0.0048164283	0.004816883	0.0047671427	0.0048198723
0.00396802	0.004066346	0.004105648	0.0041815527	0.004138303	0.0040099486	0.0039690323	0.003950418	0.004064726	0.0040316936	0.0039546164	0.24140902	0.003981529	0.0040384424	0.003967936	0.00408015	0.003996106	0.0040386138	0.004116907	0.0039675958	0.003994999	0.0040365593	0.0040669376	0.0039688474	0.0040787067	0.00419128	0.00395419	0.0039396035	0.004041057	0.0040365676	0.6053996	0.004051623	0.0040363334	0.0041218945	0.0040235883	0.0040255953	0.0040084384	0.004008817	0.003967421	0.0040113046
0.0019775333	0.002026536	0.0020461227	0.3036443	0.002062397	0.0019984292	0.0019780379	0.0019687612	0.0020257286	0.0020092663	0.0019708534	0.001984055	0.0019842656	0.0020126295	0.0019774914	0.0020334153	0.0019915304	0.002012715	0.002051734	0.001977322	0.0019909788	0.0020116912	0.0020268306	0.0019779457	0.002032696	0.0020887991	0.0019706408	0.0019633714	0.0020139327	0.0020116952	0.002012029	0.0020191984	0.0020115785	0.0020542194	0.0020052267	0.0020062272	0.6200956	0.0019978653	0.0019772348	0.001999105
0.001824956	0.0018701778	0.0018882533	0.0019231632	0.0019032719	0.0018442397	0.0018254215	0.0018168606	0.0018694327	0.0018542404	0.0018187915	0.0018309742	0.0018311689	0.0018573443	0.0018249174	0.0018765262	0.0018378731	0.0018574232	0.0018934315	0.0018247609	0.001837364	0.0018564783	0.0018704497	0.0018253366	0.0018758625	0.0019276369	0.0018185953	0.0018118867	0.001858547	0.0018564821	0.0018567902	0.0018634063	0.0018563744	0.0018957253	0.9277076	0.0018514359	0.0018435451	0.0018437192	0.0018246806	0.0018448634
0.003968018	0.0040663444	0.0041056457	0.004181551	0.004138301	0.0040099467	0.0039690305	0.003950416	0.0040647243	0.0040316917	0.0039546145	0.0039811037	0.003981527	0.0040384405	0.0039679343	0.0040801475	0.003996104	0.004038612	0.004116905	0.003967594	0.003994997	0.0040365574	0.0040669357	0.0039688456	0.0040787044	0.004191278	0.003954188	0.0039396016	0.004041055	0.0040365653	0.0040372354	0.004051621	0.0040363315	0.0041218926	0.0040235864	0.0040255934	0.8427988	0.0040088147	0.0039674193	0.0040113027
0.0004831044	0.0004950756	0.00049986056	0.54115325	0.00050383626	0.0004882092	0.00048322763	0.00048096137	0.00049487833	0.13794567	0.00048147253	0.00048469758	0.0004847491	0.0004916783	0.0004830942	0.0004967561	0.00048652387	0.00049169915	0.17314528	0.00048305275	0.00048638906	0.000491449	0.00049514754	0.130113	0.00049658044	0.0005102862	0.0004814206	0.0004796447	0.00049199664	0.00049145	0.00049153157	0.00049328303	0.00049142155	0.0005018385	0.0004898698	0.0004901142	0.00048802534	0.0004880714	0.0004830315	0.0004883743
