topic_0	topic_1	topic_2	topic_3
0.0031459574	0.004021811	0.9885301	0.0043021166
0.84085745	0.051413838	0.05264258	0.055086106
0.00845767	0.39342546	0.011115796	0.587001
0.9644313	0.01152816	0.01169459	0.012346007
0.031803627	0.8840751	0.040854868	0.043266382
0.0261688	0.034228183	0.03422478	0.9053782
0.012798803	0.016425006	0.14989558	0.8208806
0.9536206	0.015113456	0.01518478	0.016081162
0.026089884	0.90393037	0.034052446	0.035927348
0.0030816775	0.0039811656	0.0040044067	0.9889328
0.0127680125	0.6826176	0.28653067	0.018083734
0.931221	0.022153702	0.022403907	0.024221398
0.017174276	0.022010002	0.9372233	0.023592444
0.040254794	0.051352415	0.8531012	0.055291586
0.26335585	0.5901193	0.016842956	0.12968187
0.010186557	0.9628553	0.013112309	0.0138458125
0.44287622	0.5229463	0.016603956	0.017573513
0.03164452	0.040260635	0.88506013	0.043034732
0.02220828	0.029136859	0.028857091	0.9197978
0.009510173	0.9648385	0.012494691	0.013156604
0.015375016	0.51951844	0.019865943	0.44524065
0.006904764	0.0088472245	0.9387395	0.04550849
0.022278516	0.02880488	0.029389644	0.91952693
0.040176168	0.8521481	0.051949948	0.05572578
0.08625505	0.6797548	0.111753955	0.12223618
0.78346074	0.06992891	0.07089965	0.07571071
0.33147025	0.016413685	0.63449633	0.017619697
0.28162602	0.6957676	0.011009035	0.011597363
0.9770028	0.007449861	0.0075180973	0.008029272
0.015404125	0.020054799	0.9433862	0.02115491
0.65923095	0.11221935	0.11139865	0.11715106
0.18502258	0.011659043	0.62839556	0.17492276
0.78499883	0.07008165	0.07051608	0.074403405
0.001189303	0.0015215998	0.001543192	0.9957459
0.010177082	0.96263355	0.013219556	0.01396981
0.008942342	0.6484887	0.011588584	0.33098033
0.0030119247	0.00386092	0.49943343	0.49369374
0.008971391	0.011437811	0.96708	0.0125108315
0.017173573	0.73086166	0.022234622	0.22973014
0.026148828	0.033675943	0.03379001	0.90638524
0.010176543	0.013082515	0.9625124	0.014228601
0.040208284	0.051229015	0.85346484	0.05509787
0.031598542	0.0406556	0.8842845	0.043461435
0.0075906455	0.009749276	0.97226447	0.010395677
0.013938649	0.018054634	0.01829881	0.9497079
0.04005634	0.85236335	0.052261256	0.05531908
0.4815959	0.019900398	0.02009688	0.47840682
0.32768548	0.0054374635	0.66104984	0.0058271848
0.0005092325	0.0006492968	0.00065946346	0.99818206
0.59922576	0.018100344	0.018000703	0.36467317
0.68626034	0.019901931	0.2727219	0.02111586
0.4321059	0.0410515	0.041268226	0.48557433
0.031721503	0.04101311	0.8831934	0.04407205
0.0033527222	0.00432214	0.18770865	0.80461645
0.022307696	0.029113552	0.9177994	0.030779358
0.010891214	0.014124573	0.48661482	0.4883694
0.054679938	0.069693595	0.79530054	0.08032592
0.9528277	0.015423947	0.015308949	0.016439445
0.031659074	0.040581506	0.040959284	0.8868001
0.81260735	0.14099422	0.022270547	0.024127882
0.39852965	0.5884774	0.0063069235	0.006686091
0.022225551	0.028811276	0.918353	0.030610159
0.010201508	0.92216635	0.013356188	0.05427597
0.9124132	0.028342385	0.028970025	0.030274434
0.019362016	0.02489557	0.02509442	0.93064797
0.006325327	0.97689235	0.008143038	0.008639219
0.040169284	0.05200549	0.051775087	0.85605013
0.03159214	0.040994577	0.88372177	0.04369146
0.0075941947	0.4985585	0.009870807	0.48397648
0.011776409	0.015311264	0.0152541185	0.9576582
0.04029392	0.8524463	0.05190384	0.055355888
0.77557045	0.016344853	0.19056489	0.017519822
0.46471846	0.519685	0.0075679286	0.008028612
0.5032666	0.022264356	0.022475148	0.45199397
0.3126651	0.57956547	0.009430491	0.09833891
0.012822045	0.016491575	0.7524566	0.21822976
0.01716405	0.022134751	0.9372234	0.023477841
0.022264058	0.91860825	0.02870763	0.030420046
0.026230423	0.90336466	0.033618413	0.03678656
0.010912656	0.23540227	0.7385282	0.015156881
0.007618644	0.009844724	0.012100315	0.9704363
0.3017014	0.65222317	0.0223721	0.023703368
0.9382614	0.020058826	0.020132558	0.021547252
0.0058301846	0.9782716	0.007603065	0.008295183
0.009553367	0.53214264	0.4451132	0.0131907435
0.086259626	0.680643	0.11265063	0.12044675
0.015404129	0.6074034	0.35612148	0.021070978
0.054810233	0.07006845	0.49293503	0.38218626
0.62459475	0.012279077	0.34982437	0.013301777
0.012792976	0.016526982	0.016702909	0.9539771
0.05471693	0.071157284	0.79832935	0.07579647
0.03159561	0.8832186	0.041691367	0.043494422
0.08669211	0.10993728	0.6836464	0.11972427
0.086838655	0.11050406	0.11473369	0.68792355
0.20362613	0.2584086	0.2615104	0.27645484
0.004452096	0.005749651	0.0057977694	0.9840005
0.89686006	0.03334827	0.034114227	0.035677426
0.010155201	0.013208087	0.013111018	0.9635257
0.8411167	0.05121555	0.05255934	0.055108372
0.022368044	0.028928958	0.9180016	0.030701416
0.007241656	0.009370442	0.009420097	0.9739678
0.7836694	0.07019431	0.070727065	0.075409174
0.040053487	0.8522616	0.052217335	0.055467606
0.017176798	0.20466907	0.022195993	0.7559581
0.5255189	0.008476693	0.008654982	0.4573494
0.054729987	0.7980667	0.071283154	0.07592022
0.65648925	0.11199181	0.111299984	0.12021901
0.012791436	0.95256925	0.016864687	0.017774623
0.03169903	0.8813678	0.041403268	0.0455299
0.04018383	0.852121	0.05228726	0.055407874
0.040055953	0.8533131	0.05182037	0.054810543
0.42976546	0.016592195	0.01654533	0.537097
0.20362613	0.2584086	0.2615104	0.27645484
0.9818035	0.0058958353	0.005977781	0.00632289
0.011775545	0.015171134	0.8332087	0.13984466
0.78169173	0.07054771	0.07147837	0.07628217
0.00562092	0.7931732	0.19346017	0.0077456553
0.017312251	0.9364244	0.022452492	0.023810888
0.011792085	0.015274314	0.9565477	0.016385917
0.086858615	0.11059848	0.6848781	0.11766484
0.01953871	0.024928728	0.02619295	0.9293396
0.04022272	0.05261013	0.053025287	0.8541419
0.94410896	0.01809579	0.018105133	0.019690126
0.0072168736	0.009364357	0.97333634	0.010082423
0.42458478	0.024703214	0.5235528	0.027159275
0.84029394	0.051734928	0.05218378	0.055787396
0.017169889	0.5342189	0.42426652	0.024344714
0.05507815	0.0706245	0.7981878	0.07610957
0.38766295	0.006242798	0.59931076	0.0067835
0.010169148	0.013079629	0.013255581	0.9634957
