topic_0	topic_1	topic_2	topic_3	topic_4	topic_5
0.0023486272	0.0028442205	0.0027111508	0.003024152	0.986807	0.0022648666
0.029828422	0.03614019	0.03444966	0.038393	0.03527163	0.8259171
0.0063167117	0.5207246	0.4512276	0.008165362	0.007475173	0.0060905223
0.96111983	0.008119662	0.0077462653	0.008630459	0.007929071	0.0064546694
0.8632272	0.028654495	0.027193144	0.030350013	0.027859716	0.022715487
0.019467266	0.023609424	0.022485452	0.025210705	0.89045227	0.018774869
0.009543601	0.011568234	0.0110470075	0.94734466	0.0112946695	0.009201796
0.9489837	0.010664064	0.010150895	0.011322066	0.010403139	0.0084760925
0.019465245	0.89111304	0.022510482	0.02511527	0.0230186	0.01877733
0.002301503	0.002793147	0.0026577986	0.987305	0.002723505	0.0022190292
0.009535657	0.011577138	0.01101709	0.012350477	0.9463219	0.009197729
0.012803247	0.015515814	0.014777462	0.016516034	0.015158662	0.9252288
0.01280594	0.015526308	0.92767096	0.016515173	0.015133608	0.012347954
0.8269948	0.036116194	0.034439564	0.038418747	0.03526603	0.02876465
0.009538302	0.6382548	0.0110428035	0.012366731	0.0112873195	0.31751
0.007599545	0.9575339	0.0087719895	0.009783951	0.008981868	0.007328729
0.37666935	0.5795329	0.011015929	0.012291242	0.011293935	0.009196597
0.02355259	0.028516544	0.2655261	0.030323783	0.6293622	0.02271879
0.016585326	0.020166969	0.019157132	0.90846217	0.019628575	0.015999828
0.0071170065	0.9601909	0.008234681	0.00918534	0.008410699	0.006861379
0.011489633	0.6059104	0.013268737	0.34466565	0.013588149	0.011077436
0.005155981	0.0062506488	0.9708551	0.006668956	0.0060976935	0.0049716407
0.016594598	0.020132937	0.019174688	0.48483577	0.019626465	0.43963552
0.029828241	0.83316475	0.034427527	0.0385264	0.03530509	0.028748024
0.063648365	0.0773559	0.07351902	0.08236458	0.64172477	0.061387353
0.040624753	0.049181983	0.046860598	0.052391186	0.048019703	0.76292175
0.009541083	0.011560398	0.32084292	0.012297159	0.63655496	0.009203432
0.006317967	0.6146123	0.007295257	0.00814174	0.007475566	0.3561572
0.97472936	0.0052788747	0.005026268	0.005613822	0.0051526823	0.00419901
0.011490712	0.013938602	0.013268553	0.014802824	0.9354181	0.011081222
0.6307403	0.077338785	0.07348224	0.08190154	0.07516438	0.061372824
0.006692497	0.008129572	0.45458868	0.008655937	0.007928181	0.5140052
0.76452005	0.04922047	0.046863064	0.052256428	0.047988035	0.039151974
0.0008918212	0.0010809227	0.0010300962	0.9950833	0.0010539943	0.0008599255
0.00760164	0.95750886	0.008781486	0.009794293	0.00898811	0.0073256367
0.0066915355	0.6129346	0.007727962	0.35827163	0.007920151	0.0064541483
0.002253996	0.0027314564	0.0026034224	0.3087686	0.68146855	0.0021739786
0.006695575	0.008110675	0.9621741	0.008644239	0.007919728	0.0064556543
0.012806156	0.9282336	0.0147963865	0.01665341	0.015164346	0.012346036
0.0194728	0.023624333	0.022475854	0.89262456	0.023030875	0.01877159
0.007598041	0.009215075	0.9570571	0.009816699	0.008982875	0.007330174
0.029844683	0.036138397	0.83147013	0.038466927	0.035330374	0.028749432
0.02354692	0.02853314	0.027188946	0.030350883	0.8676635	0.022716578
0.00567595	0.006882465	0.0065592146	0.0073171933	0.96809	0.005475165
0.010421198	0.012640786	0.012044767	0.94250745	0.012331749	0.010054069
0.0298107	0.83324003	0.03445798	0.038479608	0.03525017	0.028761504
0.011497341	0.013945735	0.013289544	0.014892796	0.93529356	0.011081045
0.003137798	0.15098774	0.0036256872	0.004053171	0.47452852	0.36366707
0.00038183344	0.00046255835	0.00044096776	0.9978953	0.00045120294	0.00036812905
0.93941134	0.0126657095	0.012032509	0.013498721	0.012338443	0.010053293
0.011490125	0.013923257	0.013270141	0.014794517	0.013584601	0.9329373
0.46938366	0.028583528	0.027201494	0.42421138	0.027899172	0.022720791
0.684773	0.028590837	0.027291046	0.030491507	0.2061313	0.02272224
0.002506638	0.0030425177	0.20334531	0.7857195	0.0029683101	0.0024177614
0.20568176	0.020178497	0.71711403	0.02141609	0.019613558	0.015996113
0.008150348	0.0098949075	0.5167452	0.44771317	0.009635218	0.007861101
0.040601194	0.049175587	0.7703938	0.052683447	0.04799372	0.039152276
0.9489295	0.010679568	0.010156975	0.0113484785	0.010408539	0.008476957
0.023562046	0.028558688	0.027194174	0.87007415	0.027894028	0.022716915
0.9255748	0.015561871	0.014783158	0.016555555	0.015174766	0.012349845
0.0036478208	0.6942286	0.00420881	0.004699803	0.0043164645	0.2888985
0.016587302	0.020137988	0.9062677	0.02139462	0.019613119	0.01599925
0.007602303	0.95745736	0.008786853	0.009836472	0.00898764	0.0073293922
0.90369487	0.020097418	0.019173607	0.021362903	0.019665364	0.01600582
0.014455016	0.017523257	0.016684348	0.92032546	0.01707763	0.013934297
0.20944469	0.76888627	0.0054472573	0.0060850647	0.0055852737	0.004551466
0.02982501	0.036227275	0.034423195	0.83547205	0.03530507	0.028747432
0.023550468	0.028601551	0.86689526	0.030400315	0.02783469	0.022717753
0.005676694	0.5566728	0.0065582413	0.41890243	0.006714669	0.0054751053
0.008792236	0.010683616	0.010150547	0.9514854	0.010409681	0.008478551
0.029822908	0.03618796	0.034417942	0.038455557	0.8323605	0.028755136
0.009540954	0.011553167	0.011004413	0.012281317	0.9464225	0.0091976505
0.49185637	0.48814762	0.0050294898	0.0056151655	0.0051518823	0.004199483
0.5200294	0.015541691	0.014803405	0.42214015	0.015138807	0.012346503
0.77483845	0.20032771	0.0062437737	0.0069846176	0.0063947504	0.0052107065
0.009541958	0.011568708	0.011024234	0.24103752	0.7176295	0.009198137
0.012802587	0.015530255	0.92765343	0.01649781	0.015165744	0.012350241
0.016588395	0.9072664	0.019151745	0.021373508	0.019620437	0.015999548
0.019477822	0.8911141	0.022465779	0.025173232	0.022997243	0.018771796
0.008151643	0.009905276	0.9539059	0.0105258925	0.009649178	0.0078621125
0.0056775995	0.0068925787	0.006557722	0.42626587	0.5491317	0.0054745325
0.012804942	0.6559449	0.014787926	0.016500264	0.015162179	0.28479978
0.6401125	0.013940041	0.013269239	0.01482214	0.30677208	0.01108399
0.004354711	0.0052878195	0.005029169	0.0056263325	0.0051533557	0.9745486
0.4235469	0.35141215	0.008230798	0.009195304	0.20075077	0.006864078
0.06363906	0.6439053	0.07355627	0.08226866	0.07522274	0.06140799
0.011491735	0.013961402	0.013256694	0.014798777	0.9354065	0.011084932
0.040603396	0.04919043	0.046933483	0.44078428	0.38331407	0.039174385
0.48708373	0.008634113	0.18482776	0.0091974605	0.008429374	0.30182755
0.009538533	0.011568445	0.01101033	0.5573512	0.40133464	0.00919686
0.04060413	0.049359698	0.7704411	0.052432027	0.047993645	0.03916937
0.023551222	0.8681976	0.027251234	0.030385794	0.027884236	0.022729894
0.063690595	0.07709297	0.07355879	0.08203605	0.075269744	0.62835187
0.630416	0.07713357	0.0735182	0.08226333	0.07529704	0.061371874
0.14713372	0.17809331	0.16976054	0.18931836	0.17379636	0.14189771
0.003322777	0.004030864	0.0038386292	0.8150949	0.003929003	0.16978382
0.019472077	0.02357864	0.022503499	0.025061589	0.02302925	0.8863549
0.007598092	0.15849821	0.008772293	0.80881643	0.0089885425	0.007326403
0.82695675	0.03612987	0.03446933	0.038418535	0.035259847	0.028765643
0.016594153	0.020133939	0.019171344	0.021384388	0.9067142	0.016001975
0.005405168	0.16763067	0.0062434333	0.8091142	0.0063934745	0.005213001
0.7643646	0.04923285	0.046873424	0.05236842	0.048005175	0.039155502
0.029810317	0.8332678	0.034449924	0.03848456	0.0352322	0.028755201
0.01280747	0.015555574	0.014777198	0.9293702	0.015143473	0.012346091
0.7908433	0.005977376	0.005693917	0.18690422	0.0058275093	0.004753666
0.040610205	0.77269965	0.04694737	0.052458525	0.04811048	0.039173786
0.063691214	0.07724922	0.0734579	0.0821225	0.64210445	0.061374746
0.009540365	0.9466187	0.011034395	0.012323053	0.011285414	0.009198055
0.023571067	0.8681051	0.027231343	0.030526571	0.027844777	0.0227211
0.029811379	0.036164604	0.03442594	0.03843249	0.035236392	0.8259292
0.029804705	0.833372	0.034426186	0.038372688	0.035280682	0.028743692
0.009540823	0.3762231	0.011014569	0.32568642	0.011281769	0.26625332
0.14713372	0.17809331	0.16976054	0.18931836	0.17379636	0.14189771
0.9801205	0.0041514575	0.0039575626	0.0044144457	0.004053665	0.0033024116
0.0087875435	0.010654275	0.010166269	0.011433855	0.010402106	0.948556
0.7643861	0.049205497	0.046877258	0.052338455	0.048038855	0.039153818
0.004193685	0.005090638	0.18865523	0.005413879	0.004960874	0.79168564
0.44384187	0.49730453	0.014790352	0.016539859	0.015174476	0.012348866
0.00879265	0.010668735	0.9503078	0.011365548	0.010387702	0.0084775705
0.06367636	0.0771308	0.07370018	0.08194175	0.075284146	0.62826675
0.014469738	0.01753502	0.016781436	0.92013115	0.01714463	0.013938027
0.029824164	0.03621026	0.034483068	0.44680077	0.42392465	0.028757079
0.93945146	0.012645862	0.012033938	0.013464639	0.012351694	0.0100524565
0.005401558	0.006557184	0.9694601	0.0069791526	0.0063901343	0.005211875
0.014450378	0.017510166	0.016739205	0.01888032	0.017114213	0.9153057
0.8269253	0.036169752	0.034411814	0.038485516	0.035255767	0.028751845
0.01280083	0.247536	0.014799508	0.016604003	0.6959167	0.012342877
0.7643375	0.0492046	0.046878166	0.052366693	0.04805846	0.039154567
0.0036475703	0.0044198963	0.004211319	0.004702694	0.9795025	0.0035160305
0.0075995745	0.009216585	0.0087847365	0.95808136	0.008988609	0.007329173
0.014461335	0.919144	0.016684784	0.018663168	0.01710726	0.013939523
0.8269451	0.036176626	0.034410987	0.03851594	0.035206668	0.028744655
0.06368007	0.07742404	0.07352069	0.082611114	0.37014717	0.3326169
0.004529586	0.005486876	0.0052309227	0.0058347983	0.97454965	0.0043681567
0.0029715213	0.98337555	0.003433982	0.0038419012	0.0035122116	0.00286478
0.010428143	0.94168395	0.012053092	0.013452222	0.012327282	0.010055315
0.008150474	0.009890265	0.23063701	0.01052133	0.009645837	0.73115504
0.34690177	0.017537089	0.5859266	0.018614441	0.017082676	0.013937394
0.863399	0.028524378	0.02717896	0.030325366	0.027862433	0.022709854
0.0104316445	0.012640703	0.9410996	0.013443763	0.012332773	0.010051558
0.0028219388	0.0034241534	0.65313315	0.0036455605	0.003341039	0.3336341
0.0075990725	0.3134457	0.008773364	0.009802185	0.26035848	0.4000212
0.019468442	0.02365165	0.889882	0.025201067	0.023029443	0.018767398
0.019467188	0.023595119	0.02250259	0.025072794	0.023010014	0.88635224
0.019479161	0.02358333	0.02249984	0.025072224	0.45045045	0.45891502
0.005402282	0.006550712	0.0062427097	0.9702014	0.006392874	0.0052100695
0.001846078	0.98967534	0.0021316886	0.0023829185	0.002183412	0.0017806021
0.0045300876	0.0054964973	0.18750267	0.79274017	0.005361096	0.004369462
0.0144546805	0.91909665	0.016717697	0.018684924	0.01711042	0.013935629
0.016597548	0.90712565	0.01914632	0.021504052	0.019625502	0.016000953
0.019472795	0.8911133	0.022512864	0.025090916	0.02303294	0.018777143
0.019460361	0.023593698	0.022475567	0.89267904	0.023017054	0.018774334
0.0016311799	0.0019794737	0.0018853975	0.99100196	0.0019286405	0.0015733032
0.019474125	0.89102644	0.022530377	0.02512735	0.023066966	0.018774727
0.012801154	0.9284293	0.014785189	0.016499663	0.015139183	0.012345562
0.24729232	0.008124076	0.72157043	0.008637897	0.007918482	0.006456747
0.008793618	0.0106572565	0.01016453	0.011332301	0.010418757	0.94863355
0.011495366	0.013946302	0.013265065	0.014801917	0.9354044	0.011086924
0.009536385	0.0115635395	0.94607973	0.01232788	0.011294055	0.009198391
0.016588917	0.90720856	0.01916674	0.021391695	0.019643378	0.016000738
0.06370428	0.077241145	0.073441826	0.082088016	0.6421494	0.061375283
0.34484676	0.023613632	0.02248212	0.5672327	0.023048587	0.018776236
0.02982313	0.8332882	0.034411434	0.03841542	0.035316654	0.028745133
0.93943954	0.012646475	0.012048465	0.013480367	0.012329879	0.010055265
0.0036458543	0.0044183834	0.0042143445	0.97989017	0.0043147206	0.0035164917
0.008152501	0.00989525	0.009416885	0.010508277	0.5124727	0.4495544
0.0056779785	0.9673536	0.006573749	0.0073398855	0.0067214034	0.006333448
0.7641621	0.049259566	0.04687222	0.052600335	0.04795435	0.03915135
0.003322399	0.70532537	0.003837728	0.0042998325	0.003932553	0.2792821
0.01658719	0.47237688	0.019172156	0.45623276	0.019628175	0.016002841
0.06363427	0.6441561	0.07352502	0.0819412	0.07537467	0.06136874
0.0045316014	0.6116121	0.0052318913	0.005839523	0.3684158	0.0043690437
0.0066912672	0.35036328	0.007725391	0.62085146	0.00791457	0.006454032
0.029832888	0.036114525	0.831645	0.038391434	0.035246503	0.028769681
0.91619223	0.01750001	0.016674828	0.018605964	0.017092977	0.013934033
