topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.0019819746	0.0022647597	0.0022478637	0.0024367447	0.98514897	0.0019431857	0.0020385194	0.00193804
0.024849929	0.028395794	0.028189426	0.03055423	0.02721879	0.8109345	0.025556877	0.024300499
0.0053196973	0.006080926	0.0060353084	0.006544186	0.005827296	0.0052158455	0.60175705	0.3632197
0.5423024	0.0064426465	0.0063948673	0.00693159	0.4210929	0.00552633	0.005797403	0.005511877
0.019690385	0.8534161	0.02232576	0.024205927	0.021561146	0.01930072	0.020249074	0.019250909
0.016301079	0.018630499	0.0184864	0.020064171	0.87783295	0.015981738	0.01676453	0.015938621
0.008022463	0.009169167	0.009106566	0.94095117	0.008788928	0.007865972	0.008251233	0.007844506
0.94386584	0.0084553445	0.008388627	0.009095576	0.008103296	0.0072514047	0.0076075215	0.007232399
0.016300445	0.8786254	0.01848905	0.020045996	0.017854117	0.015981121	0.016765181	0.015938679
0.0019416218	0.0072673624	0.0022023893	0.9806629	0.0021267973	0.0019035469	0.0019970092	0.001898388
0.008021331	0.009170429	0.009100266	0.009884832	0.93986136	0.007865045	0.008252081	0.007844663
0.01075189	0.012287409	0.012193809	0.013225597	0.011779344	0.9181894	0.011058529	0.0105140675
0.010752477	0.012291038	0.9198403	0.013225011	0.011776312	0.010542185	0.011058715	0.0105139455
0.81141454	0.028395588	0.028190307	0.030555442	0.027222555	0.024363637	0.02555752	0.024300436
0.008021884	0.5797055	0.009103384	0.009878102	0.00878726	0.36840844	0.00825064	0.007844848
0.0063969833	0.9523683	0.007255351	0.007865054	0.007006326	0.006272298	0.006580118	0.0062555983
0.008022804	0.01302283	0.009099541	0.009865206	0.80007595	0.00786463	0.14420503	0.007844033
0.019685602	0.022494212	0.022343755	0.024202235	0.8524744	0.019301753	0.020247014	0.019251047
0.013906987	0.015903128	0.015774949	0.89763594	0.015235788	0.013636624	0.014305873	0.013600719
0.005992512	0.78214455	0.006799475	0.007372877	0.0065635247	0.0058752755	0.006163641	0.17908818
0.009656274	0.5234674	0.0109521225	0.41650596	0.010576657	0.009466991	0.009931669	0.00944296
0.004344809	0.004965398	0.9676072	0.005347431	0.0047587818	0.004259616	0.004468481	0.0042483103
0.013909605	0.015900265	0.015780184	0.46338493	0.0152373845	0.013637123	0.014306029	0.44784448
0.024852643	0.8149472	0.028184654	0.030577155	0.027220124	0.024362007	0.025558898	0.024297297
0.05224749	0.6108336	0.059265736	0.06433697	0.057255547	0.05122685	0.053739432	0.051094368
0.033677313	0.038483087	0.038189586	0.04141979	0.036886975	0.743769	0.034641545	0.032932755
0.008022301	0.009168318	0.2188455	0.009866616	0.60374683	0.13425498	0.008251011	0.007844456
0.00531996	0.22739138	0.0060340017	0.0065414333	0.0058280537	0.44892666	0.29475656	0.005201978
0.0036714054	0.004195206	0.0041632704	0.004514604	0.0040214956	0.0035992803	0.972245	0.0035897158
0.0096560465	0.011036078	0.010952906	0.011872015	0.71752894	0.009467571	0.22004424	0.0094422335
0.052253865	0.059751406	0.059256382	0.0642266	0.05721813	0.05122725	0.604976	0.051090337
0.005636067	0.00644347	0.32240775	0.0069356957	0.0061762747	0.35635078	0.0057969373	0.29025304
0.74441326	0.038498614	0.038194437	0.04140383	0.036888074	0.03301991	0.03464944	0.032932498
0.0007531792	0.00086082134	0.00085431145	0.994457	0.0008249591	0.0007384566	0.0007746795	0.0007365374
0.0063977437	0.9523633	0.0072565866	0.007868318	0.0070070047	0.0062716813	0.006579826	0.006255506
0.0056360858	0.48824576	0.0063934657	0.4767131	0.006174788	0.005526369	0.0057986663	0.0055117523
0.0019023177	0.0021740696	0.0021578115	0.29041266	0.69767094	0.0018652527	0.0019567097	0.0018602436
0.0056366273	0.0064409347	0.61385846	0.0069356123	0.006174226	0.0055261664	0.0057974895	0.34963053
0.010752149	0.66860735	0.012195688	0.26454917	0.01177887	0.010542122	0.01105996	0.010514749
0.0163021	0.018631445	0.01848648	0.88003767	0.017854918	0.015981397	0.016765626	0.01594035
0.0063970084	0.0073124496	0.952304	0.007872199	0.0070067146	0.0062724454	0.0065795337	0.0062556267
0.024862021	0.02839847	0.81473535	0.030564522	0.02722271	0.02436144	0.02555846	0.02429698
0.01968466	0.022493972	0.022326518	0.024205571	0.85249037	0.019301606	0.020247674	0.019249683
0.0047828304	0.0054667667	0.0054256325	0.0058813025	0.96415794	0.0046895025	0.0049192887	0.004676734
0.008763558	0.010016687	0.009943283	0.93549776	0.009601514	0.008593099	0.009014342	0.008569727
0.024847515	0.81496936	0.028184228	0.030567506	0.027216462	0.024361819	0.025555953	0.024297126
0.9266847	0.011037154	0.010955697	0.01190161	0.010578258	0.00946765	0.009932235	0.009442737
0.0026463286	0.20608653	0.0030020732	0.003255393	0.46362776	0.31607255	0.0027218242	0.0025874847
0.00032251817	0.00036856715	0.0003658061	0.99762654	0.0003532456	0.00031620785	0.00033173172	0.00031540025
0.00876429	0.51139766	0.009938201	0.4341233	0.009599054	0.008592747	0.009014829	0.008569956
0.009656076	0.011036444	0.010953527	0.011872639	0.010577096	0.92653024	0.009931401	0.009442578
0.019686343	0.0224969	0.02232685	0.02422364	0.021564564	0.019301383	0.85115033	0.019250015
0.01968813	0.022501206	0.8532218	0.024216134	0.021568624	0.019301903	0.020251943	0.019250304
0.0021146922	0.0024172736	0.14219312	0.8446418	0.0023167683	0.0020734146	0.0021749642	0.0020679801
0.013910132	0.21234034	0.6998689	0.017107902	0.015232938	0.013635351	0.014305044	0.013599356
0.0068601915	0.007842672	0.9488485	0.008443079	0.007514005	0.006726141	0.0070564747	0.0067089573
0.033677194	0.038483687	0.7488766	0.041486263	0.03688549	0.03301914	0.034639046	0.03293257
0.94386125	0.008455952	0.008388971	0.009099568	0.008102418	0.0072511304	0.0076076365	0.007233044
0.019688928	0.022498757	0.022326373	0.85511917	0.021565424	0.019300897	0.020248631	0.019251846
0.6796255	0.012293744	0.012194373	0.013231712	0.011779955	0.010542832	0.011060008	0.24927187
0.0030756695	0.6343236	0.0034878124	0.003782216	0.0033691258	0.34579107	0.0031631324	0.0030074068
0.013907889	0.015902758	0.8963074	0.017107753	0.015234061	0.013635871	0.014304576	0.013599685
0.0063979127	0.952353	0.0072580203	0.0078751845	0.0070074857	0.0062724096	0.006579719	0.006256283
0.89444804	0.015893385	0.015777184	0.017099703	0.015238862	0.01363749	0.01430551	0.013599874
0.012128295	0.013861857	0.013756396	0.9107437	0.013283399	0.0118907625	0.012475764	0.0118598
0.5295616	0.44478709	0.0045129973	0.004893436	0.0043590413	0.003901529	0.0040931543	0.0038911793
0.024846902	0.028401239	0.028178304	0.03057322	0.027216915	0.024360817	0.025555907	0.8108667
0.019685498	0.0225098	0.85322946	0.024219526	0.021560125	0.019300172	0.020246163	0.019249195
0.0047827186	0.42398557	0.005425107	0.54628134	0.005239202	0.004689464	0.004919288	0.0046773204
0.0073967692	0.008456442	0.008388676	0.94556403	0.008102093	0.007251282	0.0076073185	0.007233349
0.51785785	0.028398933	0.028179338	0.030552652	0.027219659	0.024362039	0.31913278	0.024296772
0.5066384	0.009166284	0.009096973	0.009862293	0.44127744	0.0078647975	0.008250101	0.007843714
0.0036713702	0.55452365	0.0041640666	0.004515283	0.0040214392	0.003599416	0.42191494	0.0035899018
0.010753735	0.012295814	0.012196647	0.013227068	0.011776783	0.010542041	0.011061023	0.9181469
0.48124757	0.0052056476	0.005164175	0.00560257	0.004987929	0.0044641923	0.48887557	0.004452355
0.008022056	0.009169307	0.37731287	0.009870312	0.008788725	0.007865191	0.57112724	0.007844289
0.010751822	0.012287086	0.70647156	0.013219301	0.011779514	0.010542455	0.22443436	0.010513982
0.013907305	0.89643925	0.015774466	0.017102648	0.0152337095	0.0136365015	0.014305516	0.013600578
0.016300077	0.8786149	0.018484436	0.02005936	0.017851757	0.015982121	0.016768264	0.015939143
0.006860793	0.007845538	0.94884706	0.008439289	0.007515591	0.0067264633	0.0070566814	0.0067085763
0.0047828513	0.005466439	0.0054257545	0.005884302	0.353506	0.004689263	0.12897862	0.4912668
0.010752982	0.012291348	0.012196104	0.013223112	0.9194176	0.010543688	0.011060473	0.010514672
0.92670494	0.011038301	0.010953244	0.011878696	0.010581232	0.009468238	0.009932039	0.009443299
0.0036714615	0.004196775	0.004164335	0.004517491	0.00402184	0.866947	0.0037763112	0.10870478
0.95451516	0.006849647	0.006798469	0.0073710084	0.006565399	0.00587589	0.006164571	0.0058598416
0.052245285	0.6109287	0.059267037	0.06429501	0.057220154	0.05122329	0.053732656	0.051087864
0.009656161	0.011041186	0.010950221	0.01187328	0.9276347	0.009469114	0.009932591	0.009442687
0.033678446	0.038484413	0.03820744	0.42644256	0.36258984	0.033023853	0.03463983	0.032933604
0.95451283	0.0068501728	0.006799603	0.0073724193	0.0065650363	0.0058759204	0.006163887	0.0058600996
0.008021504	0.009168821	0.009098194	0.45108888	0.49866253	0.007864988	0.008250871	0.007844255
0.03367803	0.03851153	0.7488996	0.04143857	0.03688516	0.03301865	0.03463706	0.032931406
0.01968557	0.5109717	0.022334933	0.024213219	0.021569822	0.36172438	0.020249682	0.019250618
0.052254017	0.05970062	0.05927877	0.06425185	0.057234604	0.051229984	0.05373273	0.6023174
0.052253168	0.059720095	0.059266277	0.06426392	0.057232983	0.051223528	0.60495055	0.051089488
0.1164409	0.13304691	0.13204457	0.14314291	0.12752908	0.114166945	0.11976231	0.11386635
0.0028027184	0.0032035892	0.0031794163	0.8412386	0.0030698716	0.14088245	0.002882722	0.0027406272
0.016301256	0.018627303	0.018495176	0.020040927	0.017856456	0.8759748	0.01676434	0.01593978
0.00639698	0.0073137414	0.0072552282	0.952919	0.0070074163	0.006271842	0.0065795486	0.006256239
0.8114222	0.028396172	0.02819038	0.030553304	0.027218327	0.024363922	0.025556056	0.024299597
0.01390853	0.015896142	0.015776241	0.017101418	0.8957713	0.013636425	0.014309775	0.013600115
0.0045534153	0.005205268	0.005165731	0.9664857	0.0049878447	0.0044648075	0.004684423	0.0044527887
0.744433	0.038487952	0.038192194	0.041411996	0.036885437	0.03301802	0.0346372	0.032934237
0.024848538	0.81497526	0.02818538	0.030564772	0.027212925	0.024360716	0.025556007	0.024296433
0.010756296	0.012297911	0.012194544	0.9208562	0.011778634	0.010542472	0.011060281	0.010513622
0.3627247	0.004747878	0.0047134883	0.43829024	0.004549954	0.176639	0.004272496	0.0040622763
0.03367966	0.038516548	0.038201768	0.041431773	0.7475724	0.033021763	0.0346416	0.032934465
0.052249976	0.059740625	0.059246603	0.06429331	0.60840577	0.05122417	0.0537398	0.05109975
0.44150063	0.5067842	0.009102198	0.009866925	0.008786243	0.007864663	0.008251436	0.007843692
0.019685505	0.85337704	0.02233304	0.024236241	0.021562528	0.019302405	0.02025265	0.019250609
0.024846936	0.028402513	0.028184326	0.030555703	0.027215231	0.8109409	0.025557624	0.024296738
0.024846232	0.814994	0.028178575	0.030549513	0.027220229	0.02436078	0.025554346	0.024296293
0.008022422	0.2844872	0.009098536	0.33525193	0.008786925	0.3382578	0.008250701	0.007844562
0.1164409	0.13304691	0.13204457	0.14314291	0.12752908	0.114166945	0.11976231	0.11386635
0.9780791	0.0033008724	0.0032763942	0.003552996	0.0031639198	0.0028317024	0.0029708222	0.002824149
0.0073950915	0.008451588	0.0083906595	0.009102255	0.008101403	0.94372004	0.00760706	0.0072319643
0.7443896	0.038490083	0.03820432	0.04141991	0.036896918	0.033019863	0.034646243	0.03293304
0.0035344178	0.00403923	0.0040098233	0.0043462086	0.0038713105	0.010124885	0.96661806	0.0034560778
0.5711493	0.3595209	0.012196801	0.013233043	0.011781741	0.010542507	0.011060735	0.010514946
0.0073958253	0.00845402	0.9448621	0.009097389	0.008100031	0.007251306	0.0076076784	0.0072316686
0.05225125	0.059712395	0.059291393	0.06423484	0.05723457	0.6024445	0.05374016	0.05109081
0.012129434	0.013860395	0.013758428	0.3265412	0.013286533	0.011890472	0.012476517	0.59605706
0.02485057	0.028411001	0.028207226	0.8170748	0.027227057	0.024365455	0.025562437	0.02430145
0.70587844	0.010016989	0.009938913	0.010786122	0.00960149	0.0085926885	0.23661526	0.008570158
0.004552645	0.005205829	0.96605176	0.0056028925	0.0049872105	0.004464104	0.0046828804	0.0044526984
0.012127856	0.0138580855	0.013761968	0.014929088	0.013286346	0.907703	0.012473715	0.011859965
