topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.018800728	0.0188785	0.019039715	0.019288136	0.01875134	0.020599118	0.7894354	0.018359236	0.019099573	0.01947199	0.019531278	0.018745027
0.21001878	0.010676726	0.010767888	0.010908286	0.010604702	0.3243528	0.012007075	0.010383021	0.010801798	0.0110123465	0.36786553	0.010601048
0.038536776	0.03869691	0.039027233	0.03953569	0.038435612	0.0422231	0.043518648	0.0376323	0.56402284	0.0399131	0.04003508	0.038422726
0.010632702	0.010676625	0.010767797	0.0109082265	0.15928935	0.011650007	0.012007156	0.26962975	0.010801879	0.011012319	0.47202322	0.010600976
0.008244713	0.19462161	0.49573618	0.23307867	0.008223087	0.009033479	0.009310653	0.008051248	0.008375776	0.008539125	0.008565247	0.008220222
0.005280077	0.38953683	0.005347201	0.0054169083	0.005266218	0.00578516	0.5566291	0.005156102	0.0053640697	0.0054686354	0.0054853004	0.0052643474
0.006732583	0.006760467	0.006818169	0.006907076	0.006714921	0.007376659	0.4254129	0.006574566	0.5060228	0.0069730277	0.0069942963	0.006712563
0.004616127	0.0046352097	0.00467479	0.004735778	0.0046039876	0.005057655	0.0052127126	0.23933056	0.0046895244	0.7130458	0.0047955555	0.004602372
0.0014145079	0.3930385	0.0014324886	0.0014511696	0.001410794	0.0015498246	0.0015973554	0.0013812962	0.0014370146	0.5924072	0.0014694806	0.0014102986
0.0041005304	0.004117536	0.0041526537	0.004206825	0.0040897424	0.17792985	0.0046305195	0.31826326	0.46591386	0.0042469716	0.004259903	0.0040883343
0.018800545	0.018878335	0.019039653	0.01928775	0.018751217	0.020598782	0.7894375	0.018359177	0.019099567	0.01947178	0.019531129	0.01874464
0.08110946	0.08144503	0.08214054	0.08321133	0.080896534	0.08886739	0.09159078	0.07920518	0.082399346	0.084005125	0.08426115	0.080868125
0.01243318	0.012484687	0.012591208	0.012755432	0.012400515	0.7190919	0.014041289	0.012141225	0.1538708	0.012877255	0.012916316	0.012396183
0.014967944	0.015030064	0.015158307	0.015355837	0.014928708	0.83185697	0.016903767	0.014616519	0.015206453	0.015502469	0.015549575	0.014923373
0.01880059	0.7870849	0.019039588	0.019287795	0.018751254	0.02059886	0.021230275	0.018359195	0.019099671	0.019471904	0.019531233	0.018744737
0.004100518	0.0041174674	0.004152639	0.004206761	0.0040897257	0.0044927234	0.0046304953	0.0040042237	0.32997164	0.62788564	0.004259865	0.0040882844
0.006732593	0.0067604515	0.006818164	0.0069070817	0.0067149117	0.11432905	0.0076027797	0.0065745083	0.8168807	0.0069729863	0.0069942423	0.006712551
0.012433129	0.012484585	0.0125912605	0.8594663	0.012400532	0.013622431	0.014039974	0.012141227	0.012630986	0.0128770685	0.012916381	0.012396109
0.018800633	0.01887857	0.019039815	0.78749204	0.018751318	0.020599654	0.021230444	0.018359402	0.019099792	0.019472059	0.019531423	0.01874484
0.018800577	0.018878702	0.019039832	0.019287942	0.78695667	0.020599151	0.021230338	0.018359214	0.01909965	0.01947192	0.019531215	0.018744828
0.025272252	0.025376612	0.3856579	0.025927015	0.025205694	0.027689625	0.028538132	0.3530333	0.025673902	0.026174245	0.026254531	0.025196793
0.009287667	0.009326044	0.009405688	0.009528383	0.009263261	0.01017602	0.010488189	0.009069577	0.009435271	0.009619342	0.89514035	0.009260184
0.71369225	0.025376648	0.025593555	0.02592702	0.025205627	0.027689401	0.028537929	0.024678616	0.025673915	0.02617423	0.026254058	0.025196763
0.83042735	0.015029836	0.015158258	0.015356142	0.014928573	0.016399931	0.016902182	0.014616469	0.01520596	0.015502397	0.015549647	0.014923276
0.010632602	0.0106766205	0.010767736	0.010908182	0.01060469	0.011649843	0.012007026	0.010382939	0.010801732	0.87992185	0.0110458005	0.010600954
0.08110946	0.08144503	0.08214054	0.08321133	0.080896534	0.08886739	0.09159078	0.07920518	0.082399346	0.084005125	0.08426115	0.080868125
0.012433245	0.012484636	0.012591346	0.012755356	0.012400559	0.013622453	0.014040166	0.63207865	0.012630927	0.012877132	0.012916532	0.23916897
0.014968004	0.015029825	0.015158382	0.015355859	0.014928628	0.016399933	0.016902283	0.0146164885	0.8306651	0.015502438	0.015549753	0.014923294
0.01880064	0.018878464	0.019039674	0.019287935	0.018751308	0.788804	0.021231085	0.018359182	0.019099612	0.019472228	0.019531142	0.018744716
0.012433166	0.012484594	0.012591324	0.18703377	0.012400527	0.68605506	0.014039861	0.012141234	0.012630894	0.012877072	0.01291631	0.012396151
0.01063258	0.26451313	0.010767804	0.010908161	0.010604694	0.18311213	0.45561776	0.010382955	0.010801692	0.011012246	0.0110457735	0.010601029
0.0043431376	0.004361036	0.0043983175	0.0044556446	0.0043316535	0.95121235	0.0049044113	0.0042411005	0.00441214	0.0044981884	0.0045118877	0.004330161
0.7870053	0.01887851	0.01903964	0.019288022	0.018751303	0.02059972	0.021230614	0.018359218	0.01909962	0.019471982	0.019531157	0.018744888
0.0026310668	0.002641943	0.0026645001	0.0026992431	0.0026241452	0.97044426	0.0029710995	0.0025692896	0.0026729177	0.0027249937	0.002733292	0.0026232381
0.0030713337	0.003084027	0.0031103925	0.0031509092	0.0030632655	0.003365188	0.0034683545	0.60786176	0.36039093	0.003180977	0.0031906918	0.003062172
0.025272341	0.025376635	0.025593799	0.025927117	0.025205601	0.7161086	0.028538032	0.024678629	0.025673924	0.026174229	0.026254276	0.025196781
0.025271984	0.025376765	0.02559343	0.71434546	0.025206124	0.027689377	0.028538557	0.02467881	0.025673877	0.026174294	0.026254492	0.025196856
0.014967801	0.015029755	0.015158105	0.015355737	0.014928535	0.016399456	0.016902257	0.014616387	0.83066696	0.015502218	0.015549566	0.014923238
0.010632674	0.010676756	0.010767835	0.010908153	0.010604714	0.011649609	0.012006738	0.8792925	0.010801688	0.011012389	0.011045933	0.010601038
0.93554646	0.00571274	0.0057615703	0.0058366936	0.005674261	0.006233513	0.0064244373	0.005555642	0.0057796594	0.005892397	0.005910331	0.005672281
0.025271965	0.02537662	0.025593547	0.02592686	0.7136252	0.027689444	0.02853871	0.02467876	0.025673842	0.026174197	0.026254142	0.025196746
0.71368873	0.02537686	0.025593529	0.02592722	0.02520591	0.027690558	0.028538251	0.024678795	0.025674252	0.026174532	0.026254503	0.025196845
0.025272097	0.025376836	0.7140118	0.025927033	0.025205621	0.027689485	0.028538458	0.024678739	0.025674157	0.026174387	0.026254384	0.025196986
0.014967786	0.015029755	0.015158233	0.015355663	0.014928624	0.016399536	0.8323632	0.014616437	0.015205824	0.015502163	0.015549484	0.014923253
0.025271982	0.38261437	0.025593422	0.025927354	0.025205731	0.02768944	0.028538426	0.3558597	0.025673894	0.026174366	0.026254512	0.025196841
0.008244704	0.008278823	0.008349502	0.008458387	0.008223016	0.009033327	0.009310407	0.00805109	0.0083758095	0.008539081	0.9069156	0.00822018
0.0032054214	0.003218669	0.0032461642	0.0032884728	0.96367717	0.0035120605	0.0036197233	0.00313016	0.0032563903	0.0033198847	0.0033300081	0.0031958802
0.025271906	0.02537647	0.025593327	0.025926812	0.025205601	0.027689116	0.71695936	0.024678614	0.025673857	0.02617419	0.026253968	0.025196759
0.008244665	0.008278762	0.008349428	0.008458307	0.008222976	0.24777648	0.009310278	0.008051074	0.667984	0.008538991	0.008564985	0.008220096
0.0149679165	0.015029939	0.015158555	0.015356166	0.01492862	0.016402027	0.016902437	0.014617498	0.83066046	0.015502796	0.015549667	0.014923921
0.012433234	0.012484684	0.012591329	0.012755399	0.0124005405	0.58023906	0.014040057	0.012141285	0.012631001	0.29297072	0.012916451	0.012396213
0.08110946	0.08144503	0.08214054	0.08321133	0.080896534	0.08886739	0.09159078	0.07920518	0.082399346	0.084005125	0.08426115	0.080868125
0.018800646	0.018878413	0.019039692	0.78749216	0.018751433	0.020600019	0.021230765	0.018359281	0.019099638	0.019471899	0.01953135	0.01874471
