topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13
0.016368715	0.01697674	0.016851641	0.016877625	0.016237406	0.018038718	0.018140906	0.016340593	0.016383119	0.016925212	0.01662355	0.016048886	0.78208315	0.016103717
0.009270755	0.009615123	0.009544264	0.009558985	0.009196386	0.010216661	0.010274477	0.009254822	0.009278917	0.009585948	0.009415097	0.009089605	0.87657833	0.009120671
0.033434357	0.03467637	0.034420807	0.034473833	0.033166196	0.036845535	0.0370543	0.033376947	0.033463847	0.034571122	0.033954892	0.032781135	0.55488765	0.032893047
0.009270768	0.009615136	0.009544287	0.009559005	0.009196399	0.010216614	0.010274507	0.009254843	0.59231764	0.009585959	0.2936371	0.009089608	0.009317426	0.009120678
0.007191733	0.007458893	0.43027693	0.0074153324	0.00713404	0.007925481	0.007970369	0.0071793827	0.0071980553	0.007436243	0.007303704	0.007051208	0.48138332	0.0070752893
0.00460818	0.0047793603	0.0047441353	0.00475145	0.004571213	0.0050783297	0.005107109	0.004600262	0.0046122395	0.696223	0.0046799215	0.004518136	0.0046313773	0.2470953
0.0058743446	0.006092559	0.0060476623	0.006056981	0.0058272257	0.006473687	0.37938735	0.0058642575	0.54889333	0.006074073	0.0059658117	0.0057595647	0.0059039127	0.0057792375
0.0040291976	0.0041788644	0.004148071	0.0041544726	0.003996875	0.004440276	0.0044654296	0.0040222756	0.004032745	0.6933003	0.2572676	0.0039504664	0.004049477	0.0039639627
0.0012353649	0.108402	0.0012718122	0.0012737737	0.001225456	0.0013614058	0.0013691203	0.0012332435	0.0012364539	0.8764686	0.0012545985	0.0012112268	0.0012415836	0.0012153648
0.0035794708	0.0037124376	0.0036850753	0.003690759	0.0035507586	0.00394467	0.0039670146	0.0035733234	0.28377166	0.43604654	0.0036352007	0.0035095287	0.0035974886	0.23973605
0.016368693	0.016976714	0.016851764	0.016877588	0.016237393	0.018038677	0.7837731	0.016340578	0.016383108	0.016925195	0.016623536	0.016048862	0.016451081	0.016103685
0.06984197	0.07243628	0.07190253	0.07201333	0.06928174	0.07696745	0.07740342	0.06972198	0.06990346	0.07221646	0.07092933	0.06847731	0.0701935	0.06871122
0.0108371945	0.01123977	0.011156926	0.0111741265	0.0107502565	0.55620325	0.012010601	0.010818575	0.010846761	0.31177777	0.011005912	0.010625438	0.010891731	0.010661731
0.013040654	0.013525065	0.0134254	0.013446073	0.012936027	0.36326638	0.4788407	0.013018245	0.013052127	0.013484007	0.013243664	0.012785832	0.013106278	0.012829535
0.016368719	0.7826087	0.016851645	0.016877618	0.01623742	0.0180387	0.018140895	0.016340608	0.016383141	0.016925247	0.016623564	0.016048888	0.016451117	0.0161037
