topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17
0.013379231	0.013115714	0.013160437	0.0129897585	0.01321323	0.013738822	0.014021522	0.01332027	0.012990713	0.013699759	0.013026024	0.013076476	0.77510273	0.013023036	0.012757753	0.013323151	0.0127813695	0.013280032
0.0075928546	0.007443305	0.0074686855	0.0073718242	0.0074986466	0.0077969255	0.00795736	0.007559393	0.0073723653	0.0077747568	0.007392406	0.007421037	0.0073919017	0.0073907096	0.007240159	0.007561028	0.0072535616	0.8725131
0.027196387	0.026660725	0.026751636	0.026404694	0.02685895	0.027927335	0.028501987	0.027076533	0.5427742	0.02784793	0.026478413	0.026580967	0.02647661	0.026472336	0.025933089	0.027082391	0.025981095	0.026994744
0.0075928573	0.007443308	0.007468688	0.0073718266	0.0074986494	0.007796928	0.007957363	0.007559396	0.0073723686	0.0077747595	0.30653659	0.00742104	0.0073919045	0.007390712	0.5730725	0.007561031	0.007253564	0.0075365603
0.005893587	0.36708176	0.46603253	0.005722023	0.005820463	0.0060519874	0.0061765164	0.0058676144	0.005722443	0.00603478	0.0057379985	0.0057602227	0.079392575	0.005736681	0.005619824	0.0058688833	0.0056302273	0.0058498895
0.0037791592	0.0037047244	0.0037173573	0.0036691467	0.0037322694	0.0038807304	0.63189316	0.0037625046	0.0036694163	0.30873248	0.0036793905	0.0036936412	0.0036791398	0.003678546	0.0036036135	0.0037633183	0.0036102843	0.0037511392
0.004815807	0.004720954	0.004737052	0.0046756174	0.004756055	0.00494524	0.24325544	0.004794584	0.004675961	0.00493118	0.0046886713	0.004706831	0.004688352	0.004687595	0.6807443	0.0047956207	0.0046006087	0.0047801007
0.0033048803	0.0032397872	0.0032508343	0.0032086743	0.0032638751	0.0033937045	0.0034635353	0.17993197	0.0032089099	0.7679718	0.0032176329	0.003230095	0.0032174133	0.003216894	0.0031513653	0.0032910274	0.003157199	0.0032803765
0.0010140939	0.0009941204	0.00099751	0.0009845734	0.0010015116	0.0010413494	0.0010627769	0.0010096249	0.0009846457	0.9830048	0.0009873222	0.0009911462	0.0009872549	0.0009870956	0.0009669883	0.0010098433	0.00096877833	0.0010065751
0.002936375	0.0028785404	0.0028883554	0.0028508964	0.0028999422	0.0030152951	0.0030773396	0.0029234348	0.002851106	0.47704154	0.002858856	0.0028699287	0.002858661	0.27699947	0.20240642	0.0029240672	0.0028051608	0.002914604
0.013379173	0.013115657	0.01316038	0.012989703	0.013213173	0.013738761	0.77610004	0.013320212	0.012990656	0.013699698	0.013025968	0.01307642	0.013025081	0.013022979	0.012757698	0.013323094	0.012781315	0.013279975
