topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19
0.0116954455	0.011563635	0.011907527	0.011797225	0.011989786	0.012709611	0.012570819	0.011878456	0.011607939	0.012106861	0.011995907	0.011786432	0.7728557	0.011734096	0.011649137	0.011945255	0.011560631	0.012040437	0.011830614	0.012774492
0.0066411253	0.0065662786	0.0067615537	0.00669892	0.0068082637	0.0072170077	0.0071381964	0.006745046	0.006591436	0.006874743	0.006811739	0.0066927914	0.0066957413	0.006663073	0.00661483	0.006782977	0.8708875	0.006837025	0.0067178793	0.0072538494
0.023741124	0.023473557	0.02417164	0.02394773	0.02433862	0.025799826	0.025518086	0.024112625	0.023563491	0.024576275	0.024351044	0.023925822	0.023936369	0.023819584	0.023647122	0.024248224	0.5384404	0.024441438	0.024015509	0.02593153
0.0066411346	0.0065662875	0.006761563	0.006698929	0.006808273	0.0072170175	0.007138206	0.0067450553	0.56593883	0.006874752	0.31178713	0.0066928007	0.0066957506	0.006663082	0.0066148387	0.006782986	0.0065645818	0.006837034	0.0067178886	0.0072538597
0.0051557333	0.005097627	0.005249226	0.005200601	0.0052854884	0.27421293	0.18084659	0.0052364105	0.005117158	0.0053370986	0.0052881865	0.0051958435	0.45595226	0.005172772	0.005135319	0.0052658576	0.005096303	0.005307817	0.0052153203	0.005631412
0.0033067148	0.0032694477	0.0033666778	0.0033354915	0.0033899355	0.0035934553	0.0035542138	0.0033584584	0.0032819738	0.0034230365	0.0033916659	0.00333244	0.003333909	0.003317643	0.935738	0.003377345	0.003268598	0.0034042562	0.0033449319	0.0036117993
0.0042133364	0.004165851	0.0042897398	0.004250003	0.004319374	0.004578694	0.0045286934	0.0042792666	0.0041818116	0.0043615503	0.004321579	0.0042461148	0.0042479862	0.0042272606	0.0041966536	0.0043033315	0.004164769	0.004337621	0.0042620315	0.9185243
0.0028918674	0.0028592756	0.0029443079	0.002917034	0.0029646475	0.0031426346	0.0031083163	0.0029371195	0.0028702302	0.6972074	0.24967203	0.0029143654	0.00291565	0.0029014247	0.0028804173	0.0029536365	0.0028585328	0.0029771717	0.00292529	0.0031586771
0.0008875643	0.0008775613	0.00090365915	0.00089528837	0.00090990175	0.00096452906	0.0009539962	0.00090145296	0.0008809235	0.7380365	0.00091036625	0.00089446927	0.00089486357	0.0008904975	0.00088405004	0.0009065223	0.0008773333	0.00091374567	0.0008978222	0.24571891
0.0025695087	0.00254055	0.0026161035	0.00259187	0.002634176	0.0027923225	0.0027618299	0.0026097165	0.0025502834	0.0026598976	0.0026355207	0.0025894989	0.0025906402	0.18708462	0.76555806	0.0026243923	0.00253989	0.002645304	0.0025992056	0.0028065771
