topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39
0.0061476245	0.0061055673	0.006062204	0.0061278623	0.006208191	0.006313787	0.0062333066	0.0061470503	0.0060447305	0.0062672296	0.0060655535	0.006063765	0.006024329	0.006106529	0.006023785	0.0060230936	0.006022729	0.0060655484	0.006086737	0.0062322738	0.006044022	0.0060868645	0.0060436716	0.0060645915	0.006149507	0.006424927	0.0061663035	0.006043266	0.0060023232	0.0061873784	0.006352524	0.0060437024	0.0060464838	0.006148416	0.006144757	0.006085824	0.006022972	0.7615006	0.0060244836	0.006045503
0.0035020604	0.0034781022	0.0034533998	0.0034908028	0.003536563	0.0035967168	0.00355087	0.0035017333	0.0034434458	0.0035701948	0.0034553078	0.003454289	0.0034318238	0.0034786498	0.0034315141	0.0034311202	0.0034309123	0.003455305	0.3680933	0.0035502817	0.003443042	0.0034674478	0.0034428427	0.0034547597	0.0035031328	0.0036600288	0.0035127013	0.0034426115	0.003419288	0.0035247067	0.0036187836	0.00344286	0.0034444446	0.0035025114	0.0035004271	0.0034668553	0.0034310508	0.4995103	0.0034319118	0.0034438858
0.012385007	0.012300279	0.012212919	0.012345195	0.012507024	0.012719758	0.012557622	0.01238385	0.012177717	0.012625963	0.0122196665	0.012216063	0.012136616	0.012302216	0.012135521	0.012134127	0.0121333925	0.012219657	0.0122623425	0.0125555415	0.012176289	0.0122626	0.012175584	0.012217728	0.012388799	0.012943661	0.012422638	0.0121747665	0.012092283	0.012465095	0.012797797	0.012175646	0.0121812485	0.5196852	0.012379231	0.012260504	0.012133881	0.012220377	0.012136928	0.012179273
0.003502063	0.0034781047	0.0034534023	0.0034908054	0.13409656	0.0035967194	0.0035508727	0.35282904	0.38423675	0.0035701974	0.0034553104	0.0034542915	0.0034318264	0.0034786526	0.0034315167	0.0034311228	0.0034309148	0.0034553076	0.0034673777	0.0035502843	0.0034430446	0.0034674504	0.0034428453	0.0034547623	0.0035031354	0.0036600316	0.0035127038	0.003442614	0.0034192905	0.0035247093	0.003618786	0.0034428628	0.0034444472	0.003502514	0.0035004297	0.0034668578	0.0034310534	0.0034555113	0.0034319144	0.0034438884
0.0027213283	0.0027027112	0.0026835157	0.0027125804	0.0027481387	0.0027948823	0.0027592566	0.002721074	0.0026757808	0.002774273	0.0026849983	0.0026842067	0.0026667498	0.0027031368	0.0026665092	0.002666203	0.0026660415	0.0026849962	0.0026943756	0.0027587994	0.0026754672	0.002694432	0.0026753123	0.89442444	0.0027221616	0.0028440799	0.0027295968	0.0026751326	0.0026570086	0.0027389259	0.0028120296	0.0026753258	0.002676557	0.0027216787	0.002720059	0.0026939716	0.002666149	0.0026851546	0.0026668182	0.0026761228
0.0017474212	0.0017354668	0.0017231411	0.0017418041	0.0017646368	0.0017946518	0.0017717758	0.001747258	0.0017181743	0.0017814182	0.5624071	0.0017235847	0.0017123753	0.0017357401	0.0017122207	0.0017120242	0.0017119205	0.0017240917	0.0017301143	0.0017714822	0.16735041	0.0017301507	0.0017178734	0.0017238196	0.0017479564	0.0018262427	0.0017527307	0.0017177581	0.0017061203	0.0017587211	0.0018056625	0.0017178821	0.2058872	0.0017476463	0.0017466062	0.001729855	0.0017119896	0.0017241933	0.0017124193	0.0017183939
0.0022252405	0.0022100173	0.0021943212	0.0022180874	0.0022471638	0.002285386	0.0022562547	0.0022250328	0.0021879964	0.0022685337	0.0021955336	0.002194886	0.0021806115	0.0022103654	0.0021804147	0.0021801647	0.0021800324	0.0021955317	0.0022032012	0.002255881	0.0021877398	0.0022032475	0.0021876132	0.0021951853	0.002225922	0.7236528	0.0022320019	0.0021874662	0.002172646	0.0022396303	0.0022994075	0.002187624	0.19233675	0.002225527	0.0022242027	0.0022028708	0.0021801204	0.0021956612	0.0021806676	0.002188276
0.0015286	0.0015181425	0.0015073603	0.0015236862	0.0015436598	0.0015699161	0.0015499047	0.27913898	0.0015030155	0.66313696	0.0015081931	0.0015077484	0.0014979427	0.0015183816	0.0014978076	0.0014976356	0.0014975449	0.0015081919	0.0015134604	0.0015496479	0.0015028393	0.0015134921	0.0015027523	0.001507954	0.0015290681	0.0015975509	0.0015332446	0.0015026515	0.001492471	0.0015384848	0.001579548	0.0015027599	0.0015034515	0.0015287969	0.0015278871	0.0015132334	0.0014976052	0.0015082809	0.0014979811	0.0015032076
0.00046975305	0.00046653938	0.0004632259	0.000468243	0.0004743811	0.0004824499	0.00047630022	0.0004697092	0.0004618907	0.00047889235	0.00046348185	0.00046334518	0.0004603318	0.00046661287	0.00046029023	0.0004602374	0.00046020953	0.00046348147	0.00046510051	0.20304571	0.00046183655	0.00046511026	0.00046180983	0.00046340833	0.0004698969	0.00049094233	0.0004711804	0.00046177884	0.00045865026	0.00047279074	0.00048540987	0.00046181216	0.7792048	0.00046981356	0.00046953396	0.00046503078	0.0004602281	0.0004635088	0.0004603436	0.00046194973
0.0013584845	0.0013491908	0.0013396086	0.0013541175	0.0013718683	0.0013952026	0.0013774183	0.0013583576	0.0013357473	0.0013849145	0.0013403486	0.0013399535	0.11965481	0.20577557	0.0013311189	0.0013309661	0.0013308855	0.0013403477	0.0013450298	0.62458414	0.0013355907	0.001345058	0.0013355133	0.001340136	0.0013589006	0.001419762	0.0013626122	0.0013354237	0.0013263762	0.0013672692	0.0014037626	0.0013355201	0.0013361347	0.0013586595	0.0013578509	0.001344828	0.0013309391	0.0013404266	0.0013312732	0.001335918
