topic_0	topic_1	topic_2	topic_3
0.054739907	0.053389538	0.05976198	0.8321086
0.9079454	0.029951932	0.03320376	0.028898919
0.6527721	0.11373543	0.1258033	0.10768918
0.031225748	0.9039177	0.03605437	0.028802194
0.35719705	0.02398112	0.59629875	0.022523066
0.015166809	0.95410234	0.016472632	0.014258262
0.019392954	0.9414946	0.021016883	0.018095598
0.9598876	0.012921368	0.014761556	0.012429475
0.004060722	0.73172194	0.004390952	0.25982636
0.3147319	0.6610425	0.013092664	0.011132987
0.054242864	0.052802783	0.8425138	0.05044056
0.25054267	0.24434291	0.27063107	0.23448335
0.036492776	0.39845836	0.039329402	0.52571946
0.044734817	0.8637272	0.050085012	0.04145289
0.054222587	0.83653694	0.05861825	0.050622262
0.44598445	0.5297992	0.013131624	0.011084731
0.01957928	0.46709347	0.021084432	0.49224284
0.03568445	0.03473884	0.03944865	0.890128
0.054316588	0.053486634	0.06068296	0.8315138
0.054470588	0.19482125	0.6995524	0.051155712
0.07574219	0.07189079	0.78354746	0.06881951
0.32377842	0.026117578	0.02974603	0.620358
0.7778161	0.07221013	0.08092879	0.069044955
0.8689995	0.042219423	0.047867708	0.040913373
0.0307756	0.90716445	0.03300996	0.02904997
0.25054267	0.24434291	0.27063107	0.23448335
0.40656883	0.035228904	0.524638	0.03356427
0.044157714	0.0438973	0.87116396	0.040781
0.055334937	0.053466257	0.06023941	0.8309594
0.03649213	0.034918323	0.3213914	0.6071982
0.03138332	0.51764566	0.42213434	0.02883667
0.9627013	0.012114716	0.013479937	0.0117040705
0.8357749	0.053354427	0.059154365	0.05171631
0.0076676444	0.040910497	0.008322077	0.9430998
0.008945663	0.18962486	0.79321265	0.008216831
0.7781138	0.07183172	0.08067517	0.069379345
0.07342907	0.07306175	0.08414084	0.76936835
0.04337502	0.043759823	0.048029665	0.86483544
0.71535116	0.031214396	0.22483973	0.028594727
0.95106447	0.015810288	0.017807003	0.015318245
0.07348373	0.073147684	0.783601	0.06976763
0.7747805	0.07333233	0.082282245	0.069604866
0.7775498	0.072293304	0.08105139	0.06910553
0.042981792	0.042256027	0.87441534	0.040346768
0.073407024	0.28054407	0.57524705	0.070801854
0.024325328	0.59109277	0.026074182	0.35850772
0.009391007	0.009100573	0.9727894	0.008719021
0.07349015	0.071534716	0.78665537	0.0683198
0.02402979	0.9280446	0.025679339	0.022246184
0.04357338	0.8647976	0.050096743	0.04153232
0.8914585	0.03522576	0.039738305	0.033577394
0.25054267	0.24434291	0.27063107	0.23448335
0.055114865	0.053216375	0.060767222	0.83090156
0.006233179	0.006034448	0.77620345	0.21152896
0.059020545	0.8242992	0.065280885	0.051399324
0.7804061	0.07154995	0.07929504	0.06874891
0.25054267	0.24434291	0.27063107	0.23448335
0.25054267	0.24434291	0.27063107	0.23448335
0.83647496	0.053415038	0.059152596	0.0509574
0.054600406	0.052848198	0.84121674	0.051334668
0.07544752	0.07159124	0.7833271	0.06963409
0.89091593	0.03590769	0.039337326	0.033839047
0.007145323	0.078546956	0.28699327	0.62731445
0.07495995	0.07493179	0.781114	0.06899425
0.027534673	0.025963096	0.92151606	0.024986155
0.045841753	0.86469537	0.048272535	0.041190322
0.25054267	0.24434291	0.27063107	0.23448335
0.8917866	0.035082795	0.039583407	0.033547226
0.019453576	0.9410987	0.021109955	0.018337829
0.030448142	0.029976925	0.033476394	0.90609854
0.07340636	0.07185629	0.7854591	0.06927826
0.26431885	0.011473296	0.012813246	0.7113946
0.11320445	0.11040741	0.66763437	0.10875374
0.030356899	0.030071132	0.91094863	0.028623331
0.9078447	0.030273765	0.03317358	0.028707953
0.073880866	0.07262283	0.08197933	0.7715169
0.11315038	0.11485285	0.12420725	0.6477895
0.88905954	0.035995733	0.04067708	0.034267634
0.031522498	0.02998109	0.50369614	0.43480027
0.035834055	0.3190964	0.6118102	0.033259355
0.34389335	0.59332913	0.03392288	0.028854609
0.12584428	0.035454415	0.039448205	0.7992531
0.07344705	0.071692854	0.7860958	0.068764284
0.016505145	0.016162809	0.9518117	0.015520394
0.011313678	0.2692828	0.7089452	0.010458331
0.115592994	0.65258837	0.12502676	0.1067919
0.054670293	0.05343212	0.8404139	0.05148365
0.6547654	0.11186998	0.124589354	0.108775266
0.036594033	0.4343131	0.03988362	0.48920926
0.005228152	0.00508616	0.0057236324	0.98396206
0.043826897	0.8688621	0.046954274	0.040356707
0.055136077	0.05313491	0.3632582	0.5284708
0.0567013	0.053699475	0.060519323	0.82907987
0.02403451	0.023406515	0.4026615	0.5498975
0.7753053	0.0739049	0.08165685	0.069132924
0.25054267	0.24434291	0.27063107	0.23448335
0.019429527	0.84033537	0.12204505	0.018190097
0.024204338	0.023218347	0.02591672	0.9266606
0.6546554	0.11187377	0.12459584	0.10887503
0.25054267	0.24434291	0.27063107	0.23448335
0.043433253	0.04181379	0.8740167	0.040736277
0.25054267	0.24434291	0.27063107	0.23448335
0.074050166	0.7672906	0.088558465	0.07010078
0.98721087	0.0041626412	0.004622827	0.004003653
0.075950876	0.07169781	0.7828732	0.06947813
0.0741241	0.07159883	0.07953281	0.7747443
0.07326394	0.77890766	0.07935481	0.06847354
0.018009726	0.017556597	0.9476665	0.016767139
0.8348509	0.052886806	0.061227974	0.051034342
0.77392584	0.07374671	0.080558255	0.071769185
0.46101034	0.32769427	0.20087415	0.010421271
0.25054267	0.24434291	0.27063107	0.23448335
0.113917544	0.11144297	0.66875505	0.10588449
0.117492765	0.114274524	0.6598094	0.10842331
0.27889866	0.0137722995	0.6941185	0.013210552
0.95686704	0.013814493	0.01602709	0.0132913925
0.0740377	0.07326702	0.782684	0.07001124
0.013351072	0.012928695	0.014414992	0.9593052
0.016445983	0.9498412	0.018462932	0.0152498875
0.021297544	0.02061357	0.023504637	0.93458426
0.04304244	0.041857067	0.87508804	0.0400125
0.043438714	0.042818904	0.047875505	0.8658669
0.0054906905	0.9150415	0.005911672	0.07355614
0.8680485	0.042923585	0.047793414	0.041234516
0.044544786	0.042519715	0.8722593	0.04067618
0.65570575	0.111019745	0.12643908	0.106835455
0.48104212	0.44585165	0.039110657	0.033995602
0.055603262	0.05334515	0.8379446	0.053106986
0.027010314	0.026304377	0.02927271	0.9174126
0.11469769	0.11102587	0.66799164	0.10628479
0.0273004	0.026261698	0.029464886	0.916973
0.8685044	0.04247442	0.048422456	0.040598724
0.94182086	0.018823734	0.021206655	0.018148754
0.32456553	0.63973826	0.01908203	0.016614176
0.8682028	0.042293854	0.048556246	0.040947024
0.11320472	0.11040767	0.66754425	0.10884339
0.35837707	0.55335295	0.047708854	0.040561136
0.0061445483	0.26241177	0.006652461	0.72479117
0.03058049	0.029558828	0.91126066	0.02860002
0.8693966	0.042414196	0.047927294	0.040261816
0.030801756	0.9049793	0.034837466	0.029381534
0.26631615	0.7085171	0.013514849	0.0116519295
0.6527818	0.1137295	0.1258003	0.107688375
0.8916734	0.035393946	0.039366335	0.033566337
0.07456707	0.072374895	0.7834223	0.06963572
0.11355881	0.65727127	0.12305642	0.10611356
0.055740993	0.053754844	0.060025048	0.8304791
0.29418942	0.020674119	0.6653304	0.019806009
0.012643123	0.01237251	0.015043552	0.95994085
0.03130372	0.03003365	0.9097034	0.028959304
0.87729496	0.0086002415	0.10583285	0.008271973
0.021388093	0.6025368	0.3563183	0.019756772
0.05497457	0.8342964	0.059716336	0.05101273
0.0361315	0.03532629	0.89512295	0.033419315
0.115264654	0.65067834	0.12659873	0.10745829
0.054688245	0.05343857	0.8406237	0.05124954
0.021881238	0.020813098	0.93735045	0.019955248
0.030575424	0.9065313	0.033940658	0.028952613
0.25054267	0.24434291	0.27063107	0.23448335
0.013306501	0.9592657	0.014958208	0.012469537
0.7109074	0.008067888	0.0991209	0.1819038
0.054849625	0.83385146	0.05930004	0.051998846
0.6539441	0.03514518	0.27702093	0.033889778
0.016624553	0.016033275	0.018242305	0.94909984
0.054292813	0.052969936	0.8418091	0.050928168
0.055313878	0.83501875	0.058348328	0.051319014
0.030646171	0.0295938	0.91136694	0.028393047
0.054443177	0.05283909	0.8421587	0.05055903
0.77732176	0.07211312	0.08075769	0.0698074
0.6534352	0.110951364	0.12933405	0.106279455
0.05541023	0.8322104	0.059308857	0.05307052
0.01659057	0.42429405	0.017876452	0.5412389
0.036241546	0.03493802	0.039721332	0.8890991
0.317008	0.013960738	0.01567456	0.65335673
0.0764801	0.07225998	0.08254621	0.76871365
0.02151398	0.46465304	0.023858046	0.48997486
0.05561392	0.054175958	0.05963318	0.83057696
0.027077058	0.91772217	0.029750217	0.025450526
0.9780563	0.0071129953	0.008025491	0.0068051913
0.023944795	0.023205725	0.34756625	0.60528326
0.25054267	0.24434291	0.27063107	0.23448335
0.11522609	0.11102641	0.12339354	0.65035397
0.021602454	0.6021283	0.023050873	0.3532183
0.94073534	0.019278472	0.021795299	0.018190896
0.02668388	0.02599548	0.9221716	0.025149008
0.01426774	0.57104015	0.015982052	0.3987101
0.25054267	0.24434291	0.27063107	0.23448335
0.01014329	0.5823247	0.011152074	0.3963799
0.03103988	0.9061382	0.033859685	0.028962245
0.02416817	0.023010932	0.026509956	0.9263109
0.8360776	0.053177055	0.05916087	0.051584493
0.65558726	0.11102117	0.12655407	0.10683752
0.030881267	0.90744895	0.033133924	0.028535875
0.019451706	0.01885406	0.94344133	0.018252939
0.043328583	0.49161488	0.42487916	0.040177353
0.8681351	0.042294122	0.0486227	0.04094809
0.51087	0.44103572	0.025880424	0.022213867
0.46858904	0.026653092	0.029784394	0.4749735
0.07467553	0.48150748	0.3748392	0.06897782
0.016381102	0.015982619	0.017839646	0.9497966
0.83424187	0.053928938	0.060175095	0.051654115
0.7256306	0.023433711	0.22883065	0.02210508
0.25054267	0.24434291	0.27063107	0.23448335
0.12429747	0.0057192496	0.8644967	0.005486552
0.043131236	0.86921877	0.047219306	0.04043067
0.11380449	0.111459024	0.6672594	0.10747708
0.90796787	0.030212987	0.03295291	0.028866233
0.77358466	0.074552126	0.08201033	0.069852844
0.018021483	0.017382273	0.12072079	0.84387547
0.9361598	0.020880321	0.02299448	0.019965399
0.441804	0.44702694	0.06009571	0.051073343
0.042918403	0.04178064	0.8748746	0.040426385
0.25054267	0.24434291	0.27063107	0.23448335
0.65745485	0.11042499	0.12566152	0.10645861
0.05568308	0.05394696	0.05883784	0.8315321
0.25054267	0.24434291	0.27063107	0.23448335
0.054597687	0.053797316	0.8408122	0.050792836
0.073642105	0.77842754	0.07924308	0.068687245
0.11397536	0.1109008	0.6692868	0.10583709
0.07560008	0.48118994	0.37370408	0.069505885
0.021180833	0.020866526	0.023009956	0.9349427
0.074896306	0.76756424	0.08851064	0.06902884
0.011739004	0.011610091	0.012783171	0.9638677
0.03710206	0.88984364	0.03920239	0.03385193
0.22547936	0.01597664	0.74313956	0.01540444
0.0744004	0.7750592	0.08137333	0.06916704
0.07600741	0.24927144	0.08146376	0.59325737
0.8925013	0.034889445	0.038978565	0.033630677
0.036088057	0.03585396	0.8943209	0.03373709
0.019546997	0.019374246	0.021147164	0.9399316
0.043758895	0.042433906	0.872901	0.040906187
0.3857748	0.02640825	0.029093735	0.5587232
0.8701663	0.042059798	0.047060903	0.040713057
0.073602624	0.072101854	0.08303738	0.7712582
0.014336232	0.013733677	0.015720185	0.9562099
0.0144188395	0.013972727	0.42907226	0.5425362
0.030618655	0.90674984	0.03390633	0.028725185
0.0734882	0.07153423	0.78665775	0.06831978
0.11468548	0.111025184	0.6680048	0.10628448
0.021303164	0.021144707	0.023545355	0.93400675
0.012507278	0.012221923	0.06308737	0.9121834
0.95432854	0.014835225	0.016683053	0.014153154
0.021617875	0.020647801	0.02347233	0.934262
0.031422332	0.9059982	0.034081414	0.02849806
0.030776307	0.029594943	0.9113039	0.028324908
0.8374714	0.14459017	0.00962372	0.008314671
0.3277187	0.0039565302	0.0044182213	0.6639065
0.018047275	0.017308742	0.94782984	0.016814124
0.031421468	0.031233085	0.90850323	0.028842222
0.11423603	0.11202738	0.66393405	0.109802544
0.021514455	0.020670014	0.023446778	0.9343687
0.95696634	0.0139416745	0.015822336	0.013269621
0.0770535	0.77162576	0.08086442	0.0704563
0.011860888	0.42123753	0.55588037	0.011021188
0.07643943	0.07338951	0.78087723	0.06929382
0.04396405	0.8680051	0.047087893	0.04094301
0.03563061	0.034940325	0.89605325	0.033375848
0.075387396	0.072852455	0.08190663	0.7698535
0.07527022	0.07235102	0.08005107	0.77232766
0.026620863	0.026577968	0.9219798	0.02482137
0.7711712	0.07223943	0.08594565	0.07064363
0.01667383	0.015811726	0.01807466	0.94943976
0.07608426	0.073017746	0.7807049	0.07019309
0.114237234	0.6564143	0.12285452	0.10649396
0.036289204	0.30341783	0.6264561	0.03383684
0.013485442	0.013100561	0.014334197	0.9590798
0.78229165	0.012917495	0.014753293	0.19003753
0.1921334	0.7591881	0.02644913	0.02222934
0.86992174	0.042463437	0.04706006	0.040554773
0.34948882	0.00897647	0.009985081	0.63154966
0.25054267	0.24434291	0.27063107	0.23448335
0.035740368	0.89146763	0.03913616	0.033655852
0.7005625	0.029881822	0.24083176	0.02872393
0.02664873	0.026401898	0.22607154	0.7208778
0.008125867	0.007972996	0.00888073	0.9750204
0.25054267	0.24434291	0.27063107	0.23448335
0.027468788	0.9179317	0.028972384	0.025627146
0.8696393	0.04214075	0.047797114	0.040422894
0.07389636	0.7706647	0.08458447	0.07085451
0.11753445	0.114240654	0.6598013	0.1084236
0.07306639	0.07126074	0.78573483	0.06993801
0.07370307	0.071573034	0.7862786	0.068445295
0.043335628	0.04209217	0.8743422	0.040230013
0.04389216	0.04341215	0.048137266	0.8645584
0.71908236	0.017583704	0.019375756	0.24395822
0.019470671	0.018830536	0.021372244	0.9403266
0.114787295	0.1113942	0.6651319	0.10868658
0.83458215	0.05304231	0.060511325	0.051864218
0.44595504	0.042475604	0.47061133	0.040957976
0.07511764	0.7762585	0.07904028	0.069583535
0.04383336	0.042220943	0.8733818	0.0405639
0.118438736	0.111183174	0.6624694	0.1079087
0.25054267	0.24434291	0.27063107	0.23448335
0.005637949	0.0054804464	0.9836432	0.0052384525
