topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49
0.0048339856	0.0048827366	0.0048996382	0.0049503273	0.004965558	0.005063744	0.0049989033	0.0048991484	0.0048499997	0.004933539	0.0049168905	0.004897587	0.0048502586	0.0049324348	0.004849677	0.0048830938	0.004883391	0.004932306	0.0048833955	0.0049675377	0.7592511	0.0048998767	0.0048824423	0.0048826872	0.004965492	0.0050324094	0.0048672347	0.0048339856	0.00491527	0.0049327244	0.0051281624	0.004850518	0.0048669335	0.004883928	0.0049160053	0.0048675137	0.004900088	0.004883942	0.0048348596	0.0048501156	0.004883317	0.0049490063	0.004914549	0.0049331174	0.0048668096	0.004986863	0.004932384	0.0049175466	0.0049818438	0.0049151564
0.0027553798	0.002783168	0.002792802	0.0028216948	0.0028303764	0.0028863426	0.0028493833	0.0027925228	0.002764508	0.0028121255	0.0028026355	0.0027916327	0.0027646555	0.002811496	0.0027643237	0.0027833714	0.002783541	0.0028114226	0.0027835434	0.0028315047	0.0027743909	0.002792938	0.002783	0.0027831397	0.0028303387	0.002868482	0.0027743317	0.47585946	0.0028017121	0.0028116612	0.0029230611	0.0027648034	0.15262902	0.0027838473	0.002802131	0.002774491	0.0027930583	0.0027838552	0.002755878	0.23980397	0.0027834985	0.0028209419	0.0028013012	0.0028118852	0.0027740893	0.0028425201	0.002811467	0.0028030097	0.0028396593	0.0028016472
0.009724815	0.009822891	0.009856893	0.009958867	0.0099895075	0.010187034	0.01005659	0.009855907	0.009757032	0.009925093	0.009891599	0.009852765	0.009757552	0.00992287	0.009756383	0.009823609	0.009824207	0.0099226115	0.009824215	0.00999349	0.0097919125	0.009857372	0.009822298	0.0098227905	0.009989374	0.010123996	0.009791704	0.009724815	0.00988834	0.009923454	0.010316629	0.009758075	0.5156703	0.009825287	0.009889819	0.0097922655	0.009857797	0.009825316	0.009726574	0.009757265	0.009824057	0.009956209	0.00988689	0.009924244	0.009790849	0.010032368	0.009922769	0.00989292	0.0100222705	0.009888112
0.0027553826	0.002783171	0.0027928047	0.0028216976	0.0028303794	0.0028863454	0.002849386	0.0027925256	0.0027645107	0.0028121283	0.7101814	0.0027916355	0.0027646583	0.15543087	0.0027643268	0.0027833744	0.002783544	0.0028114254	0.0027835462	0.0028315075	0.0027743937	0.0027929407	0.002783003	0.0027831425	0.0028303417	0.0028684847	0.0027743347	0.0027553826	0.002801715	0.002811664	0.0029230642	0.0027648062	0.002774163	0.00278385	0.002802134	0.0027744938	0.002793061	0.002783858	0.0027558808	0.0027645768	0.0027835015	0.0028209449	0.0028013042	0.002811888	0.0027740921	0.0028425232	0.0028114698	0.0028030125	0.0028396621	0.0028016502
0.0021414894	0.0021630866	0.0021705742	0.0021930297	0.0021997772	0.0022432741	0.002214549	0.0021703572	0.0021485838	0.0021855924	0.0021782168	0.0021696652	0.0021486985	0.002185103	0.0021484408	0.0021632446	0.8933536	0.002185046	0.0021633783	0.002200654	0.0021562648	0.0021706799	0.0021629562	0.0021630647	0.0021997478	0.0022293928	0.002156219	0.0021414894	0.0021774992	0.0021852315	0.002271812	0.0021488136	0.0021560856	0.0021636144	0.0021778247	0.0021563426	0.0021707732	0.0021636207	0.0021418766	0.0021486352	0.0021633434	0.0021924446	0.0021771798	0.0021854057	0.0021560306	0.0022092152	0.0021850807	0.0021785076	0.0022069917	0.0021774487
0.001375398	0.001389269	0.0013940779	0.0014085004	0.0014128339	0.0014407703	0.0014223215	0.0013939386	0.0013799544	0.0014037236	0.0013989866	0.0013934942	0.0013800281	0.0014034094	0.0013798625	0.0013893705	0.0013894552	0.0014033727	0.0013894563	0.6109188	0.0013848877	0.0013941458	0.0013891852	0.0013892548	0.0014128151	0.0014318549	0.0013848583	0.001375398	0.0013985257	0.0014034918	0.0014590992	0.0013801019	0.0013847726	0.001389608	0.0013987347	0.0013849377	0.0013942058	0.001389612	0.0013756467	0.0013799875	0.001389434	0.0014081245	0.0013983205	0.0014036037	0.32199496	0.0014188957	0.001403395	0.0013991733	0.0014174676	0.0013984932
0.0017513009	0.0017689628	0.0017750862	0.0017934502	0.0017989682	0.0018345398	0.0018110487	0.0017749086	0.0017571026	0.001787368	0.06682456	0.0017743428	0.0017571964	0.0017869679	0.0017569857	0.0017690922	0.0017692	0.0017869212	0.0017692015	0.0017996853	0.0017633841	0.0017751725	0.0017688561	0.0017689449	0.0017989442	0.64064986	0.0017633466	0.0017513009	0.0017807494	0.0017870729	0.0018578781	0.0017572903	0.20890921	0.0017693946	0.0017810157	0.0017634478	0.001775249	0.0017693996	0.0017516174	0.0017571446	0.001769173	0.0017929716	0.0017804882	0.0017872152	0.0017631926	0.0018066867	0.0017869496	0.0017815741	0.0018048683	0.0017807082
0.0012032234	0.0012153579	0.0012195649	0.0012321818	0.001235973	0.0012604123	0.0012442729	0.0012194429	0.0012072093	0.665315	0.27600074	0.0012190542	0.0012072738	0.0012277282	0.001207129	0.0012154467	0.0012155208	0.0012276961	0.0012155218	0.0012364656	0.001211525	0.0012196243	0.0012152846	0.0012153456	0.0012359566	0.0012526129	0.0012114993	0.0012032234	0.0012234558	0.0012278004	0.0012764467	0.0012073384	0.0012114244	0.0012156545	0.0012236388	0.0012115688	0.0012196768	0.001215658	0.0012034408	0.0012072383	0.0012155023	0.001231853	0.0012232764	0.0012278982	0.0012113935	0.0012412759	0.0012277156	0.0012240224	0.0012400266	0.0012234275
0.00036985043	0.0003735804	0.00037487355	0.00037875178	0.00037991712	0.00038742935	0.00038246837	0.00037483606	0.00037107567	0.0003774673	0.00037619352	0.0003747166	0.0003710955	0.00037738282	0.000371051	0.0003736077	0.00037363046	0.00037737295	0.00037363078	0.10095097	0.00037240225	0.0003748918	0.00037355788	0.00037357662	0.00037991206	0.00038503195	0.00037239434	0.00036985043	0.00037606957	0.000377405	0.00039235805	0.00037111534	0.0003723713	0.0003736716	0.0003761258	0.0003724157	0.00037490795	0.00037367264	0.0003699173	0.00037108455	0.00037362476	0.00037865073	0.00037601442	0.00037743506	0.0003723618	0.8810184	0.00037737895	0.00037624373	0.00038116315	0.00037606084
0.0010693595	0.0010801441	0.001083883	0.0010950962	0.0010984656	0.001120186	0.0011058422	0.0010837746	0.0010729021	0.0010913825	0.0010876994	0.0010834292	0.0010729594	0.22999355	0.0010728308	0.001080223	0.0010802889	0.0010911096	0.0010802898	0.717862	0.0010767377	0.0010839357	0.0010800789	0.0010801331	0.001098451	0.0011132543	0.0010767148	0.0010693595	0.0010873411	0.0010912023	0.0011344365	0.0010730168	0.0010766481	0.0010804078	0.0010875036	0.0010767765	0.0010839825	0.0010804108	0.0010695528	0.0010729278	0.0010802724	0.0010948041	0.0010871816	0.0010912892	0.0010766207	0.0011031786	0.0010911269	0.0010878446	0.0011020683	0.0010873158
