topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7
0.02794764	0.027165432	0.02620389	0.026328051	0.026130123	0.030684266	0.80882007	0.026720548
0.7044238	0.01528538	0.014739406	0.014810845	0.0146995485	0.20334661	0.01766158	0.015032843
0.058032043	0.05640734	0.054398406	0.054643705	0.054257154	0.0636971	0.60307926	0.05548498
0.015724385	0.015285313	0.014742762	0.014810258	0.014704041	0.017266937	0.89242506	0.01504126
0.01217181	0.011839467	0.9144603	0.011467336	0.011381493	0.013365742	0.013674664	0.011639197
0.0077800346	0.007565395	0.0072949138	0.0073291827	0.007275781	0.008541639	0.9467725	0.0074404916
0.009928289	0.0096528	0.009309783	0.009353017	0.009284417	0.010903378	0.932073	0.009495338
0.7043523	0.006609585	0.0063750837	0.0064059356	0.0063570905	0.007463744	0.0076359143	0.25480032
0.002079002	0.18922427	0.0019494931	0.0019587653	0.0019444067	0.0022839138	0.79857194	0.0019882475
0.0060375608	0.22451873	0.005661143	0.0056880307	0.005645764	0.25079775	0.0067843124	0.49486676
0.027934983	0.027159613	0.026204016	0.026318025	0.026128596	0.030662805	0.8088752	0.026716754
0.1255659	0.12207947	0.117765576	0.1183035	0.1174424	0.13781178	0.14094827	0.12008311
0.018402113	0.017893398	0.017256083	0.01733661	0.01720861	0.87360436	0.02070077	0.017598065
0.022189667	0.021578444	0.020811427	0.0209043	0.020753548	0.5218971	0.35064122	0.021224357
0.027935259	0.80466276	0.026199402	0.026319511	0.026130034	0.030664185	0.031371288	0.026717583
0.006036718	0.0058691776	0.0056615123	0.005687149	0.005645977	0.0066290544	0.26199478	0.70247567
0.009928618	0.009652755	0.00931085	0.009354773	0.0092875315	0.39435694	0.5486135	0.009495048
0.0183993	0.017888019	0.017259581	0.870779	0.017212085	0.02020266	0.020662434	0.01759695
0.02793846	0.027165899	0.026202254	0.80376667	0.026133187	0.030693507	0.031371176	0.026728854
0.027935913	0.19859935	0.6322313	0.026321173	0.0261402	0.03067701	0.031377725	0.026717348
0.037717845	0.03666841	0.7349732	0.03552764	0.03527265	0.041392375	0.04235747	0.03609048
0.5723734	0.013341479	0.012866303	0.34496763	0.012834581	0.015064977	0.015425814	0.013125842
0.73734426	0.036671586	0.03537956	0.035532996	0.035270598	0.041397087	0.042339824	0.036064073
0.02219724	0.021573495	0.47943076	0.3855148	0.020758227	0.02438793	0.024912918	0.021224638
0.015718114	0.015283067	0.014740572	0.0148089705	0.014699818	0.89205354	0.01766551	0.015030432
0.1255659	0.12207947	0.117765576	0.1183035	0.1174424	0.13781178	0.14094827	0.12008311
0.19700281	0.017890822	0.017257322	0.017334983	0.017210472	0.020202069	0.020673128	0.69242835
0.022191457	0.021573355	0.020819444	0.020906983	0.8439868	0.024374925	0.024921352	0.021225642
0.027938405	0.02716216	0.026202446	0.026322896	0.02612872	0.8081275	0.031400304	0.026717559
0.018402845	0.017890137	0.017260727	0.017342249	0.017209455	0.87364084	0.020657634	0.017596142
0.015717464	0.31900644	0.01474146	0.014807098	0.014700101	0.2496816	0.35631528	0.015030564
0.006396932	0.00621673	0.005998394	0.00602453	0.0059806933	0.9560848	0.007181805	0.006116188
