id	project_name	processed_title	processed_description	processed_labels	priority_id	type_id	status_name	topic_id	top_terms
13589047	IGNITE	calcite engine object dynamic parameter convert binary object	object inside ignite store binary object format pass dynamic parameter query leave compound object object compare object inside cache example code java ignitecache emp new new key emp val code query return row	['calcite', 'ise']	3	1	Resolved	124	['new', 'fail', 'exception', 'java', 'example', 'add', 'support', 'thin', 'use', 'method']
13166103	IGNITE	error writecheckpointentry pass failure handler checkpoint finish	observe follow failure cache suite code ignite core checkpoint fail create checkpoint ignite core class persistentstorageioexception fail write checkpoint entry ptr filewalpointer cpid type end ignite core ignite core ignite core ignite core ignite core ignite core ignite core ignite core cause nosuchfileexception teamcity work work ignite core ignite core ignite core ignite core ignite core ignite core ignite core ignite core ignite core checkpoint fail create checkpoint code issue concurrent process remove work folder result exception checkpoint exception pass failure handler catch todo ignite handle exception checkpointer yield uncompleted checkpoint future	['maketeamcitygreenagain']	3	1	Resolved	9	['ignite', 'type', 'exception', 'work', 'java', 'configuration', 'start', 'fail', 'error', 'create']
13562861	IGNITE	structure wait completion operation start build index partition	implement need structure allow wait completion flight operation transaction index appear order begin build index partition basic idea structure describe	['ignite-3']	3	4	Resolved	156	['index', 'update', 'implement', 'method', 'configuration', 'support', 'thin', 'use', 'change', 'add']
13424275	IGNITE	thin support value type table api	table api constrain reference type currently code interface irecordview class code remove constraint require change api potentially return null getall getandupsert getandreplace getanddelete single key api change bool format getall clear investigate	['.net', 'ignite-3']	3	4	Resolved	53	['api', 'type', 'change', 'thin', 'support', 'remove', 'class', 'currently', 'method', 'like']
13541171	IGNITE	java thin partition awareness use wrong node	confusion local node consistent node node come partition assignment return clienttablepartitionassignmentgetrequest server base consistent node partition awareness test use fakeserver test actually work	['ignite-3']	1	1	Resolved	5	['implement', 'new', 'index', 'use', 'work', 'example', 'like', 'implementation', 'currently', 'api']
13541045	IGNITE	continuous qierie backup acknowledge message sending fail expired entry	expire entry event null topology version field cachecontinuousqueryentry constructor method backup acknowledge send message silently warning log fail npe null topology version lead leak query entry buffer	['ise']	3	1	Resolved	66	['fail', 'exception', 'method', 'java', 'follow', 'cause', 'thin', 'use', 'add', 'configuration']
13315210	IGNITE	consolidate test rid test dotnetcore folder	right separate directory core test test file share apache ignite core test apache ignite core test dotnetcore project apache ignite core test directory test include dotnetcore project default incompatible test exclude specifically project compiler directive netcoreapp	['.net']	4	4	Resolved	9	['ignite', 'type', 'exception', 'work', 'java', 'configuration', 'start', 'fail', 'error', 'create']
13583260	IGNITE	thin add parameter object data streamer	similar add parameter object datastreamer simplify signature	['ignite-3']	3	4	Resolved	152	['method', 'add', 'new', 'currently', 'client', 'update', 'configuration', 'support', 'thin', 'api']
13380762	IGNITE	support byte configuration value	right small array type int convenient use case	['iep-55', 'ignite-3']	3	7	Resolved	78	['type', 'support', 'thin', 'add', 'update', 'client', 'use', 'implementation', 'currently', 'api']
13548787	IGNITE	possible memory leak streamerbuffer	run stress test simply insert lot row method following option code java var option code minute start get java oom error having inspect heap dump find memory consume tuple instance insert reason follow streamerbuffer accumulate batch datum send server server slow reason batch send place queue chain flushfut streamersubscriber class control pressure use variable purpose pendingitemcount represent item request subscriber inflightitemcount represent item send server streamersubscriber know queue present streamerbuffer increase inflightitemcount particular flush future execute mean future sit queue contribute overall inflightitemcount streamersubscriber keep request item lot item simply stuck different place	['ignite-3']	3	1	Resolved	140	['java', 'new', 'class', 'cause', 'use', 'like', 'start', 'follow', 'fail', 'method']
