topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109
0.0015017804	0.0014969186	0.0015066336	0.0015065864	0.0015259589	0.0015162952	0.0015115476	0.0015017405	0.0015017568	0.19742984	0.0014969186	0.0015113719	0.001506568	0.0015065398	0.0015066202	0.0015113908	0.0015017702	0.0015017568	0.0015066304	0.0014969186	0.001501726	0.0015211406	0.0015017482	0.0015114504	0.0015065882	0.00150661	0.0015066221	0.0014969201	0.0015114392	0.0014969186	0.0014969186	0.0015017804	0.0015065855	0.0015114767	0.0015017804	0.0015114308	0.0014969186	0.0014969186	0.0015017567	0.0015114775	0.0015163138	0.0014969186	0.0015017702	0.0014969186	0.0015017886	0.0015114197	0.0014969186	0.0015114453	0.0015017922	0.0014969186	0.0015114892	0.0014969186	0.0015114748	0.0014969186	0.001501732	0.0015017375	0.6400304	0.0015163064	0.0015017804	0.0015009898	0.0014969186	0.0015017804	0.0015163461	0.0014969186	0.0015114483	0.0015162836	0.0015114712	0.0014969186	0.0015163443	0.001515949	0.0015114798	0.001501785	0.0015163155	0.0014969186	0.0015018667	0.0015065671	0.0015114413	0.0015066577	0.0015017753	0.0015066053	0.0015017753	0.0014969186	0.0014969186	0.0015028825	0.001501764	0.0015065945	0.0014969186	0.0015017922	0.0014969186	0.0015017757	0.0015017451	0.0015066182	0.0015064838	0.0015017431	0.0015019426	0.0015018155	0.0015066471	0.0014969186	0.0015211585	0.0014969186	0.0015065671	0.0015162866	0.0014969186	0.0015115677	0.0015017886	0.0015066583	0.001506647	0.0015066232	0.0015017701	0.0015114506
0.00023686404	0.00023609723	0.0002376295	0.00023762207	0.1818599	0.00023915336	0.00023840454	0.00023685776	0.00023686033	0.6421978	0.00023609723	0.00023837684	0.00023761916	0.00023761469	0.00023762739	0.00023837981	0.00023686244	0.00023686033	0.000237629	0.00023609723	0.00023685546	0.00023991757	0.00023685896	0.00023838923	0.00023762234	0.00023762578	0.00023762768	0.00023609748	0.00023838745	0.00023609723	0.00023609723	0.00023686404	0.00023762192	0.00023839336	0.00023686404	0.00023838613	0.00023609723	0.00023609723	0.00023686032	0.15054844	0.00023915627	0.00023609723	0.00023686244	0.00023609723	0.00023686534	0.00023838437	0.00023609723	0.00023838841	0.0002368659	0.00023609723	0.00023839533	0.00023609723	0.00023839307	0.00023609723	0.00023685642	0.00023685728	0.00023686147	0.00023915512	0.00023686404	0.00023673933	0.00023609723	0.00023686404	0.00023916138	0.00023609723	0.00023838888	0.00023915152	0.0002383925	0.00023609723	0.00023916108	0.00023909875	0.00023839386	0.00023686477	0.00023915655	0.00023609723	0.00023687766	0.00023761901	0.00023838777	0.0002376333	0.00023686326	0.00023762503	0.00023686326	0.00023609723	0.00023609723	0.00023703786	0.00023686147	0.00023762332	0.00023609723	0.0002368659	0.00023609723	0.0002368633	0.00023685847	0.00023762707	0.00023760587	0.00023685815	0.00023688962	0.00023686957	0.00023763163	0.00023609723	0.0002399204	0.00023609723	0.00023761901	0.00023915198	0.00023609723	0.00023840772	0.00023686534	0.0002376334	0.00023763161	0.00023762786	0.00023686241	0.00023838924
0.0015017802	0.0014969185	0.0015066335	0.46387702	0.0015259588	0.0015162951	0.0015115475	0.0015017404	0.0015017567	0.0015408624	0.0014969185	0.0015113718	0.0015065679	0.0015065396	0.0015066201	0.0015113907	0.0015017701	0.0015017567	0.0015066303	0.0014969185	0.0015017259	0.0015211405	0.0015017481	0.0015114503	0.0015065881	0.0015066098	0.001506622	0.00149692	0.0015114391	0.0014969185	0.0014969185	0.0015017802	0.0015065854	0.0015114766	0.0015017802	0.0015114307	0.0014969185	0.0014969185	0.0015017566	0.0015114774	0.0015163136	0.0014969185	0.0015017701	0.0014969185	0.0015017885	0.0015114195	0.0014969185	0.0015114452	0.0015017921	0.0014969185	0.001511489	0.0014969185	0.0015114747	0.0014969185	0.0015017319	0.0015017374	0.0015017639	0.0015163063	0.0015017802	0.0015009897	0.0014969185	0.0015017802	0.001516346	0.0014969185	0.0015114482	0.3735635	0.0015114711	0.0014969185	0.0015163441	0.0015159489	0.0015114797	0.0015017849	0.0015163154	0.0014969185	0.0015018666	0.001506567	0.0015114412	0.0015066576	0.0015017752	0.0015066052	0.0015017752	0.0014969185	0.0014969185	0.0015028823	0.0015017639	0.0015065944	0.0014969185	0.0015017921	0.0014969185	0.0015017756	0.001501745	0.0015066181	0.0015064836	0.001501743	0.0015019425	0.0015018154	0.001506647	0.0014969185	0.0015211584	0.0014969185	0.001506567	0.0015162864	0.0014969185	0.0015115676	0.0015017885	0.0015066582	0.0015066469	0.0015066231	0.00150177	0.0015114505
0.00064314285	0.0006410608	0.00064522127	0.00064520113	0.0006534974	0.00064935896	0.0006473257	0.00064312585	0.00064313284	0.00065987994	0.0006410608	0.0006472505	0.0006451932	0.0006451811	0.00064521556	0.00064725854	0.21691173	0.078441024	0.00064521993	0.0006410608	0.00064311957	0.00065143395	0.0006431291	0.0006472841	0.0006452018	0.00064521114	0.0006452164	0.00064106146	0.0006472793	0.0006410608	0.0006410608	0.00064314285	0.0006452007	0.0006472954	0.00064314285	0.0006472757	0.0006410608	0.0006410608	0.0006431328	0.0006472957	0.0006493669	0.0006410608	0.00064313854	0.0006410608	0.0006431464	0.00064727094	0.0006410608	0.00064728194	0.0006431479	0.0006410608	0.0006473007	0.0006410608	0.00064729457	0.0006410608	0.0006431222	0.0006431245	0.00064313586	0.00064936373	0.00064314285	0.00064280425	0.0006410608	0.00064314285	0.0006493807	0.0006410608	0.00064728316	0.00064935395	0.00064729305	0.0006410608	0.0006493799	0.40427297	0.0006472967	0.0006431449	0.0006493676	0.0006410608	0.00064317987	0.0006451928	0.0006472802	0.0006452316	0.00064314075	0.00064520916	0.00064314075	0.0006410608	0.0006410608	0.00064361485	0.00064313586	0.0006452045	0.0006410608	0.0006431479	0.0006410608	0.00064314087	0.0006431278	0.0006452147	0.0006451571	0.0006431269	0.00064321235	0.0006431579	0.0006452271	0.0006410608	0.00065144163	0.0006410608	0.0006451928	0.23204789	0.0006410608	0.0006473344	0.0006431464	0.00064523186	0.00064522703	0.00064521685	0.0006431385	0.0006472842
0.0015017814	0.0014969197	0.83592415	0.0015065876	0.0015259599	0.0015162964	0.0015115486	0.0015017417	0.001501758	0.0015408635	0.0014969197	0.0015113731	0.0015065691	0.0015065408	0.0015066213	0.0015113918	0.0015017714	0.001501758	0.0015066316	0.0014969197	0.001501727	0.0015211416	0.0015017493	0.0015114516	0.0015065892	0.001506611	0.0015066231	0.0014969212	0.0015114404	0.0014969197	0.0014969197	0.0015017814	0.0015065867	0.0015114777	0.0015017814	0.001511432	0.0014969197	0.0014969197	0.0015017578	0.0015114786	0.0015163148	0.0014969197	0.0015017714	0.0014969197	0.0015017897	0.0015114207	0.0014969197	0.0015114464	0.0015017933	0.0014969197	0.0015114902	0.0014969197	0.0015114759	0.0014969197	0.0015017331	0.0015017386	0.0015017651	0.0015163076	0.0015017814	0.0015009908	0.0014969197	0.0015017814	0.0015163472	0.0014969197	0.0015114493	0.0015162847	0.0015114724	0.0014969197	0.0015163453	0.0015159501	0.0015114809	0.001501786	0.0015163166	0.0014969197	0.0015018679	0.0015065682	0.0015114424	0.0015066587	0.0015017765	0.0015066063	0.0015017765	0.0014969197	0.0014969197	0.0015028835	0.0015017651	0.0015065955	0.0014969197	0.0015017933	0.0014969197	0.0015017767	0.0015017461	0.0015066193	0.0015064848	0.0015017441	0.0015019437	0.0015018166	0.0015066481	0.0014969197	0.0015211595	0.0014969197	0.0015065682	0.0015162877	0.0014969197	0.0015115689	0.0015017897	0.0015066594	0.001506648	0.0015066243	0.0015017712	0.0015114517
0.0022541366	0.0022468392	0.0022614212	0.0022613506	0.002290428	0.0022759233	0.002268797	0.002254077	0.0022541014	0.002312798	0.0022468392	0.0022685335	0.0022613227	0.0022612803	0.0022614012	0.0022685616	0.0022541215	0.0022541014	0.0022614165	0.0022468392	0.0022540549	0.002283196	0.0022540884	0.0022686513	0.0022613532	0.0022613858	0.002261404	0.0022468416	0.0022686345	0.0022468392	0.0022468392	0.0022541366	0.0022613492	0.0022686906	0.0022541366	0.0022686217	0.0022468392	0.0022468392	0.0022541012	0.7537334	0.002275951	0.0022468392	0.0022541215	0.0022468392	0.002254149	0.002268605	0.0022468392	0.0022686436	0.0022541543	0.0022468392	0.0022687092	0.0022468392	0.0022686878	0.0022468392	0.002254064	0.0022540723	0.0022541122	0.00227594	0.0022541366	0.0022529499	0.0022468392	0.0022541366	0.0022759994	0.0022468392	0.002268648	0.0022759056	0.0022686825	0.0022468392	0.0022759966	0.0022754034	0.0022686953	0.0022541436	0.0022759535	0.0022468392	0.0022542663	0.0022613213	0.0022686375	0.0022614573	0.0022541292	0.0022613788	0.0022541292	0.0022468392	0.0022468392	0.0022557909	0.0022541122	0.0022613625	0.0022468392	0.0022541543	0.0022468392	0.0022541296	0.0022540838	0.0022613981	0.0022611963	0.0022540807	0.0022543801	0.0022541895	0.0022614414	0.0022468392	0.0022832227	0.0022468392	0.0022613213	0.00227591	0.0022468392	0.0022688273	0.002254149	0.0022614582	0.0022614412	0.0022614056	0.0022541212	0.0022686515
0.002254135	0.0022468374	0.0022614195	0.0022613488	0.002290426	0.0022759214	0.0022687952	0.0022540751	0.0022540996	0.75377774	0.0022468374	0.0022685316	0.002261321	0.0022612785	0.0022613993	0.0022685598	0.0022541196	0.0022540996	0.002261415	0.0022468374	0.0022540533	0.002283194	0.0022540865	0.0022686494	0.0022613513	0.002261384	0.002261402	0.0022468397	0.0022686326	0.0022468374	0.0022468374	0.002254135	0.0022613474	0.0022686888	0.002254135	0.00226862	0.0022468374	0.0022468374	0.0022540994	0.00226869	0.002275949	0.0022468374	0.0022541196	0.0022468374	0.0022541473	0.0022686033	0.0022468374	0.0022686417	0.0022541527	0.0022468374	0.0022687076	0.0022468374	0.002268686	0.0022468374	0.0022540623	0.0022540705	0.0022541103	0.0022759382	0.002254135	0.0022529482	0.0022468374	0.002254135	0.0022759978	0.0022468374	0.0022686461	0.002275904	0.0022686806	0.0022468374	0.002275995	0.0022754017	0.0022686934	0.002254142	0.0022759517	0.0022468374	0.0022542647	0.0022613197	0.0022686357	0.0022614556	0.0022541275	0.002261377	0.0022541275	0.0022468374	0.0022468374	0.002255789	0.0022541103	0.0022613606	0.0022468374	0.0022541527	0.0022468374	0.002254128	0.002254082	0.0022613963	0.0022611946	0.0022540789	0.0022543785	0.0022541876	0.0022614398	0.0022468374	0.0022832209	0.0022468374	0.0022613197	0.0022759084	0.0022468374	0.0022688257	0.0022541473	0.0022614566	0.0022614396	0.0022614037	0.0022541194	0.0022686496
0.0022541368	0.0022468395	0.0022614214	0.0022613509	0.0022904282	0.0022759235	0.0022687973	0.0022540772	0.0022541017	0.0023127983	0.0022468395	0.0022685337	0.002261323	0.0022612805	0.0022614014	0.0022685619	0.0022541217	0.0022541017	0.0022614168	0.0022468395	0.0022540553	0.0022831962	0.0022540886	0.0022686515	0.0022613534	0.002261386	0.0022614042	0.0022468418	0.0022686347	0.0022468395	0.0022468395	0.0022541368	0.0022613495	0.0022686908	0.0022541368	0.0022686222	0.0022468395	0.0022468395	0.0022541014	0.002268692	0.0022759512	0.0022468395	0.0022541217	0.0022468395	0.0022541492	0.0022686052	0.0022468395	0.75373334	0.0022541545	0.0022468395	0.0022687095	0.0022468395	0.002268688	0.0022468395	0.0022540644	0.0022540726	0.0022541124	0.0022759403	0.0022541368	0.00225295	0.0022468395	0.0022541368	0.0022759996	0.0022468395	0.0022686482	0.002275906	0.0022686827	0.0022468395	0.0022759968	0.0022754036	0.0022686955	0.0022541438	0.0022759538	0.0022468395	0.0022542665	0.0022613215	0.0022686378	0.0022614577	0.0022541294	0.002261379	0.0022541294	0.0022468395	0.0022468395	0.002255791	0.0022541124	0.0022613627	0.0022468395	0.0022541545	0.0022468395	0.0022541299	0.002254084	0.0022613984	0.0022611965	0.002254081	0.0022543804	0.0022541897	0.0022614417	0.0022468395	0.002283223	0.0022468395	0.0022613215	0.0022759105	0.0022468395	0.0022688275	0.0022541492	0.0022614587	0.0022614414	0.0022614058	0.0022541215	0.0022686517
0.0018026067	0.0017967711	0.0018084322	0.0018083756	0.0018316285	0.0018200292	0.0018143305	0.001802559	0.0018025786	0.0018495175	0.0017967711	0.0018141196	0.0018083534	0.0018083195	0.0018084161	0.0018141422	0.586362	0.0018025786	0.0018084284	0.0017967711	0.0018025414	0.0018258451	0.0018025681	0.0018142138	0.0018083777	0.0018084038	0.0018084183	0.0017967729	0.0018142004	0.0017967711	0.0017967711	0.0018026067	0.0018083744	0.0018142454	0.0018026067	0.0018141904	0.0017967711	0.0017967711	0.0018025783	0.0018142463	0.0018200513	0.0017967711	0.0018025946	0.0017967711	0.0018026166	0.0018141769	0.0017967711	0.0018142078	0.001802621	0.0017967711	0.0018142603	0.0017967711	0.0018142432	0.0017967711	0.0018025488	0.0018025553	0.0018025872	0.0018200426	0.0018026067	0.0018016577	0.0017967711	0.0018026067	0.0018200902	0.0017967711	0.0018142113	0.0018200151	0.0018142388	0.0017967711	0.0018200879	0.0018196135	0.0018142491	0.0018026123	0.0018200534	0.0017967711	0.0018027105	0.0018083523	0.0018142029	0.001808461	0.0018026008	0.0018083982	0.0018026008	0.0017967711	0.0017967711	0.0018039296	0.0018025872	0.0018083851	0.0017967711	0.001802621	0.0017967711	0.0018026012	0.0018025644	0.0018084137	0.0018082523	0.0018025619	0.0018028015	0.0018026489	0.0018084483	0.0017967711	0.21851572	0.0017967711	0.0018083523	0.0018200187	0.0017967711	0.0018143547	0.0018026166	0.0018084617	0.0018084481	0.0018084196	0.0018025944	0.001814214
0.0010007542	0.0009975145	0.0010039883	0.001003957	0.0010168663	0.0010104267	0.001007263	0.0010007278	0.0010007386	0.0010267977	0.0009975145	0.0010071459	0.0010039447	0.0010039258	0.0010039795	0.0010071584	0.0010007476	0.0010007386	0.0010039862	0.0009975145	0.001000718	0.0010136554	0.0010007328	0.0010071981	0.001003958	0.0010039726	0.0010039806	0.0009975155	0.111197464	0.0009975145	0.0009975145	0.0010007542	0.0010039563	0.0010072157	0.0010007542	0.0010071851	0.0009975145	0.0009975145	0.0010007385	0.0010072162	0.001010439	0.0009975145	0.0010007476	0.0009975145	0.0010007598	0.0010071776	0.0009975145	0.0010071947	0.0010007621	0.0009975145	0.001007224	0.0009975145	0.0010072144	0.0009975145	0.001000722	0.0010007257	0.0010007434	0.0010104341	0.0010007542	0.0010002274	0.0009975145	0.0010007542	0.0010104605	0.0009975145	0.0010071967	0.0010104189	0.0010072121	0.0009975145	0.0010104593	0.0010101959	0.0010072178	0.0010007573	0.0010104402	0.0009975145	0.0010008118	0.001003944	0.0010071921	0.0010040044	0.0010007509	0.0010039695	0.0010007509	0.0009975145	0.0009975145	0.0010014887	0.0010007434	0.0010039622	0.0009975145	0.0010007621	0.0009975145	0.0010007512	0.0010007308	0.0010039781	0.0010038884	0.0010007294	0.0010008623	0.0010007777	0.0010039973	0.0009975145	0.41371715	0.0009975145	0.001003944	0.0010104208	0.0009975145	0.0010072764	0.0010007598	0.0010040049	0.0010039973	0.0010039813	0.3677664	0.0010071982
