topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11
0.012704254	0.012464668	0.012749085	0.012381413	0.013152687	0.014168977	0.013084282	0.012115871	0.012372128	0.34832576	0.012169602	0.5243113
0.001978159	0.0019408509	0.0019851404	0.0019278835	0.0020480189	0.0022061607	0.0020373506	0.0018865487	0.0019264378	0.978279	0.0018949078	0.0018895195
0.012704238	0.012464621	0.012749104	0.8596096	0.013152728	0.014170358	0.013084344	0.012115943	0.0123721445	0.0132723795	0.012169586	0.012135009
0.19477004	0.0052915653	0.7511805	0.005256264	0.005583732	0.0060148807	0.0055546593	0.0051435293	0.0052523077	0.0056345304	0.0051663397	0.005151631
0.012704398	0.012464653	0.8599777	0.012381403	0.013153153	0.014169197	0.013084356	0.012115881	0.012372125	0.01327247	0.012169604	0.012135037
0.019216554	0.018854298	0.019284379	0.018728204	0.019894853	0.021431234	0.78871036	0.018326713	0.018714167	0.020075884	0.018407796	0.018355548
0.019216493	0.018854048	0.01928433	0.018728187	0.019894999	0.021430941	0.019791283	0.018326556	0.018714104	0.78899574	0.018407784	0.018355515
0.5100375	0.2969512	0.019284643	0.018728223	0.019895159	0.021431455	0.019791598	0.01832665	0.018714292	0.02007589	0.018407809	0.018355621
0.5868842	0.015007627	0.25982225	0.01490766	0.0158363	0.017059807	0.015753696	0.014587766	0.014896663	0.01598062	0.014652481	0.01461091
0.008422668	0.00826381	0.008452599	0.008208649	0.00872	0.009393658	0.90739053	0.008032608	0.0082025025	0.008799376	0.008068247	0.008045297
0.005031334	0.0049364357	0.0050490983	0.94440114	0.0052089356	0.005611251	0.0051818374	0.004798337	0.004899803	0.005256338	0.0048195887	0.004805895
0.1558211	0.005701692	0.0058318465	0.0056636147	0.0060164654	0.006481081	0.7860937	0.005542164	0.0056593837	0.0060712555	0.0055667707	0.0055509396
0.03942799	0.564561	0.039567135	0.038425915	0.040819693	0.0439715	0.040607434	0.037601884	0.03839695	0.041190896	0.037768513	0.037661128
0.006299658	0.0061807656	0.006321856	0.006139517	0.18816817	0.7496259	0.006488051	0.0060078553	0.006134904	0.006581437	0.006034489	0.006017351
0.71511847	0.025352042	0.025930518	0.025182763	0.026751395	0.028817302	0.026612235	0.024642672	0.02516394	0.02699507	0.02475191	0.024681702
0.019216493	0.78777385	0.019284477	0.018728182	0.01989481	0.021431072	0.019791331	0.018326592	0.01871412	0.020075792	0.018407775	0.018355539
0.0053933123	0.8159234	0.005412344	0.005256222	0.0055837245	0.13052821	0.005554639	0.0051435106	0.005252295	0.0056344653	0.00516629	0.00515163
0.0068774703	0.0067477203	0.0069017713	0.0067026997	0.0071202577	0.5567987	0.37525234	0.0065589584	0.006697667	0.0071850326	0.006588039	0.0065693115
0.71511835	0.025352	0.02593057	0.025182707	0.026751706	0.0288173	0.026612448	0.024642693	0.025163924	0.026994824	0.024751846	0.024681665
0.025839373	0.025351955	0.71520895	0.025182843	0.026751982	0.028817363	0.026612299	0.024642706	0.025163973	0.026994817	0.024751915	0.024681792
0.01270424	0.39673617	0.012749354	0.01238141	0.013152821	0.1281484	0.013084615	0.012115964	0.012372164	0.36225003	0.012169661	0.012135161
0.41195202	0.01885412	0.019284416	0.39491075	0.019894982	0.021431556	0.019791368	0.0183266	0.018714454	0.02007628	0.018407803	0.018355623
0.03942817	0.03868404	0.03956696	0.03842605	0.04082072	0.043971892	0.040607203	0.037601758	0.03839697	0.04119085	0.5636442	0.037661213
0.015296319	0.015007638	0.0153500885	0.0149074	0.015836166	0.8331212	0.015753755	0.014587722	0.01489629	0.01598021	0.014652346	0.014610813
0.0127044385	0.012464855	0.012749167	0.01238141	0.013152775	0.014168635	0.0130846305	0.012115974	0.012372183	0.86050117	0.012169615	0.012135124
0.009488623	0.40974587	0.009522143	0.009247491	0.009823549	0.010582491	0.009772557	0.009049199	0.009240561	0.009913039	0.009089338	0.49452513
0.008422659	0.008263873	0.008452601	0.008208688	0.008720146	0.00939385	0.38122314	0.008032631	0.0082025165	0.5349663	0.008068259	0.008045307
0.039427824	0.03868404	0.03956737	0.038426045	0.5666963	0.043971427	0.040607158	0.037601758	0.03839734	0.04119078	0.03776838	0.03766159
0.039427653	0.03868406	0.03956691	0.038425826	0.040819403	0.5698492	0.04060729	0.037602086	0.038397018	0.041190896	0.037768465	0.037661165
