topic_0	topic_1	topic_2	topic_3	topic_4	topic_5	topic_6	topic_7	topic_8	topic_9	topic_10	topic_11	topic_12	topic_13	topic_14	topic_15	topic_16	topic_17	topic_18	topic_19	topic_20	topic_21	topic_22	topic_23	topic_24	topic_25	topic_26	topic_27	topic_28	topic_29	topic_30	topic_31	topic_32	topic_33	topic_34	topic_35	topic_36	topic_37	topic_38	topic_39	topic_40	topic_41	topic_42	topic_43	topic_44	topic_45	topic_46	topic_47	topic_48	topic_49	topic_50	topic_51	topic_52	topic_53	topic_54	topic_55	topic_56	topic_57	topic_58	topic_59	topic_60	topic_61	topic_62	topic_63	topic_64	topic_65	topic_66	topic_67	topic_68	topic_69	topic_70	topic_71	topic_72	topic_73	topic_74	topic_75	topic_76	topic_77	topic_78	topic_79	topic_80	topic_81	topic_82	topic_83	topic_84	topic_85	topic_86	topic_87	topic_88	topic_89	topic_90	topic_91	topic_92	topic_93	topic_94	topic_95	topic_96	topic_97	topic_98	topic_99	topic_100	topic_101	topic_102	topic_103	topic_104	topic_105	topic_106	topic_107	topic_108	topic_109	topic_110	topic_111	topic_112	topic_113	topic_114	topic_115	topic_116	topic_117	topic_118	topic_119	topic_120	topic_121	topic_122	topic_123	topic_124	topic_125	topic_126	topic_127	topic_128	topic_129	topic_130	topic_131	topic_132	topic_133	topic_134	topic_135	topic_136	topic_137	topic_138	topic_139	topic_140	topic_141	topic_142	topic_143	topic_144	topic_145	topic_146	topic_147	topic_148	topic_149
0.0011072585	0.0011072562	0.0011037161	0.0011037161	0.0011143833	0.0011143801	0.0011072606	0.0011037161	0.0011107787	0.0011215273	0.0011072676	0.0011072473	0.0011072507	0.0011072473	0.0011072689	0.0011072473	0.0011037161	0.0011037161	0.0011037161	0.0011037161	0.0011072535	0.0011072507	0.0011037161	0.0011072435	0.001103717	0.0011072562	0.0011108365	0.0011037161	0.0011037162	0.0011072507	0.0011037161	0.0011072562	0.0011072585	0.0011037161	0.001114335	0.0011072798	0.0011037167	0.0011072507	0.0011037161	0.0011072606	0.0011072435	0.0011037161	0.0011072507	0.0011072368	0.0011072624	0.0011037161	0.0011107958	0.0011037161	0.0011037161	0.0011037161	0.001107275	0.0011072473	0.0011072689	0.0011037161	0.0011037162	0.0011087868	0.0011037161	0.0011037161	0.0011072562	0.0011037161	0.0011037161	0.0011037161	0.0011072535	0.0011072473	0.0011037161	0.0011144164	0.0011178685	0.00110724	0.0011107847	0.0011072536	0.0011107819	0.0011107709	0.0011143279	0.0011037161	0.0011037161	0.0011037161	0.0011107958	0.001107234	0.0011037161	0.0011072878	0.0011037161	0.0011072495	0.0011037161	0.0011037161	0.0011037161	0.0011107847	0.0011037161	0.0011107748	0.0011143406	0.43950346	0.0011072624	0.0011072507	0.0011104255	0.0011037161	0.0011072177	0.0011072507	0.0011072475	0.0011037161	0.0011072535	0.0011037161	0.0011072562	0.001110777	0.0011037161	0.0011037161	0.0011072562	0.0011037161	0.0011072507	0.0011107787	0.0011037161	0.0011037161	0.0011037161	0.0011108114	0.0011037161	0.0011072562	0.0011037161	0.0011037161	0.0011037161	0.0011037161	0.0011037161	0.0011107676	0.0011072507	0.0011037161	0.0011072507	0.001107254	0.0011108017	0.0011107802	0.0011072423	0.0011105596	0.0011072507	0.001107229	0.0011037161	0.39669955	0.0011072473	0.0011072473	0.001107275	0.0011072186	0.0011037161	0.0011037161	0.0011108358	0.0011072659	0.0011072536	0.0011072562	0.0011108092	0.0011037161	0.0011037161	0.0011037161	0.0011037161	0.0011107898	0.0011072702	0.0011037161
0.0001747156	0.00017471526	0.00017415667	0.00017415667	0.4705459	0.00017583935	0.00017471595	0.00017415667	0.00017527107	0.38095903	0.00017471705	0.00017471386	0.00017471438	0.00017471386	0.00017471725	0.00017471386	0.00017415667	0.00017415667	0.00017415667	0.00017415667	0.00017471483	0.00017471438	0.00017415667	0.00017471326	0.00017415681	0.00017471526	0.0001752802	0.00017415667	0.00017415668	0.00017471438	0.00017415667	0.00017471526	0.0001747156	0.00017415667	0.00017583223	0.00017471898	0.00017415675	0.00017471438	0.00017415667	0.00017471595	0.00017471326	0.00017415667	0.00017471438	0.0001747122	0.00017471623	0.00017415667	0.00017527377	0.00017415667	0.00017415667	0.00017415667	0.00017471824	0.00017471386	0.00017471725	0.00017415667	0.00017415668	0.00017495677	0.00017415667	0.00017415667	0.00017471526	0.00017415667	0.00017415667	0.00017415667	0.00017471483	0.00017471386	0.00017415667	0.00017584507	0.00017638977	0.00017471271	0.00017527203	0.00017471483	0.00017527159	0.00017526983	0.00017583113	0.00017415667	0.00017415667	0.00017415667	0.00017527377	0.00017471176	0.00017415667	0.00017472026	0.00017415667	0.00017471421	0.00017415667	0.00017415667	0.00017415667	0.00017527203	0.00017415667	0.00017527046	0.00017583312	0.00017527524	0.00017471623	0.00017471438	0.00017521535	0.00017415667	0.00017470919	0.00017471438	0.00017471389	0.00017415667	0.00017471483	0.00017415667	0.00017471526	0.00017527082	0.00017415667	0.00017415667	0.12282693	0.00017415667	0.00017471438	0.00017527107	0.00017415667	0.00017415667	0.00017415667	0.00017527625	0.00017415667	0.00017471526	0.00017415667	0.00017415667	0.00017415667	0.00017415667	0.00017415667	0.00017526934	0.00017471438	0.00017415667	0.00017471438	0.0001747149	0.0001752747	0.00017527131	0.00017471307	0.0001752365	0.00017471438	0.00017471096	0.00017415667	0.00017471526	0.00017471386	0.00017471386	0.00017471824	0.00017470932	0.00017415667	0.00017415667	0.00017528009	0.00017471678	0.00017471483	0.00017471526	0.00017527588	0.00017415667	0.00017415667	0.00017415667	0.00017415667	0.00017527283	0.00017471747	0.00017415667
0.0011072585	0.0011072563	0.0011037162	0.0011037162	0.0011143833	0.0011143802	0.0011072607	0.0011037162	0.0011107788	0.0011215273	0.0011072676	0.0011072474	0.0011072508	0.0011072474	0.001107269	0.5500164	0.0011037162	0.0011037162	0.0011037162	0.0011037162	0.0011072536	0.0011072508	0.0011037162	0.0011072436	0.0011037171	0.0011072563	0.0011108366	0.0011037162	0.0011037163	0.0011072508	0.0011037162	0.0011072563	0.0011072585	0.0011037162	0.001114335	0.0011072799	0.0011037168	0.0011072508	0.0011037162	0.0011072607	0.0011072436	0.0011037162	0.0011072508	0.001107237	0.0011072624	0.0011037162	0.0011107959	0.0011037162	0.0011037162	0.0011037162	0.0011072751	0.0011072474	0.001107269	0.0011037162	0.0011037163	0.0011087869	0.0011037162	0.0011037162	0.0011072563	0.0011037162	0.0011037162	0.0011037162	0.0011072536	0.0011072474	0.0011037162	0.0011144164	0.28619364	0.0011072401	0.0011107848	0.0011072536	0.001110782	0.0011107709	0.001114328	0.0011037162	0.0011037162	0.0011037162	0.0011107959	0.0011072342	0.0011037162	0.001107288	0.0011037162	0.0011072496	0.0011037162	0.0011037162	0.0011037162	0.0011107848	0.0011037162	0.0011107748	0.0011143407	0.0011108052	0.0011072624	0.0011072508	0.0011104256	0.0011037162	0.0011072179	0.0011072508	0.0011072475	0.0011037162	0.0011072536	0.0011037162	0.0011072563	0.0011107771	0.0011037162	0.0011037162	0.0011072563	0.0011037162	0.0011072508	0.0011107788	0.0011037162	0.0011037162	0.0011037162	0.0011108115	0.0011037162	0.0011072563	0.0011037162	0.0011037162	0.0011037162	0.0011037162	0.0011037162	0.0011107677	0.0011072508	0.0011037162	0.0011072508	0.0011072541	0.0011108018	0.0011107803	0.0011072424	0.0011105597	0.0011072508	0.001107229	0.0011037162	0.0011072563	0.0011072474	0.0011072474	0.0011072751	0.0011072187	0.0011037162	0.0011037162	0.0011108359	0.0011072659	0.0011072536	0.0011072563	0.0011108093	0.0011037162	0.0011037162	0.0011037162	0.0011037162	0.00111079	0.0011072704	0.0011037162
0.0004743278	0.00047432684	0.00047281032	0.00047281032	0.00047737994	0.00047737858	0.00047432873	0.00047281032	0.00047583578	0.00048044027	0.0004743317	0.00047432302	0.00047432448	0.00047432302	0.00047433225	0.00047432302	0.00047281032	0.00047281032	0.00047281032	0.00047281032	0.00047432567	0.00047432448	0.00047281032	0.0004743214	0.00047281073	0.00047432684	0.00047586058	0.00047281032	0.00047281038	0.00047432448	0.00047281032	0.00047432684	0.0004743278	0.00047281032	0.00047735925	0.00047433694	0.00047281059	0.00047432448	0.00047281032	0.00047432873	0.0004743214	0.00047281032	0.00047432448	0.00047431854	0.00047432948	0.00047281032	0.00047584315	0.00047281032	0.00047281032	0.00047281032	0.00047433493	0.00047432302	0.00047433225	0.00047281032	0.00047281038	0.0004749825	0.00047281032	0.00047281032	0.00047432684	0.00047281032	0.00047281032	0.00047281032	0.00047432567	0.00047432302	0.00047281032	0.81067055	0.0004788729	0.0004743199	0.00047583837	0.0004743257	0.00047583718	0.0004758324	0.00047735625	0.00047281032	0.00047281032	0.00047281032	0.00047584315	0.00047431735	0.00047281032	0.0004743404	0.00047281032	0.00047432396	0.00047281032	0.00047281032	0.00047281032	0.00047583837	0.00047281032	0.00047583412	0.00047736167	0.0004758471	0.00047432948	0.119163595	0.0004756845	0.00047281032	0.00047431036	0.00047432448	0.0004743231	0.00047281032	0.00047432567	0.00047281032	0.00047432684	0.00047583508	0.00047281032	0.00047281032	0.00047432684	0.00047281032	0.00047432448	0.00047583578	0.00047281032	0.00047281032	0.00047281032	0.0004758498	0.00047281032	0.00047432684	0.00047281032	0.00047281032	0.00047281032	0.00047281032	0.00047281032	0.00047583107	0.00047432448	0.00047281032	0.00047432448	0.00047432588	0.00047584565	0.00047583645	0.0004743209	0.00047574195	0.00047432448	0.0004743152	0.00047281032	0.00047432684	0.00047432302	0.00047432302	0.00047433493	0.0004743107	0.00047281032	0.00047281032	0.00047586026	0.000474331	0.0004743257	0.00047432684	0.00047584885	0.00047281032	0.00047281032	0.00047281032	0.00047281032	0.00047584058	0.00047433286	0.00047281032
0.0011072591	0.0011072569	0.0011037167	0.0011037167	0.0011143839	0.0011143807	0.0011072613	0.0011037167	0.0011107792	0.0011215279	0.0011072682	0.0011072479	0.0011072513	0.0011072479	0.0011072694	0.0011072479	0.0011037167	0.0011037167	0.0011037167	0.0011037167	0.0011072541	0.0011072513	0.0011037167	0.0011072442	0.0011037176	0.0011072569	0.0011108371	0.0011037167	0.0011037169	0.0011072513	0.0011037167	0.0011072569	0.0011072591	0.0011037167	0.0011143356	0.0011072804	0.0011037174	0.0011072513	0.0011037167	0.0011072613	0.0011072442	0.0011037167	0.0011072513	0.0011072374	0.001107263	0.0011037167	0.0011107965	0.0011037167	0.0011037167	0.0011037167	0.0011072757	0.0011072479	0.0011072694	0.0011037167	0.0011037169	0.0011087874	0.0011037167	0.0011037167	0.0011072569	0.0011037167	0.0011037167	0.0011037167	0.0011072541	0.0011072479	0.0011037167	0.001114417	0.001117869	0.0011072407	0.0011107853	0.0011072542	0.0011107825	0.0011107714	0.0011143286	0.0011037167	0.0011037167	0.0011037167	0.3347048	0.0011072346	0.0011037167	0.0011072885	0.0011037167	0.0011072501	0.0011037167	0.0011037167	0.0011037167	0.0011107853	0.0011037167	0.0011107754	0.0011143413	0.0011108057	0.001107263	0.0011072513	0.0011104262	0.0011037167	0.0011072183	0.0011072513	0.0011072481	0.0011037167	0.0011072541	0.0011037167	0.0011072569	0.0011107776	0.0011037167	0.0011037167	0.0011072569	0.0011037167	0.0011072513	0.0011107792	0.0011037167	0.0011037167	0.0011037167	0.0011108121	0.0011037167	0.0011072569	0.0011037167	0.0011037167	0.0011037167	0.0011037167	0.0011037167	0.5015016	0.0011072513	0.0011037167	0.0011072513	0.0011072545	0.0011108023	0.0011107809	0.001107243	0.0011105603	0.0011072513	0.0011072296	0.0011037167	0.0011072569	0.0011072479	0.0011072479	0.0011072757	0.0011072193	0.0011037167	0.0011037167	0.0011108364	0.0011072665	0.0011072542	0.0011072569	0.0011108097	0.0011037167	0.0011037167	0.0011037167	0.0011037167	0.0011107904	0.0011072708	0.0011037167
0.0016615369	0.75254166	0.0016562213	0.0016562213	0.0016722283	0.0016722236	0.0016615401	0.0016562213	0.0016668192	0.0016829484	0.0016615505	0.0016615202	0.0016615252	0.0016615202	0.0016615525	0.0016615202	0.0016562213	0.0016562213	0.0016562213	0.0016562213	0.0016615294	0.0016615252	0.0016562213	0.0016615145	0.0016562227	0.0016615335	0.001666906	0.0016562213	0.0016562216	0.0016615252	0.0016562213	0.0016615335	0.0016615369	0.0016562213	0.0016721558	0.0016615689	0.0016562223	0.001661526	0.0016562213	0.0016615401	0.0016615145	0.0016562213	0.0016615252	0.0016615045	0.0016615428	0.0016562213	0.001666845	0.0016562213	0.0016562213	0.0016562213	0.0016615618	0.0016615202	0.0016615525	0.0016562213	0.0016562216	0.0016638302	0.0016562213	0.0016562213	0.0016615335	0.0016562213	0.0016562213	0.0016562213	0.0016615294	0.0016615202	0.0016562213	0.0016722779	0.0016774582	0.0016615093	0.0016668283	0.0016615295	0.0016668241	0.0016668075	0.0016721453	0.0016562213	0.0016562213	0.0016562213	0.001666845	0.0016615003	0.0016562213	0.0016615811	0.0016562213	0.0016615235	0.0016562213	0.0016562213	0.0016562213	0.0016668283	0.0016562213	0.0016668134	0.0016721643	0.0016668589	0.0016615428	0.0016615252	0.0016662893	0.0016562213	0.0016614759	0.0016615252	0.0016615205	0.0016562213	0.0016615294	0.0016562213	0.0016615335	0.0016668168	0.0016562213	0.0016562213	0.0016615335	0.0016562213	0.0016615252	0.0016668192	0.0016562213	0.0016562213	0.0016562213	0.0016668685	0.0016562213	0.0016615335	0.0016562213	0.0016562213	0.0016562213	0.0016562213	0.0016562213	0.0016668027	0.0016615252	0.0016562213	0.0016615252	0.0016615301	0.0016668539	0.0016668215	0.0016615128	0.0016664906	0.0016615252	0.0016614927	0.0016562213	0.0016615335	0.0016615202	0.0016615202	0.0016615618	0.0016614771	0.0016562213	0.0016562213	0.001666905	0.001661548	0.0016615295	0.0016615335	0.0016668651	0.0016562213	0.0016562213	0.0016562213	0.0016562213	0.0016668361	0.0016615546	0.0016562213
0.0016615358	0.0016615324	0.0016562202	0.0016562202	0.001672509	0.0016722224	0.0016615391	0.0016562202	0.0016668182	0.75256294	0.0016615494	0.0016615192	0.0016615242	0.0016615192	0.0016615514	0.0016615192	0.0016562202	0.0016562202	0.0016562202	0.0016562202	0.0016615284	0.0016615242	0.0016562202	0.0016615135	0.0016562216	0.0016615324	0.001666905	0.0016562202	0.0016562204	0.0016615242	0.0016562202	0.0016615324	0.0016615358	0.0016562202	0.0016721548	0.0016615678	0.0016562211	0.0016615242	0.0016562202	0.0016615391	0.0016615135	0.0016562202	0.0016615242	0.0016615033	0.0016615418	0.0016562202	0.0016668439	0.0016562202	0.0016562202	0.0016562202	0.0016615607	0.0016615192	0.0016615514	0.0016562202	0.0016562204	0.0016638292	0.0016562202	0.0016562202	0.0016615324	0.0016562202	0.0016562202	0.0016562202	0.0016615284	0.0016615192	0.0016562202	0.0016722769	0.001677457	0.0016615082	0.0016668272	0.0016615285	0.001666823	0.0016668064	0.0016721443	0.0016562202	0.0016562202	0.0016562202	0.0016668439	0.0016614991	0.0016562202	0.0016615799	0.0016562202	0.0016615224	0.0016562202	0.0016562202	0.0016562202	0.0016668272	0.0016562202	0.0016668123	0.0016721633	0.0016668577	0.0016615418	0.0016615242	0.0016662882	0.0016562202	0.0016614747	0.0016615242	0.0016615194	0.0016562202	0.0016615284	0.0016562202	0.0016615324	0.0016668157	0.0016562202	0.0016562202	0.0016615324	0.0016562202	0.0016615242	0.0016668182	0.0016562202	0.0016562202	0.0016562202	0.0016668674	0.0016562202	0.0016615324	0.0016562202	0.0016562202	0.0016562202	0.0016562202	0.0016562202	0.0016668016	0.0016615242	0.0016562202	0.0016615242	0.0016615291	0.0016668527	0.0016668205	0.0016615117	0.0016664895	0.0016615242	0.0016614916	0.0016562202	0.0016615324	0.0016615192	0.0016615192	0.0016615607	0.001661476	0.0016562202	0.0016562202	0.001666904	0.001661547	0.0016615285	0.0016615324	0.0016668639	0.0016562202	0.0016562202	0.0016562202	0.0016562202	0.0016668349	0.0016615535	0.0016562202
0.0016615373	0.001661534	0.0016562217	0.0016562217	0.0016722287	0.0016722239	0.0016615406	0.0016562217	0.0016668197	0.0016829488	0.001661551	0.0016615206	0.0016615256	0.0016615206	0.0016615529	0.0016615206	0.0016562217	0.0016562217	0.0016562217	0.0016562217	0.0016615298	0.0016615256	0.0016562217	0.0016615149	0.0016562231	0.001661534	0.0016669065	0.0016562217	0.0016562219	0.0016615256	0.0016562217	0.001661534	0.0016615373	0.0016562217	0.0016721563	0.0016615693	0.0016562226	0.0016615256	0.0016562217	0.0016615406	0.0016615149	0.0016562217	0.0016615256	0.0016615049	0.0016615433	0.0016562217	0.0016668454	0.0016562217	0.0016562217	0.0016562217	0.0016615622	0.0016615206	0.0016615529	0.0016562217	0.0016562219	0.0016638307	0.0016562217	0.0016562217	0.001661534	0.0016562217	0.0016562217	0.0016562217	0.0016615298	0.0016615206	0.0016562217	0.0016722784	0.0016774585	0.0016615096	0.0016668288	0.0016615299	0.0016668246	0.0016668079	0.0016721458	0.0016562217	0.0016562217	0.0016562217	0.280026	0.0016615007	0.0016562217	0.0016615815	0.0016562217	0.0016615238	0.0016562217	0.0016562217	0.0016562217	0.0016668288	0.0016562217	0.0016668139	0.0016721648	0.0016668593	0.0016615433	0.0016615256	0.47418723	0.0016562217	0.0016614762	0.0016615256	0.0016615208	0.0016562217	0.0016615298	0.0016562217	0.001661534	0.0016668172	0.0016562217	0.0016562217	0.001661534	0.0016562217	0.0016615256	0.0016668197	0.0016562217	0.0016562217	0.0016562217	0.0016668688	0.0016562217	0.001661534	0.0016562217	0.0016562217	0.0016562217	0.0016562217	0.0016562217	0.0016668031	0.0016615256	0.0016562217	0.0016615256	0.0016615306	0.0016668543	0.001666822	0.0016615131	0.001666491	0.0016615256	0.0016614931	0.0016562217	0.001661534	0.0016615206	0.0016615206	0.0016615622	0.0016614775	0.0016562217	0.0016562217	0.0016669055	0.0016615485	0.0016615299	0.001661534	0.0016668654	0.0016562217	0.0016562217	0.0016562217	0.0016562217	0.0016668364	0.001661555	0.0016562217
0.0013289184	0.0013289157	0.0013246669	0.0013246669	0.0013374696	0.0013374657	0.001328921	0.0013246669	0.0013331433	0.0013460435	0.0013289293	0.001328905	0.0013289091	0.001328905	0.0013289308	0.001328905	0.0013246669	0.0013246669	0.0013246669	0.0013246669	0.0013289124	0.0013289091	0.0013246669	0.0013289005	0.0013246681	0.0013289157	0.0013332127	0.0013246669	0.0013246671	0.0013289091	0.0013246669	0.0013289157	0.0013289184	0.0013246669	0.0013374116	0.001328944	0.0013246676	0.0013289091	0.0013246669	0.001328921	0.0013289005	0.0013246669	0.0013289091	0.0013288924	0.0013289232	0.0013246669	0.0013331639	0.0013246669	0.0013246669	0.0013246669	0.0013289383	0.001328905	0.0013289308	0.0013246669	0.0013246671	0.0013307526	0.0013246669	0.0013246669	0.0013289157	0.0013246669	0.0013246669	0.0013246669	0.0013289124	0.001328905	0.0013246669	0.0013375093	0.0013416524	0.0013288963	0.0013331505	0.0013289124	0.0013331472	0.0013331339	0.0013374032	0.0013246669	0.0013246669	0.0013246669	0.0013331639	0.001328889	0.0013246669	0.0013289537	0.0013246669	0.0013289077	0.0013246669	0.0013246669	0.0013246669	0.0013331505	0.0013246669	0.0013331387	0.0013374183	0.001333175	0.0013289232	0.6018922	0.0013327195	0.0013246669	0.0013288695	0.0013289091	0.0013289052	0.0013246669	0.0013289124	0.0013246669	0.0013289157	0.0013331414	0.0013246669	0.0013246669	0.0013289157	0.0013246669	0.0013289091	0.0013331433	0.0013246669	0.0013246669	0.0013246669	0.0013331827	0.0013246669	0.0013289157	0.0013246669	0.0013246669	0.0013246669	0.0013246669	0.0013246669	0.20152058	0.0013289091	0.0013246669	0.0013289091	0.0013289129	0.0013331709	0.0013331452	0.0013288991	0.0013328803	0.0013289091	0.001328883	0.0013246669	0.0013289157	0.001328905	0.001328905	0.0013289383	0.0013288705	0.0013246669	0.0013246669	0.0013332119	0.0013289273	0.0013289124	0.0013289157	0.0013331799	0.0013246669	0.0013246669	0.0013246669	0.0013246669	0.0013331567	0.0013289326	0.0013246669
0.00073798	0.0007379785	0.00073561905	0.00073561905	0.00074272865	0.00074272655	0.00073798146	0.00073561905	0.0007403262	0.00074749003	0.00073798606	0.00073797256	0.0007379748	0.00073797256	0.00073798693	0.00073797256	0.00073561905	0.00073561905	0.00073561905	0.00073561905	0.0007379767	0.8900901	0.00073561905	0.00073797005	0.0007356197	0.0007379785	0.0007403648	0.00073561905	0.00073561916	0.0007379748	0.00073561905	0.0007379785	0.00073798	0.00073561905	0.00074269646	0.0007379942	0.00073561945	0.0007379748	0.00073561905	0.00073798146	0.00073797005	0.00073561905	0.0007379748	0.0007379656	0.0007379826	0.00073561905	0.00074033765	0.00073561905	0.00073561905	0.00073561905	0.00073799107	0.00073797256	0.00073798693	0.00073561905	0.00073561916	0.0007389986	0.00073561905	0.00073561905	0.0007379785	0.00073561905	0.00073561905	0.00073561905	0.0007379767	0.00073797256	0.00073561905	0.0007427507	0.0007450515	0.0007379677	0.0007403302	0.00073797675	0.00074032834	0.00074032095	0.0007426918	0.00073561905	0.00073561905	0.00073561905	0.00074033765	0.0007379637	0.00073561905	0.0007379996	0.00073561905	0.000737974	0.00073561905	0.00073561905	0.00073561905	0.0007403302	0.00073561905	0.00074032356	0.00074270024	0.00074034376	0.0007379826	0.0007379748	0.0007400908	0.00073561905	0.0007379529	0.0007379748	0.0007379727	0.00073561905	0.0007379767	0.00073561905	0.0007379785	0.0007403251	0.00073561905	0.00073561905	0.0007379785	0.00073561905	0.0007379748	0.0007403262	0.00073561905	0.00073561905	0.00073561905	0.000740348	0.00073561905	0.0007379785	0.00073561905	0.00073561905	0.00073561905	0.00073561905	0.00073561905	0.00074031885	0.0007379748	0.00073561905	0.0007379748	0.000737977	0.00074034155	0.00074032723	0.0007379693	0.0007401802	0.0007379748	0.0007379604	0.00073561905	0.0007379785	0.00073797256	0.00073797256	0.00073799107	0.0007379534	0.00073561905	0.00073561905	0.0007403643	0.00073798496	0.00073797675	0.0007379785	0.0007403465	0.00073561905	0.00073561905	0.00073561905	0.00073561905	0.00074033363	0.00073798787	0.00073561905
